Z_1_task1,_1_task1
2.0,0.0
4.031731059000168,0.4
6.054059211621564,0.8
8.06560380032904,1.2
10.062959893366656,1.6
12.04186273152074,2.0
13.997157485063068,2.4
15.922708921280492,2.8
17.81130011112665,3.2
19.654532156975545,3.6
21.442733692960573,4.0
23.16488650897728,4.4
24.808581070753476,4.8
26.36001115066421,5.2
27.80402357306832,5.6
29.124235208934387,6.0
30.303258138831367,6.4
31.32298890445285,6.8
32.165060531166134,7.2
32.81143940603139,7.6
33.24508529006494,8.0
33.45081013794182,8.4
33.41631302045769,8.8
33.133078093205896,9.2
32.597553186286085,9.6
31.812053336401895,10.0
30.785625443069815,10.4
29.534570478288742,10.8
28.082601801511558,11.2
26.460462951864265,11.6
24.705104228270496,12.0
22.858172902903693,12.4
20.96408698881908,12.8
19.06770468929215,13.2
17.21185291561517,13.6
15.434902333778634,14.0
13.768786207652164,14.4
12.237537232495185,14.8
10.856578722425684,15.2
9.632801230932468,15.6
8.565369070276247,16.0
7.647055525720875,16.4
6.865944503026923,16.8
6.20720377966221,17.2
5.654714932445472,17.6
5.192435086267094,18.0
4.805372504548687,18.4
4.4801924175374195,18.8
4.205489219538828,19.2
3.9718045412062506,19.6
3.771476750087673,20.0
3.5984009801644743,20.4
3.4477589685540297,20.8
3.315759411194186,21.2
3.199410765848308,21.6
3.0963346129598612,22.0
3.0046191895146883,22.4
2.9227081815216556,22.8
2.8493179712983343,23.2
2.7833764977501194,23.6
2.7239784845661954,24.0
2.670352137032303,24.4
2.6218341948157478,24.8
2.5778509516881054,25.2
2.5379034781258993,25.6
2.501555917304659,26.0
2.4684261235609823,26.4
2.438177943363299,26.8
2.410514893249181,27.2
2.385174849538044,27.6
2.361925097830957,28.0
2.340561210861739,28.4
2.320897519352526,28.8
2.3027716954559683,29.2
2.2860386220951567,29.6
2.270567044268549,30.0
2.2562408802328604,30.4
2.2429553529401156,30.8
2.230618936518208,31.2
2.2191465583169556,31.6
2.208462375234005,32.0
2.19849685433591,32.4
2.18919138086707,32.8
2.180492727160992,33.2
2.172348449145692,33.6
2.164713332718993,34.0
2.1575471831624093,34.4
2.150813161769356,34.8
2.1444781597126443,35.2
2.138511049964529,35.6
2.132884843404942,36.0
2.127574514673762,36.4
2.1225578424177947,36.8
2.117813980755751,37.2
2.1133238862910937,37.6
2.1090702669046015,38.0
2.1050372846107424,38.4
2.1012104651866372,38.8
2.097576567265948,39.2
2.0941234970049947,39.6
2.0908400358383394,40.0
