Time,Rim11,pUme6,pSok2,Ime1,pIme1,Ime2,V,rim11_1,pume6_1,sok2_1,ime1_1,pime1_1,ime2_1
0.0,0.0,0.0,0.999999999999971,0.0,0.0,0.0,1.0,0.1,0.0,-0.9999999999999507,0.09900990099010186,0.0,0.0
0.01,0.0009994502013244877,1.4993997886093806e-06,0.9900840704921825,0.0009900482042992753,6.579976207279974e-09,1.898588513373233e-16,1.0,0.0998900604778543,0.000299819616826834,-0.9832776926793381,0.09899956644545359,1.9724277780084366e-06,9.790071393715417e-14
0.02,0.0019978016121431235,5.9951854768648495e-06,0.9803326653108231,0.0019799881304528684,5.249293372593118e-08,1.0480854748657837e-14,1.0,0.09978024182266426,0.0005992769386308052,-0.9670899398143562,0.09898827105781603,7.858754024360048e-06,3.1051253201226857e-12
0.03,0.002995055440224683,1.3483723291117378e-05,0.9707405880942441,0.0029698109126992853,1.7664759448552806e-07,1.1784042480814706e-13,1.0,0.09967054390157529,0.0008983696794848544,-0.9514073226161162,0.09897616168423426,1.7612849066551723e-05,2.3347311141611163e-11
0.04,0.0039912128923320885,2.396135580809632e-05,0.9613029243704697,0.003959509109572875,4.1749601286490075e-07,6.55805342051203e-13,1.0,0.09956096658184348,0.00119709556367988,-0.936202665502598,0.09896337727087005,3.118899159800231e-05,9.74144837589705e-11
0.05,0.004986275173650715,3.742440356109768e-05,0.9520150234029956,0.004949076638166173,8.130254069397809e-07,2.475585296541875e-12,1.0,0.09945150973089843,0.001495452325547294,-0.9214508304511411,0.09895004904806658,4.854189053982568e-05,2.94367568161245e-10
0.06,0.005980243488128216,5.3869164243599565e-05,0.9428724756841359,0.005938508690692092,1.4007756210952584e-06,7.321165944111383e-12,1.0,0.09934217321630591,0.0017934377095804252,-0.9071285240155076,0.09893630135978351,6.962668023231316e-05,7.253014562357684e-10
0.07,0.006973119038552033,7.329191261688513e-05,0.9338710945976719,0.006927801665123386,2.2178463690717595e-06,1.8302149269455277e-11,1.0,0.09923295690575928,0.002091049470470069,-0.8932141287324423,0.09892225221089292,9.439892500369696e-05,1.5522934257196824e-09
0.08,0.007964903026353774,9.568890112886488e-05,0.9250069021542541,0.007916953109686889,3.300893913191368e-06,4.0434694489534765e-11,1.0,0.09912386066710109,0.0023882853730493865,-0.8796875563725419,0.09890801349154728,0.00012281463365250068,2.996850335007538e-09
0.09,0.008955596651616831,0.00012105635999894237,0.9162761143380036,0.008905961662657084,4.686135763051769e-06,8.127359453185673e-11,1.0,0.09901488436832216,0.0026851431923053813,-0.866530113840612,0.09889369136403219,0.00015483026512798755,5.347771001244919e-09
0.1,0.009945201113064494,0.00014939049735372302,0.9076751280756858,0.009894826997965433,6.4093546994455e-06,1.516311777718625e-10,1.0,0.0989060278775629,0.002981620713383642,-0.8537243834235515,0.09887938657495524,0.00019040273424804737,8.968442151624385e-09
0.11,0.010933717608108622,0.00018068749920514514,0.8992005091152188,0.010883549773494084,8.505905218895892e-06,2.6639529515478665e-10,1.0,0.09879729106310807,0.0032777157316130475,-0.8412541148249294,0.09886519476376354,0.00022948941437546182,1.4303526244305701e-08
0.12,0.011921147332842674,0.00021494352957392388,0.8908489795171983,0.011872131578092263,1.1010717768931813e-05,4.452841130492081e-10,1.0,0.09868867379338732,0.003573426052511775,-0.8291041257444418,0.09885120692321143,0.0002720481416257319,2.1885688952164964e-08
0.13,0.01290749148208195,0.0002521547304917802,0.8826174105980784,0.012860574895317275,1.3958304998334581e-05,7.139876277626929e-10,1.0,0.09858017593697099,0.003868749491808871,-0.817260219132537,0.09883750927227124,0.00031803721683363483,3.234057583974004e-08
0.14,0.01389275124926587,0.00029231722235939777,0.8745028057308344,0.013848883036071357,1.7382762303263808e-05,1.1045576807393652e-09,1.0,0.09847179736258076,0.004163683875419332,-0.8057090917211576,0.09882418450225709,0.00036741541189737076,4.6394577213719866e-08
0.15,0.014876927826588438,0.0003354271037154773,0.8665023033535428,0.01483706012877305,2.1317777973129873e-05,1.6572762406816536e-09,1.0,0.09836353793907528,0.0044582270394954585,-0.7944382805038624,0.09881131052290916,0.00042014196741588944,6.487650027453203e-08
0.16,0.015860022404860973,0.0003814804516972189,0.8586131545980932,0.0158251110427592,2.5796631976791308e-05,2.4206784252151007e-09,1.0,0.0982553975354653,0.004752376830388039,-0.7834360753546988,0.09879896255369788,0.00047617659941835607,8.872639449859167e-08
0.17,0.016842036173649228,0.00043047332179314856,0.8508327318775258,0.016813041411049206,3.085220651895758e-05,3.4538177856039357e-09,1.0,0.0981473760208986,0.005046131104699607,-0.7726914846894701,0.09878721120872912,0.0005354794967489488,1.1899524713008095e-07
0.18,0.017822970321173404,0.00048240174820600527,0.8431585080598184,0.017800857534519012,3.651698641056274e-05,4.826401668873408e-09,1.0,0.09803947326467093,0.005339487729257614,-0.7621941601515114,0.09877612458155555,0.0005980113246477739,1.568529742077987e-07
