Time,Pc_Perc,Pp_Perc,P_Perc,Ac,Pc,Ap,Pp,kin,koff,alpha1,alpha100,beta1,Akt_Total,compartment,AktP_Dephosphorylation_Cytosol,Akt_Translocation_Cytosol_PM_Insulin,Akt_Translocation_PM_Cytosol,AktP_Translocation_PM_Cytosol,AktP_Translocation_Cytosol_PM_Insulin,AktP_Dephosphorylation_PM,Akt_Phosphorylation_PM_Equilibrium
0.0,0.0,0.0,0.0,0.95,0.0,0.05,0.0,0.55,0.35,0.014,0.023,2.2,1.0,1.0,0.0,0.007315,0.027500000000000004,0.0,0.0,0.0,0.038500000000000006
0.03,0.0009300312973494303,0.11197047147263618,0.11290050276998562,0.950591212092314,9.300312973493739e-06,0.04827978287992552,0.001119704714726294,0.55,0.35,0.014,0.023,2.2,0.9999999999999394,1.0,3.2551095407228086e-06,0.007319552333110819,0.02655388058395904,0.0006158375930994617,7.16124098959018e-08,0.00039189665015420286,0.03717543281754265
0.06,0.003631263583537607,0.2171281927330236,0.22075945631656124,0.9511547485852675,3.6312635835382556e-05,0.04663765685174514,0.002171281927330624,0.55,0.35,0.014,0.023,2.2,1.0000000000001785,1.0,1.2709422542383894e-05,0.007323891564106561,0.025650711268459827,0.0011942050600318433,2.796072959324457e-07,0.0007599486745657184,0.03591099577584376
0.09,0.007975933003770553,0.3158287112209721,0.3238046442247427,0.9516920524301493,7.975933003785373e-05,0.04506990112945519,0.0031582871122155893,0.55,0.35,0.014,0.023,2.2,1.000000000001858,1.0,2.7915765513248802e-05,0.007328028803712151,0.024788445621200358,0.0017370579117185743,6.141468412914738e-07,0.0011054004892754562,0.034703823869680496
0.12,0.01384330553229428,0.40840985611782465,0.42225316165011895,0.9522044935406103,0.00013843305532374294,0.04357297484864394,0.004084098561201853,0.55,0.35,0.014,0.023,2.2,1.00000000000578,1.0,4.8451569363310026e-05,0.0073319746002627004,0.023965136166754167,0.002246254208661019,1.0659345259928207e-06,0.0014294344964206483,0.03355119063345584
0.15,0.021119364581016885,0.49519250203442056,0.5163118666154375,0.9526933719612635,0.00021119364581644726,0.04214350940215682,0.004951925020491418,0.55,0.35,0.014,0.023,2.2,1.0000000000297282,1.0,7.391777603575653e-05,0.0073357389641017295,0.023178930171186253,0.00272355876127028,1.6261910727866442e-06,0.001733173757171996,0.03245050223966075
0.18,0.029696456764441746,0.5764814307968427,0.6061778875612843,0.953159921452531,0.0002969645676756042,0.04077829977623806,0.005764814308573838,0.55,0.35,0.014,0.023,2.2,1.0000000001050184,1.0,0.00010393759868646147,0.00733933139518449,0.02242806487693093,0.0031706478697156116,2.286627171102153e-06,0.0020176850080008434,0.031399290827703305
0.21,0.039472930949054526,0.6525661999835177,0.6920391309325722,0.9536053131292771,0.0003947293095642555,0.03947429574684117,0.006525662001053754,0.55,0.35,0.014,0.023,2.2,1.0000000001867362,1.0,0.00013815525834748942,0.007342760911095435,0.021710862660762647,0.003589114100579565,3.0394156836447677e-06,0.0022839817003688138,0.030395207725067704
0.24,0.05035285786451177,0.7237218407341006,0.7740746985986124,0.9540306583261772,0.0005035285787729322,0.03822859493970945,0.007237218409178085,0.55,0.35,0.014,0.023,2.2,1.0000000002538376,1.0,0.00017623500257052627,0.007346036069111566,0.021025727216840196,0.003980470125047947,3.877170056551578e-06,0.0025330264432123295,0.029436018103576274
0.27,0.062245727896574565,0.7902095960656991,0.8524553239622736,0.9544370116649443,0.0006224572791591132,0.03703843540343681,0.007902095963111793,0.55,0.35,0.014,0.023,2.2,1.000000000310652,1.0,0.0002178600477056896,0.007349164989820072,0.02037113947189025,0.004346152779711486,4.792921049525172e-06,0.0027657335870891276,0.028519595260646347
0.3,0.0750661210861586,0.8522777236876873,0.9273438447738458,0.9548253743980418,0.0007506612111299641,0.03590118750842671,0.008522777239923956,0.55,0.35,0.014,0.023,2.2,1.0000000003575225,1.0,0.00026273142389548744,0.007352155382864923,0.019745653129634694,0.004687527481958176,5.780091325700725e-06,0.0029829720339733844,0.02764391438148857
0.32999999999999996,0.0887335294741074,0.9101619279816,0.9988954574557073,0.9551966962090015,0.0008873352950710208,0.03481434958456726,0.009101619283200347,0.55,0.35,0.014,0.023,2.2,1.0000000003718401,1.0,0.00031056735327485727,0.007355014560809312,0.019147892271511993,0.005005890605760191,6.832481772046862e-06,0.0031855667491201213,0.02680704918011679
0.36,0.10317219823001438,0.9640857552414361,1.0672579534714506,0.9555518768357688,0.0010317219826671805,0.03377554398147157,0.009640857555844113,0.55,0.35,0.014,0.023,2.2,1.0000000003557517,1.0,0.00036110269393351316,0.007357749451635421,0.018576549189809364,0.005302471655714263,7.944259266537291e-06,0.003374300144545439,0.026007168865733107
0.39,0.11831076047586868,1.0142614921641604,1.132572252640029,0.955891769788681,0.0011831076051994599,0.032782508053254535,0.01014261492542029,0.55,0.35,0.014,0.023,2.2,1.0000000003725553,1.0,0.0004140876618198109,0.007360366627372845,0.018030379429289995,0.00557843820898116,9.109928560035842e-06,0.0035499152238971012,0.02524253120100599
0.42,0.1340818649032333,1.0608910735914303,1.1949729384946635,0.9562171861311679,0.001340818649721188,0.031833084991503384,0.010608910741364708,0.55,0.35,0.014,0.023,2.2,1.0000000005137573,1.0,0.00046928652740241576,0.007362872333209994,0.017508196745326863,0.0058349009077505905,1.0324303602853149e-05,0.0037131187594776475,0.024511475443457605
0.44999999999999996,0.15042209681331578,1.104166227432527,1.2545883242458427,0.9565288952088453,0.001504220968903334,0.030925222054282723,0.011041662279978711,0.55,0.35,0.014,0.023,2.2,1.00000000051201,1.0,0.0005264773391161668,0.00736527249310811,0.0170088721298555,0.006072914253988292,1.1582501460555673e-05,0.0038645817979925485,0.023812420981797696
0.48,0.16727179718918014,1.1442690049924298,1.31154080218161,0.9568276266201471,0.0016727179725602769,0.030056965752429828,0.01144269005449719,0.55,0.35,0.014,0.023,2.2,1.0000000003996343,1.0,0.0005854512903960969,0.007367572724975134,0.016531331163836406,0.006293479529973455,1.2879928388714135e-05,0.004004941519074016,0.02314386362937097
0.51,0.1845748832780623,1.18137218718577,1.3659470704638323,0.9571140720025478,0.001845748833239351,0.0292264575379512,0.011813721874793792,0.55,0.35,0.014,0.023,2.2,1.0000000002485323,1.0,0.0006460120916337728,0.007369778354419619,0.01607455164587316,0.006497547031136587,1.4212266015943005e-05,0.004134802656177827,0.022504372304222423
0.54,0.20227862824181633,1.215639807945523,1.4179184361873396,0.9573888872396599,0.00202278628245016,0.028431928414060486,0.012156398079647522,0.55,0.35,0.014,0.023,2.2,1.000000000015818,1.0,0.000707975198857556,0.007371894431745382,0.01563756062773327,0.006686018943806138,1.5575454374866233e-05,0.0042547393278766325,0.021892584878826574
0.57,0.22033350317473924,1.2472275508744233,1.4675610540491626,0.95765269408961,0.002203335030887428,0.027671694985325006,0.012472275503876286,0.55,0.35,0.014,0.023,2.2,0.9999999996096987,1.0,0.0007711672608105997,0.007373925744489997,0.015219432241928755,0.006859751527131958,1.6965679737833197e-05,0.004365296426356699,0.021307205138700255
0.6,0.23869307507844478,1.2762830391088746,1.5149761141873193,0.9579060812953336,0.0023869307488525804,0.02694415676570258,0.012762830380759121,0.55,0.35,0.014,0.023,2.2,0.9999999991906479,1.0,0.0008354257620984031,0.0073758768259740695,0.014819286221136421,0.0070195567094175175,1.837936676616487e-05,0.004466990633265692,0.020747000709590988
0.63,0.25731356299216823,1.302946808246491,1.5602603712386593,0.9581496088943157,0.002573135625312742,0.026247785630068143,0.01302946805912683,0.55,0.35,0.014,0.023,2.2,0.9999999982088233,1.0,0.0009005974688594597,0.007377751988486231,0.01443628209653748,0.007166207432519758,1.9813144314908116e-05,0.004560313820694391,0.02021079493515247
0.6599999999999999,0.2761542356249418,1.3273515868972412,1.6035058225221828,0.9583838046362855,0.002761542349311594,0.02558113466647727,0.013273515835625353,0.55,0.35,0.014,0.023,2.2,0.9999999974876996,1.0,0.0009665398222590578,0.007379555295699399,0.0140696240665625,0.007300433709593945,2.1263876089699277e-05,0.0046457305424688735,0.0196974736931875
0.69,0.29517662101305,1.3496239215491692,1.6448005425622192,0.9586091714753913,0.002951766200088707,0.024942819752981266,0.013496239169578017,0.55,0.35,0.014,0.023,2.2,0.9999999965980393,1.0,0.0010331181700310474,0.007381290620360513,0.013718550864139697,0.00742293154326791,2.2728599740683046e-05,0.004723683709352305,0.019205971209795576
0.72,0.3143448351942299,1.369883642697947,1.684228477892177,0.9588261847045083,0.0031434483397221806,0.024331526694555863,0.013698836373725405,0.55,0.35,0.014,0.023,2.2,0.9999999961125117,1.0,0.0011002069189027632,0.007382961622224715,0.013382339682005726,0.007534360005548974,2.4204552215860794e-05,0.004794592730803892,0.018735275554808015
0.75,0.33362529420202897,1.388244434031262,1.7218697282332913,0.9590352946480223,0.0033362529301093997,0.023746004560977925,0.013882444290750352,0.55,0.35,0.014,0.023,2.2,0.99999999642986,1.0,0.0011676885255382898,0.007384571768789773,0.01306030250853786,0.007635344359912694,2.568914756184238e-05,0.004858855501762622,0.018284423511953002
