T,M,P,PC
0.0,0.1,0.1,0.1
0.050000001,0.095137231,0.099997997,0.099879444
0.1,0.090511627,0.099984579,0.099533491
0.15000001,0.086111628,0.099949859,0.098984405
0.2,0.081926234,0.099885486,0.098252833
0.25,0.077945001,0.099784479,0.097357877
0.30000001,0.074157991,0.0996411,0.096317209
0.34999999,0.070555747,0.099450715,0.095147185
0.40000001,0.067129277,0.099209681,0.093862899
0.44999999,0.063870035,0.098915257,0.092478283
0.5,0.06076989,0.098565452,0.09100619
0.55000001,0.057821114,0.098159008,0.089458443
0.60000002,0.055016357,0.097695269,0.087845936
0.64999998,0.052348629,0.097174115,0.086178675
0.69999999,0.049811278,0.096595913,0.084465861
0.75,0.04739799,0.095961429,0.082715906
0.80000001,0.045102756,0.095271789,0.080936529
0.85000002,0.042919867,0.094528429,0.079134777
0.89999998,0.040843897,0.093733028,0.077317089
0.94999999,0.03886969,0.092887498,0.07548932
1.0,0.036992345,0.091993935,0.07365682
1.05,0.035207216,0.091054551,0.071824409
1.1,0.033509888,0.090071715,0.069996484
1.15,0.031896174,0.089047857,0.068177007
1.2,0.030362112,0.087985471,0.066369534
1.25,0.028903944,0.086887114,0.064577274
1.3,0.027518123,0.085755348,0.062803105
1.35,0.026201304,0.084592745,0.061049581
1.4,0.024950346,0.083401881,0.05931899
1.45,0.023762306,0.082185306,0.05761335
1.5,0.022634456,0.080945522,0.055934444
1.55,0.021564294,0.07968501,0.054283842
1.6,0.02054956,0.0784062,0.05266292
1.65,0.019588301,0.07711146,0.051072881
1.7,0.018678926,0.075803101,0.049514793
1.75,0.017820362,0.074483372,0.047989596
1.8,0.0170123,0.073154442,0.04649815
1.85,0.016255733,0.071818434,0.045041293
1.9,0.015554099,0.070477404,0.043619916
1.95,0.01491626,0.069133341,0.042235162
2.0,0.014365582,0.067788236,0.040888827
2.05,0.013973711,0.066444069,0.03958473
2.0999999,0.013956256,0.065103076,0.038333077
2.1500001,0.014631053,0.063768193,0.03715755
2.2,0.016146915,0.062443659,0.036092706
2.25,0.018514557,0.061135262,0.03517475
2.3,0.021700235,0.05985022,0.034437325
2.3499999,0.025653826,0.058596946,0.033910338
2.4000001,0.030316301,0.057384808,0.033619553
2.45,0.035622112,0.056223858,0.033586439
2.5,0.041500144,0.055124614,0.03382808
2.55,0.047874227,0.054097787,0.034357127
2.5999999,0.05466358,0.053154085,0.035181787
2.6500001,0.06178325,0.052303985,0.036305822
2.7,0.069144659,0.051557519,0.037728582
2.75,0.07665623,0.0509241,0.039445043
2.8,0.084224105,0.050412323,0.0414459
2.8499999,0.091752939,0.050029818,0.043717697
2.9000001,0.099146768,0.049783073,0.046242956
2.95,0.10630995,0.049677324,0.049000371
3.0,0.11314813,0.049716417,0.051965047
3.05,0.11956926,0.049902719,0.055108752
3.0999999,0.12548462,0.050237015,0.058400214
3.1500001,0.13080989,0.050718479,0.061805464
3.2,0.1354661,0.051344596,0.065288216
3.25,0.13938075,0.052111156,0.068810247
3.3,0.1424887,0.053012256,0.072331838
3.3499999,0.14473313,0.054040313,0.075812235
3.4000001,0.14606649,0.055186111,0.079210125
3.45,0.14645129,0.056438871,0.082484134
3.5,0.14586115,0.057786316,0.085593343
3.55,0.14428167,0.059214812,0.08849784
3.5999999,0.14171219,0.060709469,0.091159284
3.6500001,0.13816908,0.062254306,0.093541563
3.7,0.13369632,0.063832432,0.095611736
3.75,0.12841152,0.06542629,0.097342081
3.8,0.12265918,0.067018062,0.098716825
3.8499999,0.11690336,0.068590611,0.099742435
3.9000001,0.11133695,0.070128366,0.10044162
3.95,0.10600284,0.071617737,0.10084087
4.0,0.10090771,0.073047109,0.10096637
4.0500002,0.096048027,0.074406676,0.10084308
4.0999999,0.091416568,0.075688295,0.10049443
4.1500001,0.087004751,0.076885313,0.099942341
4.1999998,0.082803495,0.077992439,0.09920723
4.25,0.078803621,0.079005621,0.098308064
4.3000002,0.074996106,0.079921857,0.097262435
4.3499999,0.071372151,0.080739155,0.096086659
4.4000001,0.067923255,0.081456363,0.094795823
4.4499998,0.064641222,0.082073092,0.093403868
4.5,0.061518207,0.082589634,0.091923676
4.5500002,0.058546692,0.083006874,0.090367123
4.5999999,0.055719487,0.083326198,0.088745132
4.6500001,0.053029738,0.083549447,0.087067775
4.6999998,0.050470892,0.083678827,0.085344277
4.75,0.048036717,0.083716884,0.083583139
4.8000002,0.045721266,0.083666429,0.081792116
4.8499999,0.04351889,0.083530501,0.079978317
4.9000001,0.041424196,0.08331231,0.078148238
4.9499998,0.039432079,0.083015233,0.076307796
5.0,0.037537675,0.082642742,0.074462377
5.0500002,0.035736367,0.082198396,0.072616883
5.0999999,0.034023784,0.081685804,0.070775732
5.1500001,0.032395788,0.0811086,0.068942957
5.1999998,0.030848462,0.08047045,0.067122161
5.25,0.029378124,0.079774983,0.065316617
5.3000002,0.027981309,0.079025812,0.063529238
5.3499999,0.026654793,0.078226507,0.06176265
5.4000001,0.025395589,0.07738059,0.060019188
5.4499998,0.02420097,0.076491505,0.058300946
5.5,0.023068516,0.075562648,0.056609776
5.5500002,0.021996165,0.074597307,0.054947343
5.5999999,0.020982325,0.073598705,0.053315129
5.6500001,0.020026077,0.072569974,0.051714495
5.6999998,0.019127535,0.071514159,0.050146703
5.75,0.018288625,0.070434198,0.048613004
5.8000002,0.017514825,0.06933298,0.04711476
5.8499999,0.016819704,0.068213306,0.045653697
5.9000001,0.016238807,0.067077942,0.044232581
5.9499998,0.015872927,0.065929718,0.042857103
6.0,0.01594395,0.064771779,0.041540533
6.0500002,0.016672377,0.063608043,0.040307164
6.0999999,0.01814238,0.062443584,0.039187577
6.1500001,0.020358181,0.061284751,0.038212683
6.1999998,0.023294246,0.060139045,0.03741125
6.25,0.026911434,0.059014928,0.03680902
6.3000002,0.031162096,0.057921629,0.036428358
6.3499999,0.035991959,0.056868926,0.036288042
6.4000001,0.041340988,0.055866949,0.036403146
6.4499998,0.047143888,0.054925974,0.036784947
6.5,0.053330578,0.054056227,0.03744087
6.5500002,0.059826646,0.05326771,0.038374446
6.5999999,0.066553891,0.052570008,0.039585322
6.6500001,0.073430911,0.051972125,0.041069251
6.6999998,0.080373801,0.051482331,0.042818174
6.75,0.087296896,0.051108003,0.044820268
6.8000002,0.094113588,0.050855491,0.047060102
6.8499999,0.10073719,0.050729994,0.049518757
6.9000001,0.10708185,0.050735459,0.052174024
6.9499998,0.11306345,0.050874479,0.055000637
7.0,0.11860066,0.051148217,0.057970516
7.0500002,0.12361579,0.051556349,0.061053079
7.0999999,0.12803578,0.052097015,0.064215541
7.1500001,0.13179319,0.052766804,0.067423306
7.1999998,0.13482703,0.053560752,0.070640326
7.25,0.13708374,0.054472338,0.073829502
7.3000002,0.13851789,0.055493549,0.076953135
7.3499999,0.13909313,0.056614906,0.079973385
7.4000001,0.13878298,0.057825562,0.082852706
7.4499998,0.13757165,0.059113376,0.085554361
7.5,0.13545543,0.060465045,0.088042915
7.5500002,0.13244487,0.061866228,0.090284824
7.5999999,0.12857078,0.063301705,0.092249155
7.6500001,0.12390555,0.064755581,0.093908854
7.6999998,0.11864739,0.066211559,0.095244274
7.75,0.11319984,0.067653559,0.096251704
7.8000002,0.10786152,0.069066606,0.096946314
7.8499999,0.10272299,0.070437402,0.097351432
7.9000001,0.097804911,0.071754485,0.097491577
7.9499998,0.093108997,0.073008142,0.097390495
8.0,0.088630624,0.074190266,0.097070701
8.0500002,0.084362701,0.075294197,0.096553296
8.1000004,0.080297135,0.076314598,0.095857978
8.1499996,0.076425515,0.077247337,0.095003106
8.1999998,0.072739385,0.078089312,0.094005689
8.25,0.069230452,0.078838408,0.092881538
8.3000002,0.065890618,0.079493329,0.091645271
8.3500004,0.062712081,0.080053538,0.09031041
8.3999996,0.059687331,0.080519155,0.088889435
8.4499998,0.056809146,0.080890886,0.08739388
8.5,0.054070633,0.081169933,0.085834362
8.5500002,0.051465198,0.081357941,0.084220633
8.6000004,0.048986539,0.081456929,0.082561679
8.6499996,0.046628654,0.081469245,0.080865748
8.6999998,0.044385828,0.081397489,0.07914038
8.75,0.042252611,0.081244513,0.077392496
8.8000002,0.040223829,0.081013322,0.075628407
8.8500004,0.038294565,0.080707096,0.073853873
8.8999996,0.036460146,0.080329113,0.072074138
8.9499998,0.034716152,0.079882734,0.070293985
9.0,0.033058401,0.079371385,0.06851773
9.0500002,0.031482946,0.078798518,0.066749297
9.1000004,0.029986074,0.078167617,0.064992219
9.1499996,0.028564317,0.077482134,0.063249692
9.1999998,0.027214458,0.076745518,0.061524589
9.25,0.025933545,0.075961165,0.059819493
9.3000002,0.024718931,0.075132459,0.058136724
9.3500004,0.023568328,0.074262686,0.056478374
9.3999996,0.022479909,0.073355094,0.05484632
9.4499998,0.021452475,0.072412856,0.053242281
9.5,0.02048579,0.071439058,0.051667858
9.5500002,0.019581228,0.070436724,0.050124593
9.6000004,0.018743215,0.069408812,0.048614085
9.6499996,0.017982779,0.068358205,0.047138218
9.6999998,0.017327731,0.067287758,0.045699663
9.75,0.016853768,0.066200361,0.044303305
9.8000002,0.016740296,0.065099128,0.042959858
9.8500004,0.017210266,0.063987799,0.041689992
9.8999996,0.018377176,0.062871113,0.040521882
9.9499998,0.020262377,0.061755046,0.039485324
10.0,0.022849936,0.060646676,0.03860864
10.05,0.026107641,0.05955407,0.037917536
10.1,0.029993763,0.058486078,0.037434656
10.15,0.034459509,0.05745215,0.037179317
10.2,0.039450072,0.056462117,0.037167367
10.25,0.044905216,0.055526033,0.037411071
10.3,0.050759759,0.054653957,0.037919033
10.35,0.056944001,0.053855792,0.038696151
10.4,0.063384235,0.053141106,0.03974358
10.45,0.070003308,0.052518956,0.041058738
10.5,0.076721281,0.051997755,0.042635333
10.55,0.083456114,0.051585097,0.044463426
10.6,0.090124436,0.051287636,0.046529528
10.65,0.096642382,0.051110957,0.048816729
10.7,0.10292647,0.051059473,0.051304851
10.75,0.10889448,0.051136319,0.053970665
10.8,0.11446639,0.051343266,0.056788109
10.85,0.11956533,0.051680677,0.059728567
10.9,0.12411848,0.052147437,0.062761158
10.95,0.128058,0.052740928,0.065853089
11.0,0.13132195,0.053457025,0.06896998
11.05,0.13385515,0.054290097,0.072076291
11.1,0.13561,0.055233032,0.075135686
11.15,0.13654728,0.056277283,0.078111492
11.2,0.136637,0.05741293,0.080967143
11.25,0.13585913,0.058628768,0.08366663
11.3,0.13420467,0.059912402,0.086174972
11.35,0.13167724,0.061250377,0.088458791
11.4,0.12829651,0.062628314,0.090486862
11.45,0.12410858,0.064031079,0.092231028
11.5,0.11922628,0.065443017,0.093668111
11.55,0.1139408,0.066848323,0.094785474
11.6,0.10863551,0.068231821,0.095588826
11.65,0.10349023,0.069579698,0.09609782
11.7,0.09855213,0.070879906,0.096336059
11.75,0.093831033,0.072122157,0.096327171
11.8,0.089325421,0.073297776,0.096093789
11.85,0.085029639,0.074399598,0.095657222
11.9,0.08093632,0.07542181,0.09503746
11.95,0.077037439,0.076359823,0.094253093
12.0,0.073324777,0.077210143,0.09332145
12.05,0.069790147,0.077970266,0.092258587
12.1,0.066425532,0.078638561,0.091079384
12.15,0.063223168,0.079214185,0.089797616
12.2,0.060175542,0.079696953,0.088426016
12.25,0.057275437,0.080087326,0.086976327
12.3,0.05451595,0.080386259,0.085459389
12.35,0.051890455,0.08059518,0.083885171
12.4,0.049392644,0.080715925,0.082262851
12.45,0.047016479,0.080750652,0.080600843
12.5,0.044756219,0.080701806,0.078906879
12.55,0.042606391,0.080572091,0.07718803
12.6,0.040561792,0.080364391,0.075450771
12.65,0.038617477,0.080081768,0.073701017
12.7,0.036768753,0.079727396,0.071944132
12.75,0.03501118,0.079304546,0.070185035
12.8,0.033340551,0.078816563,0.068428159
12.85,0.031752899,0.078266837,0.066677548
12.9,0.030244511,0.077658772,0.064936854
12.95,0.028811902,0.076995783,0.063209362
13.0,0.027451858,0.076281257,0.061498046
13.05,0.02616144,0.075518578,0.059805587
13.1,0.024938026,0.074711062,0.058134392
13.15,0.023779383,0.073861994,0.05648664
13.2,0.022683769,0.072974585,0.054864295
13.25,0.021650149,0.072052002,0.053269166
13.3,0.020678565,0.071097322,0.051702946
13.35,0.019770941,0.070113555,0.050167285
13.4,0.018932818,0.069103666,0.048663929
13.45,0.018177845,0.068070538,0.04719498
13.5,0.017540833,0.067017063,0.045763541
13.55,0.017115457,0.065946177,0.044375483
13.6,0.017099014,0.064861126,0.043043479
13.65,0.017692404,0.063765861,0.041790023
13.7,0.018981421,0.062665395,0.040643588
13.75,0.020976897,0.061565928,0.039633334
13.8,0.023659613,0.060474724,0.03878668
13.85,0.026996264,0.059399985,0.038128391
13.9,0.030944757,0.058350638,0.037680164
13.95,0.035456214,0.057336159,0.037460424
14.0,0.040475871,0.056366377,0.037484158
14.05,0.045943644,0.055451274,0.037762817
14.1,0.05179457,0.054600831,0.038304247
14.15,0.057959273,0.053824823,0.039112631
14.2,0.064364456,0.053132668,0.040188462
14.25,0.070933506,0.052533258,0.041528556
14.3,0.077587105,0.052034803,0.04312608
14.35,0.084243976,0.051644694,0.044970602
14.4,0.090821631,0.051369365,0.047048215
14.45,0.097237237,0.051214173,0.049341649
14.5,0.10340843,0.051183298,0.051830448
14.55,0.10925424,0.051279634,0.054491162
14.6,0.11469603,0.051504731,0.057297599
