Time,I,A,D_II,D_IA,R,aux,pi_I,d_r,d_A,d_II,d_IA,k_II,k_IA,B_d,f_A,gamma_I,K_aux,K_II,K_IA,f_c,w_A,w_I,w_D,d_I,pi_A,k_Am,kprime_IA,kprime_II,aux_basal,compartment_0000001,reac_DIA,reac_DII,reac_degrI,reac_degrA,reac_degrDIA,reac_degrDII,reac_DIAxA,reac_DIIxI,reac_degrR,reac_prodI,reac_prodA,reac_prodR
0.0,10.0,10.0,10.0,10.0,1.0,0.0,1.0,0.007,0.003,0.003,0.003,1.0,1.0,100.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,0.05,1.0,10.0,10.0,10.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.007,1.0,1.0,0.9090909090909092
0.01,10.007559567240476,10.008844602770603,10.000515144752288,10.000555256230802,1.0090271352739943,0.0,1.0,0.007,0.003,0.003,0.003,1.0,1.0,100.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,0.05,1.0,10.0,10.0,10.0,0.1111111111111111,1.0,0.1585559991721226,0.1460970443434917,0.0,0.03002653380831181,0.03000166576869241,0.030001545434256868,0.0,0.0,0.007063189946917961,1.0090271352739943,1.0,0.9103632826271881
0.02,10.011856735376043,10.016420015699085,10.002072147879362,10.002379420312192,1.0180654171720824,0.0,1.0,0.007,0.003,0.003,0.003,1.0,1.0,100.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,0.05,1.0,10.0,10.0,10.0,0.1111111111111111,1.0,0.2591679954103654,0.21655381090100434,0.0,0.030049260047097254,0.030007138260936577,0.030006216443638087,0.0,0.0,0.007126457920204578,1.0180654171720824,1.0,0.9114593790607292
0.03,10.014443360129764,10.023171079781976,10.00411751652119,10.00502765125609,1.0271134048648412,0.0,1.0,0.007,0.003,0.003,0.003,1.0,1.0,100.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,0.05,1.0,10.0,10.0,10.0,0.1111111111111111,1.0,0.32620255480640026,0.24790064803522682,0.0,0.030069513239345928,0.030015082953768268,0.030012352549563567,0.0,0.0,0.007189793834053888,1.0271134048648412,1.0,0.9124382061542866
0.04,10.016151457168553,10.029360128592337,10.006366435352486,10.008237615497896,1.0361701146765174,0.0,1.0,0.007,0.003,0.003,0.003,1.0,1.0,100.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,0.05,1.0,10.0,10.0,10.0,0.1111111111111111,1.0,0.37321391148935845,0.2596256594148514,0.0,0.030088080385777014,0.030024712846493686,0.03001909930605746,0.0,0.0,0.007253190802735622,1.0361701146765174,1.0,0.9133351349108907
0.05,10.017419147434508,10.035145910459098,10.008679248943496,10.011850564717141,1.0452348448161004,0.0,1.0,0.007,0.003,0.003,0.003,1.0,1.0,100.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,0.05,1.0,10.0,10.0,10.0,0.1111111111111111,1.0,0.4077571435606444,0.2618938859525457,0.0,0.030105437731377294,0.030035551694151424,0.03002603774683049,0.0,0.0,0.007316643913712703,1.0452348448161004,1.0,0.9141720175284603
0.06,10.018478015040495,10.040629475195665,10.010990722827868,10.015765449108876,1.054307070258654,0.0,1.0,0.007,0.003,0.003,0.003,1.0,1.0,100.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,0.05,1.0,10.0,10.0,10.0,0.1111111111111111,1.0,0.4341711633265959,0.2599945095710581,0.0,0.030121888425586996,0.03004729634732663,0.030032972168483607,0.0,0.0,0.007380149491810579,1.054307070258654,1.0,0.9149630880432471
0.07,10.019449196261293,10.04587831327645,10.013274067032947,10.01991477820715,1.0633863836727104,0.0,1.0,0.007,0.003,0.003,0.003,1.0,1.0,100.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,0.05,1.0,10.0,10.0,10.0,0.1111111111111111,1.0,0.45501960962498345,0.25662152613161027,0.0,0.03013763493982935,0.03005974433462145,0.030039822201098843,0.0,0.0,0.007443704685708973,1.0633863836727104,1.0,0.9157180835630878
0.08,10.02039417593673,10.050939457106734,10.015522087771899,10.024251519615136,1.0724724613104764,0.0,1.0,0.007,0.003,0.003,0.003,1.0,1.0,100.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,0.05,1.0,10.0,10.0,10.0,0.1111111111111111,1.0,0.4718600025336315,0.25307856342774926,0.0,0.030152818371320205,0.03007275455884541,0.030046566263315696,0.0,0.0,0.007507307229173334,1.0724724613104764,1.0,0.9164439474179612
0.09,10.021344388060784,10.055847653819498,10.017736473255265,10.028740926208316,1.0815650385317475,0.0,1.0,0.007,0.003,0.003,0.003,1.0,1.0,100.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,0.05,1.0,10.0,10.0,10.0,0.1111111111111111,1.0,0.4857031907150713,0.24997861156471402,0.0,0.030167542961458495,0.03008622277862495,0.030053209419765796,0.0,0.0,0.007570955269722232,1.0815650385317475,1.0,0.9171459063345964
