Time,IPTG,C1,C2,A1,A2,sink,source,kc1,kc2,Cm,D,kA1,kA2,d2,K2,d1,K1,dAA1,dAA2,environment,J0,J1,J2,J3,J4,J5,J6,J7
0.0,5.0,20.0,20.0,0.1,0.1,0.0,0.0,0.8,0.4,100.0,0.1125,0.1,0.035,0.3,10.0,1.0,10.0,0.017,0.11,1.0,9.6,22.23001998001998,4.8,2.255994005994006,2.0,0.012950000000000001,0.7000000000000001,0.022250000000000002
0.01,5.0,19.87419139283586,20.025483834767172,0.11979468048373625,0.1067744194597653,0.0,0.0,0.8,0.4,100.0,0.1125,0.1,0.035,0.3,10.0,1.0,10.0,0.017,0.11,1.0,9.555562858385695,22.087405605412595,4.814152328775571,2.2614760073876825,1.9874191392835863,0.015513411122643844,0.7008919342168511,0.02375730832979778
0.02,5.0,19.749360334856956,20.051051850775828,0.13943850553307238,0.113542706887134,0.0,0.0,0.8,0.4,100.0,0.1125,0.1,0.035,0.3,10.0,1.0,10.0,0.017,0.11,1.0,9.511226814046418,21.94573538488898,4.82826022664484,2.2674162736786188,1.9749360334856956,0.018057286466532874,0.701786814777154,0.025263252282387315
0.03,5.0,19.62549844227015,20.0766990723978,0.15893264309762545,0.1203049044681841,0.0,0.0,0.8,0.4,100.0,0.1125,0.1,0.035,0.3,10.0,1.0,10.0,0.017,0.11,1.0,9.466995429985579,21.805003554370277,4.842323340899568,2.2738041854882836,1.962549844227015,0.020581777281142497,0.7026844675339231,0.026767841244170965
0.04,5.0,19.50259742376507,20.102420626664113,0.17827825128285468,0.1270610525734088,0.0,0.0,0.8,0.4,100.0,0.1125,0.1,0.035,0.3,10.0,1.0,10.0,0.017,0.11,1.0,9.422872155024304,21.665204394573916,4.856341323560238,2.2806291314507914,1.9502597423765071,0.023087033541129683,0.7035847219332441,0.02827108419758346
0.05,5.0,19.380649078917642,20.128211743182217,0.1974764784559567,0.13381118979820764,0.0,0.0,0.8,0.4,100.0,0.1125,0.1,0.035,0.3,10.0,1.0,10.0,0.017,0.11,1.0,9.378860326326794,21.52633223019396,4.870313831836318,2.2878805188894344,1.9380649078917642,0.025573203960046392,0.7044874110113777,0.029772989730101198
0.06,5.0,19.259645295715945,20.154067753379802,0.2165284634129066,0.14055535302963998,0.0,0.0,0.8,0.4,100.0,0.1125,0.1,0.035,0.3,10.0,1.0,10.0,0.017,0.11,1.0,9.334963171671035,21.388381428068225,4.88424052853694,2.2955477839843725,1.9259645295715946,0.028040436011971405,0.7053923713682931,0.0312735660490949
0.07,5.0,19.139578043615337,20.179984086669467,0.23543533585518278,0.147293577644393,0.0,0.0,0.8,0.4,100.0,0.1125,0.1,0.035,0.3,10.0,1.0,10.0,0.017,0.11,1.0,9.291183810625325,21.251346390281665,4.8981210823319525,2.303620401234302,1.9139578043615337,0.03048887599324617,0.7062994430334314,0.03277282102587744
0.08,5.0,19.02043938388222,20.20595627663451,0.25419821567757267,0.15402589721100327,0.0,0.0,0.8,0.4,100.0,0.1125,0.1,0.035,0.3,10.0,1.0,10.0,0.017,0.11,1.0,9.247525259833465,21.115221566714816,4.911955168228337,2.312087893297521,1.9020439383882222,0.03291866893024566,0.7072084696822079,0.034270762129448226
0.09,5.0,18.90222146544926,20.231979959318792,0.2728182132500422,0.16075234360442686,0.0,0.0,0.8,0.4,100.0,0.1125,0.1,0.035,0.3,10.0,1.0,10.0,0.017,0.11,1.0,9.203990434723684,20.980001451269846,4.925742467928109,2.320939839704583,1.890222146544926,0.035329958615880466,0.7081192985761579,0.03576739645198498
0.1,5.0,18.784916522062815,20.25805087228724,0.29129642961064417,0.16747294708342272,0.0,0.0,0.8,0.4,100.0,0.1125,0.1,0.035,0.3,10.0,1.0,10.0,0.017,0.11,1.0,9.160582151438362,20.845680579524846,4.939482670195714,2.3301658852067293,1.8784916522062816,0.03772288763457842,0.7090317805300534,0.03726273072606156
0.11,5.0,18.66851687070302,20.28416485441355,0.30963395657095627,0.17418773633150816,0.0,0.0,0.8,0.4,100.0,0.1125,0.1,0.035,0.3,10.0,1.0,10.0,0.017,0.11,1.0,9.117303129006705,20.712253527799234,4.953175471230354,2.339755747746783,1.866851687070302,0.04009759737593884,0.7099457699044743,0.03875677133376057
0.12,5.0,18.553014910003842,20.31031784566784,0.32783187682151954,0.18089673849791502,0.0,0.0,0.8,0.4,100.0,0.1125,0.1,0.035,0.3,10.0,1.0,10.0,0.017,0.11,1.0,9.074155991455735,20.57971491219868,4.966820575028552,2.3496992259958436,1.8553014910003842,0.042454228048386784,0.7108611245983745,0.040249524315786094
0.13,5.0,18.438403118673165,20.336505886904362,0.34589126403727716,0.1875999792385455,0.0,0.0,0.8,0.4,100.0,0.1125,0.1,0.035,0.3,10.0,1.0,10.0,0.017,0.11,1.0,9.031143269860861,20.44805938764014,4.980417693737311,2.3599862064621173,1.8438403118673166,0.044792918692827394,0.7117777060416527,0.04174099538057637
0.14,5.0,18.324674053912833,20.362725119649166,0.3638131829830125,0.19429748275692796,0.0,0.0,0.8,0.4,100.0,0.1125,0.1,0.035,0.3,10.0,1.0,10.0,0.017,0.11,1.0,8.988267404337146,20.31728164685788,4.9939665479981254,2.3706066701790776,1.8324674053912835,0.04711380719630012,0.7126953791877209,0.04323118991341647
0.15,5.0,18.211820349838742,20.38897178588778,0.3815986896187876,0.2009892718451729,0.0,0.0,0.8,0.4,100.0,0.1125,0.1,0.035,0.3,10.0,1.0,10.0,0.017,0.11,1.0,8.94553074597244,20.187376419390926,5.007466867282124,2.3815506989809707,1.8211820349838743,0.049417030305633,0.7136140125060724,0.044720112985550974
0.16,5.0,18.099834714602242,20.41524220553839,0.39924883143226597,0.2076753680929797,0.0,0.0,0.8,0.4,100.0,0.1125,0.1,0.035,0.3,10.0,1.0,10.0,0.017,0.11,1.0,8.902935561483899,20.058338468988456,5.0209183866569065,2.3928084788664923,1.8099834714602243,0.05170272367047844,0.7145334771938437,0.046207769400687985
