value_component_environment_variable_time,value_component_T_variable_T,value_component_T_variable_s,value_component_T_variable_dT,value_component_I_variable_I,value_component_I_variable_p,value_component_I_variable_dI,value_component_E_variable_E,value_component_E_variable_c,value_component_E_variable_dE,value_component_kinetic_parameters_variable_b
0.0,1.0,10.0,0.01,1.0,0.05,0.3,1.0,0.3,0.1,0.001
0.1,1.9983534645785332,10.0,0.01,0.9657028624111317,0.05,0.3,1.019384757189125,0.3,0.1,0.001
0.2,2.9956197476047675,10.0,0.01,0.9325872124369131,0.05,0.3,1.0375708720621084,0.3,0.1,0.001
0.30000000000000004,3.991805969667877,10.0,0.01,0.9006180433960649,0.05,0.3,1.0546041533237385,0.3,0.1,0.001
0.4,4.9869193338988955,10.0,0.01,0.8697598483076509,0.05,0.3,1.0705301128714089,0.3,0.1,0.001
0.5,5.980966704903426,10.0,0.01,0.8399778416813619,0.05,0.3,1.0853926645969418,0.3,0.1,0.001
0.6000000000000001,6.973954590108286,10.0,0.01,0.811237986786606,0.05,0.3,1.0992340523440856,0.3,0.1,0.001
0.7000000000000001,7.965889174740953,10.0,0.01,0.7835069264148328,0.05,0.3,1.1120950206292493,0.3,0.1,0.001
0.8,8.956776350836767,10.0,0.01,0.756751972603431,0.05,0.3,1.1240149265322552,0.3,0.1,0.001
0.9,9.946621731817167,10.0,0.01,0.730941136179597,0.05,0.3,1.135031776905682,0.3,0.1,0.001
1.0,10.935430665611108,10.0,0.01,0.706043153094024,0.05,0.3,1.1451822605655342,0.3,0.1,0.001
