Time,ATP,AMP,ADP,Pyr,NADH,Lac,Vmapp1,Kmapp1,Vm2,Km2ATP,Km2AMP,K,Vmapp3,Kmapp3,k4,compartment,v1,v2,v3,v4
0.0,16.3,0.0,0.0,0.0,256.0,0.0,2.3,700.0,170.0,25.0,110.0,71000.0,65.0,260.0,5.0,1.0,0.052338405695937465,0.0,0.0,0.0
0.01,16.29947652472123,0.0005232762421316627,1.9903663972021824e-07,1.657110145501309e-10,255.9999999999979,0.0,2.3,700.0,170.0,25.0,110.0,71000.0,65.0,260.0,5.0,1.0,0.05233676309348104,1.9918846821569784e-05,4.975915989196265e-08,8.285550727506545e-10
0.02,16.298952867722374,0.0010463369143767257,7.953632488082727e-07,1.2946341597267947e-09,255.99999999996683,0.0,2.3,700.0,170.0,25.0,110.0,71000.0,65.0,260.0,5.0,1.0,0.05233511991840678,3.9828227923232045e-05,1.9884081159379638e-07,6.473170798633973e-09
0.03,16.298429030097864,0.0015691821055316471,1.7877966008103484e-06,4.309386492253624e-09,255.9999999998354,0.0,2.3,700.0,170.0,25.0,110.0,71000.0,65.0,260.0,5.0,1.0,0.05233347617414635,5.9728146823836646e-05,4.469491471293019e-07,2.154693246126812e-08
0.04,16.297905012937008,0.002091811904538122,3.1751584485631924e-06,1.008400135386881e-08,255.99999999948855,0.0,2.3,700.0,170.0,25.0,110.0,71000.0,65.0,260.0,5.0,1.0,0.05233183186411539,7.961860705304285e-05,7.937896024469221e-07,5.042000676934405e-08
0.05,16.297380817325706,0.0026142264003129116,4.9562739749007096e-06,1.9445053318958528e-08,255.99999999876718,0.0,2.3,700.0,170.0,25.0,110.0,71000.0,65.0,260.0,5.0,1.0,0.052330186991718874,9.949961214481564e-05,1.2390684701053204e-06,9.722526659479263e-08
0.06,16.296856444346897,0.00313642568177575,7.129971322937104e-06,3.317591673929741e-08,255.99999999747186,0.0,2.3,700.0,170.0,25.0,110.0,71000.0,65.0,260.0,5.0,1.0,0.052328541560352514,0.00011937116563846519,1.782492781853036e-06,1.6587958369648705e-07
0.07,16.296331895080648,0.0036584098378525222,9.695081493857552e-06,5.201985786077682e-08,255.99999999536584,0.0,2.3,700.0,170.0,25.0,110.0,71000.0,65.0,260.0,5.0,1.0,0.05232689557340297,0.00013923327107874544,2.4237702830849636e-06,2.600992893038841e-07
0.08,16.29580717060406,0.004180178957468158,1.2650438468652685e-05,7.668061742852474e-08,255.99999999217582,0.0,2.3,700.0,170.0,25.0,110.0,71000.0,65.0,260.0,5.0,1.0,0.05232524903424771,0.00015908593201555994,3.1626094632847235e-06,3.834030871426237e-07
0.09,16.295282271991205,0.004701733129544258,1.59948792460275e-05,1.0782403345766454e-07,255.99999998759344,0.0,2.3,700.0,170.0,25.0,110.0,71000.0,65.0,260.0,5.0,1.0,0.05232360194625463,0.00017892915200384748,3.9987195655105805e-06,5.391201672883227e-07
