Time,auxin,TIR1,auxinTIR1,auxinTIR1VENUS,VENUS,kd,ka,mu,ld,lm,la,delta,lambda,TIR1T,alpha_tr,cell,auxin_TIR1association,auxin_TIR1dissociation,auxin_TIR1_VENUSassociation,auxin_TIR1_VENUSdissociation,auxin_TIR1_VENUSdissociationleadingtoubiquitination,auxinproduction,auxindecay,VENUSproduction,VENUSphotobleachingdecay
0.0,7.38,15.4,0.28,2.78,40.4,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.09342194399999999,0.09352000000000002,13.008799999999999,12.482199999999999,0.48649999999999993,30.5,5.8302000000000005,0.486,0.127664
0.01,7.625710999226576,15.399984856698893,0.2797013704680839,2.7803137728330194,40.398404315355684,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.09653225547373351,0.09342025773634004,12.99441240948805,12.483608840020258,0.48655491024577835,30.5,6.024311689388996,0.486,0.12765895763652396
0.02,7.869456949895913,15.399938009074129,0.2795520651976519,2.7805099257282158,40.39692586386177,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.09961748063703614,0.09337038977601575,12.987000660810843,12.48448956651969,0.4865892370024377,30.5,6.216870990417771,0.486,0.1276542857298032
0.03,8.11125395261087,15.399860097669825,0.27949283670611746,2.7806470656240547,40.39550618566607,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.10267780874341435,0.09335060745984324,12.983792806113025,12.485105324652006,0.48661323648420957,30.5,6.407890622562587,0.486,0.1276497995467048
0.04,8.351117826543044,15.399751607608659,0.27948821983072814,2.7807601725606106,40.39411036976348,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.10571342522355044,0.0933490654234632,12.983129698724824,12.485613174797143,0.48663303019810683,30.5,6.597383082969005,0.486,0.1276453887684526
0.05,8.589064172096466,15.399612929317858,0.2795171263451657,2.7808699443369753,40.39271774036208,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.10872451274114388,0.09335872019928534,12.984024846266013,12.486106050073019,0.48665224025897064,30.5,6.785360695956208,0.486,0.12764098805954419
0.06,8.825108409803898,15.399444395893807,0.27956705894981104,2.780988545156379,40.391316127323556,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.11171125185298718,0.09337539768923689,12.985893675352104,12.486638567752141,0.4866729954023663,30.5,6.971835643745079,0.486,0.12763655896234244
0.07,9.059265805627772,15.399246307033074,0.27963040638665637,2.781123286580268,40.389898197429254,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.11467382144243396,0.09339655573314323,12.988380193892244,12.487243556745403,0.48669657515154685,30.5,7.1568199864459405,0.486,0.12763207830387643
0.08,9.291551483289828,15.39901894019196,0.2797027167928041,2.7812783430152344,40.38845974458686,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.11761239892000788,0.09342070740879659,12.991276205283409,12.487939760138403,0.48672371002766596,30.5,7.340325671798964,0.486,0.1276275327928945
0.09,9.521980431165726,15.398762559272788,0.27978134726791426,2.7814560934592967,40.38699835254651,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.12052716034942874,0.09344696998748336,12.99445813285987,12.488737859632243,0.4867548163553769,30.5,7.5223645406209245,0.486,0.12762291479404697
0.1,9.750567514601183,15.398477419852647,0.2798646703480995,2.7816579097992515,40.385512609198784,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.12341828062496342,0.09347479989626523,12.997849899194296,12.48964401499864,0.486790134214869,30.5,7.702948336534935,0.486,0.12761821984506816
0.11,9.977327477575342,15.398163771672456,0.2799516859531758,2.7818845423743674,40.38400172229451,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.1262859334977231,0.09350386310836073,13.001404772846147,12.49066159526091,0.48682979491551426,30.5,7.88208870728452,0.486,0.12761344544245065
0.12,10.20227536661607,15.397821866773654,0.2800418432557212,2.7821362899706226,40.3824653487434,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.12913029699682207,0.09353397564741088,13.005097036193249,12.491791941968096,0.4868738507448589,30.5,8.059797539626695,0.486,0.12760859050202916
0.13,10.42542497906996,15.397451935174187,0.28013483247949544,2.7824132323463147,40.38090336753603,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.13195153357561315,0.09356503404815149,13.008912240270709,12.493035413234953,0.486922315660605,30.5,8.23608573346527,0.486,0.12760365464141385
0.14,10.646792246370437,15.397054241955555,0.28023039938529387,2.782715358659149,40.37931574156533,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.1347498334060023,0.09359695339468815,13.012838543738294,12.49439196037958,0.48697518776535104,30.5,8.410965874632645,0.486,0.12759863774334643
0.15,10.86638850979749,15.39662897553624,0.280328427397553,2.783042597066207,40.37770250834623,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.1375253282996721,0.0936296947507827,13.016870523004568,12.49586126082727,0.4870324544865862,30.5,8.584446922740018,0.486,0.1275935399263741
0.16,11.08423293290325,15.396176454128925,0.2804287751712989,2.783394770699775,40.37606378659132,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.14027825060897653,0.09366321090721383,13.021001630998843,12.497442520441991,0.4870940848724606,30.5,8.756544016993567,0.486,0.12758836156562856
0.17,11.300331456492604,15.395696776324488,0.28053143041091444,2.783771793264597,40.374399644487895,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.14300866374557178,0.09369749775724542,13.025231296887618,12.49913535175804,0.48716006382130445,30.5,8.927261850629158,0.486,0.12758310287658176
0.18,11.514702665337113,15.395190250620105,0.2806363090330577,2.7841734403468363,40.37271024991585,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.14571679341041793,0.09373252721704127,13.029555648727102,12.500938747157296,0.4872303520606963,30.5,9.09661510561632,0.486,0.1275777643897341
0.19,11.72736218964001,15.394657136510089,0.28074335333370654,2.784599510156203,40.3709957571022,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.1484028278606981,0.093768280013458,13.033972035210166,12.502851800601352,0.4873049142773355,30.5,9.264616129815607,0.486,0.12757234659244296
0.2,11.938322047252399,15.394097633582431,0.28085256298203976,2.785049803435528,40.36925632865772,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.15106690943512668,0.09380475603600129,13.038480471419815,12.504873617425522,0.4873837156012174,30.5,9.431274417329396,0.486,0.12756684999855838
0.21,12.14759587356625,15.393511968265289,0.2809639178390065,2.785524113895706,40.36749212932809,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.15370920154655232,0.09384194855822817,13.04308005328997,12.50700327139172,0.4874667199317485,30.5,9.596600740117337,0.486,0.12756127512867677
0.22,12.355197069480514,15.39290036318389,0.2810774345319673,2.786022202284143,40.365703357482715,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.15632986495048845,0.09387986313367709,13.04777159421961,12.509239688255803,0.48755388539972505,30.5,9.760605684889606,0.486,0.12755562260964537
