data_set_value_component_environment_variable_time,data_set_value_component_Rs_variable_Rs,data_set_value_component_Cs_variable_Cs,data_set_value_component_Ri_variable_Ri,data_set_value_component_Ci_variable_Ci,data_set_value_component_Li_variable_Li,data_set_value_component_Ld_variable_Ld,data_set_value_component_L_variable_L,data_set_value_component_Y_variable_Y,data_set_value_component_model_parameters_variable_kr,data_set_value_component_model_parameters_variable_kf,data_set_value_component_model_parameters_variable_kre,data_set_value_component_model_parameters_variable_kfe,data_set_value_component_model_parameters_variable_kt,data_set_value_component_model_parameters_variable_Vs,data_set_value_component_model_parameters_variable_ksyn,data_set_value_component_model_parameters_variable_ke,data_set_value_component_model_parameters_variable_kx,data_set_value_component_model_parameters_variable_kh,data_set_value_component_model_parameters_variable_Ve,data_set_value_component_model_parameters_variable_NA,data_set_value_component_model_parameters_variable_IL2
0.0,1500.0,1.0,300.0,1.0,0.01,1.0,10.0,250000000.0,0.0138,0.0012432432432432433,0.1104,0.0001104,0.007,11.0,0.0011,0.04,0.15,0.035,1e-14,602200000000.0,1.0
0.1,1498.1898392199307,2.853296040105472,300.0078006719509,0.9957716500657291,1.401611363943994,1.0034890836989254,9.999227442271051,250000000.0,0.0138,0.0012432432432432433,0.1104,0.0001104,0.007,11.0,0.0011,0.04,0.15,0.035,1e-14,602200000000.0,1.0
0.2,1496.38608553728,4.694264532574635,300.0108129734329,1.002432106457262,2.195213523063986,1.0069830585408692,9.998456974820078,250000000.0,0.0138,0.0012432432432432433,0.1104,0.0001104,0.007,11.0,0.0011,0.04,0.15,0.035,1e-14,602200000000.0,1.0
0.30000000000000004,1494.5887074907153,6.522980271576572,300.01065231986837,1.0183000330175747,2.6627822039712132,1.0105168242823688,9.997688570166346,250000000.0,0.0138,0.0012432432432432433,0.1104,0.0001104,0.007,11.0,0.0011,0.04,0.15,0.035,1e-14,602200000000.0,1.0
0.4,1492.797673796592,8.33951760722574,300.0082309486309,1.0423977760116332,2.957143015844978,1.0141207451569094,9.996922208641795,250000000.0,0.0138,0.0012432432432432433,0.1104,0.0001104,0.007,11.0,0.0011,0.04,0.15,0.035,1e-14,602200000000.0,1.0
0.5,1491.0129533487157,10.143950445665823,300.00406566277263,1.0741436187888198,3.1641227883130454,1.0178225228284206,9.996157874993886,250000000.0,0.0138,0.0012432432432432433,0.1104,0.0001104,0.007,11.0,0.0011,0.04,0.15,0.035,1e-14,602200000000.0,1.0
0.6000000000000001,1489.2345152166786,11.936352252329652,299.9984508135576,1.113178795831539,3.3318636484046333,1.0216482498674004,9.995395556475863,250000000.0,0.0138,0.0012432432432432433,0.1104,0.0001104,0.007,11.0,0.0011,0.04,0.15,0.035,1e-14,602200000000.0,1.0
0.7000000000000001,1487.4623286444769,13.716796054908245,299.99155571204903,1.1592700777995064,3.4873305761303492,1.0256230037921916,9.994635241771315,250000000.0,0.0138,0.0012432432432432433,0.1104,0.0001104,0.007,11.0,0.0011,0.04,0.15,0.035,1e-14,602200000000.0,1.0
0.8,1485.6963630492876,15.485354446149072,299.983479336848,1.212255060436704,3.645582236255837,1.0297711815177615,9.993876920390086,250000000.0,0.0138,0.0012432432432432433,0.1104,0.0001104,0.007,11.0,0.0011,0.04,0.15,0.035,1e-14,602200000000.0,1.0
0.9,1483.936588020339,17.242099586551863,299.97428109702423,1.2720113983094488,3.8149840555824306,1.0341166882512944,9.99312058232849,250000000.0,0.0138,0.0012432432432432433,0.1104,0.0001104,0.007,11.0,0.0011,0.04,0.15,0.035,1e-14,602200000000.0,1.0
1.0,1482.1829733178354,18.987103207000143,299.96399812845624,1.3384395051544835,4.000139216650693,1.0386830445263053,9.992366217878164,250000000.0,0.0138,0.0012432432432432433,0.1104,0.0001104,0.007,11.0,0.0011,0.04,0.15,0.035,1e-14,602200000000.0,1.0
