C_1_task1,E_5_task1,H_3_task1,I_4_task1,T_2_task1,_1_task1
737100.0,0.0,25000000.0,0.0,7616700.0,0.0
748628.7513271034,79.81195146565271,24662981.433061462,384.8824937976163,7616772.991731546,0.03
760813.7415843632,157.294059718512,24337056.99465247,759.3089771070742,7616665.87288186,0.06
773651.5764501025,232.5141811086358,24021695.754104372,1123.1606512711521,7616391.764195959,0.09
787138.9611565525,305.5381877928793,23716400.07687833,1476.487723597422,7615964.013833139,0.12
801272.6027627661,376.430026679309,23420703.011467576,1819.4318589585682,7615396.1191885425,0.15
816049.1169450029,445.2517765640754,23134165.92194635,2152.1866673248533,7614701.686139099,0.18
831464.9388953171,512.0637036177152,22856376.32726993,2474.9754795593553,7613894.407220338,0.21
847516.2386835583,576.9243151139411,22586945.94383981,2788.0388012351673,7612988.051701939,0.24
864198.8409126591,639.8904115392098,22325508.9000562,3091.626532293288,7611996.461113854,0.27
881508.1487179069,701.0171371481006,22071720.10315391,3385.9927949749354,7610933.547889922,0.3
899439.0722998182,760.3580289855948,21825253.746326555,3671.3925563749053,7609813.296070967,0.33
917985.9621664593,817.9650644152899,21585801.942800265,3948.079373467681,7608649.762780985,0.36
937142.5491687779,873.8887066614668,21353073.514838517,4216.304061587048,7607457.079600453,0.39
956901.8819926307,928.1779511118046,21126792.722153857,4476.312972435316,7606249.453904534,0.42
977256.2806422189,980.8803672411241,20906698.307865895,4728.347725012408,7605041.16894038,0.45
998197.2888189835,1032.0421408053683,20692542.527867276,4972.644913594111,7603846.584085236,0.48
1019715.6322877585,1081.70811513899,20484090.197472032,5209.435239398166,7602680.13203272,0.51
1041801.1860122423,1129.92182985482,20281117.93952401,5438.943746128077,7601556.31595966,0.54
1064442.9424750789,1176.7255600931733,20083413.34414768,5661.389295725407,7600489.704728697,0.57
1087628.9913872178,1222.1603527956474,19890774.333721973,5876.98476349531,7599494.926369888,0.6
1111346.500080392,1266.2660635614523,19703008.450527586,6085.936831345137,7598586.660489934,0.63
1135581.7056924112,1309.08139078568,19519932.309291262,6288.446139467118,7597779.628099685,0.66
1160319.907920657,1350.643910282799,19341370.98979393,6484.707232399263,7597088.580672485,0.69
1185545.4742557807,1390.9901073578571,19167157.565737356,6674.9086992174525,7596528.286104267,0.72
1211241.8734611378,1430.1554047909353,18997132.763537772,6859.23330098764,7596113.506611804,0.75
1237391.658253174,1468.1741987775322,18831144.324470785,7037.85797760227,7595858.990885794,0.78
1263976.4291332108,1505.079898010072,18669046.237411063,7210.953770844504,7595779.471497934,0.81
1290976.872992221,1540.904950650504,18510698.44172364,7378.685996928289,7595889.641353391,0.84
1318373.0260875146,1575.6808353259728,18355967.8524268,7541.215020156222,7596204.066864175,0.87
1346144.0627259288,1609.4381282552447,18204726.570448846,7698.695722911645,7596737.234796879,0.9
1374268.3100803825,1642.20653407756,18056851.43497409,7851.277597211713,7597503.535387239,0.93
1402723.3783292167,1674.014898575005,17912224.18177566,7999.105042428367,7598517.213939178,0.96
1431486.4300564195,1704.8911999641855,17770732.24909873,8142.317792999318,7599792.285426126,0.99
1460533.9003303265,1734.8626254820308,17632266.88190186,8281.050625247575,7601342.5968854735,1.02
1489841.620009916,1763.9555853617314,17496723.219229348,8415.433593368898,7603181.7813259745,1.05
1519385.0010735188,1792.1957156798771,17364000.623222385,8545.592236373352,7605323.199255677,1.08
1549139.163661798,1819.6078907544506,17234002.742657155,8671.647745441327,7607779.89445206,1.11
1579078.7769895028,1846.2162831591781,17106636.30413516,8793.716990760233,7610564.617549988,1.14
1609178.2046665582,1872.0443729106485,16981811.25839681,8911.912696338197,7613689.777783171,1.17
1639411.7086670564,1897.1149399563471,16859441.248873502,9026.343581311216,7617167.393278187,1.2
1669753.4426348733,1921.4501017828431,16739443.054370929,9137.114488148429,7621009.073220694,1.23
1700177.4611877233,1945.0713475958544,16621736.109673921,9244.326511838459,7625225.997603948,1.26
1730657.8347568894,1967.9995480878854,16506242.568606332,9348.07712884777,7629828.8839876875,1.29
1761168.794331884,1990.2549459861652,16392887.715324445,9448.460280185845,7634827.970816895,1.32
1791684.7306893123,2011.8572051921294,16281599.233447414,9545.566547658973,7640232.977632211,1.35
1822180.2740134764,2032.8254275513818,16172307.10618772,9639.483278641008,7646053.078046783,1.38
1852630.365726201,2053.1781553689716,16064943.756604424,9730.294671171941,7652296.899049576,1.41
1883010.313103807,2072.9333655966316,15959444.317077134,9818.081830895411,7658972.541758491,1.44
1913295.8965786945,2092.1085370047695,15855745.68052245,9902.923036156,7666087.461247325,1.47
1943463.4290036762,2110.7206508077566,15753786.662404353,9984.893813298702,7673648.474867689,1.5
1973489.826694798,2128.786207606133,15653507.890383525,10064.067058505869,7681661.739064592,1.53
2003352.6371988924,2146.3212310716885,15554851.890887136,10140.513111450795,7690132.766660756,1.56
2033029.8662032883,2163.3412052939516,15457764.172412002,10214.299592670975,7699066.639723392,1.59
2062500.371568262,2179.861199433908,15362191.494548023,10285.491908079632,7708467.67020331,1.62
2091743.856186027,2195.8958598796144,15268082.127777593,10354.153281554416,7718339.451210951,1.65
2120740.902769488,2211.4594162502144,15175385.905203525,10420.344836850438,7728684.867463919,1.68
2149473.0060738646,2226.5656931373583,15084054.175741712,10484.125693079557,7739506.09745241,1.71
2177922.084896349,2241.2280580811153,14994040.513054194,10545.552720370473,7750804.9452546565,1.74
2206071.065636658,2255.459500891007,14905299.867796991,10604.68099549348,7762582.493334426,1.77
2233903.9759535557,2269.2726529177207,14817788.431564659,10661.563937470271,7774839.065776884,1.8
2261405.8659126204,2282.6797851797955,14731463.751442915,10716.25333049761,7787574.300838411,1.83
2288562.850881702,2295.6928215449066,14646284.665372472,10768.799426548043,7800787.146019582,1.86
2315361.5787418173,2308.323302654612,14562211.697585495,10819.250696063902,7814476.164680774,1.89
2341789.5322584924,2320.5824213068263,14479206.786602823,10867.654089171443,7828639.390694851,1.92
2367835.46275728,2332.481069072903,14397232.908296172,10914.0553771591,7843274.112042092,1.95
2393489.158200323,2344.0298259649517,14316254.230880328,10958.499087085847,7858377.014606631,1.98
2418741.467648991,2355.2389720399783,14236236.065008003,11001.0285931142,7873944.187224721,2.01
2443583.9633040875,2366.118471490098,14157145.004179409,11041.685959597115,7889971.298532226,2.04
2468008.733316686,2376.67796666043,14078948.99648174,11080.511873737969,7906453.711822881,2.07
2492009.1559059317,2386.926846564606,14001616.901026327,11117.54625041001,7923386.1347371945,2.1
2515579.563823667,2396.874231159037,13925118.627085086,11152.828076903885,7940762.794960699,2.13
2538715.241849865,2406.528980899795,13849425.09834636,11186.395485789104,7958577.458055484,2.16
2561412.268782695,2415.8996940266115,13774508.278320832,11218.28569224407,7976823.506711423,2.19
2583667.0764440927,2424.994681541305,13700341.308266992,11248.53468650444,7995494.13251088,2.22
