Time,C,T,H,I,E,k1,k2,q,M1,M2,M3,gamma1,gamma2,gamma3,p1,p2,p3,a1,a2,a3,n1,n2,delta,s,p,w,u,v,tau,d1,d2,d3,mu,compartment,Formation_of_Stem_cell,Removal_of_stem_cell_from_the_system,Induction_of_tumor_cell,Removal_of_tumor_cell_y_immune_cell_and_other_immune_response,Increase_in_the_healthy_cell_in_the_system,Decrase_of_healthy_cell_due_to_cancer,Increase_in_immune_cell_against_tumor,Decrease_in_the_density_of_immune_cell_that_provide_immune_response,Increase_in_Excess_strogen,Decrease_in_strogen_content
0.0,737100.0,7616700.0,25000000.0,0.0,0.0,0.75,0.514,0.7,2270000.0,22700000.0,25000000.0,3e-07,3e-06,1e-07,600.0,0.0,100.0,1135000.0,11350000.0,1250000.0,0.01,0.29,6e-08,13000.0,0.2,300000.0,0.2,400.0,2700.0,0.01,0.01,0.01,0.97,1.0,373315.172907489,0.0,81744.8866691347,76167.0,0.0,11425049.999999998,13000.0,0.0,2700.0,0.0
0.03,748628.7513271034,7616772.991731546,24662981.433061462,384.8824937976163,79.81195146565271,0.75,0.514,0.7,2270000.0,22700000.0,25000000.0,3e-07,3e-06,1e-07,600.0,0.0,100.0,1135000.0,11350000.0,1250000.0,0.01,0.29,6e-08,13000.0,0.2,300000.0,0.2,400.0,2700.0,0.01,0.01,0.01,0.97,1.0,395334.76864091,86.44023022181133,84321.56853954364,84962.41766855937,232732.7144520599,11278736.04779293,13074.059533772403,417.5764574267264,2700.0,78.81492967860835
0.06,760813.7415843632,7616665.87288186,24337056.99465247,759.3089771070742,157.294059718512,0.75,0.514,0.7,2270000.0,22700000.0,25000000.0,3e-07,3e-06,1e-07,600.0,0.0,100.0,1135000.0,11350000.0,1250000.0,0.01,0.29,6e-08,13000.0,0.2,300000.0,0.2,400.0,2700.0,0.01,0.01,0.01,0.97,1.0,417238.86270557635,173.30781116742858,87089.43087610819,93516.86704753146,451754.28774977283,11136994.867518399,13146.107032070535,841.402276008864,2700.0,155.33424080285147
0.09,773651.5764501025,7616391.764195959,24021695.754104372,1123.1606512711521,232.5141811086358,0.75,0.514,0.7,2270000.0,22700000.0,25000000.0,3e-07,3e-06,1e-07,600.0,0.0,100.0,1135000.0,11350000.0,1250000.0,0.01,0.29,6e-08,13000.0,0.2,300000.0,0.2,400.0,2700.0,0.01,0.01,0.01,0.97,1.0,439032.53291522287,260.68050253879517,90054.92695062516,101827.21224459131,658014.754595892,10999620.088208659,13216.119459193525,1263.7352123371845,2700.0,229.62507601518433
0.12,787138.9611565525,7615964.013833139,23716400.07687833,1476.487723597422,305.5381877928793,0.75,0.514,0.7,2270000.0,22700000.0,25000000.0,3e-07,3e-06,1e-07,600.0,0.0,100.0,1135000.0,11350000.0,1250000.0,0.01,0.29,6e-08,13000.0,0.2,300000.0,0.2,400.0,2700.0,0.01,0.01,0.01,0.97,1.0,460717.5455099025,348.66030387386337,93224.8692667036,109894.27224768452,852386.3408313043,10866419.043255666,13284.106328683,1680.5498191941829,2700.0,301.7525826530141
0.15,801272.6027627661,7615396.1191885425,23420703.011467576,1819.4318589585682,376.430026679309,0.75,0.514,0.7,2270000.0,22700000.0,25000000.0,3e-07,3e-06,1e-07,600.0,0.0,100.0,1135000.0,11350000.0,1250000.0,0.01,0.29,6e-08,13000.0,0.2,300000.0,0.2,400.0,2700.0,0.01,0.01,0.01,0.97,1.0,482292.4937089421,437.35827035316896,96606.40071944187,117721.04414540864,1035670.8805890449,10737211.579502806,13350.094780076819,2089.6246339631543,2700.0,371.779973216499
0.18,816049.1169450029,7614701.686139099,23134165.92194635,2152.1866673248533,445.2517765640754,0.75,0.514,0.7,2270000.0,22700000.0,25000000.0,3e-07,3e-06,1e-07,600.0,0.0,100.0,1135000.0,11350000.0,1250000.0,0.01,0.29,6e-08,13000.0,0.2,300000.0,0.2,400.0,2700.0,0.01,0.01,0.01,0.97,1.0,503752.93545589916,526.8870088113766,100206.96432024028,125311.79519508494,1208606.4240464177,10611829.028708851,13414.121974382564,2489.700787362965,2700.0,439.7685839411484
0.21,831464.9388953171,7613894.407220338,22856376.32726993,2474.9754795593553,512.0637036177152,0.75,0.514,0.7,2270000.0,22700000.0,25000000.0,3e-07,3e-06,1e-07,600.0,0.0,100.0,1135000.0,11350000.0,1250000.0,0.01,0.29,6e-08,13000.0,0.2,300000.0,0.2,400.0,2700.0,0.01,0.01,0.01,0.97,1.0,525091.5318154806,617.3566007637683,104034.27119839922,132671.54995767673,1371873.1423029632,10490113.294055542,13476.230816136029,2880.070232617117,2700.0,505.77793164954613
0.24,847516.2386835583,7612988.051701939,22586945.94383981,2788.0388012351673,576.9243151139411,0.75,0.514,0.7,2270000.0,22700000.0,25000000.0,3e-07,3e-06,1e-07,600.0,0.0,100.0,1135000.0,11350000.0,1250000.0,0.01,0.29,6e-08,13000.0,0.2,300000.0,0.2,400.0,2700.0,0.01,0.01,0.01,0.97,1.0,546298.1874412191,708.8724474379936,108096.2667446732,139805.79876147356,1526098.6027294996,10371916.038956735,13536.467537744344,3260.358071283468,2700.0,569.8657687929335
0.27,864198.8409126591,7611996.461113854,22325508.9000562,3091.626532293288,639.8904115392098,0.75,0.514,0.7,2270000.0,22700000.0,25000000.0,3e-07,3e-06,1e-07,600.0,0.0,100.0,1135000.0,11350000.0,1250000.0,0.01,0.29,6e-08,13000.0,0.2,300000.0,0.2,400.0,2700.0,0.01,0.01,0.01,0.97,1.0,567360.1942458341,801.5340197228048,112401.09467271621,146720.31527984518,1671862.4959376599,10257097.954603637,13594.880200934498,3630.3995352527604,2700.0,632.088136831365
