Time,L,LR,R,CA,LRCA,RAR_retinoids,LR_complx,LRCA_complx
0.0,0.0005,0.0,0.0035,30.0,0.0,1.0,1.05e-06,0.0
0.01,0.000499989505366752,1.0472636722294899e-08,0.0034999895053667526,29.999999999978,2.1996525975542566e-11,1.0,1.0489275492740576e-06,4.394108118165524e-09
0.02,0.0004999790214307133,2.0890792920541052e-08,0.0034999790214307134,29.99999999991222,8.777636643407342e-11,1.0,1.047860572405718e-06,8.756577753314753e-09
0.03,0.0004999685481371886,3.125483942236831e-08,0.0034999685481371884,29.999999999802974,1.9702338925820455e-10,1.0,1.0467990321805476e-06,1.3087627879456837e-08
0.04,0.0004999580854320758,4.156514297721126e-08,0.0034999580854320755,29.999999999650573,3.494249471486072e-10,1.0,1.0457428917933593e-06,1.7387475060795672e-08
0.05,0.0004999476332615017,5.1822068746360025e-08,0.003499947633261501,29.99999999945533,5.446697522067906e-10,1.0,1.044692114598333e-06,2.1656334922634687e-08
0.06,0.0004999371915720424,6.20259788039391e-08,0.0034999371915720424,29.99999999921755,7.824491538791634e-10,1.0,1.043646664259447e-06,2.589442126619914e-08
0.07,0.0004999267603106154,7.2177232873835e-08,0.0034999267603106157,29.999999998937547,1.062456511035487e-09,1.0,1.0426065046765246e-06,3.010194650373001e-08
0.08,0.0004999163394244614,8.227618845248954e-08,0.0034999163394244612,29.999999998615618,1.3843870863447464e-09,1.0,1.0415715999729134e-06,3.427912173118203e-08
0.09,0.0004999059288612269,9.232320024536832e-08,0.003499905928861227,29.99999999825207,1.7479385279339147e-09,1.0,1.0405419145520351e-06,3.8426156395208665e-08
0.1,0.0004998955285689002,1.0231862060351462e-07,0.0034998955285689003,29.999999997847198,2.152810496384208e-09,1.0,1.039517413053577e-06,4.25432585511155e-08
0.11,0.000499885138495819,1.1226279947456032e-07,0.0034998851384958193,29.999999997401304,2.5987047065435293e-09,1.0,1.038498060358409e-06,4.663063483392232e-08
0.12,0.0004998747585906617,1.221560844584616e-07,0.0034998747585906617,29.99999999691468,3.085324879892885e-09,1.0,1.0374838215829883e-06,5.068849049129883e-08
0.13,0.0004998643888024609,1.3199882071918658e-07,0.003499864388802461,29.99999999638763,3.612376820028486e-09,1.0,1.0364746620882254e-06,5.471702933137706e-08
0.14,0.0004998540290805992,1.417913510082977e-07,0.003499854029080599,29.99999999582044,4.179568392502392e-09,1.0,1.0354705474771138e-06,5.87164537366878e-08
0.15,0.0004998436793748138,1.5153401564037865e-07,0.0034998436793748137,29.999999995213397,4.786609545824175e-09,1.0,1.034471443597198e-06,6.268696464963953e-08
0.16,0.0004998333396351586,1.6122715274674553e-07,0.003499833339635158,29.999999994566796,5.43321209460456e-09,1.0,1.033477316515112e-06,6.662876172244848e-08
0.17,0.0004998230098120257,1.708710981334813e-07,0.003499823009812025,29.99999999388092,6.119089840896293e-09,1.0,1.0324881325308292e-06,7.054204323324485e-08
0.18,0.0004998126898561336,1.8046618535662515e-07,0.003499812689856133,29.99999999315605,6.843958509925491e-09,1.0,1.0315038581701118e-06,7.442700613050605e-08
0.19,0.000499802379718565,1.9001274546640323e-07,0.003499802379718564,29.99999999239247,7.607535968703447e-09,1.0,1.030524460210181e-06,7.82838458819113e-08
0.2,0.0004997920793507721,1.995111069702653e-07,0.003499792079350772,29.999999991590464,8.409542257618154e-09,1.0,1.0295499056834244e-06,8.211275645249865e-08
0.21,0.0004997817887044507,2.0896159669971018e-07,0.0034997817887044503,29.999999990750307,9.249698849532085e-09,1.0,1.028580161790412e-06,8.591393081691224e-08
0.22,0.0004997715077316393,2.1836453912615172e-07,0.003499771507731639,29.999999989872276,1.0127729234530475e-08,1.0,1.0276151959685488e-06,8.968756055511613e-08
0.23,0.0004997612363847307,2.2772025628040245e-07,0.00349976123638473,29.999999988956645,1.1043358988737926e-08,1.0,1.0266549759001518e-06,9.343383580481431e-08
0.24,0.0004997509746164232,2.370290680936137e-07,0.003499750974616423,29.999999988003687,1.1996315482906233e-08,1.0,1.0256994694782393e-06,9.715294546292785e-08
0.25,0.0004997407223797641,2.4629129209418646e-07,0.003499740722379764,29.999999987013673,1.2986328141470048e-08,1.0,1.0247486448369458e-06,1.0084507700648643e-07
0.26,0.0004997304796280366,2.5550724418495626e-07,0.003499730479628036,29.99999998598687,1.4013127778268694e-08,1.0,1.0238024702735303e-06,1.0451041695190152e-07
0.27,0.0004997202463149336,2.646772374497197e-07,0.0034997202463149324,29.99999998492355,1.5076447616631336e-08,1.0,1.0228609143681428e-06,1.0814915014969051e-07
0.28,0.0004997100223944739,2.738015827273981e-07,0.003499710022394473,29.999999983823976,1.6176022798624795e-08,1.0,1.0219239459262041e-06,1.1176146012377595e-07
0.29,0.0004996998078209285,2.828805891238381e-07,0.003499699807820928,29.99999998268841,1.7311589947605607e-08,1.0,1.020991533927051e-06,1.153475293739313e-07
0.3,0.0004996896025488601,2.9191456373475657e-07,0.0034996896025488596,29.999999981517114,1.8482887405023985e-08,1.0,1.020063647551735e-06,1.1890753921205704e-07
0.31,0.0004996794065331546,3.0090381143272347e-07,0.0034996794065331543,29.999999980310346,1.968965541249171e-08,1.0,1.0191402562044012e-06,1.2244166963629983e-07
0.32,0.0004996692197289917,3.0984863506807494e-07,0.003499669219728991,29.999999979068367,2.0931635940056148e-08,1.0,1.018221329492125e-06,1.2595009944978133e-07
0.33,0.0004996590420918628,3.187493353445748e-07,0.003499659042091862,29.99999997779143,2.220857279247291e-08,1.0,1.01730683723739e-06,1.294330061871213e-07
0.34,0.0004996488735775878,3.276062107060748e-07,0.003499648873577587,29.99999997647979,2.3520211706077122e-08,1.0,1.0163967494894617e-06,1.3289056604746083e-07
0.35000000000000003,0.0004996387141422851,3.364195575391824e-07,0.0034996387141422846,29.9999999751337,2.4866300175557976e-08,1.0,1.0154910365040485e-06,1.3632295401422786e-07
0.36,0.0004996285637423638,3.451896702337176e-07,0.0034996285637423634,29.999999973753415,2.62465874022835e-08,1.0,1.0145896687372374e-06,1.3973034389086399e-07
0.37,0.0004996184223345195,3.5391684120513434e-07,0.003499618422334519,29.99999997233918,2.7660824275135434e-08,1.0,1.013692616843242e-06,1.431129083140745e-07
0.38,0.0004996082898757377,3.6260136087454324e-07,0.003499608289875737,29.99999997089124,2.9108763387581852e-08,1.0,1.012799851676409e-06,1.4647081874202354e-07
0.39,0.0004995981663232943,3.7124351766268367e-07,0.0034995981663232937,29.999999969409842,3.0590159042828215e-08,1.0,1.01191134429182e-06,1.4980424545077193e-07
0.4,0.0004995880516347551,3.7984359799702397e-07,0.0034995880516347547,29.999999967895235,3.210476724774677e-08,1.0,1.011027065944583e-06,1.5311335753847364e-07
0.41000000000000003,0.0004995779457679727,3.8840188632886824e-07,0.0034995779457679724,29.999999966347655,3.3652345698253565e-08,1.0,1.0101469880881125e-06,1.5639832293548508e-07
0.42,0.0004995678486810845,3.969186651509319e-07,0.0034995678486810845,29.999999964767348,3.5232653764284486e-08,1.0,1.009271082372367e-06,1.5965930841475155e-07
0.43,0.0004995577603325105,4.0539421501196317e-07,0.0034995577603325104,29.99999996315455,3.68454524772969e-08,1.0,1.0083993206423826e-06,1.628964796004481e-07
0.44,0.0004995476806809508,4.138288145300545e-07,0.0034995476806809504,29.9999999615095,3.8490504518889926e-08,1.0,1.007531674936936e-06,1.6611000097584622e-07
0.45,0.000499537609685384,4.2222274040800997e-07,0.0034995376096853834,29.99999995983243,4.016757420766835e-08,1.0,1.0066681174870021e-06,1.6930003589239522e-07
0.46,0.0004995275473050655,4.305762674439808e-07,0.003499527547305065,29.999999958123578,4.18764274901504e-08,1.0,1.0058086207146882e-06,1.7246674657600793e-07
0.47000000000000003,0.0004995174934995255,4.388896685445819e-07,0.003499517493499525,29.999999956383174,4.3616831929555643e-08,1.0,1.0049531572319167e-06,1.7561029413481162e-07
0.48,0.0004995074482285673,4.471632147367564e-07,0.0034995074482285665,29.99999995461145,4.538855669566245e-08,1.0,1.004101699839234e-06,1.7873083856615995e-07
0.49,0.0004994974114522652,4.553971751814908e-07,0.003499497411452264,29.999999952808633,4.719137255308408e-08,1.0,1.0032542215244358e-06,1.8182853876473792e-07
0.5,0.0004994873831309627,4.63591817187537e-07,0.0034994873831309613,29.999999950974953,4.9025051849538395e-08,1.0,1.002410695461189e-06,1.849035525306713e-07
