Time,C,B,z,Tumour,y1,y2,C_bar,B_bar,alpha1,beta1,alpha2,beta2,k1,k2,g11,g21,g12,g22,gamma,gammaT,LT,r11,r21,r12,r22,V1,V2,v1,v2,Compartment
0.0,13.0,300.0,100.0,1.0,8.006190038426393,0.0,4.993809961573606,315.9014886724187,3.0,0.2,4.0,0.02,0.0748,0.0006395,1.1,-0.5,1.0,0.0,-0.37340000000000007,0.005,100.0,0.005,0.0,0.0,0.2,0.0,0.0,0.001,0.008,1.0
0.01,13.003087061176267,300.4541256521205,99.9940094184522,1.0002302936242569,8.00927709960266,0.0,4.993809961573606,315.9014886724187,3.0,0.2,4.0,0.02,0.0748,0.0006395,1.1,-0.5,1.0,0.0,-0.37340000000000007,0.005,100.0,0.005,0.0,0.0,0.2,0.0,0.0,0.001,0.008,1.0
0.02,13.006157300920389,300.90827409249596,99.98801695528485,1.0004606212139766,8.012347339346782,0.0,4.993809961573606,315.9014886724187,3.0,0.2,4.0,0.02,0.0748,0.0006395,1.1,-0.5,1.0,0.0,-0.37340000000000007,0.005,100.0,0.005,0.0,0.0,0.2,0.0,0.0,0.001,0.008,1.0
0.03,13.009207832323229,301.3624482513893,99.98202230243152,1.0006909886874187,8.015397870749624,0.0,4.993809961573606,315.9014886724187,3.0,0.2,4.0,0.02,0.0748,0.0006395,1.1,-0.5,1.0,0.0,-0.37340000000000007,0.005,100.0,0.005,0.0,0.0,0.2,0.0,0.0,0.001,0.008,1.0
0.04,13.012239554793107,301.8166467455762,99.97602556311296,1.0009213942408597,8.018429593219501,0.0,4.993809961573606,315.9014886724187,3.0,0.2,4.0,0.02,0.0748,0.0006395,1.1,-0.5,1.0,0.0,-0.37340000000000007,0.005,100.0,0.005,0.0,0.0,0.2,0.0,0.0,0.001,0.008,1.0
0.05,13.015251082607584,302.2708704556546,99.97002659771388,1.0011518407564055,8.021441121033977,0.0,4.993809961573606,315.9014886724187,3.0,0.2,4.0,0.02,0.0748,0.0006395,1.1,-0.5,1.0,0.0,-0.37340000000000007,0.005,100.0,0.005,0.0,0.0,0.2,0.0,0.0,0.001,0.008,1.0
0.06,13.018242295762974,302.7251179435463,99.96402541786874,1.0013823286040473,8.024432334189367,0.0,4.993809961573606,315.9014886724187,3.0,0.2,4.0,0.02,0.0748,0.0006395,1.1,-0.5,1.0,0.0,-0.37340000000000007,0.005,100.0,0.005,0.0,0.0,0.2,0.0,0.0,0.001,0.008,1.0
0.07,13.021213181006765,303.1793891835915,99.95802202277623,1.0016128578140577,8.027403219433157,0.0,4.993809961573606,315.9014886724187,3.0,0.2,4.0,0.02,0.0748,0.0006395,1.1,-0.5,1.0,0.0,-0.37340000000000007,0.005,100.0,0.005,0.0,0.0,0.2,0.0,0.0,0.001,0.008,1.0
0.08,13.024163887685168,303.63368446495826,99.95201642146613,1.0018434280452815,8.030353926111562,0.0,4.993809961573606,315.9014886724187,3.0,0.2,4.0,0.02,0.0748,0.0006395,1.1,-0.5,1.0,0.0,-0.37340000000000007,0.005,100.0,0.005,0.0,0.0,0.2,0.0,0.0,0.001,0.008,1.0
0.09,13.027094194552928,304.08799727097295,99.94600869596033,1.0020740402889547,8.033284232979323,0.0,4.993809961573606,315.9014886724187,3.0,0.2,4.0,0.02,0.0748,0.0006395,1.1,-0.5,1.0,0.0,-0.37340000000000007,0.005,100.0,0.005,0.0,0.0,0.2,0.0,0.0,0.001,0.008,1.0
0.1,13.030004234425833,304.5423315136613,99.93999879702025,1.0023046939500284,8.036194272852228,0.0,4.993809961573606,315.9014886724187,3.0,0.2,4.0,0.02,0.0748,0.0006395,1.1,-0.5,1.0,0.0,-0.37340000000000007,0.005,100.0,0.005,0.0,0.0,0.2,0.0,0.0,0.001,0.008,1.0
0.11,13.032894016044628,304.99668745047774,99.93398672140546,1.0025353889893416,8.039084054471022,0.0,4.993809961573606,315.9014886724187,3.0,0.2,4.0,0.02,0.0748,0.0006395,1.1,-0.5,1.0,0.0,-0.37340000000000007,0.005,100.0,0.005,0.0,0.0,0.2,0.0,0.0,0.001,0.008,1.0
0.12,13.03576353940931,305.45106508142237,99.92797246911593,1.0027661254068942,8.041953577835702,0.0,4.993809961573606,315.9014886724187,3.0,0.2,4.0,0.02,0.0748,0.0006395,1.1,-0.5,1.0,0.0,-0.37340000000000007,0.005,100.0,0.005,0.0,0.0,0.2,0.0,0.0,0.001,0.008,1.0
0.13,13.038612846632036,305.90546257497044,99.92195607264752,1.0029969032607577,8.04480288505843,0.0,4.993809961573606,315.9014886724187,3.0,0.2,4.0,0.02,0.0748,0.0006395,1.1,-0.5,1.0,0.0,-0.37340000000000007,0.005,100.0,0.005,0.0,0.0,0.2,0.0,0.0,0.001,0.008,1.0
0.14,13.041442370681118,306.3598611006405,99.91593786610007,1.0032277231479816,8.04763240910751,0.0,4.993809961573606,315.9014886724187,3.0,0.2,4.0,0.02,0.0748,0.0006395,1.1,-0.5,1.0,0.0,-0.37340000000000007,0.005,100.0,0.005,0.0,0.0,0.2,0.0,0.0,0.001,0.008,1.0
0.15,13.044251738867493,306.8142768672734,99.9099175618882,1.0034585845546393,8.050441777293887,0.0,4.993809961573606,315.9014886724187,3.0,0.2,4.0,0.02,0.0748,0.0006395,1.1,-0.5,1.0,0.0,-0.37340000000000007,0.005,100.0,0.005,0.0,0.0,0.2,0.0,0.0,0.001,0.008,1.0
0.16,13.047040951191159,307.2687098748693,99.90389516001188,1.0036894874807312,8.053230989617553,0.0,4.993809961573606,315.9014886724187,3.0,0.2,4.0,0.02,0.0748,0.0006395,1.1,-0.5,1.0,0.0,-0.37340000000000007,0.005,100.0,0.005,0.0,0.0,0.2,0.0,0.0,0.001,0.008,1.0
0.17,13.04981000765212,307.723160123428,99.89787066047116,1.003920431926257,8.056000046078513,0.0,4.993809961573606,315.9014886724187,3.0,0.2,4.0,0.02,0.0748,0.0006395,1.1,-0.5,1.0,0.0,-0.37340000000000007,0.005,100.0,0.005,0.0,0.0,0.2,0.0,0.0,0.001,0.008,1.0
0.18,13.052558908250372,308.1776276129496,99.891844063266,1.0041514178912168,8.058748946676765,0.0,4.993809961573606,315.9014886724187,3.0,0.2,4.0,0.02,0.0748,0.0006395,1.1,-0.5,1.0,0.0,-0.37340000000000007,0.005,100.0,0.005,0.0,0.0,0.2,0.0,0.0,0.001,0.008,1.0
0.19,13.055287652985918,308.63211234343413,99.88581536839641,1.0043824453756105,8.06147769141231,0.0,4.993809961573606,315.9014886724187,3.0,0.2,4.0,0.02,0.0748,0.0006395,1.1,-0.5,1.0,0.0,-0.37340000000000007,0.005,100.0,0.005,0.0,0.0,0.2,0.0,0.0,0.001,0.008,1.0
0.2,13.057996241858756,309.08661431488156,99.87978457586239,1.0046135143794384,8.06418628028515,0.0,4.993809961573606,315.9014886724187,3.0,0.2,4.0,0.02,0.0748,0.0006395,1.1,-0.5,1.0,0.0,-0.37340000000000007,0.005,100.0,0.005,0.0,0.0,0.2,0.0,0.0,0.001,0.008,1.0
0.21,13.060684674868888,309.54113352729183,99.87375168566395,1.0048446249027,8.066874713295281,0.0,4.993809961573606,315.9014886724187,3.0,0.2,4.0,0.02,0.0748,0.0006395,1.1,-0.5,1.0,0.0,-0.37340000000000007,0.005,100.0,0.005,0.0,0.0,0.2,0.0,0.0,0.001,0.008,1.0
0.22,13.06335310921967,309.9956651534009,99.8677167875719,1.0050757770045033,8.069543147646066,0.0,4.993809961573606,315.9014886724187,3.0,0.2,4.0,0.02,0.0748,0.0006395,1.1,-0.5,1.0,0.0,-0.37340000000000007,0.005,100.0,0.005,0.0,0.0,0.2,0.0,0.0,0.001,0.008,1.0
0.23,13.066002264725277,310.45018708978114,99.86168029263543,1.0053069709554947,8.07219230315167,0.0,4.993809961573606,315.9014886724187,3.0,0.2,4.0,0.02,0.0748,0.0006395,1.1,-0.5,1.0,0.0,-0.37340000000000007,0.005,100.0,0.005,0.0,0.0,0.2,0.0,0.0,0.001,0.008,1.0
