ATIII,II,IIa,IIa_ATIII,IX,IXa,IXa_ATIII,IXa_VIIIa,IXa_VIIIa_X,TF,TFPI,TF_VII,TF_VIIa,TF_VIIa_ATIII,TF_VIIa_IX,TF_VIIa_X,TF_VIIa_Xa,TF_VIIa_Xa_TFPI,V,VII,VIII,VIIIa,VIIIa1_L,VIIIa2,VIIa,Va,X,Xa,Xa_ATIII,Xa_TFPI,Xa_Va,Xa_Va_II,mIIa,mIIa_ATIII,Time
3.4e-06,1.4e-06,1e-09,0.0,9e-08,2.1e-10,0.0,0.0,0.0,0.0,2.5e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-08,1e-08,7e-10,0.0,0.0,0.0,1e-10,0.0,1.6e-07,9.4e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.399999750348146e-06,1.3999999896302893e-06,9.997685100435923e-10,2.4135949369761883e-13,9e-08,2.0999649931295378e-10,3.4985575524874917e-15,1.9195610578656082e-18,2.0993266590926622e-19,0.0,2.499997885105954e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9996001250283462e-08,9.999875507236989e-09,6.99860043762314e-10,1.3994802355572972e-13,6.08463691425971e-18,6.08463691425971e-18,1.0012449276301111e-10,3.997661670732763e-12,1.5999999808460077e-07,9.399391847447171e-11,4.7937750257765914e-15,2.114894045734797e-15,7.453949426896382e-16,3.4265082365982117e-16,1.574950135332373e-16,2.7517485223397523e-20,0.01
3.3999995007443975e-06,1.399999978312239e-06,9.99537067330762e-10,4.826711026110617e-13,9e-08,2.099929961593624e-10,6.997064888380993e-15,5.903576598248044e-18,8.721723716305313e-19,0.0,2.499995770357351e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.999200397816359e-08,9.999751024195577e-09,6.997201392471074e-10,2.79834617018585e-13,1.9360907845075384e-17,1.9360907845075384e-17,1.002489758044218e-10,7.992561153252623e-12,1.599999961687358e-07,9.398655289221334e-11,9.587238339324115e-15,4.229642649023193e-15,2.247176641386728e-15,1.2134426824335891e-15,7.357269937651859e-16,1.5924751020025212e-19,0.02
3.3999992511937736e-06,1.3999999655812108e-06,9.993056767900904e-10,7.23929712536732e-13,9e-08,2.0998949027662395e-10,1.0495516598402016e-14,1.1953127460419213e-17,2.253649775472517e-18,0.0,2.4999936557948246e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9988008340752427e-08,9.999626553364181e-09,6.995802919638847e-10,4.19653236745812e-13,4.05952022229527e-17,4.05952022229527e-17,1.003734466358182e-10,1.198440624475097e-11,1.5999999425209226e-07,9.397776835425373e-11,1.4380299756023675e-14,6.344205175599326e-15,4.533537343972989e-15,2.7192591454996445e-15,2.09248551414526e-15,5.464843338446514e-19,0.03
3.3999990016979794e-06,1.3999999509996293e-06,9.990743400741082e-10,9.651335055644264e-13,9e-08,2.0998598157208818e-10,1.3993910720648236e-14,1.9921871126216767e-17,4.595320514578984e-18,0.0,2.499991541454117e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9984014392987447e-08,9.999502096857741e-09,6.994405038593039e-10,5.59401568570846e-13,7.005850025169878e-17,7.005850025169878e-17,1.0049790314225921e-10,1.5973095975831096e-11,1.5999999233436157e-07,9.396751884925876e-11,1.9172878943168177e-14,8.458545883162631e-15,7.615180044452823e-15,4.895591029646702e-15,4.62977661614341e-15,1.429596279115662e-18,0.04
3.399998752257205e-06,1.399999933967196e-06,9.98843057699815e-10,1.2062817427771926e-12,9e-08,2.0998247000916656e-10,1.7492246396697496e-14,2.9590002124511087e-17,8.154437009579917e-18,0.0,2.499989427382904e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.998002215575528e-08,9.999377657450723e-09,6.993007757063989e-10,6.990786946265767e-13,1.0785868538510961e-16,1.0785868538510961e-16,1.0062234254927638e-10,1.9958593530241068e-11,1.599999904151557e-07,9.395578879586645e-11,2.396486811499045e-14,1.057261709605865e-14,1.1499488592682983e-14,7.750922505056043e-15,8.93907900092723e-15,3.3671057570370686e-18,0.05
3.399998502870756e-06,1.3999999138042264e-06,9.986118297273396e-10,1.44737411515807e-12,9e-08,2.0997895557363562e-10,2.0990523205945245e-14,4.074333237343852e-17,1.3159833059332182e-17,0.0,2.499987313634568e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.997603163630962e-08,9.999253238235291e-09,6.991611078100744e-10,8.38684253020046e-13,1.5403858331227424e-16,1.5403858331227424e-16,1.0074676176470976e-10,2.394088798626814e-11,1.5999998849407325e-07,9.394257490390332e-11,2.875614638926781e-14,1.2686365431965933e-14,1.618959548707196e-14,1.1285758368321665e-14,1.5699002261650352e-14,7.178755357508767e-18,0.06
3.3999982535388955e-06,1.399999890884364e-06,9.983806560400724e-10,1.6884108764935816e-12,9e-08,2.099754382776413e-10,2.4488741467293525e-14,5.350097774246341e-17,1.947992715497673e-17,0.0,2.4999852001796726e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9972042828058614e-08,9.999128837504042e-09,6.990214999120016e-10,9.782185504619453e-13,2.0856203664821376e-16,2.0856203664821376e-16,1.0087116249595788e-10,2.791999022547669e-11,1.5999998657133818e-07,9.392788125740129e-11,3.354678039198003e-14,1.4799820327142077e-14,2.1683021158769753e-14,1.549830556146839e-14,2.4537991167453228e-14,1.2431740828237116e-17,0.07
3.399998004252932e-06,1.399999861704557e-06,9.981495356860986e-10,1.9293917052924885e-12,9e-08,2.0997191811340257e-10,2.798690034080973e-14,6.718697465477973e-17,2.7799311550278434e-17,0.0,2.4999830872911537e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9968055724622196e-08,9.99900447103011e-09,6.988819522087765e-10,1.1176813525590796e-12,2.714584975427065e-16,2.714584975427065e-16,1.0099552896988915e-10,3.18959237052498e-11,1.5999998464519722e-07,9.391172685311849e-11,3.8336151589620095e-14,1.691270884644202e-14,2.7971844637053676e-14,2.0379448194386525e-14,3.89625756732476e-14,2.6036647250464745e-17,0.08
3.399997755018046e-06,1.3999998283526907e-06,9.979184692327772e-10,2.1703167931696233e-12,9e-08,2.0996839508555703e-10,3.1485000327109515e-14,8.22042101324894e-17,3.770995636916525e-17,0.0,2.4999809748063357e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9964070329803003e-08,9.998880129412414e-09,6.987424645832243e-10,1.257072799014208e-12,3.4271041195981667e-16,3.4271041195981667e-16,1.0111987058758706e-10,3.586867444454538e-11,1.5999998271669535e-07,9.389410036862933e-11,4.3124628639806947e-14,1.9025193664352366e-14,3.506078696964897e-14,2.5934619509259707e-14,5.688279788792803e-14,4.387463576970883e-17,0.09
3.3999975058346373e-06,1.3999997909898374e-06,9.97687456723878e-10,2.4111861549073622e-12,9e-08,2.0996486919446251e-10,3.4983041464813526e-14,9.858376541896973e-17,4.9180383616100793e-17,0.0,2.4999788627126695e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9960086643894398e-08,9.99875581192569e-09,6.986030370263052e-10,1.396392900604881e-12,4.2231642567060847e-16,4.2231642567060847e-16,1.0124418807431041e-10,3.9838241364777765e-11,1.599999807859132e-07,9.387500093045054e-11,4.791223998311212e-14,2.113728733060799e-14,4.295021236792332e-14,3.2164238660623505e-14,7.813742529146248e-14,6.56279532049409e-17,0.1
3.3999972567027056e-06,1.3999997496159969e-06,9.97456498159401e-10,2.651999790505705e-12,9e-08,2.0996134044011899e-10,3.8481023753921753e-14,1.1632564051422064e-16,6.221059329108505e-17,0.0,2.4999767510101547e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9956104666896383e-08,9.99863151856994e-09,6.984636695380193e-10,1.5356416573310983e-12,5.102765386750816e-16,5.102765386750816e-16,1.013684814300592e-10,4.380462446594694e-11,1.5999997885285074e-07,9.385442853858213e-11,5.2698985619535615e-14,2.324898984520888e-14,5.164012083187672e-14,3.906830564847792e-14,1.0272645788385092e-13,9.129659955616094e-17,0.11
3.399997007622251e-06,1.3999997042311694e-06,9.972255935393465e-10,2.8927576999646503e-12,9e-08,2.0995780882252647e-10,4.197894719443421e-14,1.3542983541824221e-16,7.680058539411802e-17,0.0,2.4999746396987917e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.995212439880895e-08,9.998507249345167e-09,6.983243621183665e-10,1.6748190691928603e-12,6.065907509732361e-16,6.065907509732361e-16,1.0149275065483344e-10,4.776782374805291e-11,1.5999997691750802e-07,9.383238319302411e-11,5.748486554907743e-14,2.5360301208155043e-14,6.113051236150916e-14,4.664682047282295e-14,1.3064989566509335e-13,1.20880574823369e-16,0.12
