Time,TF,TF_VII,VII,TF_VIIa,VIIa,Xa,IIa,TF_VIIa_X,X,TF_VIIa_Xa,IX,TF_VIIa_IX,IXa,II,VIII,VIIIa,IXa_VIIIa,IXa_VIIIa_X,VIIIa1_L,VIIIa2,V,Va,Xa_Va,Xa_Va_II,mIIa,TFPI,Xa_TFPI,TF_VIIa_Xa_TFPI,ATIII,Xa_ATIII,mIIa_ATIII,IXa_ATIII,IIa_ATIII,TF_VIIa_ATIII,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k23,k24,k25,k26,k27,k28,k29,k30,k31,k32,k33,k34,k35,k36,k37,k38,k39,k40,k41,k42,IIa_plus_1_2mIIa,k43,k44,compartment_1,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R6b,R8b,R12b,R18b,R28,R29
0.0,0.0,0.0,1e-08,0.0,1e-10,9.4e-11,1e-09,0.0,1.6e-07,0.0,9e-08,0.0,2.1e-10,1.4e-06,7e-10,0.0,0.0,0.0,0.0,0.0,2e-08,0.0,0.0,0.0,0.0,2.5e-09,0.0,0.0,3.4e-06,0.0,0.0,0.0,0.0,0.0,0.0031,3200000.0,0.0031,23000000.0,440000.0,13000000.0,23000.0,1.05,25000000.0,6.0,19.0,22000000.0,2.4,10000000.0,1.8,7500.0,20000000.0,0.005,10000000.0,0.001,100000000.0,8.2,22000.0,0.006,0.001,20000000.0,0.2,400000000.0,103.0,100000000.0,63.5,15000000.0,0.00036,900000.0,0.00011,320000000.0,50000000.0,1500.0,7100.0,490.0,7100.0,230.0,1e-09,5700.0,3000000.0,1.0,0.0,0.0,0.0,1.2220000000000001e-11,2.3000000000000003e-13,0.0,0.0,0.0,9.87e-13,1.4e-11,0.0,0.0,0.0,0.0,0.0,4e-10,0.0,0.0,0.0,2.115e-13,0.0,0.0,4.794000000000001e-13,0.0,3.4986000000000004e-13,2.4140000000000003e-11,0.0,0.0,0.0,0.0,0.0,1.9152e-13,0.0
0.01,0.0,0.0,9.999875507236989e-09,0.0,1.0012449276301111e-10,9.399391847447171e-11,9.997685100435923e-10,0.0,1.5999999808460077e-07,0.0,9e-08,0.0,2.0999649931295378e-10,1.3999999896302893e-06,6.99860043762314e-10,1.3994802355572972e-13,1.9195610578656082e-18,2.0993266590926622e-19,6.08463691425971e-18,6.08463691425971e-18,1.9996001250283462e-08,3.997661670732763e-12,7.453949426896382e-16,3.4265082365982117e-16,1.574950135332373e-16,2.499997885105954e-09,2.114894045734797e-15,0.0,3.399999750348146e-06,4.7937750257765914e-15,2.7517485223397523e-20,3.4985575524874917e-15,2.4135949369761883e-13,0.0,0.0031,3200000.0,0.0031,23000000.0,440000.0,13000000.0,23000.0,1.05,25000000.0,6.0,19.0,22000000.0,2.4,10000000.0,1.8,7500.0,20000000.0,0.005,10000000.0,0.001,100000000.0,8.2,22000.0,0.006,0.001,20000000.0,0.2,400000000.0,103.0,100000000.0,63.5,15000000.0,0.00036,900000.0,0.00011,320000000.0,50000000.0,1500.0,7100.0,490.0,7100.0,230.0,9.997686990376086e-10,5700.0,3000000.0,1.0,0.0,0.0,0.0,1.2219057281367299e-11,2.2994389463930994e-13,0.0,0.0,0.0,9.869361366717798e-13,1.399396066382584e-11,2.938763525194111e-16,3.071276662551125e-17,8.396881413343775e-16,2.0993266590926623e-22,1.9195610578656083e-21,3.998274475365141e-10,1.5015327507841236e-13,6.906225636663478e-14,1.760939798797668e-24,2.114853762972442e-13,0.0,0.0,4.793689490211716e-13,3.801929347528001e-18,3.4985414216663347e-13,2.4134410060334477e-11,0.0,0.0,0.0,1.7214478604559828e-18,2.1758327302398644e-14,1.915168050807192e-13,9.44781146257207e-18
0.02,0.0,0.0,9.999751024195577e-09,0.0,1.002489758044218e-10,9.398655289221334e-11,9.99537067330762e-10,0.0,1.599999961687358e-07,0.0,9e-08,0.0,2.099929961593624e-10,1.399999978312239e-06,6.997201392471074e-10,2.79834617018585e-13,5.903576598248044e-18,8.721723716305313e-19,1.9360907845075384e-17,1.9360907845075384e-17,1.999200397816359e-08,7.992561153252623e-12,2.247176641386728e-15,1.2134426824335891e-15,7.357269937651859e-16,2.499995770357351e-09,4.229642649023193e-15,0.0,3.3999995007443975e-06,9.587238339324115e-15,1.5924751020025212e-19,6.997064888380993e-15,4.826711026110617e-13,0.0,0.0031,3200000.0,0.0031,23000000.0,440000.0,13000000.0,23000.0,1.05,25000000.0,6.0,19.0,22000000.0,2.4,10000000.0,1.8,7500.0,20000000.0,0.005,10000000.0,0.001,100000000.0,8.2,22000.0,0.006,0.001,20000000.0,0.2,400000000.0,103.0,100000000.0,63.5,15000000.0,0.00036,900000.0,0.00011,320000000.0,50000000.0,1500.0,7100.0,490.0,7100.0,230.0,9.995379502031545e-10,5700.0,3000000.0,1.0,0.0,0.0,0.0,1.2217947671078787e-11,2.298878016935313e-13,0.0,0.0,0.0,9.86858790080556e-13,1.3987924318706522e-11,5.876035786854125e-16,9.445635113778091e-17,1.6790077021115016e-15,8.721723716305313e-22,5.903576598248044e-21,3.996549805279712e-10,3.0002787330149353e-13,1.896201286298593e-13,2.479962772240207e-23,2.1146786355954706e-13,0.0,0.0,4.793313493653183e-13,1.7760447021549243e-17,3.4984828022980967e-13,2.412882126229078e-11,0.0,0.0,0.0,7.151813447370357e-18,7.70536103345329e-14,1.9151360791146824e-13,4.412597095858781e-17
0.03,0.0,0.0,9.999626553364181e-09,0.0,1.003734466358182e-10,9.397776835425373e-11,9.993056767900904e-10,0.0,1.5999999425209226e-07,0.0,9e-08,0.0,2.0998949027662395e-10,1.3999999655812108e-06,6.995802919638847e-10,4.19653236745812e-13,1.1953127460419213e-17,2.253649775472517e-18,4.05952022229527e-17,4.05952022229527e-17,1.9988008340752427e-08,1.198440624475097e-11,4.533537343972989e-15,2.7192591454996445e-15,2.09248551414526e-15,2.4999936557948246e-09,6.344205175599326e-15,0.0,3.3999992511937736e-06,1.4380299756023675e-14,5.464843338446514e-19,1.0495516598402016e-14,7.23929712536732e-13,0.0,0.0031,3200000.0,0.0031,23000000.0,440000.0,13000000.0,23000.0,1.05,25000000.0,6.0,19.0,22000000.0,2.4,10000000.0,1.8,7500.0,20000000.0,0.005,10000000.0,0.001,100000000.0,8.2,22000.0,0.006,0.001,20000000.0,0.2,400000000.0,103.0,100000000.0,63.5,15000000.0,0.00036,900000.0,0.00011,320000000.0,50000000.0,1500.0,7100.0,490.0,7100.0,230.0,9.993081877727074e-10,5700.0,3000000.0,1.0,0.0,0.0,0.0,1.2216653642194347e-11,2.298317223528283e-13,0.0,0.0,0.0,9.867665434601569e-13,1.3981891142599578e-11,8.811679271345825e-16,1.9124777884638454e-16,2.5179194204748357e-15,2.253649775472517e-21,1.1953127460419213e-20,3.9948260405283154e-10,4.496003941041968e-13,3.546115205658684e-13,1.4229541830150085e-22,2.1144715829038777e-13,0.0,0.0,4.792865130499868e-13,5.0512589186716684e-17,3.49842413752551e-13,2.412323372487996e-11,0.0,0.0,0.0,1.8479928158874637e-17,1.7267295573922743e-13,1.9151040825237981e-13,1.2547385372891727e-16
0.04,0.0,0.0,9.999502096857741e-09,0.0,1.0049790314225921e-10,9.396751884925876e-11,9.990743400741082e-10,0.0,1.5999999233436157e-07,0.0,9e-08,0.0,2.0998598157208818e-10,1.3999999509996293e-06,6.994405038593039e-10,5.59401568570846e-13,1.9921871126216767e-17,4.595320514578984e-18,7.005850025169878e-17,7.005850025169878e-17,1.9984014392987447e-08,1.5973095975831096e-11,7.615180044452823e-15,4.895591029646702e-15,4.62977661614341e-15,2.499991541454117e-09,8.458545883162631e-15,0.0,3.3999990016979794e-06,1.9172878943168177e-14,1.429596279115662e-18,1.3993910720648236e-14,9.651335055644264e-13,0.0,0.0031,3200000.0,0.0031,23000000.0,440000.0,13000000.0,23000.0,1.05,25000000.0,6.0,19.0,22000000.0,2.4,10000000.0,1.8,7500.0,20000000.0,0.005,10000000.0,0.001,100000000.0,8.2,22000.0,0.006,0.001,20000000.0,0.2,400000000.0,103.0,100000000.0,63.5,15000000.0,0.00036,900000.0,0.00011,320000000.0,50000000.0,1500.0,7100.0,490.0,7100.0,230.0,9.990798958060475e-10,5700.0,3000000.0,1.0,0.0,0.0,0.0,1.2215169223005871e-11,2.2977565704521963e-13,0.0,0.0,0.0,9.866589133838925e-13,1.3975861196286715e-11,1.174565265337518e-15,3.187453274275676e-16,3.356409411424968e-15,4.5953205145789846e-21,1.992187112621677e-20,3.9931031983410833e-10,5.988578428670805e-13,5.618792928551205e-13,5.288487374629442e-22,2.1142315698860156e-13,0.0,0.0,4.792342054192738e-13,1.1176277469810294e-16,3.498365425806784e-13,2.4117647488005654e-11,0.0,0.0,0.0,3.7681628219547666e-17,3.1087003038256555e-13,1.9150720601858775e-13,2.7756456759997987e-16
0.05,0.0,0.0,9.999377657450723e-09,0.0,1.0062234254927638e-10,9.395578879586645e-11,9.98843057699815e-10,0.0,1.599999904151557e-07,0.0,9e-08,0.0,2.0998247000916656e-10,1.399999933967196e-06,6.993007757063989e-10,6.990786946265767e-13,2.9590002124511087e-17,8.154437009579917e-18,1.0785868538510961e-16,1.0785868538510961e-16,1.998002215575528e-08,1.9958593530241068e-11,1.1499488592682983e-14,7.750922505056043e-15,8.93907900092723e-15,2.499989427382904e-09,1.057261709605865e-14,0.0,3.399998752257205e-06,2.396486811499045e-14,3.3671057570370686e-18,1.7492246396697496e-14,1.2062817427771926e-12,0.0,0.0031,3200000.0,0.0031,23000000.0,440000.0,13000000.0,23000.0,1.05,25000000.0,6.0,19.0,22000000.0,2.4,10000000.0,1.8,7500.0,20000000.0,0.005,10000000.0,0.001,100000000.0,8.2,22000.0,0.006,0.001,20000000.0,0.2,400000000.0,103.0,100000000.0,63.5,15000000.0,0.00036,900000.0,0.00011,320000000.0,50000000.0,1500.0,7100.0,490.0,7100.0,230.0,9.98853784594616e-10,5700.0,3000000.0,1.0,0.0,0.0,0.0,1.2213492398556097e-11,2.2971960595265576e-13,0.0,0.0,0.0,9.865357358253663e-13,1.396983450116864e-11,1.467794760274102e-15,4.734318511936115e-16,4.194472167759205e-15,8.154437009579917e-21,2.9590002124511085e-20,3.9913812845929305e-10,7.477902616374139e-13,8.115833090204975e-13,1.5419225550038201e-21,2.113958246258239e-13,0.0,0.0,4.791743470099312e-13,2.1578928789131626e-16,3.4983066665325564e-13,2.4112062564149013e-11,0.0,0.0,0.0,6.686638347855532e-17,4.921835790710587e-13,1.91504001176259e-13,5.358089894717184e-16
0.06,0.0,0.0,9.999253238235291e-09,0.0,1.0074676176470976e-10,9.394257490390332e-11,9.986118297273396e-10,0.0,1.5999998849407325e-07,0.0,9e-08,0.0,2.0997895557363562e-10,1.3999999138042264e-06,6.991611078100744e-10,8.38684253020046e-13,4.074333237343852e-17,1.3159833059332182e-17,1.5403858331227424e-16,1.5403858331227424e-16,1.997603163630962e-08,2.394088798626814e-11,1.618959548707196e-14,1.1285758368321665e-14,1.5699002261650352e-14,2.499987313634568e-09,1.2686365431965933e-14,0.0,3.399998502870756e-06,2.875614638926781e-14,7.178755357508767e-18,2.0990523205945245e-14,1.44737411515807e-12,0.0,0.0031,3200000.0,0.0031,23000000.0,440000.0,13000000.0,23000.0,1.05,25000000.0,6.0,19.0,22000000.0,2.4,10000000.0,1.8,7500.0,20000000.0,0.005,10000000.0,0.001,100000000.0,8.2,22000.0,0.006,0.001,20000000.0,0.2,400000000.0,103.0,100000000.0,63.5,15000000.0,0.00036,900000.0,0.00011,320000000.0,50000000.0,1500.0,7100.0,490.0,7100.0,230.0,9.986306685300535e-10,5700.0,3000000.0,1.0,0.0,0.0,0.0,1.2211622752108216e-11,2.296635691592469e-13,0.0,0.0,0.0,9.86396975760088e-13,1.3963811062888242e-11,1.7608567183901727e-15,6.518801112629772e-16,5.032105518119754e-15,1.3159833059332182e-20,4.0743332373438523e-20,3.989660300605274e-10,8.963895460689671e-13,1.1041101167054722e-12,3.812407442501206e-21,2.1136515383137558e-13,0.0,0.0,4.791069210436427e-13,3.7897374772184824e-16,3.498247859465158e-13,2.4106478954756065e-11,0.0,0.0,0.0,1.0791063108652388e-16,7.166456563884257e-13,1.915007937119415e-13,9.40811297511671e-16
0.07,0.0,0.0,9.999128837504042e-09,0.0,1.0087116249595788e-10,9.392788125740129e-11,9.983806560400724e-10,0.0,1.5999998657133818e-07,0.0,9e-08,0.0,2.099754382776413e-10,1.399999890884364e-06,6.990214999120016e-10,9.782185504619453e-13,5.350097774246341e-17,1.947992715497673e-17,2.0856203664821376e-16,2.0856203664821376e-16,1.9972042828058614e-08,2.791999022547669e-11,2.1683021158769753e-14,1.549830556146839e-14,2.4537991167453228e-14,2.4999852001796726e-09,1.4799820327142077e-14,0.0,3.3999982535388955e-06,3.354678039198003e-14,1.2431740828237116e-17,2.4488741467293525e-14,1.6884108764935816e-12,0.0,0.0031,3200000.0,0.0031,23000000.0,440000.0,13000000.0,23000.0,1.05,25000000.0,6.0,19.0,22000000.0,2.4,10000000.0,1.8,7500.0,20000000.0,0.005,10000000.0,0.001,100000000.0,8.2,22000.0,0.006,0.001,20000000.0,0.2,400000000.0,103.0,100000000.0,63.5,15000000.0,0.00036,900000.0,0.00011,320000000.0,50000000.0,1500.0,7100.0,490.0,7100.0,230.0,9.984101016294733e-10,5700.0,3000000.0,1.0,0.0,0.0,0.0,1.2209560819644977e-11,2.296075465981793e-13,0.0,0.0,0.0,9.862426763352098e-13,1.3957790873365192e-11,2.053751183756947e-15,8.559960921076059e-16,5.869311302770715e-15,1.9479927154976732e-20,5.350097774246341e-20,3.987940244227516e-10,1.0446496064107977e-12,1.439297252800857e-12,7.980866725163905e-21,2.113311537896454e-13,0.0,0.0,4.790319483506598e-13,5.923468025143261e-16,3.498189004807219e-13,2.4100896657013165e-11,0.0,0.0,0.0,1.5973540267080917e-16,9.841424031532428e-13,1.914975836369807e-13,1.4702214315326995e-15
0.08,0.0,0.0,9.99900447103011e-09,0.0,1.0099552896988915e-10,9.391172685311849e-11,9.981495356860986e-10,0.0,1.5999998464519722e-07,0.0,9e-08,0.0,2.0997191811340257e-10,1.399999861704557e-06,6.988819522087765e-10,1.1176813525590796e-12,6.718697465477973e-17,2.7799311550278434e-17,2.714584975427065e-16,2.714584975427065e-16,1.9968055724622196e-08,3.18959237052498e-11,2.7971844637053676e-14,2.0379448194386525e-14,3.89625756732476e-14,2.4999830872911537e-09,1.691270884644202e-14,0.0,3.399998004252932e-06,3.8336151589620095e-14,2.6036647250464745e-17,2.798690034080973e-14,1.9293917052924885e-12,0.0,0.0031,3200000.0,0.0031,23000000.0,440000.0,13000000.0,23000.0,1.05,25000000.0,6.0,19.0,22000000.0,2.4,10000000.0,1.8,7500.0,20000000.0,0.005,10000000.0,0.001,100000000.0,8.2,22000.0,0.006,0.001,20000000.0,0.2,400000000.0,103.0,100000000.0,63.5,15000000.0,0.00036,900000.0,0.00011,320000000.0,50000000.0,1500.0,7100.0,490.0,7100.0,230.0,9.981962907769064e-10,5700.0,3000000.0,1.0,0.0,0.0,0.0,1.2207309096924374e-11,2.2955153841188433e-13,0.0,0.0,0.0,9.860730345510153e-13,1.3951773921931688e-11,2.3464810394908467e-15,1.0749636920006508e-15,6.706088115352857e-15,2.779931155027843e-20,6.718697465477973e-20,3.9862211100171573e-10,1.1925661409667198e-12,1.8169746983278386e-12,1.6347826700872934e-20,2.112938673728077e-13,0.0,0.0,4.78949525814824e-13,9.405560246601293e-16,3.4981301024201713e-13,2.4095315647878955e-11,0.0,0.0,0.0,2.2795435471228314e-16,1.2940949603435444e-12,1.9149437094218203e-13,2.334020646654652e-15
0.09,0.0,0.0,9.998880129412414e-09,0.0,1.0111987058758706e-10,9.389410036862933e-11,9.979184692327772e-10,0.0,1.5999998271669535e-07,0.0,9e-08,0.0,2.0996839508555703e-10,1.3999998283526907e-06,6.987424645832243e-10,1.257072799014208e-12,8.22042101324894e-17,3.770995636916525e-17,3.4271041195981667e-16,3.4271041195981667e-16,1.9964070329803003e-08,3.586867444454538e-11,3.506078696964897e-14,2.5934619509259707e-14,5.688279788792803e-14,2.4999809748063357e-09,1.9025193664352366e-14,0.0,3.399997755018046e-06,4.3124628639806947e-14,4.387463576970883e-17,3.1485000327109515e-14,2.1703167931696233e-12,0.0,0.0031,3200000.0,0.0031,23000000.0,440000.0,13000000.0,23000.0,1.05,25000000.0,6.0,19.0,22000000.0,2.4,10000000.0,1.8,7500.0,20000000.0,0.005,10000000.0,0.001,100000000.0,8.2,22000.0,0.006,0.001,20000000.0,0.2,400000000.0,103.0,100000000.0,63.5,15000000.0,0.00036,900000.0,0.00011,320000000.0,50000000.0,1500.0,7100.0,490.0,7100.0,230.0,9.979867285902426e-10,5700.0,3000000.0,1.0,0.0,0.0,0.0,1.2204866107784256e-11,2.294955445140612e-13,0.0,0.0,0.0,9.858879329955853e-13,1.3945760212896584e-11,2.63904456009656e-15,1.3152295100874205e-15,7.542436794082663e-15,3.770995636916525e-20,8.22042101324894e-20,3.9845029006345034e-10,1.3401306099604039e-12,2.237243764488131e-12,2.9915334884793644e-20,2.1125326904159773e-13,0.0,0.0,4.788595956941683e-13,1.373149834338514e-15,3.4980711523866167e-13,2.408973594108566e-11,0.0,0.0,0.0,3.0922164222715503e-16,1.6468483388379913e-12,1.9149115563302591e-13,3.406836532771695e-15
