Time,pRB,pRBp,E2F1,CycDi,CycDa,AP1,pRBpp,CycEi,CycEa,k1,Km1,J11,J61,k16,k61,phi_pRB,kp,k2,a,Km2,J12,J62,phi_E2F1,k3,k23,J13,J63,k34,Km4,phi_CycDi,k43,phi_CycDa,Fm,k25,J15,J65,phi_AP1,k67,k76,phi_pRBpp,phi_pRBp,k28,J18,J68,k89,Km9,k98,phi_CycEi,phi_CycEa,cell,pRB_synthesis,pRB_phosphorylation,pRBp_dephosphorylation,pRB_degradation,E2F1_synthesis,E2F1_degradation,CycD_synthesis,CycD_inibition,CycD_activation,CycD_degradation,CycD_degradation2,AP1_synthesis,Ap1_degradation,pRBp_phosphorylation,pRBpp_dephosphorylation,pRBpp_degradation,pRBp_degradation,CycE_synthesis,CycE_activation,CycE_inibition,CycE_degradation,CycE_degradation2
0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.5,0.5,5.0,0.4,0.3,0.005,0.05,1.6,0.04,4.0,5.0,8.0,0.1,0.05,0.3,0.002,2.0,0.04,0.3,0.023,0.01,0.03,0.005,0.9,0.001,6.0,0.01,0.7,0.1,0.04,0.06,0.06,0.6,7.0,0.07,0.005,0.01,0.06,0.05,1.0,0.13616557734204798,0.004000000000000001,0.03,0.0005,0.05112251314726892,0.010000000000000002,0.005560224089635855,0.001,0.001,0.0023,0.003,0.0058764810907320246,0.001,0.006999999999999999,0.010000000000000002,0.004,0.006,0.005070422535211268,0.006666666666666667,0.001,0.006,0.005000000000000001
0.01,0.10161633965553205,0.09971110823057923,0.10041101941747092,0.10003257072833881,0.09997000799552028,0.10004869884162583,0.09992993876109432,0.09993414644936498,0.1000066373485542,1.0,0.5,0.5,5.0,0.4,0.3,0.005,0.05,1.6,0.04,4.0,5.0,8.0,0.1,0.05,0.3,0.002,2.0,0.04,0.3,0.023,0.01,0.03,0.005,0.9,0.001,6.0,0.01,0.7,0.1,0.04,0.06,0.06,0.6,7.0,0.07,0.005,0.01,0.06,0.05,1.0,0.13627228337769992,0.004063434515135618,0.029913332469173767,0.0005080816982776603,0.05113016055446375,0.010041101941747094,0.005556262841898709,0.0009997000799552027,0.0010001006771124183,0.0023007491267517926,0.002999100239865608,0.005866262172394327,0.0010004869884162582,0.006980240848306582,0.009992993876109434,0.003997197550443773,0.005982666493834754,0.005079740714033131,0.0066622974856984955,0.001000066373485542,0.005996048786961899,0.00500033186742771
0.02,0.10323220251860117,0.09942386161465298,0.10082173283239126,0.10006509585996409,0.09994002789152782,0.10009730162855451,0.09985978716547447,0.09986845455133977,0.1000132311257468,1.0,0.5,0.5,5.0,0.4,0.3,0.005,0.05,1.6,0.04,4.0,5.0,8.0,0.1,0.05,0.3,0.002,2.0,0.04,0.3,0.023,0.01,0.03,0.005,0.9,0.001,6.0,0.01,0.7,0.1,0.04,0.06,0.06,0.6,7.0,0.07,0.005,0.01,0.06,0.05,1.0,0.1363775559890402,0.00412681167960514,0.029827158484395894,0.0005161610125930059,0.05113783017099213,0.010082173283239126,0.005552494303088752,0.0009994002789152784,0.001000200807499625,0.002301497204779174,0.0029982008367458344,0.005856361605938739,0.0010009730162855452,0.0069605911557563864,0.009985978716547448,0.003994391486618979,0.005965431696879179,0.005089004588856584,0.006657938913124057,0.001000132311257468,0.005992107273080386,0.00500066155628734
0.03,0.10484755045092896,0.09913836017760826,0.10123212084819835,0.10009757401580567,0.09991006045110576,0.10014580472513579,0.09978954041643859,0.09980293415273421,0.10001977862074654,1.0,0.5,0.5,5.0,0.4,0.3,0.005,0.05,1.6,0.04,4.0,5.0,8.0,0.1,0.05,0.3,0.002,2.0,0.04,0.3,0.023,0.01,0.03,0.005,0.9,0.001,6.0,0.01,0.7,0.1,0.04,0.06,0.06,0.6,7.0,0.07,0.005,0.01,0.06,0.05,1.0,0.1364813931822045,0.00419013004148107,0.029741508053282475,0.0005242377522546448,0.05114552151720782,0.010123212084819836,0.005548909305310321,0.0009991006045110577,0.001000300383505946,0.00230224420236353,0.0029973018135331726,0.005846764803562247,0.001001458047251358,0.006941057786451749,0.00997895404164386,0.003991581616657544,0.0059483016106564954,0.005098213762810128,0.006653591597249668,0.0010001977862074654,0.005988176049164053,0.005000988931037328
0.04,0.10646235847210905,0.09885463372579938,0.10164217642611471,0.1001300067430114,0.0998801059642218,0.10019421013507794,0.09971919818311022,0.09973758824197554,0.10002627892898745,1.0,0.5,0.5,5.0,0.4,0.3,0.005,0.05,1.6,0.04,4.0,5.0,8.0,0.1,0.05,0.3,0.002,2.0,0.04,0.3,0.023,0.01,0.03,0.005,0.9,0.001,6.0,0.01,0.7,0.1,0.04,0.06,0.06,0.6,7.0,0.07,0.005,0.01,0.06,0.05,1.0,0.13658380579004115,0.004253388658158087,0.029656390117739812,0.0005323117923605453,0.051153234357405125,0.010164217642611472,0.005545499512403523,0.000998801059642218,0.0010003994231796102,0.002302990155089262,0.002996403178926654,0.005837458058275049,0.0010019421013507794,0.006921642816535788,0.009971919818311022,0.003988767927324409,0.005931278023547962,0.005107368419441452,0.006649255734899689,0.0010002627892898746,0.005984255294518532,0.005001313946449373
0.05,0.10807661886151107,0.09857267310439484,0.10205190028929709,0.10016239568653194,0.09985016441370625,0.10024252057670485,0.09964876182058181,0.09967241596751139,0.10003273221753581,1.0,0.5,0.5,5.0,0.4,0.3,0.005,0.05,1.6,0.04,4.0,5.0,8.0,0.1,0.05,0.3,0.002,2.0,0.04,0.3,0.023,0.01,0.03,0.005,0.9,0.001,6.0,0.01,0.7,0.1,0.04,0.06,0.06,0.6,7.0,0.07,0.005,0.01,0.06,0.05,1.0,0.13668481035998856,0.004316587265039739,0.02957180193131845,0.0005403830943075553,0.05116096860862874,0.010205190028929709,0.005542257085879555,0.0009985016441370626,0.0010004979432268644,0.0023037351007902346,0.0029955049324111877,0.005828428412006617,0.0010024252057670485,0.006902345668833035,0.009964876182058182,0.003985950472823273,0.00591436038626369,0.005116469033800003,0.006644931270293845,0.001000327322175358,0.005980344958050683,0.00500163661087679
0.06,0.10969031543242519,0.09829246754712692,0.10246129262298159,0.10019474375461156,0.09982023581262527,0.1002907407774559,0.0995782335018952,0.0996074163588233,0.10003913863164554,1.0,0.5,0.5,5.0,0.4,0.3,0.005,0.05,1.6,0.04,4.0,5.0,8.0,0.1,0.05,0.3,0.002,2.0,0.04,0.3,0.023,0.01,0.03,0.005,0.9,0.001,6.0,0.01,0.7,0.1,0.04,0.06,0.06,0.6,7.0,0.07,0.005,0.01,0.06,0.05,1.0,0.13678442459925447,0.004379725261130373,0.029487740264138074,0.000548451577162126,0.05116872417990278,0.01024612926229816,0.005539174789735486,0.0009982023581262527,0.0010005959731821128,0.002304479106356066,0.0029946070743787578,0.0058196637270102524,0.001002907407774559,0.006883165651175484,0.00995782335018952,0.003983129340075808,0.005897548052827615,0.005125516112292635,0.006640618139647229,0.0010003913863164554,0.005976444981529398,0.005001956931582278
0.07,0.1113034591267959,0.09801402379579773,0.10287035338630818,0.10022704901399325,0.09979032014904678,0.10033886760060923,0.09950761180081744,0.0995425900202357,0.10004549808614158,1.0,0.5,0.5,5.0,0.4,0.3,0.005,0.05,1.6,0.04,4.0,5.0,8.0,0.1,0.05,0.3,0.002,2.0,0.04,0.3,0.023,0.01,0.03,0.005,0.9,0.001,6.0,0.01,0.7,0.1,0.04,0.06,0.06,0.6,7.0,0.07,0.005,0.01,0.06,0.05,1.0,0.13688265923135956,0.004442803127983723,0.029404207138739317,0.0005565172956339795,0.051176500967322826,0.010287035338630818,0.0055362452924929625,0.0009979032014904678,0.0010006934940267524,0.002305222127321845,0.0029937096044714033,0.005811152366111463,0.0010033886760060923,0.0068641032810542605,0.009950761180081744,0.003980304472032697,0.0058808414277478635,0.005134509937673727,0.006636316383434843,0.0010004549808614158,0.005972555401214142,0.005002274904307079
0.08,0.11291603223328724,0.09773732515587483,0.10327908351494519,0.10025931475664898,0.09976041741133476,0.10038690644429303,0.09943689951833226,0.09947793542847518,0.10005181085602151,1.0,0.5,0.5,5.0,0.4,0.3,0.005,0.05,1.6,0.04,4.0,5.0,8.0,0.1,0.05,0.3,0.002,2.0,0.04,0.3,0.023,0.01,0.03,0.005,0.9,0.001,6.0,0.01,0.7,0.1,0.04,0.06,0.06,0.6,7.0,0.07,0.005,0.01,0.06,0.05,1.0,0.13697953294883017,0.0045058202032097865,0.029321197546762448,0.0005645801611664362,0.05118429889656593,0.01032790835149452,0.005533462237724686,0.0009976041741133477,0.001000790538919835,0.0023059642394029265,0.002992812522340043,0.005802883574729639,0.0010038690644429303,0.006845157459048343,0.009943689951833227,0.003977475980733291,0.005864239509352489,0.005143451061618301,0.006632025901423836,0.001000518108560215,0.0059686761257085105,0.005002590542801076
0.09,0.1145280212568921,0.09746235890709623,0.1036874837218175,0.10029154349086979,0.09973052759062323,0.10043486142156675,0.09936609878862626,0.09941345142289604,0.10005807715081749,1.0,0.5,0.5,5.0,0.4,0.3,0.005,0.05,1.6,0.04,4.0,5.0,8.0,0.1,0.05,0.3,0.002,2.0,0.04,0.3,0.023,0.01,0.03,0.005,0.9,0.001,6.0,0.01,0.7,0.1,0.04,0.06,0.06,0.6,7.0,0.07,0.005,0.01,0.06,0.05,1.0,0.13707506295297764,0.004568775993543985,0.02923870767212887,0.0005726401062844605,0.05119211788788594,0.010368748372181751,0.00553081955243724,0.0009973052759062323,0.0010008871331904756,0.002306705500290005,0.002991915827718697,0.005794847169697996,0.0010043486142156677,0.00682632735877883,0.009936609878862628,0.00397464395154505,0.005847741534425774,0.005152339987323544,0.006627746617344827,0.0010005807715081749,0.005964807085373762,0.005002903857540875
