data_set_value_component_environment_variable_time,data_set_value_component_G_variable_G,data_set_value_component_G_variable_Vg,data_set_value_component_G_variable_Gin,data_set_value_component_G_variable_f2_G,data_set_value_component_G_variable_f3_G,data_set_value_component_G_variable_f4_I,data_set_value_component_G_variable_f5_I,data_set_value_component_G_variable_C2,data_set_value_component_G_variable_C3,data_set_value_component_G_variable_C4,data_set_value_component_G_variable_C5,data_set_value_component_G_variable_U0,data_set_value_component_G_variable_Um,data_set_value_component_G_variable_Ub,data_set_value_component_G_variable_beta,data_set_value_component_G_variable_Rg,data_set_value_component_G_variable_alpha,data_set_value_component_G_variable_ti,data_set_value_component_G_variable_E,data_set_value_component_G_variable_Vp,data_set_value_component_G_variable_Vi,data_set_value_component_I_variable_I,data_set_value_component_I_variable_f1_G,data_set_value_component_I_variable_Rm,data_set_value_component_I_variable_C1,data_set_value_component_I_variable_a1,data_set_value_component_I_variable_di
0.0,1000.0,10.0,0.54,36.04667122085211,0.1,939.9934336892902,180.0,144.0,1000.0,80.0,26.0,40.0,940.0,72.0,1.77,180.0,0.29,100.0,0.2,3.0,11.0,9000.0,87.66025664291391,210.0,2000.0,300.0,0.06
0.1,1005.0193219139218,10.0,0.54,36.171773432303226,0.10050193219139218,939.9933750505471,180.0,144.0,1000.0,80.0,26.0,40.0,940.0,72.0,1.77,180.0,0.29,100.0,0.2,3.0,11.0,8954.906558584653,87.74571109689765,210.0,2000.0,300.0,0.06
0.2,1009.9796362160481,10.0,0.54,36.29497726866422,0.1009979636216048,939.9933159560625,180.0,144.0,1000.0,80.0,26.0,40.0,940.0,72.0,1.77,180.0,0.29,100.0,0.2,3.0,11.0,8910.090199617018,87.83018402584412,210.0,2000.0,300.0,0.06
0.30000000000000004,1014.8814248237625,10.0,0.54,36.416311246577145,0.10148814248237625,939.9932564045151,180.0,144.0,1000.0,80.0,26.0,40.0,940.0,72.0,1.77,180.0,0.29,100.0,0.2,3.0,11.0,8865.550165323904,87.91368271671728,210.0,2000.0,300.0,0.06
0.4,1019.7253810162404,10.0,0.54,36.535808640435846,0.10197253810162403,939.9931963934267,180.0,144.0,1000.0,80.0,26.0,40.0,940.0,72.0,1.77,180.0,0.29,100.0,0.2,3.0,11.0,8821.284809963627,87.99621808399117,210.0,2000.0,300.0,0.06
0.5,1024.512215275877,10.0,0.54,36.65350263994289,0.1024512215275877,939.9931359202228,180.0,144.0,1000.0,80.0,26.0,40.0,940.0,72.0,1.77,180.0,0.29,100.0,0.2,3.0,11.0,8777.292426398977,88.07780136420595,210.0,2000.0,300.0,0.06
0.6000000000000001,1029.2425871921616,10.0,0.54,36.76942468934321,0.10292425871921616,939.9930749824659,180.0,144.0,1000.0,80.0,26.0,40.0,940.0,72.0,1.77,180.0,0.29,100.0,0.2,3.0,11.0,8733.571416649453,88.15844295461046,210.0,2000.0,300.0,0.06
0.7000000000000001,1033.9171655072676,10.0,0.54,36.88360598398509,0.10339171655072675,939.9930135776622,180.0,144.0,1000.0,80.0,26.0,40.0,940.0,72.0,1.77,180.0,0.29,100.0,0.2,3.0,11.0,8690.120149139364,88.23815343539803,210.0,2000.0,300.0,0.06
0.8,1038.5366788862293,10.0,0.54,36.99607871207109,0.10385366788862294,939.992951703078,180.0,144.0,1000.0,80.0,26.0,40.0,940.0,72.0,1.77,180.0,0.29,100.0,0.2,3.0,11.0,8646.93683431164,88.31694443529604,210.0,2000.0,300.0,0.06
0.9,1043.101839915142,10.0,0.54,37.10687420101051,0.10431018399151419,939.9928893559902,180.0,144.0,1000.0,80.0,26.0,40.0,940.0,72.0,1.77,180.0,0.29,100.0,0.2,3.0,11.0,8604.019707059562,88.39482733538848,210.0,2000.0,300.0,0.06
1.0,1047.6133304981865,10.0,0.54,37.21602258222291,0.10476133304981865,939.9928265337406,180.0,144.0,1000.0,80.0,26.0,40.0,940.0,72.0,1.77,180.0,0.29,100.0,0.2,3.0,11.0,8561.367061972747,88.47181301890296,210.0,2000.0,300.0,0.06
