Time,X_1_EGFR,X_4_EGFR_EGFR,X_2_ErbB3,X_6_ErbB3_ErbB3,X_5_EGFR_ErbB3,X_3_MET,X_7_MET_MET,X_10_p_MET_MET,X_8_p_EGFR_ErbB3,X_9_p_ErbB3_ErbB3,l_1,k_1,l_2,k_2,l_3,l_4,k_3,k_4,k_p1,k_p2,k_p3,l_p1,l_p2,l_p3,compartment,EGFR_EGFR_formation,ErbB3_ErbB3_formation,EGFR_ErbB3_formation,MET_MET_formation,MET_MET_transformation,phosphorylation_1,phosphorylation_2,gefitinib_1,gefitnib_2
0.0,3.6e-12,0.0,5.5e-14,0.0,0.0,7.4e-12,0.0,0.0,0.0,0.0,1.24,23000000000.0,1.08,1900000000000.0,1.0,1.0,240000000000.0,2600000000000.0,0.045,10000000000.0,10000000000.0,0.028,0.028,0.028,1.0,1.4904e-13,2.8737500000000002e-15,4.7519999999999996e-14,7.118800000000001e-11,0.0,0.0,0.0,0.0,0.0
1.0,3.420650573974019e-12,7.946104247728786e-14,3.2810037786898163e-14,8.808652393177057e-16,2.0417777060067305e-14,1.4814125469980956e-12,2.8393197855988105e-12,1.199739409021437e-13,9.564011339649858e-18,4.453315297282079e-19,1.24,23000000000.0,1.08,1900000000000.0,1.0,1.0,240000000000.0,2600000000000.0,0.045,10000000000.0,10000000000.0,0.028,0.028,0.028,1.0,3.602808634429409e-14,7.133919213567863e-17,6.517824841019682e-15,1.3638289125590195e-14,1.2441012000668644e-13,2.44960117835766e-17,1.056808741646551e-18,2.6779231751019604e-19,1.246928283238982e-20
2.0,3.3791392712528456e-12,9.876170538960191e-14,2.9966878115558907e-14,8.459137423427745e-16,2.3287930125290358e-14,1.453538755735483e-12,2.7329718601429336e-12,2.4025876198932706e-13,4.9387842661591174e-17,1.9882159017847922e-18,1.24,23000000000.0,1.08,1900000000000.0,1.0,1.0,240000000000.0,2600000000000.0,0.045,10000000000.0,10000000000.0,0.028,0.028,0.028,1.0,8.849180783910599e-15,-6.047374693707141e-17,1.0150109972214589e-15,1.3635528609639056e-14,1.1625648837073085e-13,5.595129261196216e-17,2.032381884850336e-18,1.382859594524553e-18,5.567004524997418e-20
3.0,3.3691823345023986e-12,1.0349780565803261e-13,2.957404066490987e-14,7.976205531838759e-16,2.3704866509011932e-14,1.4268965556073143e-12,2.6338835963453635e-12,3.526681258509816e-13,1.1718767252588057e-16,4.332023592273074e-18,1.24,23000000000.0,1.08,1900000000000.0,1.0,1.0,240000000000.0,2600000000000.0,0.045,10000000000.0,10000000000.0,0.028,0.028,0.028,1.0,2.2037014199544216e-15,-3.053751025133035e-17,2.0881397932484433e-16,1.296031817985926e-14,1.0865005431171387e-13,8.35995084528094e-17,2.8129534563158074e-18,3.281254830724656e-18,1.2129666058364607e-19
4.0,3.3665933957187386e-12,1.0472669722962416e-13,2.948280702791617e-14,7.746404991301121e-16,2.374430745534369e-14,1.4015907164332397e-12,2.5414613910258254e-12,4.577432507575571e-13,2.0890236667140074e-16,7.351075904250336e-18,1.24,23000000000.0,1.08,1900000000000.0,1.0,1.0,240000000000.0,2600000000000.0,0.045,10000000000.0,10000000000.0,0.028,0.028,0.028,1.0,4.793329943818731e-16,-1.0837624327445323e-17,7.728216724012905e-17,1.233210628356949e-14,1.0154895157495054e-13,1.0868796481595919e-16,3.545864602402741e-18,5.8492662667992206e-18,2.0583012531900942e-19
5.0,3.3660093737353028e-12,1.0498359013279298e-13,2.9425619929925025e-14,7.644683605781017e-16,2.370163462873651e-14,1.3775605811756432e-12,2.455270865535131e-12,5.559488438770502e-13,3.2181137037644496e-16,1.0998674902899749e-17,1.24,23000000000.0,1.08,1900000000000.0,1.0,1.0,240000000000.0,2600000000000.0,0.045,10000000000.0,10000000000.0,0.028,0.028,0.028,1.0,1.1556793218683445e-16,-3.0520765769691794e-18,6.962437416748564e-17,1.1704235716537675e-14,9.492062132052347e-14,1.317689636984232e-16,4.250053012439796e-18,9.01071837054046e-18,3.0796289728119296e-19
6.0,3.3658566858943532e-12,1.050250408664704e-13,2.9358596702301275e-14,7.588648413372525e-16,2.3639649029160594e-14,1.3547595003820144e-12,2.3748824584217373e-12,6.477377913872582e-13,4.53583343547231e-16,1.5220621158190553e-17,1.24,23000000000.0,1.08,1900000000000.0,1.0,1.0,240000000000.0,2600000000000.0,0.045,10000000000.0,10000000000.0,0.028,0.028,0.028,1.0,5.23484703434752e-17,-7.431883322761671e-19,7.638993057940538e-17,1.1102836616185632e-14,8.873305247013494e-14,1.5312294051318427e-16,4.915454362892341e-18,1.2700333619322467e-17,4.2617739242933547e-19
7.0,3.3657258810066795e-12,1.0505108561470462e-13,2.928027480660387e-14,7.539364130788551e-16,2.3570092140283375e-14,1.3331266222042114e-12,2.2998625902294098e-12,7.335740986684872e-13,6.018556236299818e-16,1.9952301662527357e-17,1.24,23000000000.0,1.08,1900000000000.0,1.0,1.0,240000000000.0,2600000000000.0,0.045,10000000000.0,10000000000.0,0.028,0.028,0.028,1.0,9.926957665443756e-18,2.1644198756550234e-19,8.175875241450306e-17,1.0531977849083352e-14,8.295374179760579e-14,1.7290409097341572e-16,5.530682246776734e-18,1.6851957461639492e-17,5.58664446550766e-19
8.0,3.365632115134191e-12,1.0505526886636629e-13,2.9194084464346743e-14,7.491508681507826e-16,2.3492623809968504e-14,1.3126121328231515e-12,2.2298554159238497e-12,8.138385176645771e-13,7.647233231101721e-16,2.513333313650127e-17,1.24,23000000000.0,1.08,1900000000000.0,1.0,1.0,240000000000.0,2600000000000.0,0.045,10000000000.0,10000000000.0,0.028,0.028,0.028,1.0,-2.5187484337286217e-18,5.969017229959852e-19,8.894776886643015e-17,9.980378681055647e-15,7.755601522196508e-14,1.911920213755632e-16,6.09687832042964e-18,2.141225304708482e-17,7.037333278220356e-19
9.0,3.3655479129934394e-12,1.0505112452644152e-13,2.9100247124698004e-14,7.442446140828591e-16,2.3409193972177385e-14,1.2931844373922453e-12,2.164565454925454e-12,8.888423263784264e-13,9.406439815020696e-16,3.071284672840653e-17,1.24,23000000000.0,1.08,1900000000000.0,1.0,1.0,240000000000.0,2600000000000.0,0.045,10000000000.0,10000000000.0,0.028,0.028,0.028,1.0,-3.897734260773767e-18,6.989803730818824e-19,9.599226257158537e-17,9.458330922093456e-15,7.251786033304949e-14,2.0807082428873983e-16,6.6151611417602266e-18,2.633803148205795e-17,8.599597083953828e-19
