X_10_p_MET_MET_8_task1,X_1_EGFR_1_task1,X_2_ErbB3_3_task1,X_3_MET_6_task1,X_4_EGFR_EGFR_2_task1,X_5_EGFR_ErbB3_5_task1,X_6_ErbB3_ErbB3_4_task1,X_7_MET_MET_7_task1,X_8_p_EGFR_ErbB3_9_task1,X_9_p_ErbB3_ErbB3_10_task1,_1_task1
0.0,3.6e-12,5.5e-14,7.4e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.199739409021437e-13,3.420650573974019e-12,3.2810037786898163e-14,1.4814125469980956e-12,7.946104247728786e-14,2.0417777060067305e-14,8.808652393177057e-16,2.8393197855988105e-12,9.564011339649858e-18,4.453315297282079e-19,1.0
2.4025876198932706e-13,3.3791392712528456e-12,2.9966878115558907e-14,1.453538755735483e-12,9.876170538960191e-14,2.3287930125290358e-14,8.459137423427745e-16,2.7329718601429336e-12,4.9387842661591174e-17,1.9882159017847922e-18,2.0
3.526681258509816e-13,3.3691823345023986e-12,2.957404066490987e-14,1.4268965556073143e-12,1.0349780565803261e-13,2.3704866509011932e-14,7.976205531838759e-16,2.6338835963453635e-12,1.1718767252588057e-16,4.332023592273074e-18,3.0
4.577432507575571e-13,3.3665933957187386e-12,2.948280702791617e-14,1.4015907164332397e-12,1.0472669722962416e-13,2.374430745534369e-14,7.746404991301121e-16,2.5414613910258254e-12,2.0890236667140074e-16,7.351075904250336e-18,4.0
5.559488438770502e-13,3.3660093737353028e-12,2.9425619929925025e-14,1.3775605811756432e-12,1.0498359013279298e-13,2.370163462873651e-14,7.644683605781017e-16,2.455270865535131e-12,3.2181137037644496e-16,1.0998674902899749e-17,5.0
6.477377913872582e-13,3.3658566858943532e-12,2.9358596702301275e-14,1.3547595003820144e-12,1.050250408664704e-13,2.3639649029160594e-14,7.588648413372525e-16,2.3748824584217373e-12,4.53583343547231e-16,1.5220621158190553e-17,6.0
7.335740986684872e-13,3.3657258810066795e-12,2.928027480660387e-14,1.3331266222042114e-12,1.0505108561470462e-13,2.3570092140283375e-14,7.539364130788551e-16,2.2998625902294098e-12,6.018556236299818e-16,1.9952301662527357e-17,7.0
8.138385176645771e-13,3.365632115134191e-12,2.9194084464346743e-14,1.3126121328231515e-12,1.0505526886636629e-13,2.3492623809968504e-14,7.491508681507826e-16,2.2298554159238497e-12,7.647233231101721e-16,2.513333313650127e-17,8.0
8.888423263784264e-13,3.3655479129934394e-12,2.9100247124698004e-14,1.2931844373922453e-12,1.0505112452644152e-13,2.3409193972177385e-14,7.442446140828591e-16,2.164565454925454e-12,9.406439815020696e-16,3.071284672840653e-17,9.0
9.58972764104061e-13,3.3654589811136017e-12,2.8999668155456735e-14,1.2747817013810246e-12,1.0504604339878979e-13,2.3321213430154474e-14,7.390730922772444e-16,2.1036363852054297e-12,1.1277186586659942e-15,3.6626785584151947e-17,10.0
1.024574088324909e-12,3.3653642819661647e-12,2.88933813995238e-14,1.257358010023468e-12,1.0504099972932257e-13,2.322944289834541e-14,7.336316809696811e-16,2.04674690666336e-12,1.3242756768461243e-15,4.281833167264935e-17,11.0
1.0859574889171453e-12,3.365266174181417e-12,2.878225122313071e-14,1.2408548555568185e-12,1.0503525748624599e-13,2.3134469009550147e-14,7.279820755247836e-16,1.9936150833044488e-12,1.5288418365423651e-15,4.923688986360328e-17,12.0
1.1433416400831938e-12,3.3651646264879594e-12,2.866685980659287e-14,1.2252536384571248e-12,1.050291139874322e-13,2.303675478456814e-14,7.221501544611991e-16,1.9440315406882475e-12,1.7403907526092489e-15,5.584717365367472e-17,13.0
1.1970060497953278e-12,3.365060023208147e-12,2.854796189959267e-14,1.2105028586767766e-12,1.0502274429140209e-13,2.293685473191641e-14,7.161699376713768e-16,1.897742520866287e-12,1.957633477133662e-15,6.260500800725239e-17,14.0
1.2471905527501003e-12,3.3649529064425836e-12,2.8426190782308106e-14,1.1965652351631274e-12,1.0501618903047514e-13,2.283522607569628e-14,7.100732613336276e-16,1.8545268296683387e-12,2.179489420770789e-15,6.947359927878408e-17,15.0
1.294139786265947e-12,3.364843817460752e-12,2.8302175516538715e-14,1.183397861930773e-12,1.0500948830796715e-13,2.2732327414768942e-14,7.038929102605332e-16,1.814161282768669e-12,2.4048785085452202e-15,7.641636981302817e-17,16.0
1.3380604638942557e-12,3.364733215774485e-12,2.8176430609664602e-14,1.1709618663486708e-12,1.0500266873603672e-13,2.2628536322293502e-14,6.976576965326931e-16,1.7764586029314115e-12,2.6329104311489936e-15,8.34036219137594e-17,17.0
1.3791520739305841e-12,3.3646215306849586e-12,2.804945185344537e-14,1.1592240455493629e-12,1.0499575984382918e-13,2.25242017914611e-14,6.91391699640556e-16,1.741235903294737e-12,2.8627478359224784e-15,9.040755994497205e-17,18.0
1.4175968308422891e-12,3.364509136227608e-12,2.792166880581624e-14,1.1481455980861549e-12,1.0498878710113506e-13,2.241963378204126e-14,6.851166648478068e-16,1.7083303701146358e-12,3.0936557880810878e-15,9.740414718290084e-17,19.0
1.4535674366267008e-12,3.364396379854263e-12,2.7793480290186863e-14,1.1376948538809783e-12,1.0498177403680663e-13,2.2315116986585962e-14,6.788524202044096e-16,1.6775851364328126e-12,3.324955085538008e-15,1.0437139864017473e-16,20.0
1.4872257334925756e-12,3.364283577158338e-12,2.7665248611323206e-14,1.127841406467413e-12,1.0497474205947886e-13,2.2210908707104347e-14,6.726166707806965e-16,1.6488535632737205e-12,3.556030015600179e-15,1.1128966220543714e-16,21.0
1.5187222638270446e-12,3.3641710104185163e-12,2.753729790253772e-14,1.1185531944955253e-12,1.0496771038310456e-13,2.2107238108234406e-14,6.664249419238456e-16,1.6220011389251952e-12,3.786330707040464e-15,1.1814169916985844e-16,22.0
1.548197333630102e-12,3.3640589318159718e-12,2.740991779833506e-14,1.1097993973771836e-12,1.049606962421277e-13,2.200430916412171e-14,6.60290817543374e-16,1.5969029676813088e-12,4.015366535651166e-15,1.2491243340265754e-16,23.0
1.5757819146108666e-12,3.3639475665169403e-12,2.728336691353754e-14,1.1015522856629084e-12,1.0495371507128536e-13,2.190230308773275e-14,6.54226146261821e-16,1.5734419425576817e-12,4.2427002527565664e-15,1.3158872672475239e-16,24.0
1.6015983529105396e-12,3.363837115115223e-12,2.7157875617428656e-14,1.0937853880594078e-12,1.0494678065733207e-13,2.1801380309143346e-14,6.482412099958967e-16,1.5515089530597592e-12,4.467943260969707e-15,1.3815919623325109e-16,25.0
1.6257609702502297e-12,3.3637277556251393e-12,2.7033648316708496e-14,1.0864726698517879e-12,1.0493990527300659e-13,2.1701682194163725e-14,6.42344868184749e-16,1.5310026948238791e-12,4.690751634684231e-15,1.4461405903702678e-16,26.0
1.6483766012702616e-12,3.3636196452595886e-12,2.6910865496987414e-14,1.0795892755685835e-12,1.0493309979811224e-13,2.16033326040504e-14,6.365446874389508e-16,1.5118287609454493e-12,4.910822540137179e-15,1.5094499197355432e-16,27.0
1.6695450866359857e-12,3.363512922098013e-12,2.6789685635099408e-14,1.073111818454207e-12,1.0492637383086139e-13,2.1506439338584362e-14,6.308470614252845e-16,1.4938990041369134e-12,5.127890901680485e-15,1.5714500089258856e-16,28.0
1.6893597359109091e-12,3.3634077066611716e-12,2.667024700277349e-14,1.0670179938286556e-12,1.049197357917268e-13,2.1411095481410438e-14,6.252573227402629e-16,1.4771312671747657e-12,5.341726273965264e-15,1.6320829818514027e-16,29.0
1.707907763919495e-12,3.363304103386012e-12,2.6552669356475218e-14,1.0612864111247042e-12,1.0491319302080969e-13,2.13173806556839e-14,6.197798470460249e-16,1.4614490305181556e-12,5.552129916685312e-15,1.691301885317579e-16,30.0
1.725270697784727e-12,3.363202201998038e-12,2.6437055511322422e-14,1.0558967360221325e-12,1.049067518688914e-13,2.122536219327538e-14,6.144181493588847e-16,1.4467809342042093e-12,5.758932070904805e-15,1.74906962889811e-16,31.0
1.7415247547469144e-12,3.3631020787848506e-12,2.6323492803045856e-14,1.0508297176018272e-12,1.0490041778217532e-13,2.1135096220240525e-14,6.091749725682424e-16,1.4330603864521746e-12,5.961989430559227e-15,1.8053580050895295e-16,32.0
1.756741194267741e-12,3.3630037977768195e-12,2.6212054444342798e-14,1.0460670606406082e-12,1.0489419538090347e-13,2.1046628662367255e-14,6.040523685422266e-16,1.4202252754119573e-12,6.161182799007469e-15,1.8601467859900986e-16,33.0
1.7709866468165795e-12,3.3629074118407346e-12,2.6102800782061345e-14,1.0415913583594802e-12,1.0488808853219163e-13,2.095999617548098e-14,5.99051772315757e-16,1.4082176740036829e-12,6.356414919402249e-15,1.9134228921195478e-16,34.0
1.7843234201303928e-12,3.3628129636918687e-12,2.599578046128506e-14,1.0373861061567253e-12,1.0488210041746537e-13,2.0875227005393558e-14,5.941740698635917e-16,1.396983526791247e-12,6.547608467807994e-15,1.9651796289309943e-16,35.0
1.7968097842601134e-12,3.362720486829599e-12,2.589103150212948e-14,1.0334356827122871e-12,1.0487623359485366e-13,2.079234178218692e-14,5.894196599207498e-16,1.3864723743837456e-12,6.73470419850759e-15,2.0154159866725162e-16,36.0
1.8085002374008061e-12,3.362630006401561e-12,2.578858229485324e-14,1.029725287046275e-12,1.048704900568636e-13,2.0711354253210833e-14,5.847885102778029e-16,1.376637119076059e-12,6.917659231502113e-15,2.0641359993910105e-16,37.0
1.819445754015154e-12,3.362541540001078e-12,2.568845251863984e-14,1.0262408941403513e-12,1.0486487128364032e-13,2.063227195889613e-14,5.80280208956537e-16,1.3674337989146733e-12,7.096445472746315e-15,2.111348159023179e-16,38.0
1.8296940161977404e-12,3.3624550984023748e-12,2.55906539891327e-14,1.0229692364146871e-12,1.048593782921026e-13,2.0555096855269e-14,5.758940106544428e-16,1.3588213655949185e-12,7.27104815815206e-15,2.1570648806867442e-16,39.0
1.8392896293496e-12,3.362370686237824e-12,2.5495191439540315e-14,1.0198977757320668e-12,1.0485401168123305e-13,2.0479825886858986e-14,5.716288788286514e-16,1.3507614827843688e-12,7.441464512851682e-15,2.2013020154585615e-16,40.0
