Time,OCT4_Gene,NANOG_Gene,SOX2_Gene,GATA6_Gene,CDX2_Gene,GCNF_Gene,targetGene,degradation,p53,A,OCT4,SOX2,NANOG,GATA6,CDX2,GCNF,OCT4_SOX2,Protein,a0,a1,a2,a3,b0,b1,b2,b3,b4,b5,gamma1,c0,c1,c2,d0,d1,d2,d3,gamma2,e0,e1,e2,f0,f1,f2,f3,gamma3,g0,g1,h0,h1,gamma4,i0,i1,i2,j0,j1,gamma5,p0,p1,p2,q0,q1,q2,gammag,gamman,cell,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,10.0,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.0,0.001,0.02,0.0125,0.025,1.0,0.02,0.0125,0.03,10.0,10.0,0.1,0.001,0.05,0.0125,0.001,0.05,0.0125,0.05,0.1,0.001,0.1,0.1,0.001,0.1,0.1,10.0,0.1,0.001,2.0,2.0,5.0,0.1,0.001,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.00025,1.0,0.00025,15.0,0.01,0.01,1.0,0.018106263451156884,0.001,0.001004997412476345,0.001,0.002008397847396692,0.0001,0.020578147966683,0.001,0.0029940119760479044,0.001,0.005096333126165321,0.0001
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,10.0,0.01017097516233259,0.01000005037660936,0.010019083141415572,0.010049963898453184,0.010197571783688377,0.010020053005449,0.1,0.0,0.001,0.02,0.0125,0.025,1.0,0.02,0.0125,0.03,10.0,10.0,0.1,0.001,0.05,0.0125,0.001,0.05,0.0125,0.05,0.1,0.001,0.1,0.1,0.001,0.1,0.1,10.0,0.1,0.001,2.0,2.0,5.0,0.1,0.001,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.00025,1.0,0.00025,15.0,0.01,0.01,1.0,0.018105872085389565,0.001017097516233259,0.0010050829044065952,0.001000005037660936,0.002008421304458005,0.00010019083141415572,0.02095685730635223,0.0010197571783688378,0.003018641562938437,0.0010020053005449,0.005096946179890279,0.00010049963898453183
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,10.0,0.010341775513753695,0.010000101556862135,0.010038164609334708,0.010099928930940937,0.010398763418778349,0.010040333879550063,0.1,0.0,0.001,0.02,0.0125,0.025,1.0,0.02,0.0125,0.03,10.0,10.0,0.1,0.001,0.05,0.0125,0.001,0.05,0.0125,0.05,0.1,0.001,0.1,0.1,0.001,0.1,0.1,10.0,0.1,0.001,2.0,2.0,5.0,0.1,0.001,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.00025,1.0,0.00025,15.0,0.01,0.01,1.0,0.018105475341562337,0.0010341775513753695,0.0010051683110241167,0.0010000101556862137,0.002008444759420951,0.00010038164609334709,0.021342186273263918,0.001039876341877835,0.0030436301910806004,0.0010040333879550063,0.005097559246138798,0.00010099928930940937
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,10.0,0.010512401157845288,0.010000153539168008,0.010057244403730518,0.010149895097593765,0.010603639079659026,0.010060846077558814,0.1,0.0,0.001,0.02,0.0125,0.025,1.0,0.02,0.0125,0.03,10.0,10.0,0.1,0.001,0.05,0.0125,0.001,0.05,0.0125,0.05,0.1,0.001,0.1,0.1,0.001,0.1,0.1,10.0,0.1,0.001,2.0,2.0,5.0,0.1,0.001,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.00025,1.0,0.00025,15.0,0.01,0.01,1.0,0.018105073124487094,0.0010512401157845288,0.0010052536323979075,0.001000015353916801,0.0020084682122854976,0.00010057244403730517,0.021734240527668584,0.0010603639079659027,0.0030689841908957587,0.0010060846077558814,0.00509817232491257,0.00010149895097593766
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,10.0,0.01068285221379635,0.01000020632187543,0.010076322524749187,0.010199862398423526,0.010812262903575651,0.010081593056734936,0.1,0.0,0.001,0.02,0.0125,0.025,1.0,0.02,0.0125,0.03,10.0,10.0,0.1,0.001,0.05,0.0125,0.001,0.05,0.0125,0.05,0.1,0.001,0.1,0.1,0.001,0.1,0.1,10.0,0.1,0.001,2.0,2.0,5.0,0.1,0.001,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.00025,1.0,0.00025,15.0,0.01,0.01,1.0,0.018104665338320277,0.001068285221379635,0.0010053388686046382,0.001000020632187543,0.002008491663051827,0.00010076322524749188,0.02213312495314703,0.0010812262903575653,0.003094709887008003,0.0010081593056734937,0.00509878541621177,0.00010199862398423526
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,10.0,0.010853128799852818,0.010000259903335938,0.010095398972536758,0.010249830833442093,0.011024699759904817,0.010102578319254384,0.1,0.0,0.001,0.02,0.0125,0.025,1.0,0.02,0.0125,0.03,10.0,10.0,0.1,0.001,0.05,0.0125,0.001,0.05,0.0125,0.05,0.1,0.001,0.1,0.1,0.001,0.1,0.1,10.0,0.1,0.001,2.0,2.0,5.0,0.1,0.001,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.00025,1.0,0.00025,15.0,0.01,0.01,1.0,0.018104251885733103,0.0010853128799852819,0.001005424019720414,0.0010000259903335939,0.002008515111720122,0.00010095398972536759,0.02253894511019521,0.0011024699759904818,0.0031208136747347633,0.0010102578319254386,0.005099398520036574,0.00010249830833442094
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,10.0,0.011023231033137867,0.010000314281904885,0.010114473747239065,0.010299800402661367,0.011241015362726007,0.010123805419413708,0.1,0.0,0.001,0.02,0.0125,0.025,1.0,0.02,0.0125,0.03,10.0,10.0,0.1,0.001,0.05,0.0125,0.001,0.05,0.0125,0.05,0.1,0.001,0.1,0.1,0.001,0.1,0.1,10.0,0.1,0.001,2.0,2.0,5.0,0.1,0.001,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.00025,1.0,0.00025,15.0,0.01,0.01,1.0,0.01810383266776638,0.0011023231033137867,0.0010055090858206862,0.0010000314281904885,0.0020085385582905655,0.00010114473747239064,0.02295180742832805,0.0011241015362726007,0.0031473020312174885,0.001012380541941371,0.005100011636387164,0.00010299800402661367
0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,10.0,0.011193159029790456,0.010000369455936398,0.010133546849002402,0.010349771106093189,0.011461276734417014,0.010145277990610935,0.1,0.0,0.001,0.02,0.0125,0.025,1.0,0.02,0.0125,0.03,10.0,10.0,0.1,0.001,0.05,0.0125,0.001,0.05,0.0125,0.05,0.1,0.001,0.1,0.1,0.001,0.1,0.1,10.0,0.1,0.001,2.0,2.0,5.0,0.1,0.001,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.00025,1.0,0.00025,15.0,0.01,0.01,1.0,0.01810340758329709,0.0011193159029790456,0.0010055940669803168,0.0010000369455936398,0.002008562002763341,0.00010133546849002401,0.02337182006592944,0.0011461276734417015,0.0031741815614618695,0.0010145277990610934,0.005100624765263716,0.00010349771106093188
0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,10.0,0.01136291290487497,0.010000425423785094,0.010152618277973303,0.010399742943749369,0.011685552085387477,0.010166999738791416,0.1,0.0,0.001,0.02,0.0125,0.025,1.0,0.02,0.0125,0.03,10.0,10.0,0.1,0.001,0.05,0.0125,0.001,0.05,0.0125,0.05,0.1,0.001,0.1,0.1,0.001,0.1,0.1,10.0,0.1,0.001,2.0,2.0,5.0,0.1,0.001,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.00025,1.0,0.00025,15.0,0.01,0.01,1.0,0.018102976529152392,0.001136291290487497,0.0010056789632735385,0.0010000425423785095,0.00200858544513863,0.00010152618277973303,0.02379909265226536,0.0011685552085387476,0.0032014589862900946,0.0010166999738791416,0.0051012379066664075,0.00010399742943749369
0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,10.0,0.011532492772278335,0.010000482183808468,0.010171688034298227,0.010449715915641726,0.011913910622519635,0.010188974431778106,0.1,0.0,0.001,0.02,0.0125,0.025,1.0,0.02,0.0125,0.03,10.0,10.0,0.1,0.001,0.05,0.0125,0.001,0.05,0.0125,0.05,0.1,0.001,0.1,0.1,0.001,0.1,0.1,10.0,0.1,0.001,2.0,2.0,5.0,0.1,0.001,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.00025,1.0,0.00025,15.0,0.01,0.01,1.0,0.018102539400306237,0.0011532492772278336,0.0010057637747739,0.001000048218380847,0.002008608885416618,0.00010171688034298228,0.024233735894316388,0.0011913910622519635,0.0032291411232043,0.0010188974431778106,0.005101851060595414,0.00010449715915641727
