Cm,E_K,E_L,E_Na,E_syn,F,I_K_post,I_K_pre,I_L_post,I_L_pre,I_Na_post,I_Na_pre,I_app_post,I_app_pre,I_syn,V_post,V_pre,alpha,alpha_h_post,alpha_h_pre,alpha_m_post,alpha_m_pre,alpha_n_post,alpha_n_pre,beta,beta_h_post,beta_h_pre,beta_m_post,beta_m_pre,beta_n_post,beta_n_pre,gK,gL,gNa,g_syn,h_post,h_pre,m_inf_post,m_inf_pre,n_post,n_pre,phi,s,tau_0,theta_syn,Time
1.0,-90.0,-65.0,55.0,-75.0,1.2664165549094016e-14,0.014813032214306113,0.014813032214306113,0.1,0.1,-0.11361856356629611,-0.11361856356629611,0.0,0.0,1.6716698524778696e-12,-64.0,-64.0,12.0,0.09449011653032025,0.09449011653032025,0.16885847520306876,0.16885847520306876,0.01571870894737679,0.01571870894737679,0.1,0.026596993576865856,0.026596993576865856,4.995395476006727,4.995395476006727,0.16050317708596767,0.16050317708596767,9.0,0.1,35.0,0.1,0.780348267017668,0.780348267017668,0.032697554535154376,0.032697554535154376,0.08919839244259657,0.08919839244259657,5.0,1.5196998658889723e-12,10.0,0.0,0.0
1.0,-90.0,-65.0,55.0,-75.0,1.266408994148567e-14,0.014813025127056874,0.01481302512705689,0.09999880595631937,0.09999880595632221,-0.11361807555237413,-0.11361807555237534,0.0,0.0,1.6716680319445726e-12,-64.0000119404368,-64.00001194043678,12.0,0.09449017294300036,0.09449017294300023,0.16885833136438555,0.16885833136438588,0.015718695451426228,0.01571869545142626,0.1,0.0265969626635778,0.026596962663577868,4.995398789741382,4.995398789741373,0.16050320104194502,0.16050320104194496,9.0,0.1,35.0,0.1,0.7803482681025788,0.7803482681025788,0.032697506612186206,0.032697506612186324,0.08919839201445917,0.08919839201445917,5.0,1.5196998604841703e-12,10.0,0.0,0.01
1.0,-90.0,-65.0,55.0,-75.0,1.2664014377082633e-14,0.014813017595417883,0.014813017595417907,0.09999761258784333,0.09999761258784759,-0.11361758806606465,-0.11361758806606646,0.0,0.0,1.6716662030071821e-12,-64.00002387412157,-64.00002387412152,12.0,0.09449022932381403,0.09449022932381382,0.16885818760714852,0.16885818760714907,0.015718681963117657,0.015718681963117702,0.1,0.026596931767805435,0.026596931767805546,4.995402101604392,4.99540210160438,0.16050322498437936,0.16050322498437927,9.0,0.1,35.0,0.1,0.7803482709012479,0.7803482709012479,0.03269745871638262,0.0326974587163828,0.08919839091154354,0.08919839091154354,5.0,1.5196998465064273e-12,10.0,0.0,0.02
1.0,-90.0,-65.0,55.0,-75.0,1.26639388570351e-14,0.014813009611184588,0.01481300961118463,0.09999641991274758,0.09999641991275326,-0.11361710112000016,-0.11361710112000245,0.0,0.0,1.6716643654559393e-12,-64.00003580087252,-64.00003580087247,12.0,0.09449028567190247,0.09449028567190222,0.16885804393354698,0.1688580439335476,0.015718668482656475,0.015718668482656534,0.1,0.026596900890019246,0.026596900890019388,4.99540541154531,4.995405411545294,0.16050324891290604,0.16050324891290593,9.0,0.1,35.0,0.1,0.780348275449447,0.780348275449447,0.03269741084847299,0.03269741084847321,0.08919838912134159,0.0891983891213416,5.0,1.5196998237399143e-12,10.0,0.0,0.03
1.0,-90.0,-65.0,55.0,-75.0,1.2663863382213225e-14,0.014813001169559203,0.014813001169559255,0.0999952279447868,0.0999952279447939,-0.1136166147231688,-0.11361661472317168,0.0,0.0,1.6716625191383496e-12,-64.00004772055213,-64.00004772055206,12.0,0.09449034198661582,0.09449034198661548,0.16885790034523765,0.16885790034523848,0.015718655010198136,0.015718655010198222,0.1,0.026596870030575284,0.026596870030575467,4.995408719525963,4.995408719525942,0.1605032728272491,0.16050327282724897,9.0,0.1,35.0,0.1,0.7803482817703347,0.7803482817703346,0.03269736300900922,0.0326973630090095,0.08919838663651168,0.0891983866365117,5.0,1.5196997920269676e-12,10.0,0.0,0.04
1.0,-90.0,-65.0,55.0,-75.0,1.266378795291908e-14,0.014812992271837768,0.014812992271837836,0.09999403668874295,0.0999940366887529,-0.11361612887749538,-0.11361612887749925,0.0,0.0,1.6716606640144998e-12,-64.00005963311257,-64.00005963311247,12.0,0.09449039826772808,0.09449039826772761,0.16885775684279636,0.1688577568427975,0.01571864154579667,0.015718641545796778,0.1,0.02659683918959728,0.026596839189597526,4.995412025533071,4.995412025533044,0.16050329672731262,0.16050329672731242,9.0,0.1,35.0,0.1,0.7803482898637498,0.7803482898637497,0.032697315198183134,0.032697315198183516,0.08919838345896272,0.08919838345896274,5.0,1.5196997513246675e-12,10.0,0.0,0.05
1.0,-90.0,-65.0,55.0,-75.0,1.2663712569264967e-14,0.014812982921328694,0.014812982921328776,0.09999284614640516,0.09999284614641653,-0.1136156435825533,-0.11361564358255809,0.0,0.0,1.6716588000820168e-12,-64.00007153853595,-64.00007153853583,12.0,0.09449045451515463,0.09449045451515409,0.16885761342643849,0.16885761342643987,0.015718628089472286,0.015718628089472417,0.1,0.0265968083671315,0.0265968083671318,4.995415329561672,4.995415329561638,0.16050332061306066,0.1605033206130604,9.0,0.1,35.0,0.1,0.7803482997217881,0.780348299721788,0.032697267416066406,0.03269726741606688,0.08919837959365871,0.08919837959365874,5.0,1.5196997016283548e-12,10.0,0.0,0.06
1.0,-90.0,-65.0,55.0,-75.0,1.2663637231299651e-14,0.01481297312198817,0.014812973121988262,0.09999165631855506,0.09999165631856784,-0.11361515883713473,-0.1136151588371401,0.0,0.0,1.671656927351022e-12,-64.00008343681445,-64.00008343681432,12.0,0.09449051072885854,0.09449051072885792,0.16885747009625793,0.16885747009625954,0.015718614641233777,0.015718614641233933,0.1,0.0265967775631981,0.026596777563198448,4.995418631609585,4.9954186316095495,0.16050334448447756,0.16050334448447728,9.0,0.1,35.0,0.1,0.7803483113340054,0.7803483113340053,0.032697219662690305,0.03269721966269083,0.08919837504654743,0.08919837504654746,5.0,1.5196996429461223e-12,10.0,0.0,0.07
1.0,-90.0,-65.0,55.0,-75.0,1.266356193905076e-14,0.014812962877964077,0.014812962877964193,0.09999046720564025,0.09999046720565588,-0.11361467463977848,-0.11361467463978489,0.0,0.0,1.6716550458357983e-12,-64.0000953279436,-64.00009532794344,12.0,0.09449056690881857,0.09449056690881781,0.1688573268523085,0.16885732685231045,0.015718601201086212,0.015718601201086396,0.1,0.026596746777808628,0.026596746777809044,4.995421931675569,4.995421931675526,0.1605033683415543,0.160503368341554,9.0,0.1,35.0,0.1,0.7803483246891562,0.780348324689156,0.03269717193807268,0.03269717193807331,0.08919836982386804,0.08919836982386808,5.0,1.5196995752903071e-12,10.0,0.0,0.08
1.0,-90.0,-65.0,55.0,-75.0,1.2663486692538354e-14,0.014812952193443706,0.014812952193443836,0.09998927880799187,0.09998927880801034,-0.11361419098894353,-0.11361419098895116,0.0,0.0,1.6716531555519994e-12,-64.00010721192008,-64.0001072119199,12.0,0.09449062305501897,0.0944906230550181,0.16885718369462993,0.1688571836946322,0.01571858776903332,0.01571858776903353,0.1,0.0265967160109716,0.026596716010972087,4.995425229758699,4.9954252297586486,0.16050339218428425,0.16050339218428386,9.0,0.1,35.0,0.1,0.7803483397757733,0.7803483397757732,0.03269712424222671,0.03269712424222746,0.08919836393192004,0.08919836393192009,5.0,1.5196994986746539e-12,10.0,0.0,0.09
