Time,A,C1,C2,M,T,lambda,rho,alpha_1,alpha_2,beta,delta,epsilon,gamma_1,gamma_2,gamma_3,compartment,New_Vicodin_Prescriptions,Vicodin_Use_Transition_Acute_Chronic,Vicodin_Use_Transition_Cessation,Vicodin_Use_Transition_Chronic_Abuse,Vicodin_Use_Transition_Chronic_Exit,Vicodin_Use_Transition_Chronic,Vicodin_Use_Transition_Chronic2_Exit,Vicodin_Use_Transition_Abuse_Treatment_Exit,Vicodin_Use_Transition_Abuse_Relapse_Linear,Vicodin_Use_Transition_Abuse_Relapse_Nonlinear,Vicodin_Use_Transition_Treatment_Succesful
0.0,2000000.0,5640000.0,3760000.0,37600000.0,700000.0,3000000.0,1e-06,0.22,0.45,0.14,0.05,0.03,0.24,0.293,8e-10,1.0,1000000.0,8272000.0,16920000.0,188000.0,789600.0000000001,282000.0,526400.0,60000.0,168000.0,1120.0,205100.0
0.25,2071128.5535836762,7243100.254693954,3664673.945819723,32028479.493992727,626721.5958128866,3000000.0,1e-06,0.22,0.45,0.14,0.05,0.03,0.24,0.293,8e-10,1.0,976839.6039623035,7046265.4886784,14412815.772296727,183233.69729098617,1014034.0356571537,362155.0127346977,513054.35241476126,62133.856607510286,150413.1829950928,1038.4167937884777,183629.42757317575
0.5,2136574.0558005488,8496252.8165455,3591129.8667152547,27311385.17161367,563083.2707128257,3000000.0,1e-06,0.22,0.45,0.14,0.05,0.03,0.24,0.293,8e-10,1.0,956457.5701479203,6008504.737755008,12290123.327226153,179556.49333576276,1189475.3943163701,424812.640827275,502758.1813401357,64097.22167401646,135139.98497107817,962.4552859682723,164983.39831885792
0.75,2197159.209438817,9458002.251472434,3534449.181589991,23317377.89550349,507842.9110154078,3000000.0,1e-06,0.22,0.45,0.14,0.05,0.03,0.24,0.293,8e-10,1.0,938333.0023551052,5129823.137010768,10492820.052976571,176722.45907949956,1324120.315206141,472900.11257362174,494822.88542259875,65914.77628316451,121882.29864369787,892.6493831085768,148797.9729275145
1.0,2253575.4227549485,10177657.594776653,3490600.0999798314,19935323.9626491,459919.0994589644,3000000.0,1e-06,0.22,0.45,0.14,0.05,0.03,0.24,0.293,8e-10,1.0,922062.5343486782,4385771.2717828015,8970895.783192094,174530.0049989916,1424872.0632687316,508882.87973883265,488684.01399717643,67607.26268264845,110380.58387015146,829.1699031970488,134756.29614147657
1.25,2306402.123378995,10696676.011280954,3456297.297284508,17071298.779542677,418370.9728949987,3000000.0,1e-06,0.22,0.45,0.14,0.05,0.03,0.24,0.293,8e-10,1.0,907330.6536998393,3755685.731499389,7682084.450794205,172814.8648642254,1497534.6415793337,534833.8005640478,483881.6216198312,69192.06370136984,100409.03349479967,771.9453601961287,122582.6950582346
1.5,2356125.465022598,11049988.104778323,3428868.4538199925,14645710.134604976,382378.12917166797,3000000.0,1e-06,0.22,0.45,0.14,0.05,0.03,0.24,0.293,8e-10,1.0,893887.9166663693,3222056.2296130946,6590569.56057224,171443.42269099964,1546998.3346689653,552499.4052389162,480041.583534799,70683.76395067794,91770.7510012003,720.7446779272537,112036.79184729871
1.75,2403151.7620340455,11266943.711197525,3406159.051800895,12591244.163970813,351226.08505066426,3000000.0,1e-06,0.22,0.45,0.14,0.05,0.03,0.24,0.293,8e-10,1.0,881535.7673637558,2770073.7160735787,5666059.873786866,170307.95259004476,1577372.1195676536,563347.1855598763,476862.26725212537,72094.55286102137,84294.26041215942,675.2396681294588,102909.24291984462
2.0,2447820.1356982635,11372196.613062588,3386443.7947112583,10850941.513277886,324292.2914601428,3000000.0,1e-06,0.22,0.45,0.14,0.05,0.03,0.24,0.293,8e-10,1.0,870114.9949611367,2387207.132921135,4882923.680975049,169322.18973556292,1592107.5258287624,568609.8306531295,474102.1312595762,73434.6040709479,77830.14995043428,635.047360710294,95017.64139782185
2.25,2490413.804759492,11386489.37188652,3368348.490137923,9376488.895095678,301033.36033814383,3000000.0,1e-06,0.22,0.45,0.14,0.05,0.03,0.24,0.293,8e-10,1.0,859496.9444337032,2062827.5569210493,4219420.002793055,168417.42450689618,1594108.5120641128,569324.468594326,471568.78861930926,74712.41414278476,72248.00648115452,599.7581090234016,88202.77457907614
