A_1_task1,C1_2_task1,C2_3_task1,M_4_task1,T_5_task1,_1_task1
2000000.0,5640000.0,3760000.0,37600000.0,700000.0,0.0
2071128.5535836762,7243100.254693954,3664673.945819723,32028479.493992727,626721.5958128866,0.25
2136574.0558005488,8496252.8165455,3591129.8667152547,27311385.17161367,563083.2707128257,0.5
2197159.209438817,9458002.251472434,3534449.181589991,23317377.89550349,507842.9110154078,0.75
2253575.4227549485,10177657.594776653,3490600.0999798314,19935323.9626491,459919.0994589644,1.0
2306402.123378995,10696676.011280954,3456297.297284508,17071298.779542677,418370.9728949987,1.25
2356125.465022598,11049988.104778323,3428868.4538199925,14645710.134604976,382378.12917166797,1.5
2403151.7620340455,11266943.711197525,3406159.051800895,12591244.163970813,351226.08505066426,1.75
2447820.1356982635,11372196.613062588,3386443.7947112583,10850941.513277886,324292.2914601428,2.0
2490413.804759492,11386489.37188652,3368348.490137923,9376488.895095678,301033.36033814383,2.25
2531167.830664699,11327187.047399294,3350797.401426078,8127055.344174429,280976.0162096526,2.5
2570276.9740734994,11208817.82798473,3332960.0844057463,7068112.877527341,263707.8295252401,2.75
2607902.4656356205,11043536.744144695,3314206.117415065,6170423.879676314,248869.04600650456,3.0
2644177.494277078,10841499.393493619,3294069.014941369,5409223.783962515,236145.74812818927,3.25
2679211.6554794307,10611163.550254717,3272217.4362828243,4763560.418090448,225264.1413965493,3.5
2713094.846971822,10359553.17439183,3248430.191054136,4215715.151039146,215985.45190213024,3.75
2745900.699681471,10092490.808068074,3222574.4481053445,3750692.7858028407,208101.33303360702,4.0
2777689.416449534,9814789.614228122,3194588.011805338,3355799.23644347,201429.93074729905,4.25
2808510.1170920343,9530412.03861016,3164464.9352623313,3020291.8810687913,195812.51460695692,4.5
2838402.8239167556,9242604.564614076,3132243.5018390594,2735082.057748587,191110.5372781315,4.75
2867400.1609153575,8954013.573582647,3097996.069689758,2492478.7959341486,187203.04167340967,5.0
2895528.7753925417,8666782.805601306,3061820.7260548337,2285972.697013188,183984.40625052134,5.25
2922810.521667253,8382635.128887618,3023834.472328129,2110054.0896521704,181362.38739734516,5.5
2949263.4377920623,8102940.778288073,2984167.714733269,1960060.782545295,179256.4288764656,5.75
2974902.5722903055,7828775.866536872,2942959.6799603314,1832047.1291530773,177596.17247282757,6.0
2999740.6683012424,7560971.610901255,2900354.7097965884,1722673.4383392497,176320.16142138417,6.25
3023788.72370016,7300155.486912552,2856499.311308926,1629113.0963346665,175374.71578755364,6.5
3047056.4556420706,7046786.184180567,2811539.7768805544,1548973.3121435975,174712.9455921619,6.75
3069552.6758042383,6801182.770523856,2765620.329164627,1480228.6139627509,174293.89628863992,7.0
3091285.5967077403,6563549.365721611,2718881.6645635404,1421164.2463992934,174081.80033726178,7.25
3112263.0773487226,6333995.839832984,2671459.844114357,1370328.3469101996,174045.42460229664,7.5
3132492.817759361,6112555.150821546,2623485.4707537433,1326491.5634711517,174157.50174536888,7.75
3151982.5117884027,5899197.908738716,2575083.095929926,1288612.8287246206,174394.23353009025,8.0
3170739.96573318,5693844.645299466,2526370.8107354096,1255810.2390889877,174734.85524044,8.25
3188773.1855366025,5496375.942800045,2477460.0039165025,1227336.7090840861,175161.2587156426,8.5
3206090.4410556676,5306640.96620256,2428455.2380175362,1202559.2033184036,175657.66101168716,8.75
3222700.3100870526,5124464.558454941,2379454.2275150963,1180941.1979092227,176210.31532566465,9.0
3238611.705890401,4949653.1285116095,2330547.8976314734,1162027.8675058607,176807.25872080255,9.25
3253833.8919568183,4781999.572910422,2281820.503514311,1145433.4645473624,177438.09031639414,9.5
3268376.4854009347,4621287.3032924095,2233349.8013857175,1130830.7362517966,178093.77856872365,9.75
3282249.451996049,4467293.575103753,2185207.255585447,1117941.9461784258,178766.4923507407,10.0
3295463.0945588406,4319792.224380087,2137458.2724775486,1106531.2638515634,179449.45291573403,10.25
3308028.035283131,4178555.8139271685,2090162.4564952655,1096398.5313959992,180136.80759978382,10.5
3319955.196475334,4043357.594584834,2043373.8707976576,1087373.467356065,180823.5107618784,10.75
3331255.7769255573,3913972.977552247,1997141.3112153066,1079311.0236542276,181505.22365160834,11.0
3341941.2252479573,3790180.6072264067,1951508.5869210376,1072087.6957908864,182178.2304764955,11.25
3352023.2128375974,3671763.2562810834,1906514.7969122399,1065598.2759387488,182839.3628985087,11.5
3361513.606224759,3558508.596756911,1862194.6060763109,1059752.9089620726,183485.92995201636,11.75
3370424.4378823065,3450209.5219713612,1818578.5150184352,1054475.2570961239,184115.66846249718,12.0
3378767.8807495176,3346664.779481146,1775693.1147618897,1049699.9497933628,184726.68238331072,12.25
3386556.2207058263,3247679.217500289,1733561.3418519793,1045370.9731718992,185317.39862553362,12.5
3393801.8300534105,3153063.9938029624,1692202.7246843758,1041440.1750899379,185886.52585295355,12.75
3400517.141652906,3062636.642789751,1651633.619861975,1037866.143332423,186433.02083517835,13.0
3406714.624280819,2976221.0623672022,1611867.4368090746,1034613.312391644,186956.0599379907,13.25
3412406.7595495726,2893647.5425918363,1572914.8527301077,1031650.9962422923,187455.01021086468,13.5
3417606.0200354895,2814752.707662713,1534784.0158466354,1028952.6660976658,187929.40578950092,13.75
3422324.848038552,2739379.446032926,1497480.743717393,1026495.2716117017,188378.92546848988,14.0
3426575.6369444965,2667376.7824249556,1461008.7010156251,1024258.7638297448,188803.3755318387,14.25
3430370.7126684105,2598599.738860768,1425369.5764169674,1022225.6489386263,189202.6730546826,14.5
3433722.3168944772,2532909.1825447585,1390563.2462151344,1020380.6136361191,189576.8315427071,14.75
3436642.5931424703,2470171.652533147,1356587.9171361565,1018710.2663017607,189925.9500931913,15.0
3439143.567647622,2410259.2195337145,1323440.3071517989,1017202.6807961017,190250.19631725195,15.25
3441237.1453889455,2353049.2566224784,1291115.715549441,1015847.4996780503,190549.80699833052,15.5
3442935.081771838,2298424.358766554,1259608.2711806335,1014635.1240208759,190825.05998104758,15.75
3444248.994709586,2246272.0239547435,1228910.8851414158,1013557.4033882548,191076.29316329779,16.0
3445190.3282375247,2196484.6136162775,1199015.5579370204,1012606.5393253879,191303.8674391268,16.25
3445770.3733840343,2148959.0389511525,1169913.2690248354,1011775.9718809981,191508.19276452612,16.5
3446000.2324841726,2103596.671164225,1141594.2779077282,1011059.4148277892,191689.6944370981,16.75
3445890.8375517605,2060303.1398686224,1114048.033838045,1010451.428361265,191848.83104422843,17.0
3445452.9233904267,2018988.1378462228,1087263.4115321236,1009946.9023112754,191986.073809966,17.25
3444697.0394612197,1979565.3294153197,1061228.6688321715,1009541.2305972126,192101.91335472107,17.5
3443633.530516185,1941952.1004495174,1035931.6280475849,1009230.0927162366,192196.8481699792,17.75
3442272.5470186383,1906069.4936552502,1011359.642558698,1009009.5473427281,192271.38900599646,18.0
