_1_task1,z_a_1_task1
0.0,1.0
0.5,1.43119321840606
1.0,7.6566643456449075
1.5,204.0648232972584
2.0,26526.575863022998
2.5,7076199.999343334
3.0,16044541.430386435
3.5,18088033.70521043
4.0,19729729.51671904
4.5,21027679.25110595
5.0,22027801.401691835
5.5,22771330.065949827
6.0,23294467.024268452
6.5,23628635.44231035
7.0,23800996.911893338
7.5,23835030.766378168
8.0,23751079.47746804
8.5,23566821.688000545
9.0,23297668.51737853
9.5,22957089.219926007
10.0,22556878.52963762
10.5,22107377.07169069
11.0,21617654.870366465
11.5,21095665.932491936
12.0,20548380.010921184
12.5,19981896.167283848
13.0,19401541.57764603
13.5,18811958.167099766
14.0,18217179.05030901
14.5,17620696.274633393
15.0,17025521.07947656
15.5,16434237.61831739
16.0,15849050.937098406
16.5,15271829.87212632
17.0,14704145.427685587
17.5,14147305.118600111
18.0,13602383.714400416
18.5,13070250.74332961
19.0,12551595.089615721
19.5,12046946.988726724
20.0,11556697.734634932
20.5,11081117.180012068
21.0,10620369.590520622
21.5,10174527.200383814
22.0,9743583.163562171
22.5,9327462.353304636
23.0,8926031.28738691
23.5,8539106.881591044
24.0,8166464.20956039
24.5,7807843.379492373
25.0,7462955.612820965
25.5,7131488.610020576
26.0,6813111.2793570645
26.5,6507477.884360484
27.0,6214231.709122274
27.5,5933008.222732396
28.0,5663437.871002602
28.5,5405148.489788858
29.0,5157767.395245996
29.5,4920923.189978247
30.0,4694247.303239292
30.5,4477375.309866235
31.0,4269948.046097874
31.5,4071612.54208772
32.0,3882022.794896489
32.5,3700840.4094274496
33.0,3527735.1103442647
33.5,3362385.1286344337
34.0,3204477.529078597
34.5,3053708.4471636945
35.0,2909783.15414698
35.5,2772416.284101779
36.0,2641331.728416601
36.5,2516262.7040908164
37.0,2396951.678073621
37.5,2283150.2524725054
38.0,2174619.0639579673
38.5,2071127.6347057174
39.0,1972454.1997888857
39.5,1878385.5253525611
40.0,1788716.7108890612
40.5,1703250.978357355
41.0,1621799.4546009586
41.5,1544180.9479965947
42.0,1470221.7188709911
42.5,1399755.2479333277
43.0,1332622.005109863
43.5,1268669.2154706614
44.0,1207750.6282598828
44.5,1149726.2878876587
45.0,1094462.305235654
45.5,1041830.638215478
46.0,991708.8678808339
46.5,943979.9841002672
47.0,898532.1819523363
47.5,855258.6522661757
48.0,814057.3739256365
48.5,774830.9303311032
