Time,N0,N1,N2,d0,d1,d2,T,K,r0,f0,p00,p01,r1,f1,p11,p12,compartment,R0X,R01,R00,R1X,R12,R11,R2X
0.0,1.75444831412765,27.40585059,45.6191494109,0.1,0.420467092599869,1.10138534772246,74.77944831502765,120.0,1.83898685224665,1.2158326816905234,0.14430014430014404,0.855699855699856,5.88010232010212,60.72713318811628,0.17262251518905702,0.827377484810943,1.0,0.175444831412765,1.0403878502777497,0.17544483141277362,11.523258317803704,50.24426271696279,10.482870471153491,50.24426273672695
0.01,1.7544483141276548,27.40585059003658,45.61914941070589,0.1,0.420467092599869,1.10138534772246,74.77944831487012,120.0,1.83898685224665,1.2158326816947622,0.14430014430014404,0.855699855699856,5.88010232010212,60.727133188408864,0.17262251518905702,0.827377484810943,1.0,0.17544483141276548,1.040387850281377,0.1754448314133853,11.523258317819083,50.24426271720487,10.482870471203999,50.24426273651316
0.02,1.7544483141276668,27.405850590073616,45.619149410517245,0.1,0.420467092599869,1.10138534772246,74.77944831471854,120.0,1.83898685224665,1.215832681698846,0.14430014430014404,0.855699855699856,5.88010232010212,60.7271331886945,0.17262251518905702,0.827377484810943,1.0,0.17544483141276668,1.0403878502848716,0.17544483141397457,11.523258317834657,50.244262717441195,10.482870471253305,50.244262736305394
0.03,1.7544483141276845,27.405850590111008,45.61914941033295,0.1,0.420467092599869,1.10138534772246,74.77944831457165,120.0,1.83898685224665,1.2158326817028076,0.14430014430014404,0.855699855699856,5.88010232010212,60.72713318897461,0.17262251518905702,0.827377484810943,1.0,0.17544483141276845,1.0403878502882613,0.17544483141454623,11.52325831785038,50.24426271767295,10.48287047130166,50.244262736102414
0.04,1.7544483141277079,27.405850590148752,45.619149410152914,0.1,0.420467092599869,1.10138534772246,74.77944831442937,120.0,1.83898685224665,1.2158326817066494,0.14430014430014404,0.855699855699856,5.88010232010212,60.72713318924933,0.17262251518905702,0.827377484810943,1.0,0.17544483141277079,1.0403878502915487,0.17544483141510062,11.523258317866249,50.24426271790025,10.48287047134908,50.24426273590412
0.05,1.7544483141277365,27.405850590186834,45.61914940997704,0.1,0.420467092599869,1.10138534772246,74.77944831429161,120.0,1.83898685224665,1.215832681710373,0.14430014430014404,0.855699855699856,5.88010232010212,60.727133189518696,0.17262251518905702,0.827377484810943,1.0,0.17544483141277367,1.0403878502947352,0.17544483141563794,11.523258317882261,50.24426271812312,10.48287047139558,50.24426273571042
0.06,1.7544483141277702,27.405850590225242,45.619149409805246,0.1,0.420467092599869,1.10138534772246,74.77944831415826,120.0,1.83898685224665,1.215832681713982,0.14430014430014404,0.855699855699856,5.88010232010212,60.72713318978289,0.17262251518905702,0.827377484810943,1.0,0.17544483141277703,1.0403878502978232,0.1754448314161587,11.52325831789841,50.2442627183417,10.482870471441187,50.244262735521204
0.07,1.754448314127809,27.40585059026396,45.619149409637444,0.1,0.420467092599869,1.10138534772246,74.77944831402921,120.0,1.83898685224665,1.2158326817174785,0.14430014430014404,0.855699855699856,5.88010232010212,60.72713319004199,0.17262251518905702,0.827377484810943,1.0,0.17544483141278092,1.0403878503008153,0.17544483141666325,11.52325831791469,50.24426271855608,10.482870471485912,50.24426273533639
0.08,1.7544483141278528,27.405850590302983,45.61914940947355,0.1,0.420467092599869,1.10138534772246,74.77944831390438,120.0,1.83898685224665,1.2158326817208651,0.14430014430014404,0.855699855699856,5.88010232010212,60.727133190296094,0.17262251518905702,0.827377484810943,1.0,0.1754448314127853,1.0403878503037132,0.17544483141715195,11.523258317931099,50.244262718766315,10.482870471529777,50.24426273515588
0.09,1.7544483141279013,27.405850590342297,45.61914940931348,0.1,0.420467092599869,1.10138534772246,74.77944831378367,120.0,1.83898685224665,1.215832681724144,0.14430014430014404,0.855699855699856,5.88010232010212,60.7271331905453,0.17262251518905702,0.827377484810943,1.0,0.17544483141279013,1.040387850306519,0.1754448314176251,11.523258317947628,50.24426271897251,10.482870471572795,50.24426273497958
0.1,1.754448314127954,27.4058505903819,45.61914940915715,0.1,0.420467092599869,1.10138534772246,74.779448313667,120.0,1.83898685224665,1.2158326817273175,0.14430014430014404,0.855699855699856,5.88010232010212,60.72713319078973,0.17262251518905702,0.827377484810943,1.0,0.17544483141279543,1.0403878503092345,0.175444831418083,11.52325831796428,50.24426271917474,10.482870471614989,50.24426273480741
0.11,1.7544483141280114,27.40585059042177,45.61914940900449,0.1,0.420467092599869,1.10138534772246,74.77944831355427,120.0,1.83898685224665,1.2158326817303884,0.14430014430014404,0.855699855699856,5.88010232010212,60.72713319102947,0.17262251518905702,0.827377484810943,1.0,0.17544483141280115,1.0403878503118622,0.17544483141852615,11.523258317981044,50.2442627193731,10.482870471656375,50.24426273463927
0.12,1.754448314128073,27.405850590461906,45.61914940885542,0.1,0.420467092599869,1.10138534772246,74.7794483134454,120.0,1.83898685224665,1.215832681733358,0.14430014430014404,0.855699855699856,5.88010232010212,60.727133191264606,0.17262251518905702,0.827377484810943,1.0,0.1754448314128073,1.0403878503144033,0.17544483141895467,11.52325831799792,50.244262719567644,10.482870471696964,50.244262734475086
0.13,1.7544483141281384,27.405850590502293,45.61914940870986,0.1,0.420467092599869,1.10138534772246,74.77944831334028,120.0,1.83898685224665,1.2158326817362297,0.14430014430014404,0.855699855699856,5.88010232010212,60.72713319149526,0.17262251518905702,0.827377484810943,1.0,0.17544483141281386,1.0403878503168607,0.17544483141936906,11.523258318014902,50.24426271975848,10.48287047173678,50.244262734314766
0.14,1.754448314128208,27.405850590542926,45.619149408567736,0.1,0.420467092599869,1.10138534772246,74.77944831323887,120.0,1.83898685224665,1.2158326817390046,0.14430014430014404,0.855699855699856,5.88010232010212,60.727133191721485,0.17262251518905702,0.827377484810943,1.0,0.1754448314128208,1.0403878503192352,0.17544483141976946,11.523258318031987,50.24426271994565,10.482870471775831,50.244262734158234
0.15,1.7544483141282812,27.405850590583793,45.619149408428974,0.1,0.420467092599869,1.10138534772246,74.77944831314105,120.0,1.83898685224665,1.2158326817416856,0.14430014430014404,0.855699855699856,5.88010232010212,60.727133191943416,0.17262251518905702,0.827377484810943,1.0,0.17544483141282813,1.0403878503215291,0.17544483142015632,11.52325831804917,50.24426272012928,10.482870471814142,50.2442627340054
0.16,1.754448314128358,27.40585059062488,45.6191494082935,0.1,0.420467092599869,1.10138534772246,74.77944831304674,120.0,1.83898685224665,1.2158326817442742,0.14430014430014404,0.855699855699856,5.88010232010212,60.7271331921611,0.17262251518905702,0.827377484810943,1.0,0.17544483141283582,1.0403878503237443,0.17544483142052986,11.523258318066445,50.24426272030938,10.482870471851719,50.244262733856196
0.17,1.7544483141284386,27.405850590666187,45.61914940816126,0.1,0.420467092599869,1.10138534772246,74.77944831295589,120.0,1.83898685224665,1.2158326817467728,0.14430014430014404,0.855699855699856,5.88010232010212,60.72713319237462,0.17262251518905702,0.827377484810943,1.0,0.17544483141284387,1.0403878503258823,0.17544483142089043,11.523258318083814,50.24426272048605,10.482870471888578,50.24426273371055
0.18,1.7544483141285223,27.4058505907077,45.61914940803217,0.1,0.420467092599869,1.10138534772246,74.7794483128684,120.0,1.83898685224665,1.2158326817491834,0.14430014430014404,0.855699855699856,5.88010232010212,60.72713319258412,0.17262251518905702,0.827377484810943,1.0,0.17544483141285225,1.0403878503279451,0.17544483142123826,11.523258318101268,50.24426272065938,10.482870471924741,50.24426273356837
0.19,1.7544483141286096,27.405850590749413,45.61914940790617,0.1,0.420467092599869,1.10138534772246,74.7794483127842,120.0,1.83898685224665,1.2158326817515077,0.14430014430014404,0.855699855699856,5.88010232010212,60.727133192789616,0.17262251518905702,0.827377484810943,1.0,0.17544483141286096,1.040387850329934,0.17544483142157366,11.523258318118808,50.244262720829404,10.482870471960215,50.24426273342959
0.2,1.7544483141286997,27.405850590791317,45.61914940778319,0.1,0.420467092599869,1.10138534772246,74.77944831270321,120.0,1.83898685224665,1.2158326817537477,0.14430014430014404,0.855699855699856,5.88010232010212,60.727133192991225,0.17262251518905702,0.827377484810943,1.0,0.17544483141286998,1.0403878503318509,0.1754448314218969,11.523258318136426,50.24426272099621,10.482870471995017,50.24426273329414
0.21,1.7544483141287932,27.405850590833403,45.619149407663166,0.1,0.420467092599869,1.10138534772246,74.77944831262536,120.0,1.83898685224665,1.2158326817559055,0.14430014430014404,0.855699855699856,5.88010232010212,60.72713319318902,0.17262251518905702,0.827377484810943,1.0,0.17544483141287934,1.0403878503336972,0.17544483142220826,11.523258318154122,50.244262721159856,10.48287047202916,50.24426273316195
0.22,1.7544483141288894,27.405850590875666,45.61914940754604,0.1,0.420467092599869,1.10138534772246,74.7794483125506,120.0,1.83898685224665,1.2158326817579823,0.14430014430014404,0.855699855699856,5.88010232010212,60.727133193383075,0.17262251518905702,0.827377484810943,1.0,0.17544483141288894,1.0403878503354744,0.17544483142250794,11.523258318171893,50.24426272132042,10.48287047206266,50.24426273303295
0.23,1.7544483141289884,27.405850590918096,45.61914940743175,0.1,0.420467092599869,1.10138534772246,74.77944831247883,120.0,1.83898685224665,1.21583268175998,0.14430014430014404,0.855699855699856,5.88010232010212,60.72713319357346,0.17262251518905702,0.827377484810943,1.0,0.17544483141289885,1.0403878503371837,0.17544483142279624,11.523258318189733,50.24426272147794,10.482870472095524,50.244262732907075
0.24,1.75444831412909,27.405850590960686,45.61914940732023,0.1,0.420467092599869,1.10138534772246,74.77944831241001,120.0,1.83898685224665,1.2158326817619012,0.14430014430014404,0.855699855699856,5.88010232010212,60.72713319376026,0.17262251518905702,0.827377484810943,1.0,0.175444831412909,1.0403878503388277,0.17544483142307343,11.52325831820764,50.24426272163249,10.48287047212777,50.24426273278424
0.25,1.7544483141291944,27.40585059100343,45.619149407211424,0.1,0.420467092599869,1.10138534772246,74.77944831234404,120.0,1.83898685224665,1.2158326817637475,0.14430014430014404,0.855699855699856,5.88010232010212,60.72713319394357,0.17262251518905702,0.827377484810943,1.0,0.17544483141291944,1.0403878503404076,0.17544483142333986,11.523258318225613,50.24426272178416,10.482870472159414,50.24426273266441
0.26,1.754448314129301,27.405850591046317,45.619149407105276,0.1,0.420467092599869,1.10138534772246,74.77944831228089,120.0,1.83898685224665,1.215832681765519,0.14430014430014404,0.855699855699856,5.88010232010212,60.727133194123404,0.17262251518905702,0.827377484810943,1.0,0.1754448314129301,1.0403878503419235,0.1754448314235955,11.523258318243645,50.24426272193295,10.482870472190456,50.2442627325475
0.27,1.75444831412941,27.405850591089344,45.61914940700173,0.1,0.420467092599869,1.10138534772246,74.77944831222048,120.0,1.83898685224665,1.2158326817672187,0.14430014430014404,0.855699855699856,5.88010232010212,60.72713319429987,0.17262251518905702,0.827377484810943,1.0,0.175444831412941,1.0403878503433779,0.17544483142384076,11.523258318261737,50.24426272207895,10.482870472220919,50.244262732433455
0.28,1.7544483141295213,27.405850591132502,45.619149406900725,0.1,0.420467092599869,1.10138534772246,74.77944831216274,120.0,1.83898685224665,1.2158326817688483,0.14430014430014404,0.855699855699856,5.88010232010212,60.72713319447303,0.17262251518905702,0.827377484810943,1.0,0.17544483141295214,1.0403878503447723,0.1754448314240759,11.523258318279884,50.244262722222224,10.482870472250811,50.24426273232221
0.29,1.7544483141296348,27.405850591175785,45.61914940680222,0.1,0.420467092599869,1.10138534772246,74.77944831210765,120.0,1.83898685224665,1.2158326817704084,0.14430014430014404,0.855699855699856,5.88010232010212,60.72713319464294,0.17262251518905702,0.827377484810943,1.0,0.1754448314129635,1.0403878503461073,0.17544483142430103,11.523258318298083,50.2442627223628,10.48287047228014,50.24426273221372
0.3,1.7544483141297502,27.405850591219185,45.61914940670615,0.1,0.420467092599869,1.10138534772246,74.77944831205508,120.0,1.83898685224665,1.2158326817719016,0.14430014430014404,0.855699855699856,5.88010232010212,60.72713319480969,0.17262251518905702,0.827377484810943,1.0,0.17544483141297504,1.0403878503473851,0.1754448314245165,11.52325831831633,50.244262722500764,10.482870472308925,50.244262732107906
0.31,1.7544483141298677,27.405850591262695,45.619149406612465,0.1,0.420467092599869,1.10138534772246,74.77944831200503,120.0,1.83898685224665,1.2158326817733287,0.14430014430014404,0.855699855699856,5.88010232010212,60.72713319497332,0.17262251518905702,0.827377484810943,1.0,0.17544483141298678,1.0403878503486064,0.17544483142472245,11.523258318334625,50.24426272263615,10.48287047233717,50.24426273200472
0.32,1.754448314129987,27.40585059130631,45.61914940652112,0.1,0.420467092599869,1.10138534772246,74.77944831195742,120.0,1.83898685224665,1.2158326817746912,0.14430014430014404,0.855699855699856,5.88010232010212,60.72713319513389,0.17262251518905702,0.827377484810943,1.0,0.17544483141299871,1.040387850349772,0.17544483142491904,11.523258318352966,50.244262722769,10.482870472364889,50.244262731904115
0.33,1.754448314130108,27.405850591350028,45.61914940643205,0.1,0.420467092599869,1.10138534772246,74.77944831191219,120.0,1.83898685224665,1.2158326817759915,0.14430014430014404,0.855699855699856,5.88010232010212,60.72713319529152,0.17262251518905702,0.827377484810943,1.0,0.17544483141301082,1.0403878503508848,0.17544483142510667,11.523258318371346,50.24426272289942,10.482870472392099,50.24426273180602
0.34,1.7544483141302305,27.405850591393836,45.61914940634522,0.1,0.420467092599869,1.10138534772246,74.77944831186929,120.0,1.83898685224665,1.2158326817772298,0.14430014430014404,0.855699855699856,5.88010232010212,60.7271331954462,0.17262251518905702,0.827377484810943,1.0,0.17544483141302306,1.0403878503519444,0.17544483142528536,11.523258318389766,50.2442627230274,10.482870472418801,50.244262731710386
0.35000000000000003,1.7544483141303546,27.405850591437733,45.61914940626058,0.1,0.420467092599869,1.10138534772246,74.77944831182867,120.0,1.83898685224665,1.2158326817784078,0.14430014430014404,0.855699855699856,5.88010232010212,60.727133195598,0.17262251518905702,0.827377484810943,1.0,0.17544483141303546,1.0403878503529524,0.17544483142545536,11.523258318408223,50.24426272315299,10.482870472445004,50.24426273161717
0.36,1.7544483141304803,27.405850591481713,45.61914940617808,0.1,0.420467092599869,1.10138534772246,74.77944831179028,120.0,1.83898685224665,1.215832681779527,0.14430014430014404,0.855699855699856,5.88010232010212,60.727133195747015,0.17262251518905702,0.827377484810943,1.0,0.17544483141304804,1.0403878503539101,0.17544483142561687,11.523258318426715,50.244262723276286,10.482870472470728,50.2442627315263
0.37,1.7544483141306073,27.405850591525766,45.61914940609768,0.1,0.420467092599869,1.10138534772246,74.77944831175405,120.0,1.83898685224665,1.2158326817805891,0.14430014430014404,0.855699855699856,5.88010232010212,60.72713319589328,0.17262251518905702,0.827377484810943,1.0,0.17544483141306075,1.040387850354819,0.1754448314257701,11.523258318445238,50.244262723397306,10.482870472495977,50.24426273143774
0.38,1.7544483141307357,27.405850591569894,45.619149406019325,0.1,0.420467092599869,1.10138534772246,74.77944831171996,120.0,1.83898685224665,1.2158326817815948,0.14430014430014404,0.855699855699856,5.88010232010212,60.727133196036846,0.17262251518905702,0.827377484810943,1.0,0.17544483141307357,1.0403878503556796,0.17544483142591524,11.523258318463792,50.24426272351609,10.482870472520759,50.24426273135145
0.39,1.7544483141308653,27.405850591614087,45.61914940594298,0.1,0.420467092599869,1.10138534772246,74.77944831168793,120.0,1.83898685224665,1.215832681782546,0.14430014430014404,0.855699855699856,5.88010232010212,60.72713319617779,0.17262251518905702,0.827377484810943,1.0,0.17544483141308653,1.0403878503564934,0.1754448314260525,11.523258318482375,50.2442627236327,10.48287047254509,50.24426273126736
0.4,1.7544483141309961,27.40585059165834,45.61914940586859,0.1,0.420467092599869,1.10138534772246,74.77944831165793,120.0,1.83898685224665,1.2158326817834428,0.14430014430014404,0.855699855699856,5.88010232010212,60.727133196316124,0.17262251518905702,0.827377484810943,1.0,0.17544483141309963,1.040387850357261,0.17544483142618192,11.52325831850098,50.244262723747156,10.482870472568969,50.24426273118543
0.41000000000000003,1.754448314131128,27.40585059170265,45.61914940579613,0.1,0.420467092599869,1.10138534772246,74.7794483116299,120.0,1.83898685224665,1.2158326817842882,0.14430014430014404,0.855699855699856,5.88010232010212,60.72713319645195,0.17262251518905702,0.827377484810943,1.0,0.17544483141311282,1.0403878503579842,0.1754448314263039,11.523258318519611,50.244262723859535,10.482870472592417,50.24426273110562
0.42,1.754448314131261,27.405850591747008,45.61914940572555,0.1,0.420467092599869,1.10138534772246,74.77944831160382,120.0,1.83898685224665,1.2158326817850815,0.14430014430014404,0.855699855699856,5.88010232010212,60.72713319658527,0.17262251518905702,0.827377484810943,1.0,0.1754448314131261,1.0403878503586632,0.17544483142641837,11.523258318538263,50.24426272396984,10.48287047261543,50.24426273102789
0.43,1.754448314131395,27.405850591791413,45.61914940565681,0.1,0.420467092599869,1.10138534772246,74.77944831157961,120.0,1.83898685224665,1.2158326817858252,0.14430014430014404,0.855699855699856,5.88010232010212,60.727133196716174,0.17262251518905702,0.827377484810943,1.0,0.1754448314131395,1.0403878503592994,0.17544483142652567,11.523258318556934,50.24426272407815,10.482870472638027,50.24426273095219
0.44,1.7544483141315297,27.405850591835858,45.61914940558987,0.1,0.420467092599869,1.10138534772246,74.77944831155726,120.0,1.83898685224665,1.2158326817865197,0.14430014430014404,0.855699855699856,5.88010232010212,60.72713319684468,0.17262251518905702,0.827377484810943,1.0,0.17544483141315298,1.0403878503598938,0.1754448314266259,11.523258318575621,50.24426272418447,10.48287047266021,50.244262730878454
0.45,1.7544483141316654,27.405850591880338,45.619149405524695,0.1,0.420467092599869,1.10138534772246,74.7794483115367,120.0,1.83898685224665,1.2158326817871665,0.14430014430014404,0.855699855699856,5.88010232010212,60.72713319697084,0.17262251518905702,0.827377484810943,1.0,0.17544483141316655,1.0403878503604473,0.17544483142671924,11.523258318594324,50.24426272428885,10.482870472681988,50.24426273080667
0.46,1.7544483141318015,27.40585059192485,45.61914940546124,0.1,0.420467092599869,1.10138534772246,74.7794483115179,120.0,1.83898685224665,1.215832681787766,0.14430014430014404,0.855699855699856,5.88010232010212,60.72713319709472,0.17262251518905702,0.827377484810943,1.0,0.17544483141318015,1.0403878503609603,0.17544483142680575,11.52325831861304,50.24426272439135,10.482870472703373,50.244262730736786
0.47000000000000003,1.7544483141319385,27.40585059196939,45.619149405399476,0.1,0.420467092599869,1.10138534772246,74.7794483115008,120.0,1.83898685224665,1.2158326817883207,0.14430014430014404,0.855699855699856,5.88010232010212,60.72713319721637,0.17262251518905702,0.827377484810943,1.0,0.17544483141319386,1.040387850361435,0.1754448314268858,11.523258318631768,50.244262724491996,10.482870472724372,50.24426273066876
