Time,Mdm2,p53,Mdm2_p53,Mdm2_mRNA,p53_mRNA,ATMA,ATMI,p53_P,Mdm2_P,damDNA,Sink,Source,p53deg,p53syn,mdm2deg,mdm2syn,Mdm2mRNAdeg,Mdm2mRNAsyn,totp53,totMdm2,IR,ksynMdm2,kdegMdm2,ksynp53,kdegp53,kbinMdm2p53,krelMdm2p53,ksynMdm2mRNA,kdegMdm2mRNA,kactATM,kdegATMMdm2,kinactATM,kphosp53,kdephosp53,kphosMdm2,kdephosMdm2,kdam,krepair,kproteff,ksynp53mRNA,kdegp53mRNA,cell,p53mRNASynthesis,p53mRNADegradation,Mdm2Synthesis,Mdm2mRNASynthesis1,Mdm2mRNASynthesis2,Mdm2mRNADegradation,Mdm2Degradation,p53Synthesis,p53Degradation,P53_Mdm2Binding,P53_Mdm2Release,DNAdamage,DNArepair,ATMactivation,p53phoshorylation,p53dephosorylation,Mdm2phoshorylation,Mdm2dephosorylation,Mdm2Pdegradation,ATMInactivation
0.0,5.0,5.0,95.0,10.0,10.0,0.0,200.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.000495,0.000433,0.006,0.000825,0.001155,1.155e-05,0.0001,0.0001,0.0001,0.0004,0.0005,0.0005,0.5,2.0,0.5,0.08,2e-05,1.0,0.001,0.0001,1.0,0.001,0.001,0.0049499999999999995,0.0005,0.0,0.001,0.0021650000000000003,0.06,0.078375,0.028874999999999998,0.00109725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,5.0005337944778985,5.000322197735282,94.99949405435324,9.999995000163715,10.0,0.0,200.0,0.0,0.0,0.0,1.0,1.0,0.0007837479114875525,0.0006000000000000001,2.1651156488350266e-05,4.9499987616556964e-05,9.999997498294337e-06,5.00016121311454e-06,99.99981625208852,100.00002784883114,0.0,0.000495,0.000433,0.006,0.000825,0.001155,1.155e-05,0.0001,0.0001,0.0001,0.0004,0.0005,0.0005,0.5,2.0,0.5,0.08,2e-05,1.0,0.001,0.0001,1.0,0.001,0.001,0.004949997525081039,0.0005000322197735282,0.0,0.0009999995000163715,0.00216523113300893,0.06,0.07837458259484142,0.028879943553676533,0.0010972441563277798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,5.001067532961834,5.000644345985185,94.99898816236488,9.999990000654535,10.0,0.0,200.0,0.0,0.0,0.0,1.0,1.0,0.0015674916499179856,0.0012000000000000001,4.3304623758855965e-05,9.899995048879125e-05,1.99999899977356e-05,1.0000644531522196e-05,99.99963250835006,100.00005569532672,0.0,0.000495,0.000433,0.006,0.000825,0.001155,1.155e-05,0.0001,0.0001,0.0001,0.0004,0.0005,0.0005,0.5,2.0,0.5,0.08,2e-05,1.0,0.001,0.0001,1.0,0.001,0.001,0.0049499950503239945,0.0005000644345985185,0.0,0.0009999990000654534,0.002165462241772474,0.06,0.07837416523395102,0.028884886895398,0.0010972383132753143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,5.00160121544536,5.000966444743246,94.99848232404143,9.999985001472425,10.0,0.0,200.0,0.0,0.0,0.0,1.0,1.0,0.002351231215307635,0.0018,6.49604018081809e-05,0.00014849988861465418,2.9999977497909932e-05,1.5001449921296846e-05,99.99944876878467,100.0000835394868,0.0,0.000495,0.000433,0.006,0.000825,0.001155,1.155e-05,0.0001,0.0001,0.0001,0.0004,0.0005,0.0005,0.5,2.0,0.5,0.08,2e-05,1.0,0.001,0.0001,1.0,0.001,0.001,0.00494999257572885,0.0005000966444743246,0.0,0.0009999985001472424,0.002165693326287841,0.06,0.07837374791733419,0.028889830024935816,0.0010972324708426785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,5.002134841938816,5.0012884940190325,94.99797653937281,9.999980002617365,10.0,0.0,200.0,0.0,0.0,0.0,1.0,1.0,0.003134966608146755,0.0024000000000000002,8.661849036163234e-05,0.00019799980199826275,3.999995999964903e-05,2.0002577363019037e-05,99.99926503339185,100.00011138131163,0.0,0.000495,0.000433,0.006,0.000825,0.001155,1.155e-05,0.0001,0.0001,0.0001,0.0004,0.0005,0.0005,0.5,2.0,0.5,0.08,2e-05,1.0,0.001,0.0001,1.0,0.001,0.001,0.004949990101295596,0.0005001288494019033,0.0,0.0009999980002617366,0.0021659243865595076,0.06,0.07837333064498257,0.028894772942250964,0.001097226629029756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,5.00266841245641,5.001610493821905,94.9974708083465,9.999975004088975,10.0,0.0,200.0,0.0,0.0,0.0,1.0,1.0,0.003918697831564862,0.003000000000000001,0.00010827888771014658,0.00024749969064920616,4.999993750489012e-05,2.5004026478723084e-05,99.9990813021684,100.00013922080292,0.0,0.000495,0.000433,0.006,0.000825,0.001155,1.155e-05,0.0001,0.0001,0.0001,0.0004,0.0005,0.0005,0.5,2.0,0.5,0.08,2e-05,1.0,0.001,0.0001,1.0,0.001,0.001,0.004949987627024043,0.0005001610493821904,0.0,0.0009999975004088976,0.002166155422593626,0.06,0.07837291341688586,0.02889971564732562,0.0010972207878364021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,5.003201927011934,5.00193244416095,94.99696513095043,9.999970005886887,10.0,0.0,200.0,0.0,0.0,0.0,1.0,1.0,0.0047024248886000175,0.0036,0.00012994159219460364,0.00029699955457679344,5.9999910015513824e-05,3.0005796901488525e-05,99.99889757511139,100.00016705796236,0.0,0.000495,0.000433,0.006,0.000825,0.001155,1.155e-05,0.0001,0.0001,0.0001,0.0004,0.0005,0.0005,0.5,2.0,0.5,0.08,2e-05,1.0,0.001,0.0001,1.0,0.001,0.001,0.004949985152914009,0.000500193244416095,0.0,0.0009999970005886887,0.0021663864343961672,0.06,0.0783724962330341,0.02890465814013806,0.0010972149472624774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,5.003735385584801,5.002254345022606,94.99645950720266,9.999965008011651,10.0,0.0,200.0,0.0,0.0,0.0,1.0,1.0,0.0054861477747178335,0.004200000000000001,0.00015160660629128574,0.0003464993937671308,6.999987752871329e-05,3.500788917895425e-05,99.99871385222526,100.00019489278746,0.0,0.000495,0.000433,0.006,0.000825,0.001155,1.155e-05,0.0001,0.0001,0.0001,0.0004,0.0005,0.0005,0.5,2.0,0.5,0.08,2e-05,1.0,0.001,0.0001,1.0,0.001,0.001,0.004949982678965768,0.0005002254345022606,0.0,0.0009999965008011653,0.002166617421958219,0.06,0.0783720790934422,0.028909600420337103,0.0010972091073081906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,5.004268788175012,5.0025761964068725,94.9959539371032,9.999960010463267,10.0,0.0,200.0,0.0,0.0,0.0,1.0,1.0,0.006269866489918306,0.0048000000000000004,0.00017327393000019284,0.000395999208220218,7.999984004448847e-05,4.001030331112023e-05,99.99853013351007,100.0002227252782,0.0,0.000495,0.000433,0.006,0.000825,0.001155,1.155e-05,0.0001,0.0001,0.0001,0.0004,0.0005,0.0005,0.5,2.0,0.5,0.08,2e-05,1.0,0.001,0.0001,1.0,0.001,0.001,0.004949980205179318,0.0005002576196406872,0.0,0.0009999960010463268,0.00216684838527978,0.06,0.07837166199811013,0.028914542487768837,0.001097203267973542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,5.004802134782567,5.00289799831375,94.99544842065202,9.999955013241737,10.0,0.0,200.0,0.0,0.0,0.0,1.0,1.0,0.0070535810342014366,0.0054,0.0001949435633213249,0.0004454989979360551,8.99997975628394e-05,4.5013039297986466e-05,99.99834641896578,100.00025055543459,0.0,0.000495,0.000433,0.006,0.000825,0.001155,1.155e-05,0.0001,0.0001,0.0001,0.0004,0.0005,0.0005,0.5,2.0,0.5,0.08,2e-05,1.0,0.001,0.0001,1.0,0.001,0.001,0.004949977731554659,0.000500289799831375,0.0,0.0009999955013241736,0.0021670793243608517,0.06,0.07837124494703793,0.028919484342279398,0.001097197429258531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
