data_generator_T,data_generator_VCT,data_generator_VRE,data_generator_VTC
0.0,-70.562881,-89.447517,-76.745567
5.0,-53.052677,-75.848511,-63.673504
10.0,-59.177479,-76.063782,-64.642189
15.0,-14.365949,-77.262505,-57.769737
20.0,-69.033791,-69.709084,-78.470161
25.0,-27.245897,-71.480637,-66.181564
30.0,-28.937981,-72.885323,-62.185654
35.0,-30.758623,-73.699043,-60.74168
40.0,-56.53009,-74.669495,-62.70927
45.0,-55.918056,-75.989861,-63.636742
50.0,-63.772533,-77.629517,-62.927895
55.0,-70.881165,-79.427101,-63.840931
60.0,-72.142029,-81.19207,-54.14917
65.0,-14.383657,-69.350204,-75.586441
70.0,-28.068563,-72.218842,-71.102928
75.0,-29.259205,-73.249161,-61.071003
80.0,-31.453497,-74.072876,-62.422932
85.0,-61.603664,-75.156937,-63.662472
90.0,-56.858471,-76.598892,-64.270683
95.0,-59.601025,-78.309731,-61.824665
100.0,-65.059265,-80.106689,-63.444782
105.0,-69.02314,-81.819519,-64.278328
110.0,-71.441216,-83.340256,-64.706215
115.0,-72.768799,-84.628471,-64.939201
120.0,-73.402138,-85.688133,-65.073677
125.0,-73.620911,-86.544304,-65.156929
130.0,-73.605171,-87.228546,-65.211449
135.0,-73.464851,-87.771675,-65.248146
140.0,-73.264679,-88.200897,-65.272644
145.0,-73.041695,-88.539062,-65.288025
150.0,-72.816383,-88.804855,-65.29612
155.0,-72.599586,-89.013336,-65.298096
160.0,-72.396614,-89.176521,-65.294731
165.0,-72.209618,-89.30397,-65.286575
170.0,-72.039024,-89.403244,-65.274017
175.0,-71.884346,-89.480324,-65.257362
180.0,-71.744629,-89.539925,-65.236839
185.0,-71.618721,-89.585754,-65.212631
190.0,-71.505424,-89.62075,-65.184883
195.0,-71.403549,-89.647224,-65.153709
200.0,-71.312004,-89.666992,-65.119209
205.0,-71.229744,-89.68148,-65.081459
210.0,-71.155838,-89.691818,-65.04052
215.0,-71.089417,-89.698898,-64.996445
220.0,-71.029724,-89.703423,-64.949272
225.0,-70.976059,-89.705925,-64.899025
230.0,-70.927795,-89.706856,-64.845726
235.0,-70.884377,-89.706551,-64.789383
240.0,-70.845299,-89.705284,-64.729988
245.0,-70.810112,-89.703255,-64.667534
250.0,-70.778397,-89.700638,-64.601997
255.0,-70.749809,-89.697563,-64.533348
260.0,-70.724014,-89.69413,-64.461555
265.0,-70.700714,-89.690422,-64.386559
270.0,-70.679657,-89.686501,-64.308296
275.0,-70.660591,-89.682411,-64.226692
280.0,-70.643318,-89.678192,-64.14167
285.0,-70.62764,-89.673882,-64.053116
290.0,-70.61338,-89.669479,-63.960915
295.0,-70.600395,-89.665024,-63.864933
300.0,-70.588531,-89.660507,-63.765011
305.0,-70.57766,-89.655952,-63.660969
310.0,-70.56768,-89.651352,-63.552597
315.0,-70.558479,-89.646706,-63.439655
320.0,-70.549965,-89.642021,-63.321865
325.0,-70.542038,-89.637299,-63.198902
330.0,-70.53463,-89.632515,-63.070385
335.0,-70.527664,-89.627678,-62.935863
340.0,-70.521065,-89.622772,-62.794811
345.0,-70.514771,-89.617783,-62.64658
350.0,-70.50872,-89.612701,-62.490398
355.0,-70.502846,-89.607513,-62.325306
360.0,-70.497086,-89.602188,-62.150108
365.0,-70.491379,-89.596695,-61.963272
370.0,-70.485657,-89.591019,-61.762802
375.0,-70.479836,-89.585106,-61.546013
380.0,-70.473831,-89.578896,-61.309166
385.0,-70.467537,-89.572334,-61.046818
390.0,-70.460823,-89.565308,-60.750549
395.0,-70.453484,-89.557678,-60.406269
400.0,-70.445244,-89.549217,-59.987434
405.0,-70.435616,-89.539513,-59.433865
410.0,-70.423676,-89.527702,-58.552101
415.0,-70.406967,-89.510712,-55.436096
420.0,22.008076,-54.298332,-77.857063
425.0,-27.943422,-42.721603,-76.743889
