Time,ARGex,ORN,ARGin,extracellular,cytosol,Arginase,Arginine_transport,Ornithine_efflux,NOS,ODC
0.0,330.0,1.0,1.0,1.0,1.0,0.07321131447587355,247.4837031858355,0.43271067223596876,0.07823529411764707,0.00014285714285714284
0.01,330.0,0.9973256314603838,3.447962264508036,1.0,1.0,0.2520199166995699,242.82106130594104,0.42799112373972203,0.2357979591602057,0.00014247927748442022
0.02,330.0,0.9964607806262775,5.848009008117167,1.0,1.0,0.4267649226791448,238.5208330342066,0.4242937977368589,0.3559982045918296,0.00014235707671500552
0.03,330.0,0.9973565036632951,8.20387437820526,1.0,1.0,0.5977520275008898,234.53700310405742,0.4215507081005058,0.450801915119759,0.0001424836395890344
0.04,330.0,0.9999673295358983,10.518776702895945,1.0,1.0,0.7652454404984527,230.83143938695576,0.41970297953224045,0.5275497120997988,0.000142852526934341
0.05,330.0,1.0042508092625704,12.795523101266468,1.0,1.0,0.9294761776207596,227.3722084957388,0.41869908635245606,0.5909962345478601,0.00014345770009992356
0.06,330.0,1.0101671467199704,15.0365859811959,1.0,1.0,1.0906481518820328,224.13232086214248,0.41849351520562544,0.6443575774444751,0.00014429347092824126
0.07,330.0,1.0176788995216763,17.244159322603988,1.0,1.0,1.2489426832983888,221.0887801647777,0.4190457359072538,0.6898875581873744,0.00014535446139410745
0.08,330.0,1.026750726421279,19.420202778607905,1.0,1.0,1.4045220411741124,218.2218492306656,0.42031939217594705,0.7292129256568771,0.0001466355696205503
0.09,330.0,1.0373491657936584,21.566477801316335,1.0,1.0,1.557532342756811,215.51447457030997,0.4222816534361236,0.7635375247967925,0.0001481319401200734
0.1,330.0,1.0494424611474988,23.68457457473111,1.0,1.0,1.7081057382969032,212.95183397298857,0.4249027014349402,0.7937714974132569,0.00014983894053759972
0.11,330.0,1.0630004019358694,25.775935118291546,1.0,1.0,1.856362279052017,210.5209732662522,0.42815530780528577,0.8206158308666424,0.0001517521404321368
