Time,D_1,E_1,R_1,RS_1,theta_1,X_1,GF_1,k1_1,dD_1,aD_1,aE_1,k2_1,aF_1,pX_1,RT_1,qX_1,pS_1,pD_1,qD_1,pE_1,qE_1,atheta_1,k3_1,dtheta_1,qtheta_1,aX_1,f_1,g_1,dX_1,dE_1,fC_1_1,Rb_phos,cell,_1,cyclinD_1,cyclinEsynthesis_1,cyclinEdegradation_1,pRBsynthesis_1,pRBdeplation_1,_2,null2_1,null3_1,E2Fdegradationviacellcycleprogression_1,cellcycleprogression_1,cellcycleprogressionslow_1
0.0,0.0,0.0,2.5,0.0,0.0,0.0,6.3,0.05,0.4,0.4,0.16,1000.0,0.9,0.48,2.5,0.8,0.6,0.48,0.6,0.096,0.6,0.05,1.5,0.12,0.3,0.08,0.35,0.528,1.04,0.2,0.003,0.0,1.0,0.09581749049429658,0.0,0.1599746072052055,0.0,0.0,0.0,0.0,0.0,0.04521531100478469,0.0,0.0,0.0
0.01,0.0009581728608527636,0.001600069999652183,2.4999966257445725,3.3742468040895616e-06,0.0004487792000293278,1.4223732249908272e-06,6.3,0.05,0.4,0.4,0.16,1000.0,0.9,0.48,2.5,0.8,0.6,0.48,0.6,0.096,0.6,0.05,1.5,0.12,0.3,0.08,0.35,0.528,1.04,0.2,0.003,8.623324276868516e-12,1.0,0.09581749049429658,6.132574596525652e-07,0.16003923141000975,4.551793451232695e-10,7.359338252362265e-18,0.0006731678914666007,2.5823509506523078e-09,8.615425807330984e-10,0.045215378321664695,2.553313966333338e-10,0.0002850783199841486,1.4792681539904604e-06
0.02,0.0019163334547632395,0.003200781403353699,2.4999865700632693,1.3429799565231464e-05,0.0008908777534000818,5.654617145065673e-06,6.3,0.05,0.4,0.4,0.16,1000.0,0.9,0.48,2.5,0.8,0.6,0.48,0.6,0.096,0.6,0.05,1.5,0.12,0.3,0.08,0.35,0.528,1.04,0.2,0.003,1.37165390157179e-10,1.0,0.09581749049429658,2.45350579385229e-06,0.16010289360169513,3.6198386802022387e-09,4.65367370712762e-16,0.0013363094514410047,2.0522772537561077e-08,6.841088592541827e-09,0.045215444636447694,2.0149910674033534e-09,0.0005678697260123621,5.8808018308683e-06
0.03,0.002874469508384879,0.004802124622620729,2.499969932494642,3.0066814619722633e-05,0.001326395471565938,1.2645080766400444e-05,6.3,0.05,0.4,0.4,0.16,1000.0,0.9,0.48,2.5,0.8,0.6,0.48,0.6,0.096,0.6,0.05,1.5,0.12,0.3,0.08,0.35,0.528,1.04,0.2,0.003,6.907381333576268e-10,1.0,0.09581749049429658,5.521424321275013e-06,0.16016560815311104,1.2144650740671875e-08,5.240580851858918e-15,0.001989569278507138,6.88078221065638e-08,2.2916969225365685e-08,0.04521550996410542,6.7086683742775426e-09,0.0008484083852631616,1.3150883997056463e-05
0.04,0.003832568741811306,0.006404090185566444,2.499946811139843,5.3186688883272314e-05,0.0017554309116548051,2.234298495706462e-05,6.3,0.05,0.4,0.4,0.16,1000.0,0.9,0.48,2.5,0.8,0.6,0.48,0.6,0.096,0.6,0.05,1.5,0.12,0.3,0.08,0.35,0.528,1.04,0.2,0.003,2.171273827400455e-09,1.0,0.09581749049429658,9.817646345977009e-06,0.1602273892564838,2.8617298135959243e-08,2.9106830082133924e-14,0.002633090345860642,1.620240036156572e-07,5.3917707092931514e-08,0.04521557431942144,1.5687458232096835e-08,0.0011267280356125023,2.3236704355347206e-05
0.05,0.004790618869040559,0.008006668735653788,2.4999173026797448,8.269204832033187e-05,0.0021780813887789423,3.4698408620318814e-05,6.3,0.05,0.4,0.4,0.16,1000.0,0.9,0.48,2.5,0.8,0.6,0.48,0.6,0.096,0.6,0.05,1.5,0.12,0.3,0.08,0.35,0.528,1.04,0.2,0.003,5.271934888639862e-09,1.0,0.09581749049429658,1.534275932927206e-05,0.1602882509251897,5.556373269544931e-08,1.0975188959829834e-13,0.0032670140102719234,3.1436355072941314e-07,1.0452482241017717e-07,0.045215637716993,3.0226887131528597e-08,0.0014028619900147818,3.608634496513157e-05
0.06,0.005748607598406327,0.009609851030881437,2.4998815023866463,0.00011848674093673458,0.0025944429837266264,4.966227834601337e-05,6.3,0.05,0.4,0.4,0.16,1000.0,0.9,0.48,2.5,0.8,0.6,0.48,0.6,0.096,0.6,0.05,1.5,0.12,0.3,0.08,0.35,0.528,1.04,0.2,0.003,1.0872416744689417e-08,1.0,0.09581749049429658,2.2097305062271165e-05,0.16034820699486216,9.54494193518715e-08,3.2394927752454597e-13,0.003891480014409007,5.396302540592361e-07,1.792756322184042e-07,0.04521570017123225,5.152984954517313e-08,0.0016768431392890563,5.164876947985391e-05
0.07,0.006706522633054888,0.011213627942325548,2.4998395041439565,0.00016047582292428512,0.003004610557571861,6.71863532469594e-05,6.3,0.05,0.4,0.4,0.16,1000.0,0.9,0.48,2.5,0.8,0.6,0.48,0.6,0.096,0.6,0.05,1.5,0.12,0.3,0.08,0.35,0.528,1.04,0.2,0.003,2.003311916354278e-08,1.0,0.09581749049429658,3.0081779837545202e-05,0.16040727112549585,1.5068055362261174e-07,8.075034957162237e-13,0.004506626499831683,8.512452906390646e-07,2.82566028638059e-07,0.045215761696368324,8.072945079156562e-08,0.0019487039572627022,6.987380737683778e-05
0.08,0.007664351671430366,0.012817990452557312,2.499791400467395,0.00020856554344847797,0.0034086777676334335,8.722320897129756e-05,6.3,0.05,0.4,0.4,0.16,1000.0,0.9,0.48,2.5,0.8,0.6,0.48,0.6,0.096,0.6,0.05,1.5,0.12,0.3,0.08,0.35,0.528,1.04,0.2,0.003,3.3989156822400446e-08,1.0,0.09581749049429658,3.929663461977445e-05,0.16046545680374474,2.2360525196710067e-07,1.7785920032735395e-12,0.0051125900222966725,1.2622530476451354e-06,4.1865323349638696e-07,0.045215822306449834,1.1889175822793322e-07,0.002218476506365705,9.071213733014946e-05
0.09,0.008622082407653905,0.01442292965549605,2.499737282508338,0.00026266334453540677,0.0038067370680904987,0.00010972623290706069,6.3,0.05,0.4,0.4,0.16,1000.0,0.9,0.48,2.5,0.8,0.6,0.48,0.6,0.096,0.6,0.05,1.5,0.12,0.3,0.08,0.35,0.528,1.04,0.2,0.003,5.414712633822205e-08,1.0,0.09581749049429658,4.9742275219792925e-05,0.16052277734301054,3.1651474771622245e-07,3.5643270010355537e-12,0.005709505544287381,1.7853270402482236e-06,5.916585625358636e-07,0.045215882015344905,1.6701847956440088e-07,0.002486192437958482,0.00011411528222334313
