Time,EGF,EGFR,pEGFR,pEGFR_Akt,Akt,pAkt,S6,pAkt_S6,pS6,pro_EGFR,EGF_EGFR,EGFR_i,EGF_EGFR_i,Inhibitor,pEGFR_total,pAkt_total,pEGFR_scaleFactor,pAkt_scaleFactor,pS6_scaleFactor,pS6_total,EGF_conc_step,EGF_conc_pulse,EGF_conc_ramp,EGFR_turnover,EGF_binding_kf,EGF_binding_kb,inhibitor_binding_kf,inhibitor_binding_kb,pulse_time,ramp_time,Cell,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6,reaction_7,reaction_8,reaction_9,reaction_10,reaction_11,reaction_12,reaction_13,reaction_14,reaction_15
0.0,30.0,68190.2000000002,0.0,0.0,0.043309,0.0,3.54317,0.0,0.0,68190.2000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.000181735,60.0588,49886.2,0.0,30.0,0.0,0.0,0.000106386,0.00673816,0.040749,2.43466029020655e-05,5.25096686262403e-05,60.0,3600.0,1.0,13784.294340960041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.254482617200021,0.0,7.254482617200021,0.0,0.0,0.0,0.0
0.01,30.0,68052.52439853035,0.013243888285148189,2.972175104901268e-11,0.043308999970274306,3.931851039289233e-15,3.54317,5.933211386413383e-23,1.2436349498531333e-28,68190.2000000002,137.66242644140314,0.0,0.0,0.0,2.406878042902889e-06,2.3614225876187977e-13,0.000181735,60.0588,49886.2,6.204022183536337e-24,30.0,0.0,0.0,0.000106386,0.00673816,0.040749,2.43466029020655e-05,5.25096686262403e-05,60.0,3600.0,1.0,13750.854327820978,8.914993257820036e-09,1.5697275320776606e-12,0.0013206725934620063,2.928188495790731e-20,7.208733170264533e-26,1.2894977305473754e-16,1.4065760009828908e-31,7.254482617200021,2.648501188548799,7.239835860662049,0.0,0.0,0.0,0.0
0.02,30.0,67915.18293215458,0.0529117115028284,2.3752575250702665e-10,0.04330899976241157,6.266041769310359e-14,3.54317,1.862946431509084e-21,7.607958026035573e-27,68190.2000000002,274.9644137536916,0.0,0.0,0.0,9.61590993313326e-06,3.7633096060328974e-12,0.000181735,60.0588,49886.2,3.795321156784158e-22,30.0,0.0,0.0,0.000106386,0.00673816,0.040749,2.43466029020655e-05,5.25096686262403e-05,60.0,3600.0,1.0,13717.49654588775,3.56163838243258e-08,1.2544708845481357e-11,0.005276324124035146,4.66654286739093e-19,2.263442655354907e-24,2.055023590746564e-15,8.604752686606753e-30,7.254482617200021,5.290067852648647,7.225224651420197,0.0,0.0,0.0,0.0
0.03,30.0,67778.17477922325,0.11890790848361708,8.008068176040513e-10,0.043308999198875875,3.1730195124788206e-13,3.54317,1.417818855070314e-20,8.615176064797452e-26,68190.2000000002,411.9068524905878,0.0,0.0,0.0,2.160972889380478e-05,1.905677528113129e-11,0.000181735,60.0588,49886.2,4.297783962036986e-21,30.0,0.0,0.0,0.000106386,0.00673816,0.040749,2.43466029020655e-05,5.25096686262403e-05,60.0,3600.0,1.0,13684.22079277899,8.003892564448994e-08,4.229389134562213e-11,0.011857425289241205,2.363059826152412e-18,1.72262155253333e-23,1.040629825351579e-14,9.743936432807214e-29,7.254482617200021,7.924717125751668,7.210648902062444,0.0,0.0,0.0,0.0
0.04,30.0,67641.49912009785,0.2111371828955506,1.896218700919181e-09,0.04330899810277937,1.0019194729173785e-12,3.54317,5.971153875395492e-20,4.838033719616393e-25,68190.2000000002,548.4906310253547,0.0,0.0,0.0,3.83710162781322e-05,6.017408482625362e-11,0.000181735,60.0588,49886.2,2.413511177435273e-20,30.0,0.0,0.0,0.000106386,0.00673816,0.040749,2.43466029020655e-05,5.25096686262403e-05,60.0,3600.0,1.0,13651.026866608705,1.4211755332236867e-07,1.0014708409221573e-10,0.02105447319603457,7.46164858482464e-18,7.254832535528015e-23,3.2859151417692925e-14,5.471912897560533e-28,7.254482617200021,10.5524660993599,7.19610852539073,0.0,0.0,0.0,0.0
0.05,30.0,67505.15513716698,0.3295045052954541,3.699668759973844e-09,0.04330899629788722,2.444016369288922e-12,3.54317,1.8212057202476132e-19,1.844672502077726e-24,68190.2000000002,684.7166355335152,0.0,0.0,0.0,5.988250194222865e-05,1.467847012577925e-10,0.000181735,60.0588,49886.2,9.202370137314985e-20,30.0,0.0,0.0,0.000106386,0.00673816,0.040749,2.43466029020655e-05,5.25096686262403e-05,60.0,3600.0,1.0,13617.914565990235,2.2178738281693547e-07,1.953946758561346e-10,0.032857991565359505,1.820145408501984e-17,2.2127285259864452e-22,8.015444965047334e-14,2.0863614932999496e-27,7.254482617200021,13.17333182269285,7.181603434422645,0.0,0.0,0.0,0.0
0.06,30.0,67369.14201482799,0.47391511070438114,6.386324938890884e-09,0.043308993608611526,5.063531186564774e-12,3.54317,4.528863314025193e-19,5.505519583466023e-24,68190.2000000002,820.5857500126452,0.0,0.0,0.0,8.612696380447947e-05,3.0410963402746605e-10,0.000181735,60.0588,49886.2,2.746494510447027e-19,30.0,0.0,0.0,0.000106386,0.00673816,0.040749,2.43466029020655e-05,5.25096686262403e-05,60.0,3600.0,1.0,13584.883690031735,3.1898370907033854e-07,3.3728800395507705e-10,0.04725853049037446,3.770990716692272e-17,5.50247834927433e-22,1.6606458150081563e-13,6.226852759291741e-27,7.254482617200021,15.787331303068282,7.1671335423894895,0.0,0.0,0.0,0.0
0.07,30.0,67233.4589394835,0.6442744980995554,1.0130617465596837e-08,0.04330898986001005,9.372474217295375e-12,3.54317,9.782377863475834e-19,1.3879887025394e-23,68190.2000000002,956.0988562862924,0.0,0.0,0.0,0.00011708722775321047,5.62899613273487e-10,0.000181735,60.0588,49886.2,6.924148201262101e-19,30.0,0.0,0.0,0.000106386,0.00673816,0.040749,2.43466029020655e-05,5.25096686262403e-05,60.0,3600.0,1.0,13551.934038335294,4.336420049626872e-07,5.35039443889778e-10,0.0642466663857888,6.980012952154136e-17,1.1885393456565868e-21,3.0738153892526257e-13,1.5698429823461122e-26,7.254482617200021,18.394481505977605,7.152698762735892,0.0,0.0,0.0,0.0
0.08,30.0,67098.10509954012,0.8404884302195127,1.5106239699868133e-08,0.04330898487778563,1.5974655077039566e-11,3.54317,1.9065776999784467e-18,3.096993901799521e-23,68190.2000000002,1091.256834005279,0.0,0.0,0.0,0.00015274616761127563,9.594187288476726e-10,0.000181735,60.0588,49886.2,1.5449725718395125e-18,30.0,0.0,0.0,0.000106386,0.00673816,0.040749,2.43466029020655e-05,5.25096686262403e-05,60.0,3600.0,1.0,13519.065410996636,5.656979204910793e-07,7.978224541328056e-10,0.08381300196843168,1.1896890485776938e-16,2.3164537739198133e-21,5.239079828376049e-13,3.502762042813294e-26,7.254482617200021,20.99479935511096,7.138299009119675,0.0,0.0,0.0,0.0
0.09,30.0,66963.07968540164,1.0624629326438129,2.148615090133939e-08,0.04330897848828387,2.5565215456218738e-11,3.54317,3.434155690752874e-18,6.283050358699413e-23,68190.2000000002,1226.060560655087,0.0,0.0,0.0,0.00019308670496880897,1.5354163682932197e-09,0.000181735,60.0588,49886.2,3.1343750680415063e-18,30.0,0.0,0.0,0.000106386,0.00673816,0.040749,2.43466029020655e-05,5.25096686262403e-05,60.0,3600.0,1.0,13486.277608603443,7.150872814592917e-07,1.1347717223184287e-09,0.10594816616548143,1.9039319914022885e-16,4.172430481150927e-21,8.384419191452409e-13,7.106255616696209e-26,7.254482617200021,23.588301732499286,7.123934195411138,0.0,0.0,0.0,0.0
