T,H,IC,ICA,IH,INA,INN,INR,INV,S1,X,XE,XN,XR,XV,Y,YN,YR,YV
0.0,0.097800002,4.0999999,1.87,0.53789997,0.0,0.0,0.0,0.0,0.0,2.0,0.58163953,-3.0,-1.0,-2.0,6.0,0.0,-2.0,0.0
0.048,0.10017636,2.7761698,0.54616982,0.55096996,-0.0002782724,-0.00013883084,0.0014231247,0.0002868858,0.091623306,1.7310961,0.5823558,-1.5533201,2.3083751,-1.7682657,5.9791441,0.0,-1.4404393,0.0
0.096000001,0.10254646,2.7854238,0.55542368,0.56400549,-0.0012353361,-0.00089561078,0.00044799081,0.0028555917,0.17485178,1.7328918,0.58296663,-1.5510255,2.2451341,-1.7658615,5.9597383,0.0,-0.85819745,0.0
0.14399999,0.10491031,2.7950387,0.56503868,0.57700676,-0.00038703124,-0.0045266845,-0.00067951722,0.0021173714,0.25045457,1.7359672,0.58353931,-1.5553977,2.1826212,-1.7655872,5.9416814,0.0,-0.32032543,0.0
0.192,0.10726795,2.8050165,0.57501656,0.58997369,-0.00050113251,-0.0040842942,-0.0016110594,0.0018865558,0.31913042,1.7380897,0.58408225,-1.5561192,2.1207373,-1.7654083,5.92488,0.0,0.17655788,0.0
0.23999999,0.10961936,2.8153586,0.58535862,0.60290653,-0.00046243562,-0.0030624988,-0.0039526382,0.002124405,0.38151395,1.7405699,0.58459908,-1.5549253,2.0589099,-1.765053,5.9092464,0.0,0.63557607,0.0
0.28799999,0.11196459,2.826066,0.59606594,0.61580527,-0.0022618622,-0.0029005387,-0.0041342033,0.0031702586,0.43818167,1.7407554,0.58507955,-1.5544593,1.9978712,-1.7636205,5.8946996,0.0,1.0596147,0.0
0.336,0.11430364,2.8371391,0.60713911,0.62867004,-0.0021658039,-0.0019196158,-0.0049514864,0.003543203,0.48965734,1.7429636,0.58553445,-1.553589,1.9370329,-1.7630181,5.8811641,0.0,1.4513392,0.0
0.384,0.11663653,2.8485785,0.61857837,0.64150095,-0.0021637902,-0.0028855125,-0.0055649728,0.0026220442,0.53641659,1.7450871,0.58596539,-1.555433,1.8757476,-1.7635593,5.8685699,0.0,1.8132123,0.0
0.43200001,0.11896328,2.8603835,0.63038361,0.65429801,-0.0015138154,-0.00015938662,-0.0037809354,0.00070769532,0.57889163,1.7470732,0.58638483,-1.5525802,1.8160937,-1.7650632,5.8568511,0.0,2.1475089,0.0
0.47999999,0.12128389,2.8725543,0.64255428,0.66706139,0.00069956924,-0.0014784239,-0.0045939926,0.00066340517,0.61747497,1.7508876,0.58679491,-1.5534841,1.7552042,-1.7650166,5.8459468,0.0,2.4563301,0.0
0.528,0.1235984,2.8850894,0.6550895,0.67979115,0.0019621584,-0.0037523238,-0.0030324238,-0.00059087772,0.65252322,1.7532022,0.58719176,-1.5549774,1.6928222,-1.7656196,5.8358006,0.0,2.7416174,0.0
0.57599998,0.1259068,2.8979878,0.66798794,0.69248742,-0.00084473653,-0.0041316221,-0.0030911407,-0.00075205992,0.68436015,1.7523389,0.58756739,-1.5558624,1.6282682,-1.7657012,5.8263597,0.0,3.0051646,0.0
0.62400001,0.12820913,2.9112477,0.68124783,0.70515019,-0.0011722255,-0.0034943696,-0.0034481511,-0.0010607628,0.71328014,1.7538009,0.58792269,-1.5552191,1.5602007,-1.7661924,5.8175755,0.0,3.2486279,0.0
0.67199999,0.1305054,2.9248672,0.69486707,0.71777964,-0.0010979502,-0.0020156109,-0.0031970495,-0.0024767807,0.73955035,1.7555138,0.58827472,-1.5530525,1.4892626,-1.7677251,5.8094015,0.0,3.4735382,0.0
0.72000003,0.1327956,2.9388433,0.70884317,0.73037583,-0.0029779586,-0.0028266392,-0.0061620669,-0.0001496523,0.76341361,1.7550811,0.58861285,-1.5523014,1.4070181,-1.7660364,5.801796,0.0,3.681309,0.0
0.76800001,0.13507979,2.9531732,0.72317308,0.74293882,-0.0025661311,-0.0015909665,-0.0048891827,0.00068988482,0.78509045,1.7568209,0.5889225,-1.5507331,1.3163744,-1.7654221,5.7947192,0.0,3.8732464,0.0
