Time,ATM,AURKB,BAD,BRCA1,CSF1R,MAP2K3,MAP2K4,MAPK13,MAPK14,PARP1,PIK3R1,PKN1,PRKACA,PTEN,SHC1,SRC,TGFBR1,TP53,YWHAZ,ZAK,k_pkn1,kd_pkn1,k_zak,kd_zak,k_map2k3,kd_map2k3,k_mapk14,kd_mapk14,k_map2k4,kd_map2k4,k_tp53,k_atm,kd_tp53,kd_atm,k_mapk13,kd_mapk13,k_prkaca,kd_prkaca,k_src,kd_src,k_bad,kd_bad,k_pik3r1,kd_pik3r1,k_csf1r,kd_csf1r,k_shc1,kd_shc1,k_pten,kd_pten,k_parp1,kd_parp1,k_aurkb,kd_aurkb,k_brca1,kd_brca1,k_ywhaz,kd_ywhaz,k_tgfbr1,kd_tgfbr1,Cell,PKN1_Prod,PKN1_Degrad,ZAK_Prod,ZAK_Degrad,MAP2K3_Prod,MAP2K3_Degrad,MAPK14_Prod,MAPK14_Degrad,MAP2K4_Prod,MAP2K4_Degrad,TP53_Prod,TP53_Degrad,ATM_Prod,ATM_Degrad,MAPK14_Prod2,MAPK13_Prod,MAPK13_Degrad,PRKACA_Prod,PRKACA_Degrad,SRC_Prod,SRC_Degrad,BAD_Prod,BAD_Degrad,TP53_Prod2,TP53_Prod3,PTEN_Prod,PTEN_Degrad,SHC1_Prod,SHC1_Degrad,PIK3R1_Degrad,PARP1_Prod,PARP1_Degrad,AURKB_Prod,AURKB_Degrad,ATM_Prod2,TP53_Prod4,BRCA1_Prod,BRCA1_Degrad,TP53_Prod5,TP53_Prod6,BRCA1_Prod2,SRC_Prod2,YWHAZ_Prod,YWHAZ_Degrad,MAP2K3_Prod2,MAP2K4_Prod2,TGFBR1_Prod,TGFBR1_Degrad,BAD_Degrad2,PIK3R1_Prod,CSF1R_Prod,TGFBR1_Prod2,MAPK14_Prod3,MAPK14_Prod4,PIK3R1_Prod2,CSF1R_Prod2,CSF1R_Degrad,ATM_Prod3,PRKACA_Prod2,TP53_Degrad2
0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.005,0.1,0.5,0.2,0.6,2.0,5.0,0.2,0.6,0.6,0.1,2.0,3.0,2.0,1.4,2.0,6.0,0.2,1.0,5.0,0.04,2.0,10.0,2.0,30.0,2.0,0.06,0.2,0.5,0.5,0.005,3.0,4.5,2.0,20.0,0.9,0.072,0.5,0.45,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.4,2.0,6.0,0.2,1.0,5.0,0.04,0.6,0.6,0.0,0.5,2.0,0.06,10.0,0.5,0.005,3.0,4.5,0.1,0.6,2.0,20.0,0.6,0.6,2.0,0.2,0.0,0.072,0.0,0.0,0.0,0.45,0.000532,2.0,2.0,0.5,2.0,2.0,2.0,2.0,30.0,0.1,2.0,0.0
1.0,0.1555815044037826,0.9273127393357703,5.860377941544498,0.1630381653488354,0.24120813991174891,0.0425384808476345,0.0038220541465252803,0.2481441486970945,1.3597053287485752,1.4937645599244516,0.8917209740898485,0.49875208073176847,0.4024825289495607,0.7861373403658753,2.7993681718801557,0.45892855792156256,0.9238171219627652,1.9774967004612207,0.9370507015820639,0.021269240423817243,0.5,0.005,0.1,0.5,0.2,0.6,2.0,5.0,0.2,0.6,0.6,0.1,2.0,3.0,2.0,1.4,2.0,6.0,0.2,1.0,5.0,0.04,2.0,10.0,2.0,30.0,2.0,0.06,0.2,0.5,0.5,0.005,3.0,4.5,2.0,20.0,0.9,0.072,0.5,0.45,1.0,0.5,0.0024937604036588423,0.04987520807317685,0.010634620211908622,0.0997504161463537,0.0255230885085807,0.085076961695269,6.798526643742876,0.0085076961695269,0.002293232487915168,0.8158231972491451,3.9549934009224414,0.13597053287485752,0.4667445132113478,0.0076441082930505605,0.0076441082930505605,0.3474018081759323,0.496288297394189,2.4148951736973645,0.08049650578991215,0.45892855792156256,5.0,0.23441511766177991,0.27535713475293755,3.516226764926699,0.3954993400922442,0.3930686701829377,1.8476342439255304,0.1320412709608049,7.010151549194612,0.5,0.007468822799622258,4.481293679773355,4.172907327010966,0.14937645599244517,0.8962587359546709,2.987529119848903,3.260763306976708,0.09334890264226955,0.09782289920930123,0.3111630088075652,0.04824162798234979,0.019142316381435518,0.0674676505139086,0.004253848084763449,0.004253848084763449,0.010634620211908622,0.41571770488324433,0.0029214627112032917,1.8741014031641279,1.783441948179697,0.44586048704492426,1.8476342439255304,5.5987363437603115,5.5987363437603115,5.5987363437603115,7.236244197352468,0.09273127393357704,1.8546254786715406,0.0245723556232507
2.0,0.16357387313085803,1.250743413563976,10.527967440639571,0.21218554645616658,0.3771248541987905,0.1466246728330403,0.023727665711923553,0.07674621971465947,2.140403292752687,1.9850664588323608,1.1623955859560111,0.9950166250831933,0.4293452094572366,0.9338127231615009,4.558256800931794,0.2610250275209148,1.0387397547953043,3.6913760079679108,0.9115916436082432,0.07331233641652013,0.5,0.005,0.1,0.5,0.2,0.6,2.0,5.0,0.2,0.6,0.6,0.1,2.0,3.0,2.0,1.4,2.0,6.0,0.2,1.0,5.0,0.04,2.0,10.0,2.0,30.0,2.0,0.06,0.2,0.5,0.5,0.005,3.0,4.5,2.0,20.0,0.9,0.072,0.5,0.45,1.0,0.5,0.004975083125415967,0.09950166250831934,0.036656168208260065,0.19900332501663867,0.08797480369982418,0.2932493456660806,10.702016463763435,0.02932493456660806,0.01423659942715413,1.2842419756516121,7.3827520159358215,0.21404032927526873,0.4907216193925741,0.04745533142384711,0.04745533142384711,0.10744470760052326,0.15349243942931895,2.5760712567434196,0.08586904189144733,0.2610250275209148,5.0,0.42111869762558285,0.15661501651254886,6.316780464383743,0.7382752015935822,0.46690636158075044,2.0774795095906087,0.25539349176885295,10.854597875124911,0.5,0.009925332294161805,5.955199376497083,5.6283453610378915,0.19850664588323608,1.1910398752994165,3.9701329176647215,4.243710929123331,0.09814432387851481,0.12731132787369995,0.32714774626171605,0.0754249708397581,0.06598110277486811,0.0656345983397935,0.014662467283304026,0.014662467283304026,0.036656168208260065,0.467432889657887,0.005105714200111482,1.8231832872164864,2.3247911719120222,0.5811977929780056,2.0774795095906087,9.116513601863588,9.116513601863588,9.116513601863588,11.313745625963715,0.12507434135639758,2.501486827127952,0.06186732066798289
3.0,0.21654326562709952,1.5769573106379036,15.010321816536651,0.26632961990305415,0.4997986621444194,0.28765099767968155,0.06306545971350792,0.06879465198573503,3.0018526889895605,2.4739179792966977,1.1422735656305647,1.4888060396936342,0.5294274244971447,1.2953836186203795,6.4137988029479,0.21410763536716512,1.1758347496795938,5.429244619016651,0.9418920073346501,0.14382549883984075,0.5,0.005,0.1,0.5,0.2,0.6,2.0,5.0,0.2,0.6,0.6,0.1,2.0,3.0,2.0,1.4,2.0,6.0,0.2,1.0,5.0,0.04,2.0,10.0,2.0,30.0,2.0,0.06,0.2,0.5,0.5,0.005,3.0,4.5,2.0,20.0,0.9,0.072,0.5,0.45,1.0,0.5,0.0074440301984681715,0.14888060396936342,0.07191274941992037,0.29776120793872685,0.17259059860780893,0.5753019953593631,15.009263444947802,0.05753019953593631,0.03783927582810475,1.8011116133937362,10.858489238033302,0.3001852688989561,0.6496297968812985,0.12613091942701585,0.12613091942701585,0.09631251278002904,0.13758930397147007,3.1765645469828687,0.10588548489942895,0.21410763536716512,5.0,0.600412872661466,0.12846458122029908,9.00619308992199,1.0858489238033302,0.6476918093101898,2.3516694993591876,0.49849979414794254,14.796824649009245,0.5,0.012369589896483488,7.421753937890093,7.096307897870566,0.24739179792966978,1.4843507875780186,4.947835958593395,5.3265923980610825,0.1299259593762597,0.15979777194183248,0.43308653125419905,0.0999597324288839,0.12944294895585667,0.0678162245280948,0.02876509976796815,0.02876509976796815,0.07191274941992037,0.5291256373558172,0.007521470341946937,1.8837840146693001,2.2845471312611294,0.5711367828152824,2.3516694993591876,12.8275976058958,12.8275976058958,12.8275976058958,14.993959864332583,0.15769573106379037,3.153914621275807,0.11472660570887741
4.0,0.2720611086561141,1.901593041662457,19.314239308448606,0.32053861670741296,0.6113721072362075,0.4506941741074747,0.11941250784999827,0.12071416394465263,3.8465867334636403,2.960331342579235,1.038154969342706,1.9801326692719567,0.6525172554328914,1.7871416099330037,8.183995522843608,0.22616055198871318,1.2632278501565513,7.14622598211537,1.0365696165266776,0.22534708705373735,0.5,0.005,0.1,0.5,0.2,0.6,2.0,5.0,0.2,0.6,0.6,0.1,2.0,3.0,2.0,1.4,2.0,6.0,0.2,1.0,5.0,0.04,2.0,10.0,2.0,30.0,2.0,0.06,0.2,0.5,0.5,0.005,3.0,4.5,2.0,20.0,0.9,0.072,0.5,0.45,1.0,0.5,0.009900663346359783,0.19801326692719567,0.11267354352686867,0.39602653385439135,0.2704165044644848,0.9013883482149494,19.2329336673182,0.09013883482149494,0.07164750470999896,2.307952040078184,14.29245196423074,0.38465867334636406,0.8161833259683423,0.23882501569999653,0.23882501569999653,0.1689998295225137,0.24142832788930527,3.9151035325973487,0.1305034510865783,0.22616055198871318,5.0,0.7725695723379442,0.1356963311932279,11.588543585069162,1.4292451964230741,0.8935708049665019,2.5264557003131025,0.8775575360627532,18.553299432710716,0.5,0.014801656712896174,8.880994027737705,8.557168687481056,0.2960331342579235,1.7761988055475408,5.92066268515847,6.410772334148259,0.16323666519366845,0.19232317002444776,0.5441222173122282,0.1222744214472415,0.20281237834836363,0.07463301238992077,0.04506941741074747,0.04506941741074747,0.11267354352686867,0.568452532570448,0.010650934533002344,2.073139233053355,2.076309938685412,0.519077484671353,2.5264557003131025,16.367991045687216,16.367991045687216,16.367991045687216,18.341163217086226,0.1901593041662457,3.803186083324914,0.18209546226328982
5.0,0.3247940837312074,2.2246101878748266,23.44578825574762,0.37424352191360877,0.7024981122684936,0.6267046206514093,0.18885520805438175,0.20314878668923775,4.578764599328161,3.444318709172812,0.9275948465467032,2.46900879714426,0.7863409056631517,2.35034932421935,9.648702461984707,0.259722129436154,1.3089771960868202,8.795282047923113,1.1985604036168909,0.3133523103257047,0.5,0.005,0.1,0.5,0.2,0.6,2.0,5.0,0.2,0.6,0.6,0.1,2.0,3.0,2.0,1.4,2.0,6.0,0.2,1.0,5.0,0.04,2.0,10.0,2.0,30.0,2.0,0.06,0.2,0.5,0.5,0.005,3.0,4.5,2.0,20.0,0.9,0.072,0.5,0.45,1.0,0.5,0.0123450439857213,0.246900879714426,0.15667615516285235,0.493801759428852,0.3760227723908456,1.2534092413028186,22.893822996640804,0.12534092413028186,0.11331312483262904,2.7472587595968965,17.590564095846226,0.4578764599328161,0.9743822511936222,0.3777104161087635,0.3777104161087635,0.28440830136493284,0.4062975733784755,4.718045433978911,0.15726818113263036,0.259722129436154,5.0,0.9378315302299047,0.15583327766169242,14.06747295344857,1.7590564095846226,1.175174662109675,2.6179543921736403,1.36066927866716,21.801719207303954,0.5,0.01722159354586406,10.332956127518436,10.01074584543672,0.3444318709172812,2.066591225503687,6.888637418345624,7.484870438272175,0.19487645023872444,0.22454611314816525,0.6495881674624148,0.1404996224536987,0.28201707929313424,0.08629634906041614,0.06267046206514094,0.06267046206514094,0.15667615516285235,0.5890397382390691,0.014949834907380112,2.3971208072337817,1.8551896930934064,0.4637974232733516,2.6179543921736403,19.297404923969413,19.297404923969413,19.297404923969413,21.074943368054807,0.22246101878748267,4.449220375749653,0.26218539225716714
6.0,0.37224553025565715,2.5460162857220214,27.410379304803758,0.4271880272567447,0.7647812312670079,0.810195365300668,0.26767892088661027,0.30469951738288403,5.138808743675092,3.925892179216788,0.8252746066233934,2.95544664567353,0.9264942367519566,2.9434610223472393,10.66969454163862,0.298939024397221,1.331575560915831,10.346910431381636,1.4275139419622709,0.4050976826503341,0.5,0.005,0.1,0.5,0.2,0.6,2.0,5.0,0.2,0.6,0.6,0.1,2.0,3.0,2.0,1.4,2.0,6.0,0.2,1.0,5.0,0.04,2.0,10.0,2.0,30.0,2.0,0.06,0.2,0.5,0.5,0.005,3.0,4.5,2.0,20.0,0.9,0.072,0.5,0.45,1.0,0.5,0.01477723322836765,0.295544664567353,0.20254884132516704,0.591089329134706,0.4861172191804008,1.620390730601336,25.69404371837546,0.16203907306013363,0.16060735253196615,3.083285246205055,20.69382086276327,0.5138808743675093,1.1167365907669715,0.5353578417732205,0.5353578417732205,0.4265793243360376,0.6093990347657681,5.55896542051174,0.18529884735039134,0.298939024397221,5.0,1.0964151721921505,0.17936341463833258,16.446227582882255,2.069382086276327,1.4717305111736196,2.663151121831662,1.8843498002198622,24.291636373289094,0.5,0.01962946089608394,11.777676537650363,11.457073285749097,0.3925892179216788,2.3555353075300727,7.851784358433576,8.543760545134894,0.2233473181533943,0.2563128163540468,0.7444910605113143,0.1529562462534016,0.3645879143853007,0.1027810038212835,0.08101953653006683,0.08101953653006683,0.20254884132516704,0.599209002412124,0.02081646766162734,2.8550278839245418,1.6505492132467867,0.4126373033116967,2.663151121831662,21.33938908327724,21.33938908327724,21.33938908327724,22.943436938010237,0.25460162857220214,5.092032571444043,0.3530015930337431
7.0,0.4133174124083887,2.8658193638961613,31.212853094753186,0.479256886247823,0.795674049016884,0.9978406229099964,0.352895440250712,0.4190200898214711,5.5069823105461575,4.405063791348845,0.7334032341300551,3.439458375099846,1.0706726520541543,3.5380463373555764,11.209614687001883,0.336958216412171,1.3444541384409188,11.78775324678694,1.7212356581365764,0.4989203114549982,0.5,0.005,0.1,0.5,0.2,0.6,2.0,5.0,0.2,0.6,0.6,0.1,2.0,3.0,2.0,1.4,2.0,6.0,0.2,1.0,5.0,0.04,2.0,10.0,2.0,30.0,2.0,0.06,0.2,0.5,0.5,0.005,3.0,4.5,2.0,20.0,0.9,0.072,0.5,0.45,1.0,0.5,0.01719729187549923,0.34394583750998464,0.2494601557274991,0.6878916750199693,0.5987043737459978,1.9956812458199928,27.534911552730787,0.1995681245819993,0.2117372641504272,3.3041893863276943,23.57550649357388,0.5506982310546158,1.2399522372251661,0.705790880501424,0.705790880501424,0.5866281257500595,0.8380401796429422,6.424035912324926,0.21413453041083086,0.336958216412171,5.0,1.2485141237901274,0.2021749298473026,18.72771185685191,2.357550649357388,1.7690231686777882,2.6889082768818375,2.379608171190857,25.94814626318576,0.5,0.022025318956744228,13.215191374046537,12.896187137532726,0.44050637913488455,2.643038274809307,8.81012758269769,9.585137724956459,0.2479904474450332,0.28755413174869376,0.8266348248167774,0.1591348098033768,0.4490282803094984,0.12392896738583349,0.09978406229099965,0.09978406229099965,0.2494601557274991,0.6050043622984135,0.028581527493077657,3.442471316273153,1.4668064682601103,0.3667016170650276,2.6889082768818375,22.419229374003766,22.419229374003766,22.419229374003766,23.870221470506518,0.28658193638961615,5.731638727792323,0.45267305825372295
8.0,0.44812975616245737,3.1840274184049755,34.85757063677965,0.5304578135129497,0.7981436260184028,1.1876248975362493,0.4422889510108391,0.5418453174361813,5.697675223251286,4.8818455263545655,0.65253345552502,3.921056087226837,1.2173634975213854,4.1159292526405995,11.314743853415875,0.37113065428172637,1.3560741110742434,13.117691151840296,2.0765503169628814,0.5938124487681247,0.5,0.005,0.1,0.5,0.2,0.6,2.0,5.0,0.2,0.6,0.6,0.1,2.0,3.0,2.0,1.4,2.0,6.0,0.2,1.0,5.0,0.04,2.0,10.0,2.0,30.0,2.0,0.06,0.2,0.5,0.5,0.005,3.0,4.5,2.0,20.0,0.9,0.072,0.5,0.45,1.0,0.5,0.019605280436134184,0.39210560872268374,0.29690622438406233,0.7842112174453675,0.7125749385217496,2.3752497950724987,28.488376116256433,0.23752497950724988,0.26537337060650346,3.4186051339507717,26.23538230368059,0.5697675223251286,1.3443892684873722,0.8845779020216782,0.8845779020216782,0.7585834444106537,1.0836906348723625,7.304180985128312,0.24347269950427708,0.37113065428172637,5.0,1.394302825471186,0.22267839256903582,20.91454238206779,2.623538230368059,2.0579646263202998,2.7121482221484867,2.794241112744589,26.85781537922083,0.5,0.024409227631772827,14.645536579063696,14.32812338282239,0.48818455263545657,2.929107315812739,9.763691052709131,10.609156270258994,0.2688778536974744,0.3182746881077698,0.8962595123249147,0.15962872520368057,0.5344312038913123,0.14951162282132746,0.11876248975362494,0.11876248975362494,0.29690622438406233,0.6102333499834095,0.03850802165651995,4.153100633925763,1.30506691105004,0.32626672776251,2.7121482221484867,22.62948770683175,22.62948770683175,22.62948770683175,23.944308780552085,0.31840274184049755,6.368054836809951,0.5596789831346131
9.0,0.4776927822734899,3.500648402547951,38.34849458574409,0.5808894890936281,0.7787005430770692,1.378327541960184,0.534294670712349,0.6701815707875567,5.748026344186959,5.356249300928791,0.5830491938753705,4.400251819119995,1.36550910123144,4.666926757614145,11.083562784045899,0.40098434813830186,1.3716977608308867,14.346087322844356,2.4898186746819295,0.6891637709800922,0.5,0.005,0.1,0.5,0.2,0.6,2.0,5.0,0.2,0.6,0.6,0.1,2.0,3.0,2.0,1.4,2.0,6.0,0.2,1.0,5.0,0.04,2.0,10.0,2.0,30.0,2.0,0.06,0.2,0.5,0.5,0.005,3.0,4.5,2.0,20.0,0.9,0.072,0.5,0.45,1.0,0.5,0.022001259095599975,0.4400251819119995,0.3445818854900461,0.880050363823999,0.8269965251761103,2.756655083920368,28.740131720934798,0.2756655083920368,0.32057680242740944,3.4488158065121755,28.692174645688713,0.574802634418696,1.4330783468204698,1.068589341424698,1.068589341424698,0.9382541991025793,1.3403631415751134,8.193054607388639,0.273101820246288,0.40098434813830186,5.0,1.5339397834297637,0.24059060888298112,23.009096751446453,2.8692174645688713,2.3334633788070724,2.7433955216617734,3.103570543593608,27.210478839023235,0.5,0.026781246504643957,16.068747902786374,15.75291781146578,0.5356249300928791,3.2137495805572747,10.712498601857583,11.617789781872563,0.28661566936409394,0.34853369345617685,0.9553855645469798,0.15574010861541385,0.6202473938820829,0.1792669445770989,0.13783275419601845,0.13783275419601845,0.3445818854900461,0.6172639923738991,0.05079578451765903,4.979637349363859,1.166098387750741,0.29152459693768523,2.7433955216617734,22.167125568091798,22.167125568091798,22.167125568091798,23.361016292312076,0.3500648402547951,7.001296805095902,0.672956142771682
