_1_task1,x_1_task1,y_2_task1,z_3_task1
0.0,200.0,800.0,100.0
0.5,203.85268484658087,6.497607640973121,1198.0183884345697
1.0,223.59426840021217,0.018803618492669715,942.6825652739287
1.5,245.07274526765204,0.00017614417198285752,734.1893268336727
2.0,268.32567647898617,4.151527961151505e-06,571.7874707681339
2.5,293.44305134399923,2.020771493666137e-07,445.3085357255579
3.0,320.5087726331018,1.4688030841576953e-08,346.80663920639273
3.5,349.5980143948518,3.6108621583384247e-09,270.09328536113384
4.0,380.77456626212444,1.735485478112004e-09,210.34886874152286
4.5,414.08800312632593,-2.6768955542789974e-09,163.81987511458215
5.0,449.57074919202637,-2.154156139720863e-09,127.58305593212664
5.5,487.235130469941,1.549667807331891e-09,99.36179062780595
6.0,527.070531641027,7.278406581520854e-09,77.3830449718232
6.5,569.0407926787456,4.7905247883565515e-09,60.26597977230866
7.0,613.0819948358143,3.6832939856923364e-09,46.935195115540914
7.5,659.1007923811195,-2.267266329707762e-09,36.55316893675336
8.0,706.9734428707892,-1.2776084157291427e-09,28.467638310004265
8.5,756.5456732630148,-5.332016491486454e-10,22.17062039230911
9.0,807.6334911630264,2.696255197808519e-10,17.266500954472246
9.5,860.0250115706014,2.2730855464311167e-09,13.447196850792032
10.0,913.483287296671,8.346746329247961e-10,10.472711437422877
10.5,967.7501547567133,6.514318554023367e-10,8.156167293235784
11.0,1022.5509374437169,3.4504502355131085e-10,6.352042184992354
11.5,1077.5998422323592,1.552483195871101e-10,4.946983257122383
12.0,1132.6058581494358,1.6594379354256274e-10,3.852721195488561
12.5,1187.2788787421218,2.856120969131082e-11,3.000507534561821
13.0,1241.3357862195815,7.288431811393245e-11,2.3368015409560545
13.5,1294.506226584837,4.873316085567264e-12,1.8199060724507894
14.0,1346.5378291696427,2.869927323059361e-11,1.4173466853004733
14.5,1397.2006666701134,1.026994629771475e-11,1.1038326173216544
15.0,1446.2908031253523,9.593872603369978e-12,0.8596671883477924
15.5,1493.6328447181804,6.070332744446265e-12,0.6695106287990371
16.0,1539.081458260604,1.8340438965291743e-12,0.5214163020597902
16.5,1582.5218956282276,3.279146119280305e-12,0.4060801220198842
17.0,1623.869601210206,6.751359156824973e-14,0.3162560616949756
17.5,1663.0690213740527,1.4902309993767884e-12,0.24630089230929875
18.0,1700.091759559261,-6.559473872136735e-14,0.1918196577366602
18.5,1734.9342316262077,5.317000912777483e-13,0.14938955674963186
19.0,1767.6149769768283,2.2461520403175882e-14,0.11634490386357481
19.5,1798.1717715514221,-5.1919481374851846e-14,0.09060965810512427
20.0,1826.658672204195,5.590156055683162e-14,0.07056699404865398
20.5,1853.143103871806,-3.439018561456892e-14,0.054957724732563135
21.0,1877.7030746315563,1.578817467973604e-14,0.042801192660222184
21.5,1900.4245851085086,-3.651873284446135e-15,0.03333365967310188
22.0,1921.399276239373,-7.603788569331421e-16,0.025960324890598956
22.5,1940.7223409247792,2.070142129693769e-15,0.020217956111799277
23.0,1958.4907100452442,-1.470232678313497e-15,0.01574578712006915
