Time,Ca_Nuc,Ca_Cyt,NFAT_Nuc,Act_C_Nuc,NFAT_Pi_Nuc,NFAT_Act_C_Nuc,NFAT_Pi_Act_C_Nuc,Inact_C_Nuc,NFAT_Cyt,Act_C_Cyt,NFAT_Pi_Cyt,NFAT_Act_C_Cyt,NFAT_Pi_Act_C_Cyt,Inact_C_Cyt,k1,k2,k16,k15,k18,k17,k6,k5,k14,k13,k12,k11,k10,k9,k3,k4,k7,k8,k19,k20,k21,k22,cytosol,nucleus,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R17,R12,R13,R14,R15,R16
0.0,1.0,1.0,0.0005219,5.05e-05,0.0002272,0.0009477,2.5e-06,0.049198,0.0001101,9.1e-06,0.0094397,6.1e-06,2.2e-06,0.0097108,2.56e-05,0.00256,6.63,0.00168,0.00096,0.0015,0.00092,0.0019,0.00256,0.5,0.00168,6.63,0.005,0.5,0.005,0.5,0.005,0.5,1.0,1.0,0.21,0.5,2.69e-13,1.13e-13,-1.5031798784000002e-19,-1.6016575381950002e-19,1.2190361999999983e-20,5.9897e-22,1.3290065600000002e-19,-8.121306384e-21,-2.849995e-19,-2.9169929600000004e-19,-1.5220811400690002e-19,-1.4040349999999717e-19,9.698355723000001e-22,-1.3829100000000003e-19,-1.0813713920000016e-20,2.6097573e-15,5.5536675e-15,-1.5143419999999946e-19,-9.99999999999819e-18
0.01,0.9985454470826121,0.9997111051222198,0.0005218913616278286,0.0005360334050764085,0.00022719649302442224,0.0009477077270142805,2.5038993131525144e-06,0.04871245449395113,0.00011009973578417258,0.00010507608392897978,0.009439669829936667,6.100615915291207e-06,2.23003639098918e-06,0.009614793463150946,2.56e-05,0.00256,6.63,0.00168,0.00096,0.0015,0.00092,0.0019,0.00256,0.5,0.00168,6.63,0.005,0.5,0.005,0.5,0.005,0.5,1.0,1.0,0.21,0.5,2.69e-13,1.13e-13,-1.5031549907667721e-19,2.967396936864599e-20,1.2189531520473205e-20,2.021646295641856e-21,1.3268258007757401e-19,-9.076469631044617e-20,-2.8507797484359886e-19,-2.9573876644413856e-19,-1.7679867378114628e-18,-1.4024593461503826e-19,-1.7875704920374485e-20,-1.3847091224723662e-19,-1.0813739733536754e-20,2.5558730472099643e-15,5.419950712452911e-15,-1.5002583017471033e-19,5.586256818661745e-17
0.02,0.9971316220164929,0.9994257460201016,0.0005218661262398387,0.0010098788800155941,0.0002271857884706791,0.0009477321006200691,2.514956961643432e-06,0.0482385730924672,0.00011009877836632768,0.00019901033762786973,0.009439580219124492,6.10221709925065e-06,2.3192171236017522e-06,0.00952076863559431,2.56e-05,0.00256,6.63,0.00168,0.00096,0.0015,0.00092,0.0019,0.00256,0.5,0.00168,6.63,0.005,0.5,0.005,0.5,0.005,0.5,1.0,1.0,0.21,0.5,2.69e-13,1.13e-13,-1.5030822994977257e-19,2.1492183485310084e-19,1.2187180303684483e-20,3.2728248048169433e-21,1.3206487373451971e-19,-1.714093193775843e-19,-2.8527956299887334e-19,-3.077324723412077e-19,-3.349332354061284e-18,-1.397616538709258e-19,-3.631953170542383e-20,-1.3897572130160955e-19,-1.0813697513208996e-20,2.503143372559031e-15,5.2900706318796625e-15,-1.4881720904063772e-19,1.196237487436951e-16
0.03,0.9957573425635344,0.9991438723664782,0.0005218246953126655,0.0014723701016276477,0.00022716808891160793,0.0009477727672214085,2.532935417546626e-06,0.04777602269170414,0.000110097142460487,0.0002909464324488956,0.009439432421167671,6.105075309865231e-06,2.4659966919206165e-06,0.009428683127353442,2.56e-05,0.00256,6.63,0.00168,0.00096,0.0015,0.00092,0.0019,0.00256,0.5,0.00168,6.63,0.005,0.5,0.005,0.5,0.005,0.5,1.0,1.0,0.21,0.5,2.69e-13,1.13e-13,-1.5029629601244438e-19,3.956917891681498e-19,1.2183345964711448e-20,4.364874140579699e-21,1.3106085501042473e-19,-2.501048490015925e-19,-2.8564101569677785e-19,-3.2747235600193735e-19,-4.896952621215344e-18,-1.3896041703532817e-19,-5.436976675533679e-20,-1.3979408554075112e-19,-1.0813588758860727e-20,2.4515425163184697e-15,5.1638894779737245e-15,-1.4779537263921726e-19,1.813474951426609e-16
0.04,0.9944214618872278,0.9988654340411105,0.0005217674624363736,0.0019238304873210321,0.00022714359275970817,0.0009478293833663064,2.557602478264883e-06,0.04732448043594915,0.00011009484256124412,0.00038092729907889455,0.009439227670651053,6.1094547320153375e-06,2.6688549642576705e-06,0.009338495269552102,2.56e-05,0.00256,6.63,0.00168,0.00096,0.0015,0.00092,0.0019,0.00256,0.5,0.00168,6.63,0.005,0.5,0.005,0.5,0.005,0.5,1.0,1.0,0.21,0.5,2.69e-13,1.13e-13,-1.502798105484589e-19,5.720951118644235e-19,1.2178065351635808e-20,5.309474902671478e-21,1.2968354399823925e-19,-3.2689983283590763e-19,-2.861980598540997e-19,-3.5475377778600166e-19,-6.411544743046327e-18,-1.3785177389784308e-19,-7.203441374662495e-20,-1.4091493009503932e-19,-1.0813414950203742e-20,2.4010452041978652e-15,5.041275294716569e-15,-1.4694805385319364e-19,2.4109577235396477e-16
0.05,0.993122875339632,0.9985903816399851,0.0005216948103446137,0.0023645713201365117,0.00022711249280500453,0.0009479016180582747,2.588732909802929e-06,0.046883635588344824,0.000110091892823695,0.0004689947828701525,0.009438967172937202,6.115610387064443e-06,2.926309297018526e-06,0.009250164448680766,2.56e-05,0.00256,6.63,0.00168,0.00096,0.0015,0.00092,0.0019,0.00256,0.5,0.00168,6.63,0.005,0.5,0.005,0.5,0.005,0.5,1.0,1.0,0.21,0.5,2.69e-13,1.13e-13,-1.5025888371730354e-19,7.442395931165271e-19,1.2171374271822759e-20,6.1176009164568144e-21,1.2794557066803225e-19,-4.0184133095655625e-19,-2.8698518285724244e-19,-3.893771465120437e-19,-7.893789550197486e-18,-1.3644499588221684e-19,-8.932128980966488e-20,-1.4232752339937556e-19,-1.081317753439459e-20,2.351626830310497e-15,4.9221022806519774e-15,-1.462637060435881e-19,2.9892820215355856e-16
0.06,0.99186051757325,0.9983186663194809,0.0005216071119832058,0.002794892562279015,0.00022707497673873166,0.0009479891520209066,2.626107860607944e-06,0.04645318871887878,0.00011008830710472474,0.0005551897626561225,0.00943865210766202,6.123788675962552e-06,3.2369103409697914e-06,0.009163650991347593,2.56e-05,0.00256,6.63,0.00168,0.00096,0.0015,0.00092,0.0019,0.00256,0.5,0.00168,6.63,0.005,0.5,0.005,0.5,0.005,0.5,1.0,1.0,0.21,0.5,2.69e-13,1.13e-13,-1.50233622861792e-19,9.122297706370771e-19,1.216330759118173e-20,6.799543080982133e-21,1.25859207772259e-19,-4.749750157263242e-19,-2.8803570602515107e-19,-4.311473550266221e-19,-9.344353400504994e-18,-1.3474910093291982e-19,-1.0623804742333251e-19,-1.440214497157445e-19,-1.0812877930393917e-20,2.3032633896649054e-15,4.806250368510666e-15,-1.4573147753688292e-19,3.5490221749884777e-16
0.07,0.9906333605721429,0.9980502398065354,0.0005215047308565237,0.0032150834373262708,0.0002270312273258172,0.0009480916772989169,2.6695146486679518e-06,0.046032851122666966,0.0001100840989709721,0.0006395521793968529,0.009438283629421952,6.134227602436932e-06,3.5992411619542626e-06,0.009078916136339434,2.56e-05,0.00256,6.63,0.00168,0.00096,0.0015,0.00092,0.0019,0.00256,0.5,0.00168,6.63,0.005,0.5,0.005,0.5,0.005,0.5,1.0,1.0,0.21,0.5,2.69e-13,1.13e-13,-1.5020413260776707e-19,1.0761670811892934e-18,1.2153899268528448e-20,7.364955254707582e-21,1.2343638275929144e-19,-5.463452346730424e-19,-2.893818148538793e-19,-4.798736617867062e-19,-1.076388856434867e-17,-1.3277286233614292e-19,-1.227921788016995e-19,-1.459865982869108e-19,-1.0812517529718898e-20,2.255931459793597e-15,4.693604886738068e-15,-1.4534116542937298e-19,4.090731743451117e-16
0.08,0.9894404116264518,0.9977850543879775,0.0005213880214640544,0.0036254230202457196,0.0002269814226300229,0.0009482088967273637,2.7187464789558917e-06,0.0456223442305597,0.00011007928171087884,0.0007221210768331046,0.00943786286881526,6.147157135285296e-06,4.0119158889647905e-06,0.008995921995037334,2.56e-05,0.00256,6.63,0.00168,0.00096,0.0015,0.00092,0.0019,0.00256,0.5,0.00168,6.63,0.005,0.5,0.005,0.5,0.005,0.5,1.0,1.0,0.21,0.5,2.69e-13,1.13e-13,-1.5017051498973755e-19,1.2361500204376396e-18,1.2143182398081003e-20,7.822894815345196e-21,1.2068869358428389e-19,-6.159950772701264e-19,-2.9105460804491188e-19,-5.353695087761215e-19,-1.2153033817663983e-17,-1.3052482003976817e-19,-1.3899102263741237e-19,-1.4821314919035023e-19,-1.0812097697570213e-20,2.209608176013154e-15,4.584056232147236e-15,-1.4508317454540453e-19,4.614944654823225e-16
0.09,0.9882807105993756,0.9975230629082182,0.0005212573298446202,0.004026181037799971,0.0002269257362929892,0.0009483405232624964,2.773602092487595e-06,0.045221398809511905,0.00011007386834874499,0.0008029346502925762,0.009437390933658342,6.162799644247557e-06,4.473578130585881e-06,0.008914631503860649,2.56e-05,0.00256,6.63,0.00168,0.00096,0.0015,0.00092,0.0019,0.00256,0.5,0.00168,6.63,0.005,0.5,0.005,0.5,0.005,0.5,1.0,1.0,0.21,0.5,2.69e-13,1.13e-13,-1.5013286960750337e-19,1.3922743901242784e-18,1.2131189262825796e-20,8.181880925149206e-21,1.1762742834382585e-19,-6.839664799993587e-19,-2.93084156507986e-19,-5.974523082167863e-19,-1.3512415177391524e-17,-1.280132947834176e-19,-1.548417724718754e-19,-1.5069155563991108e-19,-1.0811619774134953e-20,2.1642712025667003e-15,4.477499498110552e-15,-1.4494845861367997e-19,5.122176748205293e-16
