Time,X,Y,Z,vin,kout,vM3,k_CaA,n,k_CaI,m,kip3,vM2,k2,kf,vp,kp,kdeg,compartment,ER,R1,R2,R3,R4,R5,R6,R7
0.0,0.1,1.5,0.1,0.05,0.5,40.0,0.15,2.02,0.15,2.2,0.1,15.0,0.1,0.5,0.05,0.3,0.08,1.0,1.0,0.05,0.05,23.78335910436038,7.5,0.7,0.005000000000000001,0.008
0.01,0.2292894213762307,1.3703357284967088,0.10004709868494273,0.05,0.5,40.0,0.15,2.02,0.15,2.2,0.1,15.0,0.1,0.5,0.05,0.3,0.08,1.0,1.0,0.05,0.11464471068811535,19.103401354446763,12.602824400428492,0.5705231535602391,0.01843736304064335,0.008003767894795418
0.02,0.271152338712602,1.3277028502767059,0.10017559515603874,0.05,0.5,40.0,0.15,2.02,0.15,2.2,0.1,15.0,0.1,0.5,0.05,0.3,0.08,1.0,1.0,0.05,0.135576169356301,15.09828064875449,13.204100199925893,0.5282752557820519,0.02248103482635805,0.008014047612483099
0.03,0.2860181619137347,1.3119381812065363,0.10032794388650634,0.05,0.5,40.0,0.15,2.02,0.15,2.2,0.1,15.0,0.1,0.5,0.05,0.3,0.08,1.0,1.0,0.05,0.14300908095686735,13.832892639071794,13.366126783500206,0.5129600096464008,0.023807726082565105,0.008026235510920507
0.04,0.29181773067912137,1.305191849799255,0.10048858355897634,0.05,0.5,40.0,0.15,2.02,0.15,2.2,0.1,15.0,0.1,0.5,0.05,0.3,0.08,1.0,1.0,0.05,0.14590886533956068,13.369698074825129,13.42366748412528,0.5066870595600668,0.02430884923138726,0.008039086684718108
0.05,0.2941958414603802,1.3018478561926188,0.10065237582345342,0.05,0.5,40.0,0.15,2.02,0.15,2.2,0.1,15.0,0.1,0.5,0.05,0.3,0.08,1.0,1.0,0.05,0.1470979207301901,13.189891426161068,13.44642002720749,0.5038260073661193,0.024511642090004317,0.008052190065876274
0.06,0.2952227385047518,1.2998470730022436,0.1008173976591553,0.05,0.5,40.0,0.15,2.02,0.15,2.2,0.1,15.0,0.1,0.5,0.05,0.3,0.08,1.0,1.0,0.05,0.1476113692523759,13.118926146207995,13.456098629256076,0.5023121672487458,0.024598725529935618,0.008065391812732425
0.07,0.29570597641377167,1.2983863757476195,0.10098289253663457,0.05,0.5,40.0,0.15,2.02,0.15,2.2,0.1,15.0,0.1,0.5,0.05,0.3,0.08,1.0,1.0,0.05,0.14785298820688583,13.091212565800447,13.460623116258366,0.5013401996669239,0.024639604045240158,0.008078631402930766
0.08,0.2959685665275369,1.2971445432642537,0.10114855641490876,0.05,0.5,40.0,0.15,2.02,0.15,2.2,0.1,15.0,0.1,0.5,0.05,0.3,0.08,1.0,1.0,0.05,0.14798428326376845,13.080914096458676,13.463073691275458,0.5005879883683584,0.024661790131665126,0.0080918845131927
0.09,0.29614091505672846,1.2959918979801555,0.10131426584354916,0.05,0.5,40.0,0.15,2.02,0.15,2.2,0.1,15.0,0.1,0.5,0.05,0.3,0.08,1.0,1.0,0.05,0.14807045752836423,13.077662264524161,13.464679044336703,0.4999254914617135,0.024676341353547668,0.008105141267483932
