x,Curve1
0.0423,158.09
0.072,200.02
0.0956,232.02
0.1085,262.91
0.2947,252.43
0.4492,245.81
0.4908,305.39
0.5252,338.49
0.559,361.66
0.7439,334.08
0.8922,315.87
0.927,353.94
0.9511,392.55
1.002,431.17
1.0057,409.1
1.176,400.28
1.3181,369.93
1.3685,402.48
1.3991,457.65
1.433,482.48
1.6062,439.99
1.6901,417.92
1.7482,409.1
1.821,455.44
1.8223,474.2
1.8892,513.37
2.0777,459.85
2.1826,432.81
2.2272,459.85
2.2576,510.6
2.3023,538.74
2.3965,510.6
2.5691,459.84
2.6271,449.36
2.6684,503.98
2.7308,554.73
2.7885,539.29
2.9558,488.53
3.0344,467.56
3.0846,497.35
3.1311,550.32
3.1587,561.9
3.3421,512.8
3.4783,474.73
3.4901,490.73
3.5526,543.69
3.5867,571.28
3.6914,541.48
3.9008,483
3.9628,528.24
4.0091,577.34
4.0932,559.13
4.2392,508.37
4.4063,455.41
4.6163,404.65
4.8693,356.1
5.1439,311.96
5.4829,272.23
5.8863,236.92
6.3117,210.44
6.8016,188.36
7.2919,172.91
7.8039,161.87
8.2947,153.04
8.8072,148.62
9.3195,141.99
9.8322,139.78
10.0458,139.78
10.5583,135.36
11.0923,133.14
11.6265,133.14
12.1606,133.13
12.6946,130.92
13.2288,130.91
13.763,130.91
14.2971,130.9
14.8313,130.9
15.0449,130.89
15.5791,130.89
16.1133,130.88
16.6474,130.88
17.1816,130.87
17.7158,130.87
18.2499,130.86
18.7841,130.85
19.3182,130.85
19.8524,130.84
