x,Curve1
-0.0155,-333.106
0.0287,-321.406
0.1246,-291.231
0.1836,-277.067
0.2057,-270.601
0.2499,-255.206
0.3826,-219.797
0.5449,-185.929
0.7293,-150.829
0.9653,-116.655
1.2679,-82.483
1.6664,-52.624
2.1683,-29.543
2.8326,-13.548
3.5192,-4.637
4.3091,1.192
5.1359,3.632
5.9627,5.457
6.8265,6.049
7.6681,6.642
8.5171,6.926
9.3513,6.903
10.215,7.803
11.0862,7.471
11.9204,7.756
12.7768,7.733
13.6405,7.709
14.1573,7.387
