x,Curve1
0.00399,134.51
0.02825,169.89
0.05378,207.05
0.08569,252.17
0.11633,292.86
0.15079,345.05
0.18143,381.33
0.1993,402.56
0.22518,405.71
0.30236,414.63
0.37633,421.32
0.45352,430.23
0.53071,436.92
0.60789,443.61
0.68508,452.53
0.76548,456.98
0.84267,463.67
0.91664,470.36
0.99704,474.82
1.07423,479.28
1.15463,485.96
1.23182,488.19
1.31222,494.88
1.38941,499.34
1.46981,503.8
1.547,506.03
1.62419,512.71
1.70459,514.94
1.77856,517.17
1.85253,521.63
1.93293,523.86
2.01333,528.32
2.09052,530.55
2.17092,532.78
2.25132,537.23
2.33173,539.46
2.40891,539.46
2.48931,541.69
2.5665,546.15
2.6469,548.38
2.72731,548.38
2.80771,550.61
2.88489,555.07
2.9653,555.07
