x,Curve1
0.007,-27.9
0.09748,-78.16
0.15109,-105.45
0.18795,-129.86
0.26833,-124.14
0.30852,-118.4
0.3889,-108.37
0.43244,-105.5
0.51282,-96.9
0.5597,-94.04
0.64009,-88.31
0.69032,-86.88
0.7707,-79.72
0.82429,-79.73
0.90802,-74
0.95157,-76.88
1.03195,-68.28
1.08554,-71.16
1.16927,-65.43
1.26807,-64.02
1.36353,-62.6
1.44392,-62.61
1.49751,-62.62
1.57454,-56.89
1.64153,-59.78
1.72526,-56.92
1.7755,-59.8
1.85923,-56.94
1.96641,-54.09
2.10206,-54.12
2.23436,-54.14
2.37504,-54.17
2.51404,-54.19
2.64969,-54.21
2.78869,-54.24
2.92936,-52.83
3.06668,-54.29
3.20066,-54.31
