x,Curve1
0.1062,0.0442
0.4531,0.4522
0.7204,1.3492
0.8571,2.0886
0.9746,2.6537
1.1648,3.7315
1.4474,5.5291
1.7637,7.4295
2.0041,8.9443
2.1897,10.1256
2.327,10.9645
2.5547,12.432
2.7957,13.8742
3.0367,15.3417
3.2643,16.7276
3.5053,18.1389
3.7462,19.5297
3.9567,20.7062
4.1001,21.6046
4.3109,22.7346
4.4942,23.6592
4.6417,24.481
4.8229,25.3281
5.0231,26.3301
5.2275,27.3957
5.4235,28.3717
5.6573,29.4373
5.8911,30.5543
6.0871,31.5046
6.2851,32.3906
6.5947,33.7388
6.9211,35.1257
7.2327,36.397
7.4833,37.4114
7.9717,39.2734
8.3802,40.8273
8.8665,42.6123
9.3063,44.0634
9.6283,45.1037
10.0302,46.375
10.3017,47.2355
10.6362,48.1859
10.9729,49.1748
11.2527,49.9454
