x,Curve1
-0.009,980.63
0.0631,957.27
0.1498,933.35
0.2357,908.98
0.3067,885.16
0.4239,849.77
0.5321,827.07
0.6223,804.38
0.7666,777
0.8298,757.64
0.9831,731.61
1.2086,691.55
1.2897,672.86
1.4431,646.82
1.8129,594.09
2.0924,560.05
2.354,529.35
2.4893,514.66
2.6426,498.64
2.8771,478.62
3.1116,461.94
3.3461,441.25
3.5626,426.58
3.8692,409.9
4.3923,380.54
4.7802,363.87
5.2401,345.2
5.8083,329.2
6.1601,318.54
6.5028,311.21
6.8816,302.55
7.1973,297.9
7.7655,287.91
8.3157,279.93
8.8929,273.28
9.5513,267.31
9.9301,265.33
10.2909,261.34
10.9944,259.38
11.4363,256.06
12.0045,251.42
12.5817,251.45
13.1409,251.48
13.655,249.51
13.9887,248.19
