x,Curve1
0.00584,1367.6
0.03748,1335.19
0.05948,1315.9
0.0871,1290.86
0.10505,1280
0.12315,1272.82
0.14726,1261.91
0.17048,1250.15
0.19557,261.6
0.19588,1158.79
0.19612,868.47
0.1976,357.47
0.19766,284.21
0.19772,211.86
0.19795,1196.78
0.19803,1100.01
0.19807,1054.78
0.19812,1003.23
0.1983,779.84
0.19838,682.16
0.19846,588.1
0.19856,468.71
0.19898,1236.57
0.19922,947.16
0.22726,210.95
0.2647,213.25
0.30427,215.45
0.34105,216.11
0.3855,215.44
0.43217,216.09
0.51591,216.08
0.59964,216.06
0.68337,216.05
0.76376,218.91
0.84749,218.89
0.93123,218.88
1.01496,218.86
1.0987,218.85
1.18243,218.83
1.25401,218.25
1.29631,218.81
1.38004,218.79
1.46378,218.78
1.54751,218.76
1.63125,218.75
1.71163,224.48
1.79536,224.46
1.8791,224.45
1.96283,224.43
2.04657,224.42
2.1303,224.4
2.21404,224.39
2.29777,224.37
2.3815,224.36
2.46524,224.34
2.54897,224.33
2.63271,224.31
2.71644,224.3
2.80018,224.28
2.88391,224.27
2.96765,224.25
3.05138,224.24
3.13512,224.22
3.21885,224.21
