x,Curve1
-3e-05,128.488
0.02155,123.854
0.03422,139.615
0.04308,162.792
0.05181,186.589
0.0608,201.73
0.076,224.908
0.09628,247.159
0.1191,270.337
0.13304,284.243
0.14318,293.747
0.166,315.766
0.18629,328.746
0.20531,338.018
0.24083,344.974
0.2751,341.5
0.29414,337.097
0.31191,331.073
0.32968,324.121
0.37157,312.073
0.42487,302.574
0.46168,296.319
0.51371,287.284
0.55813,280.566
0.65712,266.668
0.76626,254.16
0.8221,247.907
0.87793,243.044
0.98453,234.94
1.01499,232.624
1.07463,228.689
1.13681,224.985
1.25482,218.968
1.32462,215.728
1.48197,209.946
1.56953,207.171
1.64312,205.09
1.77636,201.855
1.89818,199.778
2.04537,198.63
2.16973,197.017
2.29154,196.099
2.41844,195.181
2.54533,194.263
2.67222,193.577
2.79911,193.587
2.92093,192.668
3.04782,192.678
3.17471,191.992
3.26099,191.998
