x,Curve1
-0.0289,960.06
0.0348,932.22
0.1168,887.07
0.2173,817.09
0.3629,745.6
0.4722,689.17
0.5561,654.24
0.6282,625.57
0.6995,594.36
0.8357,544.7
0.9901,491.27
1.1986,438.6
1.3616,404.74
1.4884,377.65
1.7058,335.51
1.9953,294.88
2.2213,268.54
2.4744,245.97
2.7365,227.16
3.2514,197.06
3.7029,181.26
4.055,172.23
4.4703,162.45
4.9036,154.17
5.4904,146.65
5.9688,139.88
6.393,137.62
6.9345,133.11
7.5031,131.6
7.9363,130.85
8.5229,130.1
9.1366,129.35
9.7683,128.6
10.3459,129.35
10.8422,130.11
11.492,128.6
11.8259,130.11
