x,Curve1
0.1726,0.164
0.4258,0.778
0.843,2.793
1.2181,5.238
1.5931,7.828
1.9682,10.273
2.3433,12.575
2.7184,15.021
3.1144,17.466
3.5106,19.624
3.9488,21.495
4.4292,22.79
4.931,23.51
5.454,23.799
5.9771,23.8
6.4794,23.657
7.0028,23.226
7.5054,22.796
8.0078,22.509
8.5103,22.078
9.0127,21.791
9.5152,21.361
10.0177,20.93
10.541,20.644
11.0435,20.213
11.5459,19.926
12.0484,19.496
12.5718,19.209
13.0743,18.779
13.5767,18.492
14.1,18.205
14.6025,17.775
15.1259,17.488
15.6284,17.057
16.1516,16.914
16.6541,16.484
17.1564,16.341
17.6798,16.054
18.1823,15.624
18.7055,15.481
19.208,15.05
19.7103,14.907
