x,Curve1
14.7038,4.029
15.307,8.548
15.9296,13.025
16.4125,17.299
16.9572,21.573
17.6578,26.254
18.2025,30.528
18.6693,35.005
19.4318,39.279
20.2104,43.553
20.9891,47.42
21.8458,51.287
22.7804,55.154
23.9105,60.243
25.5064,66.347
26.441,70.214
27.5316,73.674
28.9342,76.727
30.3367,79.78
31.7393,82.629
33.2199,85.478
34.7785,87.717
36.4152,89.549
38.0519,91.584
39.7666,93.008
43.0219,95.699
45.2228,96.672
47.0156,97.486
48.8085,98.3
49.9777,98.814
51.147,99.114
53.0959,99.479
54.9668,99.844
56.8377,99.928
58.4281,98.607
59.4495,96.345
60.2692,94.23
61.4394,90.363
62.4536,86.903
63.6238,83.24
64.638,79.78
65.8081,76.523
66.9782,73.267
68.2263,70.011
69.3183,67.365
70.4884,64.109
71.8143,61.056
73.1403,58.003
74.5442,54.95
75.9481,52.101
77.5079,49.455
78.9897,46.402
80.4715,43.96
82.0312,41.314
83.5129,39.279
84.9946,37.041
86.5542,35.005
88.1137,33.377
89.6734,31.139
91.3888,29.51
92.9484,27.475
94.6638,25.847
96.3793,24.219
98.2506,22.591
100.044,21.166
101.8373,19.741
103.6306,18.52
105.4239,17.096
107.2172,16.078
109.0104,15.06
110.8037,14.043
112.6749,13.229
