x,Curve1
0.0014,129.21
0.01908,123.649
0.03531,137.751
0.0414,157.613
0.05002,177.475
0.05614,194.953
0.06481,209.254
0.07594,229.116
0.09211,248.978
0.1108,268.045
0.12948,287.907
0.14692,306.975
0.16812,326.836
0.19065,340.342
0.20192,345.904
0.24336,356.629
0.28498,349.08
0.30644,342.526
0.33215,333.297
0.36329,323.259
0.4024,313.923
0.45285,304.587
0.49574,296.046
0.53988,288.498
0.5777,283.134
0.62813,275.586
0.66847,270.421
0.76931,257.708
0.87516,246.981
0.98604,237.645
1.10194,229.301
1.21782,222.546
1.3337,217.182
1.4546,212.414
1.57045,208.837
1.69134,205.658
1.80718,203.074
1.93309,200.887
2.10936,198.502
2.29948,196.314
2.44174,195.121
2.52232,194.524
2.64518,194.125
2.76907,193.528
2.89497,192.93
3.02086,192.928
3.14172,192.331
3.26761,192.131
