x,Curve1
-0.0027,147.32
0.2752,270.24
0.5585,305.07
0.8258,318.47
1.1102,338.49
1.5535,355.25
1.8331,368.81
2.1291,372.68
2.3973,397.85
2.6821,412.68
2.9568,418.5
3.2369,422.37
3.5218,435.27
3.8017,443.02
4.087,449.46
4.3618,453.35
4.6478,447.53
4.9226,452.7
5.2076,463.02
5.4932,465.61
5.7634,467.07
6.0529,473.98
6.3262,473.17
6.6128,473.58
6.8888,484.15
7.1683,491.06
7.4586,485.37
7.7279,495.12
8.0105,505.69
8.2945,494.31
8.574,501.63
8.861,495.12
9.1274,499.19
9.4175,495.53
9.6976,494.31
9.9766,508.13
10.257,501.22
10.5335,503.25
10.8271,497.56
11.0999,505.69
