x,Curve1
1.0601,-759.41
1.3827,-704.97
1.6592,-648.16
2.028,-581.88
2.4428,-529.81
2.9037,-475.37
3.5029,-428.04
4.1482,-378.34
4.8396,-333.37
5.6692,-290.77
6.4989,-252.91
7.3285,-219.78
8.2504,-184.29
9.2183,-155.9
10.1862,-127.51
11.2003,-99.12
12.2143,-75.46
13.1822,-54.18
14.1963,-32.89
15.2103,-13.97
16.2704,4.95
17.3305,23.87
18.5289,45.16
19.4969,56.98
20.557,71.16
21.6793,86.12
23.4795,108.46
25.3088,129.3
26.5864,144.2
27.4247,151.53
28.531,160.98
29.4989,170.43
30.559,179.88
31.6652,189.33
32.7715,198.78
33.8777,208.23
34.9378,217.68
35.9518,224.77
37.058,234.22
38.1182,243.67
39.2705,250.75
40.3767,260.2
41.4829,264.92
42.5891,272
43.6953,281.45
44.8016,288.53
