x,Curve1
1.014,-1204.46
1.0674,-1217.62
1.235,-1154.62
1.4553,-1088.47
1.6157,-1034.02
1.9492,-946.25
2.2251,-886.61
2.5009,-835.19
2.8577,-783.11
3.3647,-712.11
3.8717,-662.4
4.563,-584.29
5.1622,-534.59
6.4528,-442.29
7.1903,-399.69
8.2965,-333.43
9.1261,-295.57
10.0019,-260.07
10.7855,-222.21
11.6612,-191.45
13.2744,-137.03
14.2424,-108.64
15.7634,-66.06
16.7774,-40.03
18.2524,-4.55
19.2664,16.74
20.8372,50.34
21.9406,74.93
23.3924,100.26
24.641,121.11
25.9476,139.73
27.1671,162.83
28.1161,175.19
29.1763,191.74
30.6051,213.02
31.6652,224.84
33.0941,246.12
34.1542,255.57
35.5831,274.49
36.6432,286.3
38.026,302.85
39.0861,314.67
40.515,328.85
41.529,338.3
43.5727,358.65
43.5872,357.9
44.3276,367.58
