Vthresh,a,b,c,d,i,u,v,Time
30.0,0.03,0.25,-60.0,4.0,0.0,-16.0,-64.0,0.0
30.0,0.03,0.25,-60.0,4.0,0.0,-16.000000071462782,-64.00159885561064,0.01
30.0,0.03,0.25,-60.0,4.0,0.0,-16.000000250127407,-64.00319599218147,0.02
30.0,0.03,0.25,-60.0,4.0,0.0,-16.000000548521047,-64.0047912048461,0.03
30.0,0.03,0.25,-60.0,4.0,0.0,-16.0000009670164,-64.00638448416383,0.04
30.0,0.03,0.25,-60.0,4.0,0.0,-16.000001505005667,-64.00797583627032,0.05
30.0,0.03,0.25,-60.0,4.0,0.0,-16.00000216216612,-64.00956526261616,0.06
30.0,0.03,0.25,-60.0,4.0,0.0,-16.000002938270107,-64.01115276309673,0.07
30.0,0.03,0.25,-60.0,4.0,0.0,-16.000003833121664,-64.0127383370957,0.08
30.0,0.03,0.25,-60.0,4.0,0.0,-16.0000048465354,-64.01432198383291,0.09
30.0,0.03,0.25,-60.0,4.0,0.0,-16.00000597832944,-64.0159037024804,0.1
30.0,0.03,0.25,-60.0,4.0,0.0,-16.000007228341136,-64.0174834922847,0.11
30.0,0.03,0.25,-60.0,4.0,0.0,-16.000008596397354,-64.01906135244487,0.12
30.0,0.03,0.25,-60.0,4.0,0.0,-16.000010082304485,-64.02063728207234,0.13
30.0,0.03,0.25,-60.0,4.0,0.0,-16.000011685875947,-64.02221128032,0.14
30.0,0.03,0.25,-60.0,4.0,0.0,-16.000013406926964,-64.02378334635942,0.15
30.0,0.03,0.25,-60.0,4.0,0.0,-16.000015245276224,-64.02535347938866,0.16
30.0,0.03,0.25,-60.0,4.0,0.0,-16.000017200743287,-64.02692167862004,0.17
30.0,0.03,0.25,-60.0,4.0,0.0,-16.00001927314822,-64.02848794327842,0.18
30.0,0.03,0.25,-60.0,4.0,0.0,-16.00002146231102,-64.03005227259847,0.19
30.0,0.03,0.25,-60.0,4.0,0.0,-16.000023768051644,-64.03161466582458,0.2
30.0,0.03,0.25,-60.0,4.0,0.0,-16.00002619018995,-64.0331751222101,0.21
30.0,0.03,0.25,-60.0,4.0,0.0,-16.000028728545775,-64.03473364101764,0.22
30.0,0.03,0.25,-60.0,4.0,0.0,-16.00003138293892,-64.03629022152136,0.23
30.0,0.03,0.25,-60.0,4.0,0.0,-16.00003415318919,-64.03784486300584,0.24
30.0,0.03,0.25,-60.0,4.0,0.0,-16.000037039116403,-64.03939756476521,0.25
30.0,0.03,0.25,-60.0,4.0,0.0,-16.000040040540377,-64.040948326104,0.26
30.0,0.03,0.25,-60.0,4.0,0.0,-16.000043157280935,-64.04249714633477,0.27
30.0,0.03,0.25,-60.0,4.0,0.0,-16.000046389157898,-64.04404402478019,0.28
30.0,0.03,0.25,-60.0,4.0,0.0,-16.000049735991098,-64.04558896077324,0.29
30.0,0.03,0.25,-60.0,4.0,0.0,-16.000053197600362,-64.0471319536563,0.3
30.0,0.03,0.25,-60.0,4.0,0.0,-16.00005677380553,-64.04867300278215,0.31
30.0,0.03,0.25,-60.0,4.0,0.0,-16.000060464426443,-64.05021210751364,0.32
30.0,0.03,0.25,-60.0,4.0,0.0,-16.00006426928295,-64.05174926722323,0.33
30.0,0.03,0.25,-60.0,4.0,0.0,-16.00006818819491,-64.0532844812929,0.34
30.0,0.03,0.25,-60.0,4.0,0.0,-16.000072220982183,-64.05481774911436,0.35000000000000003
30.0,0.03,0.25,-60.0,4.0,0.0,-16.000076367464644,-64.05634907008903,0.36
30.0,0.03,0.25,-60.0,4.0,0.0,-16.00008062746218,-64.05787844362804,0.37
30.0,0.03,0.25,-60.0,4.0,0.0,-16.000085000794677,-64.05940586915223,0.38
