value_component_environment_variable_time,value_component_equations_variable_P_CE,value_component_equations_variable_P_PE,value_component_equations_variable_P_SE,value_component_equations_variable_Ca,value_component_equations_variable_C_2,value_component_equations_variable_phi_A_1,value_component_equations_variable_pi_n,value_component_equations_variable_A,value_component_equations_variable_A_1,value_component_equations_variable_S,value_component_equations_variable_n,value_component_equations_variable_n_1,value_component_equations_variable_n_2,value_component_equations_variable_G_V,value_component_equations_variable_q_V,value_component_equations_variable_V,value_component_equations_variable_F_V,value_component_equations_variable_p_V,value_component_equations_variable_alpha_1,value_component_equations_variable_alpha_2,value_component_equations_variable_beta_1,value_component_equations_variable_beta_2,value_component_equations_variable_lambda,value_component_equations_variable_V_max,value_component_equations_variable_Ca_m,value_component_equations_variable_t_d,value_component_equations_variable_a_c,value_component_equations_variable_b_c,value_component_equations_variable_C_1,value_component_equations_variable_C_20,value_component_equations_variable_q_k,value_component_equations_variable_V_1,value_component_equations_variable_a,value_component_equations_variable_m_0,value_component_equations_variable_g_1,value_component_equations_variable_g_2,value_component_equations_variable_pi_min,value_component_equations_variable_S_0,value_component_equations_variable_q_1,value_component_equations_variable_q_2,value_component_equations_variable_q_3,value_component_equations_variable_TnC,value_component_user_defined_variable_l_1,value_component_user_defined_variable_l_2,value_component_user_defined_variable_dl_1_dt
0.0,0.0,863553385.1711882,719627820975.9902,0.0,0.2,1.0,1.0,0.0,0.0,0.77,0.0,0.6,0.0,1.0,0.017,-0.0,1.0,1.0,14.6,14.6,1.0,0.0012,30.0,0.0043,0.045,170.0,0.00024,0.0005,0.029,0.2,4.0,0.00043000000000000004,0.25,0.87,0.4,0.6,0.05,0.77,0.017,0.26,0.03,1.0,0.0,1.87,0.0
0.1,1.1274496365137662e-17,863553385.1711882,719627820975.9902,2.5919937792889775e-13,0.19999999999999957,0.9999999999999978,1.0,4.238657102422668e-16,5.504749483665802e-16,0.77,0.0008866405949416979,0.6,0.0014777343249028298,1.0,0.017,-0.0,1.0,1.0,14.6,14.6,1.0,0.0012,30.0,0.0043,0.045,170.0,0.00024,0.0005,0.029,0.2,4.0,0.00043000000000000004,0.25,0.87,0.4,0.6,0.05,0.77,0.017,0.26,0.03,1.0,0.0,1.87,0.0
0.2,5.493774399808556e-16,863553385.1711882,719627820975.9902,4.1471601870933575e-12,0.19999999999998927,0.9999999999999463,1.0,1.0335703680549313e-14,1.3422991792921184e-14,0.77,0.001771778864670579,0.6,0.002952964774450965,1.0,0.017,-0.0,1.0,1.0,14.6,14.6,1.0,0.0012,30.0,0.0043,0.045,170.0,0.00024,0.0005,0.029,0.2,4.0,0.00043000000000000004,0.25,0.87,0.4,0.6,0.05,0.77,0.017,0.26,0.03,1.0,0.0,1.87,0.0
0.30000000000000004,5.222804133134092e-15,863553385.1711882,719627820975.9902,2.099474650937418e-11,0.1999999999999319,0.9999999999996594,1.0,6.556166563413583e-14,8.51450203040725e-14,0.77,0.002655415621622415,0.6,0.004425692702704025,1.0,0.017,-0.0,1.0,1.0,14.6,14.6,1.0,0.0012,30.0,0.0043,0.045,170.0,0.00024,0.0005,0.029,0.2,4.0,0.00043000000000000004,0.25,0.87,0.4,0.6,0.05,0.77,0.017,0.26,0.03,1.0,0.0,1.87,0.0
0.4,4.760054416452396e-14,863553385.1711882,719627820975.9902,6.63526520173225e-11,0.199999999999534,0.99999999999767,1.0,4.485256896774798e-13,5.825008956850387e-13,0.77,0.0035375561355806963,0.6,0.005895926892634494,1.0,0.017,-0.0,1.0,1.0,14.6,14.6,1.0,0.0012,30.0,0.0043,0.045,170.0,0.00024,0.0005,0.029,0.2,4.0,0.00043000000000000004,0.25,0.87,0.4,0.6,0.05,0.77,0.017,0.26,0.03,1.0,0.0,1.87,0.0
0.5,1.9333368400731188e-13,863553385.1711882,719627820975.9902,1.619902803401581e-10,0.19999999999848458,0.9999999999924228,1.0,1.4586140193584167e-12,1.894303921244697e-12,0.77,0.004418205260643052,0.6,0.007363675434405087,1.0,0.017,-0.0,1.0,1.0,14.6,14.6,1.0,0.0012,30.0,0.0043,0.045,170.0,0.00024,0.0005,0.029,0.2,4.0,0.00043000000000000004,0.25,0.87,0.4,0.6,0.05,0.77,0.017,0.26,0.03,1.0,0.0,1.87,0.0
0.6000000000000001,4.4348468120016905e-13,863553385.1711882,719627820975.9902,3.3589417769847145e-10,0.1999999999971007,0.9999999999855034,1.0,2.790602895356722e-12,3.624159604359379e-12,0.77,0.005297358048065315,0.6,0.00882893008010886,1.0,0.017,-0.0,1.0,1.0,14.6,14.6,1.0,0.0012,30.0,0.0043,0.045,170.0,0.00024,0.0005,0.029,0.2,4.0,0.00043000000000000004,0.25,0.87,0.4,0.6,0.05,0.77,0.017,0.26,0.03,1.0,0.0,1.87,0.0
0.7000000000000001,8.233441349159644e-13,863553385.1711882,719627820975.9902,6.222660179304526e-10,0.19999999999538234,0.9999999999769117,1.0,4.444492317672395e-12,5.772067945029084e-12,0.77,0.006175014497847486,0.6,0.01029169082974581,1.0,0.017,-0.0,1.0,1.0,14.6,14.6,1.0,0.0012,30.0,0.0043,0.045,170.0,0.00024,0.0005,0.029,0.2,4.0,0.00043000000000000004,0.25,0.87,0.4,0.6,0.05,0.77,0.017,0.26,0.03,1.0,0.0,1.87,0.0
0.8,1.438841529175521e-12,863553385.1711882,719627820975.9902,1.0615201400705226e-09,0.1999999999929331,0.9999999999646655,1.0,6.8018974607590325e-12,8.833633065920822e-12,0.77,0.007051177202030126,0.6,0.011751962003383543,1.0,0.017,-0.0,1.0,1.0,14.6,14.6,1.0,0.0012,30.0,0.0043,0.045,170.0,0.00024,0.0005,0.029,0.2,4.0,0.00043000000000000004,0.25,0.87,0.4,0.6,0.05,0.77,0.017,0.26,0.03,1.0,0.0,1.87,0.0
0.9,3.0208635458954185e-12,863553385.1711882,719627820975.9902,1.7002806386693576e-09,0.19999999998680038,0.9999999999340018,1.0,1.2704663231643834e-11,1.6499562638498486e-11,0.77,0.00792586546324522,0.6,0.013209775772075369,1.0,0.017,-0.0,1.0,1.0,14.6,14.6,1.0,0.0012,30.0,0.0043,0.045,170.0,0.00024,0.0005,0.029,0.2,4.0,0.00043000000000000004,0.25,0.87,0.4,0.6,0.05,0.77,0.017,0.26,0.03,1.0,0.0,1.87,0.0
