value_component_environment_variable_time,value_component_x_variable_x,value_component_x_variable_lamda,value_component_x_variable_d,value_component_y_variable_y,value_component_y_variable_a,value_component_y_variable_log_y,value_component_w_variable_w,value_component_w_variable_b,value_component_w_variable_log_w,value_component_z_variable_z,value_component_z_variable_h,value_component_kinetic_parameters_variable_beta,value_component_kinetic_parameters_variable_p,value_component_kinetic_parameters_variable_q,value_component_kinetic_parameters_variable_c,value_component_kinetic_parameters_variable_s
0.0,10.0,1.0,0.1,0.1,0.2,-0.9999999999999998,0.001,0.01,-2.9999999999999996,0.0,0.1,0.5,1.0,0.5,0.1,1.0
0.1,9.936356124742982,1.0,0.1,0.1613718955494265,0.2,-0.7921720995433204,0.0010112084754321066,0.01,-2.9951592990122733,6.420375554286642e-07,0.1,0.5,1.0,0.5,0.1,1.0
0.2,9.835343438691549,1.0,0.1,0.25935570150914716,0.2,-0.5861042003145293,0.0010299769917402448,0.01,-2.987172476723815,1.6850189745322098e-06,0.1,0.5,1.0,0.5,0.1,1.0
0.30000000000000004,9.676286998300347,1.0,0.1,0.4141752937415164,0.2,-0.38281581107208495,0.001060955371384608,0.01,-2.97430288411849,3.3903407222584828e-06,0.1,0.5,1.0,0.5,0.1,1.0
0.4,9.429499717676658,1.0,0.1,0.654827470710563,0.2,-0.18387310976137602,0.001111573208912372,0.01,-2.954061929114651,6.19969120595486e-06,0.1,0.5,1.0,0.5,0.1,1.0
0.5,9.055721996077237,1.0,0.1,1.0195529271999038,0.2,0.008409775866217845,0.0011935087235573464,0.01,-2.923174402313722,1.087003867344659e-05,0.1,0.5,1.0,0.5,0.1,1.0
0.6000000000000001,8.510237790256284,1.0,0.1,1.551646041311008,0.2,0.1907926577484937,0.0013245157142492538,0.01,-2.8779428848025717,1.8716847728455303e-05,0.1,0.5,1.0,0.5,0.1,1.0
0.7000000000000001,7.756146814285142,1.0,0.1,2.28619299574772,0.2,0.3591128898608099,0.0015296761455118573,0.01,-2.8154005058521507,3.202745020721077e-05,0.1,0.5,1.0,0.5,0.1,1.0
0.8,6.788353468160429,1.0,0.1,3.226278687401874,0.2,0.5087018792256776,0.0018392079302691695,0.01,-2.735369169150306,5.46687168241665e-05,0.1,0.5,1.0,0.5,0.1,1.0
0.9,5.65822679412112,1.0,0.1,4.318773731273899,0.2,0.6353604511340157,0.002277493862684669,0.01,-2.6425427846758303,9.267220422648572e-05,0.1,0.5,1.0,0.5,0.1,1.0
1.0,4.475135108406212,1.0,0.1,5.453387680513376,0.2,0.7366663727139527,0.0028409085204985263,0.01,-2.546542750677748,0.00015405549886102768,0.1,0.5,1.0,0.5,0.1,1.0
