Time,x,y,z,t,tau,R,Dx,Dy,Dz,p,mu,compartment,Formation_of_tumor_system,Removal_of_tumor_system,Formation_of_effector_cell_against_tumor_cell,Removal_of_effector_cell_functioning_against_tumor_cell,Formation_of_tumor_detecting_cell,Removal_of_tumor_detecting_cell
0.0,1e-06,0.01,0.0,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.7480000000000002e-06,1.0001e-08,0.0,0.0005,1.1259999999999999e-06,0.0
2.0,4.5269584613996125e-05,0.009048387405328442,2.863112241741354e-06,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,8.694753032521913e-05,4.1166607455685654e-07,2.5906548748214153e-08,0.0004524193702664221,5.0973552275359635e-05,4.5500579745753596e-05
4.0,0.0020708121953792137,0.00818786831154133,0.00013097727985710201,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,0.003977347691532755,2.1243800702230078e-05,1.072424719273846e-06,0.0004093934155770665,0.0023317345319969944,0.002081490931489065
6.0,0.090616050003676,0.007430999349419091,0.00575688236300015,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,0.17411314425741606,0.008884636326892952,4.277938909413636e-05,0.0003715499674709545,0.10203367230413916,0.09148837451279838
8.0,1.3392262479791117,0.007252640880555781,0.0912356019444967,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,2.5900406747759637,1.803239870310616,0.0006616990564247713,0.00036263204402778906,1.5079687552244796,1.4499161861019416
10.0,1.9146666115762425,0.008389111146111636,0.13548464945156233,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,3.7167103300380373,3.682010584497112,0.0011365957828411294,0.0004194555573055818,2.155914604634849,2.1531220490842284
12.0,1.931472695422716,0.009974545190001485,0.1368507906096462,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,3.749816929963242,3.7498523348472395,0.0013650243952233467,0.0004987272595000742,2.174838255045978,2.1748327643684973
14.0,1.9300702513961283,0.01186584366577459,0.13675604062400287,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,3.7471067903439605,3.7480730871913424,0.0016227257983947368,0.0005932921832887294,2.17325910307204,2.1733269975966536
16.0,1.9279300654521596,0.014112066455558549,0.13660528270823558,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,3.7429541762038587,3.744121414479699,0.0019277828277589836,0.0007056033227779274,2.1708492536991315,2.17093115279928
18.0,1.925380964915479,0.016777961813768113,0.13642567166300737,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,3.738008010312268,3.7393958283651685,0.002288944709579604,0.0008388980906884056,2.1679789664948292,2.168076774068513
20.0,1.9223553680359393,0.019939651786264157,0.1362124379720204,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,3.7321371389904376,3.733781257664684,0.0027160285821201924,0.0009969825893132078,2.1645721444084676,2.164688064251348
22.0,1.918770980230107,0.023686130471168257,0.13595981945634172,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,3.72518198055804,3.727130334355227,0.0032203620224793904,0.0011843065235584128,2.1605361237391003,2.1606734508001826
