data_set_T,data_set_M11,data_set_M12,data_set_M13,data_set_M14,data_set_M15,data_set_M16,data_set_M17,data_set_M18,data_set_M19,data_set_M20,data_set_M21,data_set_M22,data_set_M23,data_set_M24,data_set_M25,data_set_M26,data_set_M27,data_set_M28,data_set_M29,data_set_M30,data_set_PHIANG,data_set_R0,data_set_R1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.57296485,1.8401473,1.8660773,1.9476954,1.5845135,1.8167131,1.6863301,1.7076222,1.5919896,2.1652756,0.88697946,1.381289,1.7399095,1.2780695,1.3221204,1.1900096,1.4469855,1.6712558,0.92111659,1.5674021,-1.3681345,1.5092233,0.12608446
2.0,1.3305162,2.292094,1.8721904,2.2760937,2.4671142,1.6661859,2.6704857,1.8137364,1.9070878,2.3473623,2.0374362,1.4781349,2.2803822,2.248976,1.4069264,1.7917913,1.8492438,1.7274613,1.0477248,2.1779823,-1.135756,1.9344463,0.12816505
3.0,1.5942986,2.8526044,2.6301746,2.8906026,2.3584185,2.5564594,2.8137293,2.1079521,2.6248586,2.5900965,2.2666268,1.6341383,2.0101516,1.7205219,1.8126645,1.5478644,1.2998215,2.0972424,2.0855484,2.0500591,1.4892925,2.1771917,0.25823602
4.0,1.4285846,2.6607666,2.328115,3.0785124,2.783267,2.9613607,2.2178361,1.8140661,2.5523901,1.7106906,2.315747,1.8090488,1.7284406,1.6352766,2.2895548,2.0918379,1.6520824,2.0720785,1.9280111,2.0236554,1.2642142,2.1540661,0.19520032
5.0,2.5561707,1.5649427,3.0998406,3.0358403,3.1751914,3.0269892,2.3621128,2.1874428,3.0415554,1.62484,2.609086,1.9294126,2.2420039,1.9352512,1.7786075,2.41274,2.3844919,1.8641683,1.9039603,2.4634094,1.3020439,2.3599029,0.20092519
6.0,2.2950597,2.3596525,3.1463754,3.8611591,2.0892122,3.465692,3.1944582,2.5712473,3.0163739,1.3804944,1.9639531,2.2570016,2.1778872,2.3229451,1.1327785,1.8507196,2.3976128,1.5977224,1.4746768,2.156009,1.4076015,2.3355515,0.33353171
7.0,2.6333292,2.0762391,3.1392055,3.7234557,2.3417418,3.305377,3.2140529,2.263624,2.4154603,2.5203528,1.9147288,1.6301628,2.1602635,1.1199845,1.7782674,0.88568699,1.9330916,1.588114,2.5745461,2.3304393,1.2143602,2.2774062,0.40041959
8.0,2.3301458,2.1762617,2.5828817,2.938659,2.9819639,2.9946916,2.8995738,2.0475082,2.4950407,2.6289728,2.4831734,1.1762362,2.6102617,1.7337502,1.5049007,2.1604896,1.9537666,2.3104031,2.2284873,2.8384912,1.1758394,2.3537829,0.23214495
9.0,2.1525757,2.7981622,2.5437343,3.0788994,3.7657244,3.3752162,2.6580505,3.4713886,1.973141,1.77467,2.104985,1.7967323,2.1173756,1.4779894,1.4162358,1.8885372,1.5705513,2.6210592,3.2090473,2.4068496,1.0360323,2.4100463,0.37057704
10.0,3.5558474,4.1294618,2.9623148,4.5136876,3.474977,3.0598083,1.9517413,3.0283237,2.5621774,2.2408357,2.7051289,0.95207655,1.9225242,1.266714,1.5267946,1.9373395,1.7538666,1.9144359,2.3598921,2.9261355,0.86392182,2.5372043,0.53864551
11.0,3.5165768,3.6355994,2.9617732,3.9554341,4.9594078,3.3291826,2.5057311,2.5469105,2.2702382,2.9615443,2.4042606,1.4274714,1.5982783,2.1304882,1.4383103,2.1222241,1.4010816,2.4742131,2.2774029,1.9128511,1.052575,2.591449,0.5148589
12.0,2.8793576,3.9996619,3.3001201,4.2566977,4.5997524,3.6341593,4.0032153,2.6800296,2.5337281,1.8679341,1.7669009,1.8618459,1.4915394,2.0003409,1.2026428,2.5921063,1.8372538,1.6046942,2.179925,2.3428354,1.0749631,2.631737,0.61468095
