value_component_environment_variable_time,value_component_differentials_variable_A,value_component_differentials_variable_G,value_component_differentials_variable_GA,value_component_differentials_variable_T,value_component_differentials_variable_R,value_component_differentials_variable_GT,value_component_differentials_variable_GD,value_component_differentials_variable_Pi_,value_component_differentials_variable_D,value_component_differentials_variable_RG,value_component_differentials_variable_RGT,value_component_differentials_variable_GAT,value_component_differentials_variable_GAD,value_component_differentials_variable_RGD,value_component_differentials_variable_RGA,value_component_differentials_variable_RGAT,value_component_differentials_variable_RGAD,value_component_output_variable_Z,value_component_output_variable_v,value_component_output_variable_G_tot,value_component_T1_variable_T1,value_component_T1_variable_k1,value_component_P1_variable_P1,value_component_P1_variable_k1,value_component_D1_variable_D1,value_component_D1_variable_k1,value_component_T3_variable_T3,value_component_T3_variable_k1,value_component_R2_variable_R2,value_component_R2_variable_k2,value_component_A2_variable_A2,value_component_A2_variable_k1,value_component_A3_variable_A3,value_component_A3_variable_k2,value_component_R3_variable_R3,value_component_R3_variable_k1,value_component_P3_variable_P3,value_component_P3_variable_k1,value_component_D3_variable_D3,value_component_D3_variable_k1,value_component_P2_variable_P2,value_component_P2_variable_k1,value_component_D2_variable_D2,value_component_D2_variable_k1,value_component_R4_variable_R4,value_component_R4_variable_k1,value_component_T4_variable_T4,value_component_T4_variable_k1,value_component_A5_variable_A5,value_component_A5_variable_k1,value_component_P4_variable_P4,value_component_P4_variable_k1,value_component_D4_variable_D4,value_component_D4_variable_k1
0.0,0.0,0.0,0.0,0.000468,0.0,0.0,1e-08,0.0044,0.000149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,529000.0,0.0,0.013,1e-12,0.0001,0.0,853000.0,-0.0,1.28,0.0,386000.0,-0.0,0.95,0.0,94700000.0,0.0,0.013,0.0,2.0,0.0,25.0,0.0,0.0001,0.0,22800000.0,0.0,1620000.0,0.0,6300000.0,0.0,25.0,0.0,2.75
0.1,0.0,3.695029784447545e-15,0.0,0.00046799999990368543,0.0,9.596644978055673e-14,9.999900290877113e-09,0.004400000000000332,0.0001490000000999974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.596644978055674e-06,1.2475638471472373e-07,1e-08,9.147859136069844e-13,529000.0,1.2475638471472374e-15,0.013,9.999900290877114e-13,0.0001,0.0,853000.0,-0.0,1.28,0.0,386000.0,-0.0,0.95,0.0,94700000.0,0.0,0.013,0.0,2.0,0.0,25.0,0.0,0.0001,0.0,22800000.0,0.0,1620000.0,0.0,6300000.0,0.0,25.0,0.0,2.75
0.2,0.0,3.817391681546025e-15,0.0,0.00046799999980379886,0.0,1.953521711953724e-13,9.999800733588679e-09,0.004400000000000816,0.00014900000019999363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9535217119537242e-05,2.5395782255398413e-07,1e-08,9.450792929875041e-13,529000.0,2.5395782255398412e-15,0.013,9.99980073358868e-13,0.0001,0.0,853000.0,-0.0,1.28,0.0,386000.0,-0.0,0.95,0.0,94700000.0,0.0,0.013,0.0,2.0,0.0,25.0,0.0,0.0001,0.0,22800000.0,0.0,1620000.0,0.0,6300000.0,0.0,25.0,0.0,2.75
0.30000000000000004,0.0,3.939753578644505e-15,0.0,0.0004679999997039123,0.0,2.947378926101881e-13,9.999701176300247e-09,0.004400000000001299,0.00014900000029998987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.947378926101881e-05,3.831592603932445e-07,1e-08,9.753726723550925e-13,529000.0,3.831592603932445e-15,0.013,9.999701176300248e-13,0.0001,0.0,853000.0,-0.0,1.28,0.0,386000.0,-0.0,0.95,0.0,94700000.0,0.0,0.013,0.0,2.0,0.0,25.0,0.0,0.0001,0.0,22800000.0,0.0,1620000.0,0.0,6300000.0,0.0,25.0,0.0,2.75
0.4,0.0,4.034668313542235e-15,0.0,0.0004679999996040081,0.0,3.9320672062076147e-13,9.999602631769191e-09,0.004400000000002737,0.00014900000039997881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9320672062076146e-05,5.111687368069898e-07,1e-08,9.988709028750971e-13,529000.0,5.1116873680698985e-15,0.013,9.999602631769192e-13,0.0001,0.0,853000.0,-0.0,1.28,0.0,386000.0,-0.0,0.95,0.0,94700000.0,0.0,0.013,0.0,2.0,0.0,25.0,0.0,0.0001,0.0,22800000.0,0.0,1620000.0,0.0,6300000.0,0.0,25.0,0.0,2.75
0.5,0.0,4.034760628166971e-15,0.0,0.0004679999995040431,0.0,4.885079333024097e-13,9.999507586037202e-09,0.004400000000007472,0.00014900000049994242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.885079333024097e-05,6.350603132931326e-07,1e-08,9.988937571779888e-13,529000.0,6.3506031329313256e-15,0.013,9.999507586037202e-13,0.0001,0.0,853000.0,-0.0,1.28,0.0,386000.0,-0.0,0.95,0.0,94700000.0,0.0,0.013,0.0,2.0,0.0,25.0,0.0,0.0001,0.0,22800000.0,0.0,1620000.0,0.0,6300000.0,0.0,25.0,0.0,2.75
0.6000000000000001,0.0,4.034852942791708e-15,0.0,0.000467999999404078,0.0,5.838091459840583e-13,9.999412540305212e-09,0.0044000000000122075,0.00014900000059990605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.838091459840583e-05,7.589518897792758e-07,1e-08,9.989166114808707e-13,529000.0,7.589518897792758e-15,0.013,9.999412540305213e-13,0.0001,0.0,853000.0,-0.0,1.28,0.0,386000.0,-0.0,0.95,0.0,94700000.0,0.0,0.013,0.0,2.0,0.0,25.0,0.0,0.0001,0.0,22800000.0,0.0,1620000.0,0.0,6300000.0,0.0,25.0,0.0,2.75
0.7000000000000001,0.0,4.034945257416444e-15,0.0,0.000467999999304113,0.0,6.791103586657066e-13,9.999317494573223e-09,0.004400000000016943,0.00014900000069986965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.791103586657065e-05,8.828434662654185e-07,1e-08,9.98939465783743e-13,529000.0,8.828434662654185e-15,0.013,9.999317494573224e-13,0.0001,0.0,853000.0,-0.0,1.28,0.0,386000.0,-0.0,0.95,0.0,94700000.0,0.0,0.013,0.0,2.0,0.0,25.0,0.0,0.0001,0.0,22800000.0,0.0,1620000.0,0.0,6300000.0,0.0,25.0,0.0,2.75
0.8,0.0,4.0350375720411806e-15,0.0,0.000467999999204148,0.0,7.744115713473548e-13,9.999222448841234e-09,0.004400000000021679,0.00014900000079983328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.744115713473549e-05,1.0067350427515612e-06,1e-08,9.989623200866055e-13,529000.0,1.0067350427515612e-14,0.013,9.999222448841235e-13,0.0001,0.0,853000.0,-0.0,1.28,0.0,386000.0,-0.0,0.95,0.0,94700000.0,0.0,0.013,0.0,2.0,0.0,25.0,0.0,0.0001,0.0,22800000.0,0.0,1620000.0,0.0,6300000.0,0.0,25.0,0.0,2.75
0.9,0.0,4.035129886665917e-15,0.0,0.000467999999104183,0.0,8.697127840290027e-13,9.999127403109246e-09,0.004400000000026415,0.00014900000089979688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.697127840290027e-05,1.1306266192377032e-06,1e-08,9.98985174389458e-13,529000.0,1.1306266192377033e-14,0.013,9.999127403109246e-13,0.0001,0.0,853000.0,-0.0,1.28,0.0,386000.0,-0.0,0.95,0.0,94700000.0,0.0,0.013,0.0,2.0,0.0,25.0,0.0,0.0001,0.0,22800000.0,0.0,1620000.0,0.0,6300000.0,0.0,25.0,0.0,2.75
