Time,C,B,z,y1,y2,C_bar,B_bar,alpha1,beta1,alpha2,beta2,k1,k2,g11,g21,g12,g22,gamma,Compartment
0.0,11.06,212.13,100.0,9.99933982822018,0.0,1.0606601717798212,212.13203435596427,3.0,0.2,4.0,0.02,0.24,0.0017,0.5,-0.5,1.0,0.0,-1.0,1.0
0.01,11.044743534416526,212.52949531170302,99.97603165658059,9.984083362636705,0.39746095573875095,1.0606601717798212,212.13203435596427,3.0,0.2,4.0,0.02,0.24,0.0017,0.5,-0.5,1.0,0.0,-1.0,1.0
0.02,11.029503841448392,212.9283930181039,99.9521008995898,9.968843669668571,0.7963586621396246,1.0606601717798212,212.13203435596427,3.0,0.2,4.0,0.02,0.24,0.0017,0.5,-0.5,1.0,0.0,-1.0,1.0
0.03,11.014282704578019,213.32663037836258,99.92821167377981,9.953622532798198,1.194596022398315,1.0606601717798212,212.13203435596427,3.0,0.2,4.0,0.02,0.24,0.0017,0.5,-0.5,1.0,0.0,-1.0,1.0
0.04,10.999080817131416,213.72418409185806,99.90436544276074,9.938420645351595,1.5921497358937984,1.0606601717798212,212.13203435596427,3.0,0.2,4.0,0.02,0.24,0.0017,0.5,-0.5,1.0,0.0,-1.0,1.0
0.05,10.983898154245267,214.1210555697251,99.8805621175843,9.923237982465446,1.9890212137608216,1.0606601717798212,212.13203435596427,3.0,0.2,4.0,0.02,0.24,0.0017,0.5,-0.5,1.0,0.0,-1.0,1.0
0.06,10.968734909294835,214.5172406098107,99.85680196039604,9.908074737515014,2.385206253846434,1.0606601717798212,212.13203435596427,3.0,0.2,4.0,0.02,0.24,0.0017,0.5,-0.5,1.0,0.0,-1.0,1.0
0.07,10.953590946030543,214.91274255561817,99.83308476209261,9.892930774250722,2.780708199653901,1.0606601717798212,212.13203435596427,3.0,0.2,4.0,0.02,0.24,0.0017,0.5,-0.5,1.0,0.0,-1.0,1.0
0.08,10.938466311405165,215.30756240903057,99.80941045735737,9.877806139625344,3.1755280530663015,1.0606601717798212,212.13203435596427,3.0,0.2,4.0,0.02,0.24,0.0017,0.5,-0.5,1.0,0.0,-1.0,1.0
0.09,10.923361100296376,215.70170219455736,99.78577891420471,9.862700928516555,3.569667838593091,1.0606601717798212,212.13203435596427,3.0,0.2,4.0,0.02,0.24,0.0017,0.5,-0.5,1.0,0.0,-1.0,1.0
0.1,10.908275225346369,216.09516004814878,99.76219025415925,9.847615053566548,3.9631256921845193,1.0606601717798212,212.13203435596427,3.0,0.2,4.0,0.02,0.24,0.0017,0.5,-0.5,1.0,0.0,-1.0,1.0
0.11,10.893208686555147,216.48793596980485,99.73864447722099,9.832548514775326,4.355901613840587,1.0606601717798212,212.13203435596427,3.0,0.2,4.0,0.02,0.24,0.0017,0.5,-0.5,1.0,0.0,-1.0,1.0
0.12,10.878161483922705,216.88002995952556,99.71514158338992,9.817501312142884,4.747995603561293,1.0606601717798212,212.13203435596427,3.0,0.2,4.0,0.02,0.24,0.0017,0.5,-0.5,1.0,0.0,-1.0,1.0
0.13,10.863133617449046,217.27144201731093,99.69168157266606,9.802473445669225,5.139407661346667,1.0606601717798212,212.13203435596427,3.0,0.2,4.0,0.02,0.24,0.0017,0.5,-0.5,1.0,0.0,-1.0,1.0
