T,HK,HNA,IK,MNA,NI,NIR,NK,RIR,V
0.0,0.36700001,0.84399998,0.20738189,0.041000001,0.65700001,0.003,0.28799999,0.28200001,-74.0
0.69999999,0.36702296,0.84632039,0.18709145,0.031778321,0.65698981,0.0029974517,0.28431791,0.28445628,-74.301086
1.4,0.36704925,0.84879869,0.16844918,0.03058715,0.65699238,0.0029944251,0.28058374,0.28696284,-74.590332
2.0999999,0.36707866,0.85139984,0.1516649,0.029615594,0.65700722,0.0029909459,0.27683595,0.28949353,-74.860329
2.8,0.36711103,0.85409117,0.1366201,0.028736679,0.65703392,0.0029870423,0.27310896,0.29202417,-75.112434
3.5,0.36714622,0.85684401,0.12317505,0.027938049,0.65707183,0.0029827408,0.26943025,0.29453489,-75.348076
4.1999998,0.36718407,0.85963356,0.11118376,0.027210264,0.65712041,0.002978066,0.26582134,0.29700971,-75.568558
4.9000001,0.36722443,0.86243874,0.10050192,0.026545132,0.65717888,0.0029730413,0.26229879,0.29943597,-75.775139
5.5999999,0.36726713,0.86524123,0.09099184,0.025935538,0.65724671,0.0029676883,0.25887504,0.30180389,-75.968933
6.3000002,0.36731207,0.86802572,0.082525216,0.02537531,0.65732318,0.0029620277,0.25555909,0.30410609,-76.150986
7.0,0.3673591,0.87077928,0.074984565,0.024859089,0.6574077,0.0029560786,0.25235698,0.30633721,-76.32225
7.6999998,0.36740816,0.87349123,0.068263628,0.024382217,0.65749973,0.0029498588,0.2492726,0.30849367,-76.483566
8.3999996,0.36745906,0.87615258,0.062267181,0.023940634,0.65759867,0.0029433849,0.24630782,0.31057322,-76.635719
9.1000004,0.36751175,0.87875623,0.056910466,0.023530798,0.657704,0.0029366731,0.24346305,0.3125748,-76.779396
9.8000002,0.36756614,0.8812964,0.052118439,0.023149617,0.65781528,0.0029297378,0.24073754,0.31449828,-76.915245
10.5,0.36762214,0.88376856,0.047824875,0.022794368,0.65793198,0.0029225927,0.23812953,0.3163442,-77.043839
11.2,0.36767963,0.88616937,0.043971505,0.022462664,0.65805376,0.0029152513,0.23563655,0.31811377,-77.16568
11.9,0.36773854,0.88849634,0.040507156,0.022152396,0.65818018,0.0029077255,0.23325561,0.31980863,-77.28125
12.6,0.36779884,0.8907479,0.037386924,0.021861697,0.65831095,0.002900027,0.23098326,0.32143071,-77.390976
13.3,0.36786041,0.892923,0.034571432,0.021588912,0.65844566,0.0028921668,0.22881582,0.32298222,-77.495247
14.0,0.3679232,0.89502138,0.032026164,0.021332566,0.65858406,0.0028841551,0.22674941,0.3244656,-77.594406
14.7,0.36798716,0.89704311,0.029720852,0.02109134,0.65872592,0.0028760016,0.22477999,0.32588327,-77.688789
15.4,0.36805221,0.89898878,0.027628943,0.020864058,0.65887088,0.0028677157,0.22290355,0.32723787,-77.778679
16.1,0.36811832,0.90085942,0.025727129,0.02064966,0.65901875,0.0028593061,0.22111604,0.32853192,-77.864357
16.799999,0.3681854,0.90265608,0.023994921,0.020447193,0.65916932,0.0028507812,0.21941346,0.32976803,-77.946068
17.5,0.36825341,0.90438038,0.022414304,0.020255793,0.65932244,0.0028421485,0.21779187,0.33094874,-78.024033
18.200001,0.36832231,0.90603381,0.020969409,0.020074682,0.65947783,0.002833416,0.21624747,0.33207655,-78.098473
18.9,0.36839208,0.90761834,0.01964624,0.019903153,0.65963542,0.0028245905,0.21477653,0.33315387,-78.169586
19.6,0.36846262,0.90913576,0.018432442,0.019740559,0.65979499,0.0028156787,0.21337546,0.33418304,-78.237541
