I_1_task1,_1_task1
0.001,0.0
0.0008225324453176812,20.0
0.0006945264776275304,40.0
0.0006150684577930994,60.0
0.0005804882891638513,80.0
0.0005900317947335099,100.0
0.0006489635899572764,120.0
0.0007705367637047529,140.0
0.0009758145536134202,160.0
0.0012847947238364026,180.0
0.0016849271524018198,200.0
0.0020748162379837782,220.0
0.0022565270672464956,240.0
0.0020908470060883033,260.0
0.0016670947553783406,280.0
0.0012000862368739395,300.0
0.0008280316930899521,320.0
0.0005768769815400973,340.0
0.0004219114624699485,360.0
0.00033305001977321984,380.0
0.00028948666948410844,400.0
0.00028117256843634964,420.0
0.000308400266337217,440.0
0.0003842597414289422,460.0
0.0005432776382362584,480.0
0.0008593641472557359,500.0
0.0014620143791748512,520.0
0.002455957127768153,540.0
0.0035198647882243943,560.0
0.0036686990855978444,580.0
0.00265489862621844,600.0
0.0014841898508431923,620.0
0.0007424403105638641,640.0
0.0003685864980909209,660.0
0.000192427481127115,680.0
0.00010908145015352503,700.0
6.850075749553289e-05,720.0
4.8370363257003605e-05,740.0
3.8905357899269575e-05,760.0
3.608573699539683e-05,780.0
3.907555249907336e-05,800.0
5.001643983760379e-05,820.0
7.660580598090729e-05,840.0
0.0001419074777738267,860.0
0.000319615660319304,880.0
0.0008638647496217317,900.0
0.0025977745322189293,920.0
0.006651693487794503,940.0
0.008276152009044012,960.0
0.003906555240274933,980.0
0.0011027531634953064,1000.0
0.0002732667013306259,1020.0
6.783957345176916e-05,1040.0
1.750258178026294e-05,1060.0
4.75030410568209e-06,1080.0
1.365054461146915e-06,1100.0
4.1755171040080703e-07,1120.0
1.366892637807989e-07,1140.0
4.8161211047959086e-08,1160.0
1.8376642984059384e-08,1180.0
7.644080885514817e-09,1200.0
3.4913887755809996e-09,1220.0
1.7646886748002839e-09,1240.0
9.954070159864861e-10,1260.0
6.323593042448083e-10,1280.0
4.569388894277464e-10,1300.0
3.796147009785615e-10,1320.0
3.6682834923559237e-10,1340.0
4.175277988579057e-10,1360.0
5.674593593007196e-10,1380.0
9.34586212820997e-10,1400.0
1.895416709073295e-09,1420.0
4.816192439811871e-09,1440.0
1.562343021161895e-08,1460.0
6.603204525163427e-08,1480.0
3.7171193268514e-07,1500.0
2.854105475210573e-06,1520.0
3.065721570559324e-05,1540.0
0.0004702668175611679,1560.0
0.009308922808783269,1580.0
0.03798048328082739,1600.0
0.0027427279564648526,1620.0
8.009986700001779e-05,1640.0
1.993555807387303e-06,1660.0
4.305272646518607e-08,1680.0
7.979655782053369e-10,1700.0
1.25340115185563e-11,1720.0
1.651253683722102e-13,1740.0
2.7241221849901197e-15,1760.0
-2.680735338504411e-16,1780.0
3.1077890723353723e-16,1800.0
2.1045849649262075e-16,1820.0
-3.572896653792222e-17,1840.0
1.4041907508723805e-16,1860.0
3.291586513205029e-17,1880.0
4.3756064859832654e-16,1900.0
-1.2189630704513563e-15,1920.0
-4.949503313764282e-16,1940.0
1.4976220716480222e-15,1960.0
9.627480070610544e-16,1980.0
1.7396573597985254e-16,2000.0
