data_set_T,data_set_CA1,data_set_CA2,data_set_CA3,data_set_CA4,data_set_CA5,data_set_CA6,data_set_CA7,data_set_CA8,data_set_CA9,data_set_CA10,data_set_CAG1,data_set_CAG2,data_set_CAG3,data_set_CAG4,data_set_CAG5,data_set_CAG6,data_set_CAG7,data_set_CAG8,data_set_CAG9,data_set_CAG10,data_set_H1,data_set_H2,data_set_H3,data_set_H4,data_set_H5,data_set_H6,data_set_H7,data_set_H8,data_set_H9,data_set_H10,data_set_HG1,data_set_HG2,data_set_HG3,data_set_HG4,data_set_HG5,data_set_HG6,data_set_HG7,data_set_HG8,data_set_HG9,data_set_HG10,data_set_MF5,data_set_MF7,data_set_MF9,data_set_MUF5,data_set_MUF7,data_set_MUF9,data_set_N1,data_set_N2,data_set_N3,data_set_N4,data_set_N5,data_set_N6,data_set_N7,data_set_N8,data_set_N9,data_set_N10,data_set_NG1,data_set_NG2,data_set_NG3,data_set_NG4,data_set_NG5,data_set_NG6,data_set_NG7,data_set_NG8,data_set_NG9,data_set_NG10,data_set_R1,data_set_R2,data_set_R3,data_set_R4,data_set_R5,data_set_R6,data_set_R7,data_set_R8,data_set_R9,data_set_R10,data_set_RG1,data_set_RG2,data_set_RG3,data_set_RG4,data_set_RG5,data_set_RG6,data_set_RG7,data_set_RG8,data_set_RG9,data_set_RG10,data_set_S1,data_set_S2,data_set_S3,data_set_S4,data_set_S5,data_set_S6,data_set_S7,data_set_S8,data_set_S9,data_set_S10,data_set_SG1,data_set_SG2,data_set_SG3,data_set_SG4,data_set_SG5,data_set_SG6,data_set_SG7,data_set_SG8,data_set_SG9,data_set_SG10,data_set_STIM5,data_set_STIM7,data_set_STIM9,data_set_V1,data_set_V2,data_set_V3,data_set_V4,data_set_V5,data_set_V6,data_set_V7,data_set_V8,data_set_V9,data_set_V10,data_set_VG1,data_set_VG2,data_set_VG3,data_set_VG4,data_set_VG5,data_set_VG6,data_set_VG7,data_set_VG8,data_set_VG9,data_set_VG10,data_set_X1,data_set_X2,data_set_X3,data_set_Y1,data_set_Y2,data_set_Y3
0.0,0.52999997,0.51999998,0.50999999,0.50999999,0.50999999,0.50999999,0.5,0.5,0.44999999,0.44999999,0.43000001,0.28,0.34999999,0.31,0.38999999,0.31,0.40000001,0.38999999,0.34,0.33000001,0.18000001,0.34999999,0.25999999,0.28,0.19,0.31,0.15000001,0.23,0.22,0.34,0.55000001,0.51999998,0.50999999,0.55000001,0.57999998,0.51999998,0.28999999,0.58999997,0.54000002,0.41999999,0.0,0.0,0.0,-4.9507918,-6.1749659,-7.1661658,0.33000001,0.02,0.1,0.050000001,0.25999999,0.050000001,0.44,0.11,0.11,0.029999999,0.23999999,0.34,0.46000001,0.33000001,0.28,0.33000001,0.62,0.28999999,0.38,0.34,0.50999999,0.56999999,0.30000001,0.63,0.47999999,0.54000002,0.41999999,0.62,0.5,0.61000001,0.22,0.1,0.16,0.12,0.19,0.12,0.15000001,0.18000001,0.16,0.13,0.015,0.0,0.0,0.0,0.003,0.0,0.22,0.0,0.0,0.0,0.47999999,0.02,0.33000001,0.039999999,0.37,0.039999999,0.67000002,0.13,0.28999999,0.54000002,0.0,0.0,0.0,-71.199997,-66.199997,-55.799999,-64.599998,-61.200001,-69.0,-71.400002,-69.300003,-68.599998,-72.0,-66.419998,-59.049999,32.919998,-59.91,-62.200001,-59.700001,-77.470001,-61.830002,-42.900002,-74.730003,0.0,0.0,0.0,0.0,0.0,0.0
6.9990001,0.5107078,0.50150633,0.49243954,0.49173215,0.49842012,0.49159712,0.48194644,0.48158345,0.43361041,0.43351322,0.38971704,0.31133908,0.40085992,0.34233403,0.43251541,0.34317169,0.44062546,0.43140712,0.40212703,0.36653191,0.23548737,0.3940447,0.31196782,0.32878852,0.24840561,0.35671303,0.20754799,0.28206319,0.27275878,0.38462335,0.54133666,0.55471832,0.41453403,0.57013083,0.5711841,0.57011855,0.33744979,0.56300175,0.36504057,0.52383155,0.0,0.0,0.0,-6.8985906,-7.6722059,-7.9116077,0.15639505,0.012165744,0.049269993,0.025946509,0.11922516,0.02588409,0.20804758,0.054307874,0.054264687,0.016527524,0.32800028,0.31310406,0.70662528,0.27828661,0.23230933,0.26939544,0.50574172,0.22896144,0.7990756,0.23711546,0.71182382,0.73624033,0.5577901,0.77351213,0.59009016,0.72566789,0.65745324,0.77780467,0.70791727,0.77183646,0.17784749,0.14027978,0.18820609,0.15851735,0.21945687,0.15880229,0.17791554,0.21104071,0.18804824,0.18877989,1.3691912e-05,9.5947732e-14,8.1340167e-14,2.0198761e-14,2.7383826e-06,9.5040891e-15,0.00020081471,1.1508549e-14,1.0840323e-14,3.1202075e-14,0.18025018,0.33172834,0.47127077,0.35671514,0.45049271,0.36287433,0.67485815,0.43669289,0.53490371,0.53584582,0.0,0.0,0.0,-73.746231,-71.457397,-73.503868,-74.652985,-74.852531,-77.312218,-77.271027,-77.40612,-76.370514,-74.070206,-61.109547,-56.92152,39.685776,-60.566063,-65.44886,-61.306736,-77.4627,-66.202759,28.207127,-68.48114,-131.89552,-132.17783,-151.5755,-37.985397,-37.920048,-40.133736
13.998,0.49226275,0.48392493,0.47406927,0.4737893,0.48018679,0.47383457,0.46456498,0.46449292,0.41774786,0.4181312,0.35582522,0.38258719,0.40927976,0.37850374,0.39044651,0.37918437,0.40796694,0.39173445,0.40546998,0.4086934,0.28722924,0.43512183,0.35845861,0.37419024,0.29923984,0.40024704,0.26117823,0.33069313,0.32192713,0.42628139,0.52170134,0.35296944,0.5708285,0.57390308,0.54859996,0.57610416,0.53512102,0.54078293,0.56760234,0.55436188,0.0,0.0,0.0,-5.5209851,-5.1397238,-5.6372957,0.075277403,0.008823147,0.025798537,0.014763823,0.058667421,0.014829374,0.10001062,0.02827391,0.028040117,0.010497557,0.35710293,0.81684518,0.31558815,0.29490489,0.32014391,0.28696376,0.36606535,0.328412,0.32007053,0.22937857,0.82419568,0.8229593,0.74442899,0.86004341,0.75814736,0.82968205,0.79091072,0.85105872,0.82698262,0.85611594,0.14232352,0.17199768,0.21320972,0.18983155,0.17671901,0.19048356,0.18435597,0.17054981,0.21268977,0.22113633,1.2497867e-08,2.1989875e-13,3.3504493e-14,8.723471e-14,2.4996181e-09,1.1387667e-13,1.833013e-07,1.9554151e-13,4.2644321e-14,7.635916e-14,0.067787372,0.56188369,0.30335376,0.3632184,0.16916604,0.37313926,0.25342092,0.16400144,0.30133978,0.49891531,0.0,0.0,0.0,-72.853149,-70.220764,-73.879623,-71.246033,-72.133995,-70.705811,-70.69664,-69.609077,-72.718796,-71.556053,-58.024616,25.297173,-59.393772,-59.812569,-61.343678,-60.359459,-53.527424,-61.215958,-59.033558,-66.590065,-481.0332,-478.3396,-510.51804,-56.643608,-55.002411,-57.141205
20.997,0.47504336,0.47195414,0.45707265,0.45984805,0.46339196,0.45732105,0.44840884,0.44853777,0.40346894,0.40434474,0.37189877,0.39165217,0.37704092,0.41985744,0.35398629,0.42074108,0.43635422,0.35630262,0.45535201,0.45626676,0.33554,0.47427765,0.40188536,0.41700134,0.34673712,0.44090131,0.31125942,0.37609026,0.36789864,0.46524376,0.24907584,0.54968923,0.55883318,0.58622801,0.5278663,0.58683854,0.58609664,0.52402431,0.59249854,0.52856714,0.0,0.0,0.0,-4.9995766,-5.0110765,-6.152916,0.03749555,0.010335746,0.014828704,0.011469753,0.029998045,0.0099791177,0.048979443,0.016177591,0.015883526,0.008153297,0.91612393,0.34637913,0.3092728,0.2775625,0.34651637,0.27191702,0.29414696,0.35426325,0.25475997,0.23255207,0.87858409,0.74304169,0.83869201,0.82711536,0.84049451,0.87878603,0.85689515,0.88778245,0.88019383,0.88621688,0.11374857,0.1985023,0.17074758,0.21727198,0.14138855,0.21812892,0.21264419,0.13662851,0.2382441,0.24244642,1.1477605e-11,3.8461075e-12,1.2644837e-13,1.0588959e-12,2.3895545e-12,1.6526374e-13,1.6747903e-10,1.6244357e-13,4.590181e-14,4.8229029e-14,0.52987474,0.30294687,0.11394975,0.36523283,0.063610025,0.37526777,0.30695817,0.061681647,0.37882146,0.52749979,0.0,0.0,0.0,-74.208359,-66.852654,-70.489784,-66.052094,-70.82692,-69.944809,-69.971146,-69.988022,-72.731438,-74.879219,-1.1576793,-55.138885,-60.696426,-61.506927,-59.137016,-61.856926,-60.990421,-58.337357,-63.296913,-69.037697,-886.39819,-880.2738,-911.44446,-55.948399,-55.773232,-56.418198
27.996,0.45781317,0.45540699,0.44110695,0.48393324,0.45109764,0.48329777,0.47472674,0.47560918,0.39731362,0.39118779,0.43233258,0.42821178,0.42955872,0.45967197,0.39258566,0.46158606,0.46981788,0.38457707,0.40667859,0.40812013,0.38049334,0.50990629,0.44241771,0.14340754,0.39172104,0.12996922,0.10311799,0.11979403,0.4125993,0.50157523,0.22739972,0.5834865,0.41413644,0.5340336,0.244248,0.32172632,0.27367696,0.32243571,0.56791323,0.55941218,0.0,0.0,0.0,-8.4219093,-8.4230261,-6.2995653,0.020241937,0.0077283685,0.0097048813,0.36535543,0.018077781,0.46780667,0.45053115,0.46522021,0.014425592,0.0074742376,0.82487261,0.29669312,0.35126296,0.24826662,0.75310397,0.54202861,0.67799252,0.53732669,0.3100566,0.32061839,0.91847062,0.83331889,0.88937145,0.69759792,0.79734039,0.65381348,0.63433218,0.65314513,0.73765564,0.88980865,0.152236,0.22334822,0.17482367,0.22661388,0.11853441,0.19298121,0.18010701,0.12869564,0.19138668,0.20108612,8.2125645e-14,4.2727452e-14,1.7365153e-14,0.02249309,1.6750051e-13,0.19329621,0.25472394,0.22759116,4.6864426e-12,3.1189591e-13,0.73433876,0.31733751,0.55484748,0.48335046,0.63751209,0.65090412,0.67447186,0.6089955,0.14223516,0.19804502,0.0,0.0,0.0,-74.654221,-77.633682,-76.323044,-78.549339,-78.777328,-80.010162,-79.916801,-77.684059,-71.988014,-72.514198,-76.453522,-60.700874,-74.71273,-65.525024,-78.344582,-76.440453,-77.691025,-76.057762,-61.135624,-60.856339,-1222.4581,-1211.0426,-1254.3391,-43.897877,-45.391254,-41.691254
34.994999,0.44584671,0.4400509,0.42781088,0.46674278,0.43514997,0.46556136,0.45720005,0.45896429,0.38997057,0.38844845,0.41042972,0.38368312,0.47260422,0.41026199,0.43042111,0.41209748,0.41912997,0.41877064,0.36485761,0.36626139,0.42321932,0.54317737,0.48048398,0.2014256,0.4329159,0.18880051,0.16374463,0.17944743,0.45360526,0.53949112,0.52561116,0.55905765,0.24576218,0.56547195,0.30672443,0.55867642,0.56337512,0.41576627,0.54523468,0.54365402,0.0,0.0,0.0,-6.79071,-6.3179693,-5.0629735,0.014698139,0.0071140793,0.0089662308,0.17256096,0.011332992,0.22469898,0.21716796,0.21665643,0.012983811,0.013629675,0.39502937,0.31741717,0.76156664,0.31101799,0.58530533,0.32064483,0.31608433,0.35186055,0.32981718,0.33354715,0.81922716,0.86630207,0.85563624,0.80813617,0.86547464,0.79458523,0.78604239,0.78010094,0.67798132,0.72439957,0.18031974,0.17880595,0.17230508,0.18351929,0.1644942,0.18787219,0.18597485,0.16967691,0.15319584,0.16100161,3.2880506e-12,2.3807098e-13,6.4845183e-13,2.0531243e-05,8.8238187e-14,0.00017643691,0.00023250691,0.00020774065,1.5130876e-12,1.3743284e-10,0.28858137,0.11917011,0.7071594,0.18146573,0.6914767,0.24435432,0.25319561,0.62270576,0.053466,0.074412614,0.0,0.0,0.0,-63.479836,-73.244698,-71.975601,-77.561554,-74.08844,-75.000099,-74.495171,-72.60228,-69.785912,-53.199902,-28.846767,-60.395237,-78.325005,-61.162354,-78.183708,-60.342258,-60.493496,-74.70507,-59.858929,-59.576721,-1508.3469,-1507.3419,-1488.5392,-34.942577,-36.582027,-24.674128
41.993999,0.43202254,0.42566738,0.42900431,0.45128024,0.42686024,0.45350257,0.44457042,0.45022392,0.378135,0.40635934,0.42602843,0.34632343,0.42165124,0.36766493,0.44610465,0.36919129,0.37504598,0.46024436,0.33173817,0.39541253,0.46260124,0.57423389,0.53144097,0.25570527,0.47278294,0.24477811,0.22114706,0.23713189,0.49081978,0.16149993,0.58061588,0.53692842,0.57195258,0.54650027,0.25905022,0.54748124,0.55150312,0.33929253,0.52392524,0.55747521,0.0,0.0,0.0,-6.4422235,-5.5944042,-5.6472464,0.010632363,0.0071277567,0.023718657,0.08181259,0.012430698,0.10206496,0.098755099,0.096697532,0.0098665375,0.26331422,0.30252066,0.33376577,0.31607306,0.32944661,0.91836119,0.33015937,0.32645097,0.50497031,0.34629276,0.30745339,0.83961862,0.87224549,0.68198663,0.84082907,0.73782301,0.74243718,0.76631969,0.68019205,0.76258332,0.74894953,0.20841725,0.14281985,0.19628492,0.14706914,0.17827274,0.15057923,0.14919838,0.18457419,0.1222975,0.17870767,3.1214181e-13,5.46774e-13,1.2125479e-07,1.8741098e-08,9.2654391e-12,1.6105206e-07,2.1222995e-07,1.8962611e-07,1.5463007e-13,0.0018449367,0.3038421,0.044829965,0.26546296,0.068186566,0.6441806,0.091787212,0.095099963,0.67162132,0.020202426,0.32253352,0.0,0.0,0.0,-68.663681,-67.429497,-35.438381,-70.100693,-64.004631,-66.713036,-71.320457,-70.182281,-73.048065,-69.277756,-60.434738,-59.582157,-60.016273,-59.862366,-0.10746509,-59.650513,-59.887936,-77.46637,-58.868301,-59.748417,-1691.45,-1693.1753,-1630.4017,-15.182674,-16.010855,-14.091279
48.993,0.42343432,0.41713762,0.44170272,0.43623799,0.44499257,0.45175892,0.46085265,0.48171213,0.3665345,0.39800498,0.38164133,0.36169448,0.45310256,0.33333525,0.4351674,0.33423698,0.33946118,0.46246305,0.33067957,0.43890473,0.50004661,0.60393035,0.16691571,0.30625784,0.035972092,0.30723792,0.057267778,0.12911664,0.52546448,0.21965654,0.55793041,0.3629351,0.57817382,0.52566493,0.56384975,0.52849859,0.52934706,0.27153507,0.41977108,0.58204639,0.0,0.0,0.0,-5.8834333,-13.085274,-7.446764,0.011156278,0.010122341,0.25706527,0.040650081,0.5333879,0.053188562,0.34434748,0.49339041,0.0084842136,0.11568849,0.31906289,0.73528647,0.28860748,0.34556779,0.33835784,0.34370816,0.34559581,0.91488522,0.60527176,0.24164023,0.73357892,0.74957633,0.64753783,0.86760038,0.56987256,0.60326582,0.58074564,0.5002197,0.81493115,0.69529474,0.16696531,0.11363921,0.20957229,0.11749096,0.20606598,0.12030521,0.11926772,0.19085981,0.097454049,0.21066242,1.1775443e-12,5.6076441e-12,0.0012097288,1.7477681e-11,0.76550949,5.0884735e-10,0.66278875,0.52482569,2.6836367e-13,1.6840384e-06,0.11410571,0.26319233,0.32913214,0.025720952,0.28815117,0.034570832,0.035814021,0.63582516,0.1535963,0.41347361,0.0,0.0,0.0,-66.648087,-62.898567,-64.043449,-68.287361,-12.018755,-51.184204,8.375989,-52.8241,-71.219597,-66.273987,-60.263466,35.342457,-61.734959,-58.833824,-47.06094,-58.746529,-55.916126,2.3696809,44.931843,-64.275902,-1744.3452,-1736.5935,-1684.4651,0.26129353,1.851813,-2.1956413
55.992001,0.41391048,0.41110078,0.43434617,0.42650712,0.43783858,0.47522753,0.45949247,0.46485373,0.35389584,0.38818902,0.34434938,0.41182882,0.40438649,0.3087149,0.4577949,0.35975203,0.39036137,0.44248715,0.41007325,0.39319655,0.53472292,0.63214225,0.2258743,0.35446724,0.1712814,0.2146102,0.17936805,0.18916142,0.5576058,0.27334881,0.5363462,0.26504534,0.56738478,0.50629568,0.58112931,0.55761307,0.40868762,0.57483459,0.23870824,0.55857146,-0.11484728,-0.11509308,-0.1319835,-4.7403774,-6.7823029,-6.9167614,0.011358447,0.012692905,0.11337063,0.023901166,0.25309679,0.17363174,0.22588411,0.2362338,0.0069171493,0.055114139,0.33450454,0.91474736,0.31232804,0.36502355,0.29148963,0.30644074,0.6919356,0.30103457,0.78548229,0.31402192,0.69084311,0.65266138,0.59032708,0.76241899,0.70602918,0.68102092,0.72087783,0.70102561,0.87426907,0.69930804,0.13342144,0.15059364,0.16863753,0.093729466,0.21742108,0.1518112,0.14290623,0.20346363,0.14068921,0.16937992,4.0943941e-12,1.5617013e-11,1.1042316e-06,5.2069733e-12,0.00070122629,0.0012460795,0.00080826739,0.00047905269,1.173668e-13,1.5384921e-09,0.04293054,0.6363349,0.12358314,0.0098575046,0.31187209,0.32914582,0.44314724,0.290838,0.73025864,0.15525402,0.0,0.0,0.0,-65.69738,-62.395611,-63.911736,-62.40308,-69.285538,-72.80294,-72.716324,-75.885017,-73.946381,-70.688637,-59.487881,1.5632442,-60.847687,-57.015701,-61.778572,-58.866955,40.697857,-61.277588,-77.932777,-61.151546,-1742.9369,-1776.0173,-1705.4629,4.3441048,-4.4565005,-0.72427082
62.991001,0.42727679,0.4338716,0.4207851,0.4268882,0.4232839,0.4582715,0.4431867,0.44842955,0.34711415,0.39009866,0.32230374,0.4392851,0.36258334,0.33912095,0.40848163,0.39309049,0.39440671,0.39512429,0.45253477,0.35400236,0.075092643,0.10761397,0.27863356,0.40816987,0.22758386,0.26778811,0.23493905,0.24408428,0.58830911,0.33169925,0.50925893,0.28764808,0.54492986,0.55247766,0.56945157,0.57554686,0.56038392,0.56264788,0.2338265,0.53680021,-0.43900251,-0.43670017,-0.46768215,-4.8608346,-5.359323,-6.4118209,0.47867611,0.548491,0.054371137,0.019959832,0.11835726,0.083603725,0.10777036,0.11253112,0.0095873429,0.034755334,0.3546645,0.90220374,0.33018279,0.32753685,0.31133881,0.29814833,0.32914063,0.31685486,0.80314147,0.33573976,0.56028771,0.5134092,0.71074438,0.63558984,0.79653364,0.80089974,0.82256633,0.80906546,0.76916808,0.5654586,0.10633284,0.18186207,0.13512699,0.13567343,0.17503884,0.18486284,0.17611764,0.16356397,0.17157939,0.13555449,0.73101103,0.55764931,1.0082516e-09,4.426938e-12,6.4007122e-07,1.1374068e-06,7.3777704e-07,4.3727377e-07,3.2795361e-12,1.1965927e-10,0.016323963,0.6320703,0.046466384,0.3057436,0.1171027,0.3456327,0.29832265,0.10921459,0.73684096,0.05836897,0.0,0.0,0.0,7.7745876,-59.721676,-70.3545,-63.43539,-70.35231,-70.267075,-70.156525,-73.740837,-69.346947,-62.785614,-55.078693,6.7479186,-59.771904,-55.809006,-60.917507,-59.878178,-57.996349,-60.543324,-77.463982,-59.678055,-1707.6084,-1801.9901,-1687.3457,6.9438629,0.10931922,7.0342832
