T,CA,H,LKA,LKDR,LT32,NKA,NKDR,NT32,OKC,V
0.0,4.9999999e-05,0.97930002,0.059659999,0.576006,0.15320601,0.026395001,0.001798,0.039455999,0.0033750001,-65.0
0.1,5.0208495e-05,0.96339643,0.05965028,0.5760054,0.15320534,0.026398469,0.0018038709,0.039468139,0.0033758718,-64.729813
0.2,5.0416504e-05,0.9474982,0.0596218,0.57600367,0.15320338,0.026408847,0.0018205306,0.03950486,0.0033784839,-64.460617
0.30000001,5.0624407e-05,0.93161052,0.059575539,0.57600075,0.15320018,0.026426101,0.0018466624,0.039566647,0.0033828202,-64.192368
0.40000001,5.0832605e-05,0.91573858,0.059512436,0.57599676,0.15319578,0.026450198,0.0018812114,0.039654002,0.003388867,-63.925003
0.5,5.1041497e-05,0.8998878,0.059433375,0.57599169,0.15319021,0.026481112,0.0019233329,0.039767463,0.0033966131,-63.658485
0.60000002,5.1251489e-05,0.88406354,0.059339192,0.57598549,0.15318352,0.02651882,0.0019723517,0.03990759,0.0034060497,-63.392757
0.69999999,5.1463005e-05,0.86827129,0.059230682,0.57597834,0.15317574,0.026563305,0.0020277291,0.040074974,0.0034171704,-63.127762
0.80000001,5.1676478e-05,0.85251653,0.059108607,0.57597017,0.15316692,0.026614556,0.0020890397,0.040270232,0.0034299712,-62.863441
0.89999998,5.1892348e-05,0.83680493,0.058973681,0.57596099,0.15315709,0.026672564,0.0021559487,0.04049401,0.0034444502,-62.599739
1.0,5.2111081e-05,0.82114196,0.058826588,0.5759508,0.15314628,0.026737327,0.0022281981,0.040746987,0.0034606082,-62.336586
1.1,5.2333147e-05,0.80553317,0.058667973,0.57593971,0.15313454,0.026808847,0.0023055926,0.041029867,0.0034784488,-62.073917
1.2,5.2559044e-05,0.78998411,0.05849845,0.57592773,0.15312189,0.026887132,0.0023879905,0.041343391,0.0034979775,-61.811665
1.3,5.2789277e-05,0.77450025,0.058318608,0.5759148,0.15310836,0.026972193,0.0024752945,0.04168833,0.0035192026,-61.549751
1.4,5.3024385e-05,0.75908703,0.058128998,0.57590103,0.15309398,0.027064048,0.0025674454,0.04206549,0.0035421348,-61.288097
1.5,5.3264925e-05,0.7437498,0.057930145,0.57588637,0.15307878,0.02716272,0.0026644177,0.042475712,0.003566788,-61.026619
1.6,5.3511474e-05,0.72849387,0.057722561,0.57587081,0.15306281,0.027268237,0.0027662148,0.04291987,0.0035931785,-60.765224
1.7,5.3764645e-05,0.71332431,0.05750671,0.57585448,0.15304607,0.027380632,0.0028728652,0.043398883,0.0036213258,-60.503826
1.8,5.4025073e-05,0.69824624,0.057283051,0.57583731,0.15302859,0.027499948,0.0029844209,0.043913707,0.003651252,-60.242313
1.9,5.4293432e-05,0.68326461,0.057052016,0.57581937,0.15300497,0.027626228,0.0031009552,0.044465333,0.0036829826,-59.980587
2.0,5.4570315e-05,0.66838413,0.056814011,0.57580066,0.15290694,0.027759524,0.0032225607,0.045054808,0.003716547,-59.718536
2.0999999,5.4856358e-05,0.65360945,0.056569427,0.57578111,0.15280205,0.027899899,0.0033493477,0.045683213,0.0037519769,-59.456039
2.2,5.5152323e-05,0.63894504,0.05631863,0.57576084,0.15269013,0.028047416,0.0034814447,0.046351682,0.003789308,-59.192974
2.3,5.5459004e-05,0.62439531,0.056061976,0.57573986,0.15257095,0.02820215,0.0036189973,0.047061399,0.0038285803,-58.929192
2.4000001,5.5777244e-05,0.60996419,0.055799797,0.5757181,0.15244433,0.028364185,0.0037621686,0.047813602,0.0038698374,-58.664543
2.5,5.6107929e-05,0.59565574,0.055532414,0.57569569,0.15231004,0.02853361,0.0039111385,0.048609592,0.0039131278,-58.398869
2.5999999,5.6451994e-05,0.58147353,0.055260126,0.57567251,0.15216787,0.028710525,0.0040661059,0.049450722,0.0039585051,-58.131989
2.7,5.6810441e-05,0.5674212,0.054983217,0.57564867,0.15201761,0.028895043,0.0042272881,0.050338421,0.0040060268,-57.863708
2.8,5.7184312e-05,0.55350184,0.054701965,0.57562417,0.15185903,0.029087285,0.004394921,0.05127418,0.0040557575,-57.593822
2.9000001,5.7574729e-05,0.53971857,0.054416623,0.57559896,0.15169188,0.029287383,0.0045692623,0.052259579,0.0041077673,-57.322102
3.0,5.7982874e-05,0.52607411,0.05412744,0.57557309,0.15151596,0.029495487,0.0047505917,0.053296264,0.0041621323,-57.048302
3.0999999,5.8410002e-05,0.51257098,0.053834647,0.57554656,0.15133099,0.029711757,0.0049392134,0.054385986,0.0042189369,-56.772148
3.2,5.8857448e-05,0.4992114,0.053538464,0.57551938,0.15113674,0.02993637,0.005135457,0.055530582,0.0042782719,-56.493347
3.3,5.932663e-05,0.48599738,0.0532391,0.57549155,0.15093292,0.030169522,0.005339683,0.056731999,0.0043402384,-56.211559
3.4000001,5.9820217e-05,0.47293055,0.052936755,0.57546312,0.15071927,0.030411428,0.005552283,0.058408137,0.0044049458,-55.92635
3.5,6.0364997e-05,0.4600113,0.052631602,0.57543403,0.15049548,0.030662354,0.005773738,0.061413936,0.0044725435,-55.635498
3.5999999,6.0976887e-05,0.44723776,0.052323774,0.57540435,0.15026115,0.030922659,0.0060046869,0.064610764,0.0045432583,-55.337498
3.7,6.1663595e-05,0.43460733,0.052013386,0.57537401,0.15001585,0.031192752,0.0062458538,0.06801416,0.004617352,-55.031361
3.8,6.2433835e-05,0.42211682,0.051700559,0.57534301,0.14975907,0.031473104,0.0064980532,0.07164178,0.0046951249,-54.715939
3.9000001,6.3297499e-05,0.40976232,0.051385384,0.57531142,0.1494903,0.03176425,0.0067622052,0.07551378,0.0047769179,-54.389904
4.0,6.4265863e-05,0.39753923,0.051067952,0.57527912,0.14920895,0.032066807,0.0070393574,0.079653338,0.0048631243,-54.051678
4.0999999,6.5351836e-05,0.38544208,0.050748341,0.57524621,0.14891435,0.032381486,0.0073307105,0.084087342,0.0049541974,-53.699398
4.1999998,6.6570261e-05,0.37346438,0.050426621,0.57521266,0.14860578,0.032709114,0.0076376516,0.088847183,0.005050662,-53.330826
4.3000002,6.7938316e-05,0.36159846,0.050102841,0.57517838,0.14828241,0.03305066,0.0079617966,0.093969911,0.0051531312,-52.943233
4.4000001,6.9475987e-05,0.34983531,0.049777046,0.57514346,0.14794326,0.033407278,0.0083050458,0.099499665,0.0052623269,-52.533268
4.5,7.1206719e-05,0.338164,0.049449269,0.57510775,0.14758727,0.033780344,0.0086696614,0.10548962,0.0053791055,-52.096718
4.5999999,7.3158233e-05,0.32657155,0.049119517,0.57507139,0.14721316,0.034171525,0.009058373,0.11200471,0.0055044959,-51.628189
4.6999998,7.536362e-05,0.31504196,0.048787795,0.5750342,0.14681944,0.034582887,0.0094745271,0.11912549,0.0056397486,-51.120583
4.8000002,7.7862838e-05,0.30355534,0.048454076,0.57499623,0.14640433,0.035017025,0.0099223061,0.12695372,0.0057864124,-50.564297
4.9000001,8.0704798e-05,0.29208615,0.048118312,0.57495743,0.14596567,0.035477288,0.01040708,0.13562094,0.0059464443,-49.94577
5.0,8.3950355e-05,0.28060061,0.047780421,0.57491767,0.14550076,0.035968162,0.010935969,0.14530236,0.0061223884,-49.244858
5.0999999,8.7675915e-05,0.26910609,0.047440682,0.57487702,0.14500889,0.036492344,0.011512902,0.15609597,0.0063166735,-48.566414
5.1999998,9.1970345e-05,0.25759119,0.047099251,0.57483548,0.14448853,0.037054293,0.012144682,0.16815977,0.0065326816,-47.74667
5.3000002,9.6947035e-05,0.24595964,0.046755753,0.5747928,0.14393394,0.037665803,0.012849924,0.18192782,0.0067766286,-46.708439
5.4000001,0.0001027632,0.23404796,0.046409637,0.57474887,0.14333636,0.038347751,0.013661044,0.19813906,0.0070587685,-45.275314
5.5,0.0001096527,0.22148883,0.046059873,0.57470316,0.1426795,0.039148334,0.014651628,0.21836495,0.0074006384,-42.843079
5.5999999,0.00011753789,0.19865157,0.045702524,0.57465327,0.14190066,0.07183031,0.092133626,0.25253969,0.0097757308,48.94746
5.6999998,0.00012325734,0.12335543,0.045338362,0.57459581,0.14098862,0.43835509,0.73588824,0.31551382,0.032505386,40.708115
5.8000002,0.00013299361,0.078389354,0.044977102,0.57453841,0.14008243,0.55486506,0.84378111,0.373135,0.051692963,29.489922
5.9000001,0.0001477801,0.051640019,0.044618722,0.57448101,0.13918208,0.60050005,0.87522078,0.42579657,0.066858619,18.375706
6.0,0.00016863928,0.035878301,0.044263199,0.57442373,0.13828756,0.61980551,0.88651145,0.47377285,0.077939548,6.9546924
6.0999999,0.00019662314,0.026810545,0.043910533,0.57436663,0.13739902,0.62784266,0.89071751,0.51705581,0.085292682,-6.394721
6.1999998,0.00023982217,0.029610366,0.044205211,0.57435054,0.13693611,0.6259132,0.78636205,0.5317964,0.086982951,-78.881905
6.3000002,0.00029314109,0.044156346,0.050716065,0.57451081,0.13707958,0.61431158,0.29700831,0.52189964,0.086180277,-82.200348
6.4000001,0.00034401161,0.05864739,0.05557913,0.57464457,0.13721001,0.60377616,0.13322262,0.51259679,0.085599437,-78.866043
6.5,0.00039222167,0.072957888,0.058223307,0.57473373,0.13730989,0.59494877,0.077798449,0.50424469,0.085264571,-75.386955
6.5999999,0.00043803174,0.086469643,0.059583213,0.57478905,0.13737768,0.58752459,0.054175906,0.49675316,0.085123681,-72.044106
6.6999998,0.00048169176,0.098464519,0.060212098,0.57481939,0.13741699,0.58123153,0.042336777,0.49004179,0.085146219,-68.854836
6.8000002,0.00052342506,0.10832945,0.060416147,0.57483107,0.13743393,0.57585925,0.035735659,0.48406452,0.085319467,-65.81015
6.9000001,0.00056343514,0.11571939,0.060367726,0.57482862,0.13743472,0.57124609,0.031802002,0.47881278,0.085643291,-62.897263
7.0,0.0006019132,0.12059591,0.060166258,0.57481539,0.13742441,0.56726706,0.02937925,0.47431612,0.086126558,-60.102665
7.0999999,0.00063903432,0.12314895,0.059870481,0.57479376,0.13731927,0.56382531,0.027892549,0.47063807,0.086785063,-57.412693
7.1999998,0.00067490205,0.12368077,0.059515901,0.57476556,0.13713269,0.56084514,0.02703529,0.46627712,0.0876403,-54.816189
7.3000002,0.00070930517,0.12252275,0.059124578,0.57473218,0.13685538,0.55826569,0.026634911,0.4613888,0.088717453,-52.318081
7.4000001,0.00074247492,0.11997598,0.058710311,0.57469463,0.13648231,0.55603981,0.026594294,0.4588843,0.090045705,-49.876381
7.5,0.00077485433,0.11626954,0.058281578,0.57465369,0.13601375,0.55413783,0.026867315,0.45991233,0.091664158,-47.394958
7.5999999,0.00080699864,0.1115364,0.057843532,0.57460982,0.13545236,0.5525533,0.027452191,0.46562842,0.093635969,-44.650753
7.6999998,0.00083953526,0.10572241,0.057399016,0.57456303,0.13479735,0.55133033,0.028425215,0.47758001,0.096103422,-40.833447
7.8000002,0.00086924492,0.090224512,0.05694731,0.57451099,0.13401152,0.58318847,0.18946691,0.50472844,0.10408447,48.946487
7.9000001,0.00088751945,0.05639632,0.056493547,0.57445353,0.13315019,0.72327125,0.69841051,0.5464465,0.12796339,34.134098
8.0,0.00091350375,0.036776613,0.056043405,0.57439619,0.13229439,0.75777328,0.77296925,0.58457363,0.14992076,19.867046
8.1000004,0.0009473511,0.025447683,0.055596847,0.57433885,0.13144413,0.77009898,0.79488552,0.61930066,0.16920055,7.2104225
8.1999998,0.00098959543,0.019016899,0.055153873,0.57428181,0.13059957,0.77480674,0.80257034,0.65061009,0.18479826,-6.4367194
8.3000002,0.0010489603,0.019843308,0.054842938,0.57424229,0.13003899,0.77326602,0.77503252,0.66304272,0.19091091,-70.13504
8.3999996,0.0011248327,0.034738243,0.058272772,0.57434678,0.13014992,0.76129091,0.41228661,0.65190262,0.19082339,-80.065155
8.5,0.0011980408,0.049507014,0.061548669,0.57445103,0.13026299,0.74946994,0.22107548,0.64091051,0.19077587,-76.314262
8.6000004,0.0012671584,0.063547738,0.062984072,0.5745095,0.13033542,0.73993927,0.15138738,0.63127369,0.19099249,-71.707603
8.6999998,0.001332516,0.075521775,0.063433908,0.57453364,0.13036881,0.73232996,0.12117647,0.62294447,0.19149509,-67.178665
8.8000002,0.0013945441,0.084301077,0.063410267,0.57453424,0.13037463,0.72620755,0.10614642,0.61585969,0.19231425,-62.853085
8.8999996,0.0014536597,0.089596495,0.063157119,0.5745188,0.13034309,0.72123724,0.098013274,0.61005723,0.19349912,-58.742847
9.0,0.0015101926,0.091827571,0.062790148,0.57449222,0.13018988,0.7171731,0.093435779,0.60409224,0.19511405,-54.836723
9.1000004,0.0015637956,0.091661632,0.062365916,0.57445788,0.12990846,0.71383244,0.090883203,0.59608489,0.19723152,-51.15144
9.1999998,0.0016147839,0.089698382,0.061912782,0.57441795,0.12949224,0.71108145,0.089600533,0.5916357,0.19992833,-47.609291
9.3000002,0.0016640183,0.086333215,0.061444826,0.57437384,0.12895158,0.70884156,0.089233913,0.59287286,0.20331034,-43.92506
9.3999996,0.0017124265,0.081647456,0.060968764,0.5743261,0.12829886,0.70712721,0.089727588,0.6016624,0.20763466,-38.749908
9.5,0.0017489421,0.063138835,0.060485713,0.5742718,0.12751269,0.75849414,0.43503124,0.62725472,0.22083156,47.211662
9.6000004,0.0017759881,0.039961066,0.060003757,0.5742144,0.12669313,0.81789827,0.70689619,0.65863711,0.24179572,27.955492
9.6999998,0.0018122486,0.026705299,0.059525643,0.57415712,0.12587884,0.8330211,0.75457472,0.6872797,0.26132473,13.747856
9.8000002,0.001857184,0.019144095,0.059051346,0.5740999,0.12506986,0.83845419,0.76962417,0.71327114,0.2788409,0.88013792
9.8999996,0.0019121595,0.015157191,0.058580961,0.57404333,0.12426777,0.83997893,0.77425295,0.73605311,0.29274878,-26.104782
10.0,0.0019932359,0.024039147,0.059142176,0.57405484,0.12412323,0.83283246,0.62916422,0.72950625,0.29460114,-77.678841
10.1,0.0020794729,0.039019324,0.062484119,0.57416129,0.12423976,0.81978214,0.33370796,0.7171365,0.2947605,-77.586754
10.2,0.0021612423,0.053507809,0.064336866,0.5742321,0.1243258,0.80870187,0.2148367,0.70595992,0.29515299,-72.891357
10.3,0.002238285,0.066176854,0.064927436,0.5742625,0.124368,0.79999501,0.16743147,0.69635516,0.2959069,-67.86483
10.4,0.002311083,0.075508811,0.064925492,0.57426512,0.12437747,0.79315037,0.14554773,0.68825847,0.29708827,-63.01115
10.5,0.0023801744,0.08101587,0.064657472,0.57424951,0.12434551,0.78771436,0.13436592,0.68169504,0.29877505,-58.417095
10.6,0.0024459269,0.083213039,0.064267904,0.57422179,0.12418681,0.78335226,0.12833419,0.67399812,0.30105653,-54.069527
10.7,0.0025078135,0.08285512,0.063820541,0.57418567,0.12388291,0.7798456,0.12512882,0.66481274,0.30404598,-49.784473
