M,MEK,MKP3,M_MEK_T,M_MEK_Y,M_MKP3_T,M_MKP3_Y,MpT,MpT_MEK,MpT_MKP3_T,MpT_MKP3_Y,MpY,MpY_MEK,MpY_MKP3,Mpp,Mpp_MKP3,Time
800.0,180.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
736.241364311458,118.470185313971,97.80578947294305,55.9652421942822,5.564197462471197,0.8323806212418868,1.36170341790996,0.0024079457471356336,5.507514373102682e-06,8.211821292125093e-06,8.222380235904097e-06,0.03220251598646737,0.00036952176101410556,0.00011005357498569415,1.3722281935186352e-08,1.2863086171884882e-10,0.01
696.3997524747655,80.71553813409358,95.8020988930061,90.35745442072265,8.925009551051405,1.5925236531304177,2.6045008780818577,0.00824374593892117,2.9430521375870907e-05,5.713647444544262e-05,5.728691435874318e-05,0.10964064950001609,0.0019684636107685804,0.0007621493488537661,1.5689525955167872e-07,3.044015424129191e-09,0.02
670.1942602314804,56.4954020535635,93.9291401940451,112.46986326767698,11.03007009713463,2.3029535551763245,3.7653073600300666,0.01615311331726373,6.880334878556278e-05,0.00016983891475352963,0.00017052342748253665,0.21412831860531023,0.0045957782759001335,0.0022585108966885945,5.842055175616496e-07,1.750964017810303e-08,0.03
652.2976588103966,40.50641891910142,92.15193400842105,127.11434108399857,12.371348730537305,2.9768551356961277,4.8657402871052176,0.025348301209058094,0.00011641968632078399,0.00035811580330671113,0.00036007482354860555,0.33534442534407927,0.007774846676170786,0.004752321148217739,1.3905724872520655e-06,5.7002601209893295e-08,0.04
639.6941649606932,29.747722699393847,90.44876854855231,137.01320520504788,13.227773031893918,3.622421096527836,5.919239331836765,0.035344688889074986,0.0001666031618009961,0.0006272607098242426,0.0006316185611440452,0.46697898938235144,0.011132460502341537,0.008312007161177443,2.6089813987200386e-06,1.3665100781203632e-07,0.05
630.5680186812984,22.413251148533504,88.80558321963655,143.80462426491587,13.767464931843337,4.244966398675657,6.934529401768408,0.04583323866131252,0.0002159286277686684,0.0009786633542287991,0.0009869402501023713,0.6049782164852566,0.014443726079322206,0.012955105309231399,4.231724817567081e-06,2.7100590213528567e-07,0.06
623.7772178921493,17.367520210745052,87.21296828037129,148.5183822053917,14.096234232985005,4.848057109886196,7.91746968235422,0.05661243909344156,0.00026275516592539955,0.001411327050623181,0.0014254356538692466,0.7466519296176009,0.01760059571215385,0.018667691815018306,6.230255571216364e-06,4.7286886155349047e-07,0.07
618.5807608688351,13.8740484354269,85.66444895073964,151.82231916520033,14.282753955195549,5.434155632881829,8.872110602430753,0.06754926432426503,0.00030661636473137234,0.0019227969158517487,0.0019450295518365181,0.8901786840228315,0.020571827812299295,0.02541623459442272,8.568984015768745e-06,7.528857414363037e-07,0.08
614.4869226215037,11.444347789216827,84.15545357643079,154.1593478499884,14.372585744234344,6.0050085104205015,9.801329153862932,0.07855553068666757,0.00034772889513820006,0.0025097457096134265,0.002542756018224038,1.034311999911532,0.02337088766514366,0.03315513796126259,1.121354524968461e-05,1.1195967518895553e-06,0.09
611.1640431763021,9.749156954665224,82.68266969323072,155.82798470983434,14.39643789529471,6.56188833423199,10.707225223786304,0.08957298395501605,0.0003866530799434773,0.003168351089589774,0.003215132525439953,1.178196352560426,0.026033787125633423,0.04183168542042486,1.4135077968320439e-05,1.5797156031721762e-06,0.1
608.3857341909752,8.563931159293949,81.24363097205892,157.0317963267504,14.375243347638339,7.105748861786589,11.59137574709019,0.10056360405918527,0.00042407886111024457,0.0038945412655900192,0.003958404002714132,1.3212470243832688,0.028605087456027044,0.05138933530291948,1.7311934726373316e-05,2.1384931396424827e-06,0.11
605.9960840273379,7.734230212532594,79.83644690547224,157.91079184979102,14.323387500034269,7.637326501934905,12.455000998065808,0.11150316174983084,0.00046070134259573097,0.0046841554614615,0.004768702713860693,1.4630691990376934,0.031129736299362432,0.061769936268892524,2.072987887427641e-05,2.8000828981605937e-06,0.12
603.8869793031591,7.153159573581047,78.4596231827687,158.56188076730882,14.25081372925315,8.15720774391579,13.29907508678798,0.12237686533066264,0.0004971555944110269,0.005533048303964025,0.005642152717004509,1.6034022063824265,0.03364877426242004,0.0729152176396746,2.438147703979184e-05,3.567866939573563e-06,0.13
601.9830396202585,6.746383751397294,77.1119410171516,159.0524617989958,14.164423009098124,8.665874458389593,14.124400201838242,0.13317638652193703,0.0005339882466567028,0.0064371568116641424,0.0065749373439283314,1.7420804966323298,0.03619745226196063,0.08476778373960477,2.8265135575113406e-05,4.444725432636978e-06,0.14
600.2314629309509,6.462023769040495,75.7923753735636,159.4295819937981,14.069017819256892,9.163734603196113,14.931656939952475,0.1438978118580289,0.0005716506417883571,0.007392542291833258,0.007563341849415429,1.8790060157514252,0.038804767262544886,0.09727176589895636,3.2384043146176383e-05,5.433247657233289e-06,0.15
598.5951050000866,6.263771302574675,74.50003917253413,159.72617871601793,13.967945710347841,9.651143186821171,15.721438673301714,0.1545402238042831,0.000610503626832015,0.008395415349901243,0.008603779329350476,2.0141285060550493,0.04149376743256808,0.11037323677441399,3.6745162504104074e-05,6.535889370148762e-06,0.16
597.0477289425075,6.126161379943222,73.23414503666228,159.96536434480214,13.863541220235915,10.128416654562029,16.49427513976757,0.16510471544377178,0.0006508279061840679,0.009442149516291982,0.009692805341701312,2.1474314003145225,0.04428222711235003,0.12402045906569989,4.135833923822781e-05,7.755084501711973e-06,0.17
