Time,M,MpY,MpT,Mpp,MEK,MKP3,MpY_MEK,MpT_MEK,M_MEK_Y,M_MEK_T,Mpp_MKP3,MpY_MKP3,MpT_MKP3_Y,MpT_MKP3_T,M_MKP3_T,M_MKP3_Y,k1,k_1,k2,k3,k_3,k4,k5,k_5,k6,k7,k_7,k8,h1,h_1,h2,h3,h_3,h4,h_4,h5,h6,h_6,h7,h_7,h8,h9,h_9,cell,reaction_0000001,reaction_0000002,reaction_0000003,reaction_0000004,reaction_0000005,reaction_0000006,reaction_0000007,reaction_0000008,reaction_0000009,reaction_0000010,reaction_0000011,reaction_0000012,reaction_0000013,reaction_0000014,reaction_0000015,reaction_0000017,reaction_0000019
0.0,800.0,0.0,0.0,0.0,180.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,1.0,1.08,0.025,1.0,0.007,0.05,1.0,0.008,0.005,1.0,0.45,0.045,1.0,0.092,1.0,0.01,0.01,1.0,0.5,0.086,0.0011,0.01,1.0,0.47,0.14,0.0018,1.0,720.0,0.0,0.0,0.0,7200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.0,0.0,-144.0
0.01,736.241364311458,0.03220251598646737,0.0024079457471356336,1.3722281935186352e-08,118.470185313971,97.80578947294305,0.00036952176101410556,5.507514373102682e-06,5.564197462471197,55.9652421942822,1.2863086171884882e-10,0.00011005357498569415,8.222380235904097e-06,8.211821292125093e-06,0.8323806212418868,1.36170341790996,0.005,1.0,1.08,0.025,1.0,0.007,0.05,1.0,0.008,0.005,1.0,0.45,0.045,1.0,0.092,1.0,0.01,0.01,1.0,0.5,0.086,0.0011,0.01,1.0,0.47,0.14,0.0018,1.0,430.54905686647515,6.009333259468893,0.09500642915130847,2.586652327098739e-06,4305.167301095182,0.4477219375542576,0.0014208413800726317,2.478381467896207e-06,6.026670695013541e-08,1.1834039278134091e-11,-0.0023468879678302593,4.105910646062546e-06,0.002346898526774038,5.172518024327625e-05,-79.13794993360392,0.031385871415729405,-129.42496370390649
0.02,696.3997524747655,0.10964064950001609,0.00824374593892117,1.5689525955167872e-07,80.71553813409358,95.8020988930061,0.0019684636107685804,2.9430521375870907e-05,8.925009551051405,90.35745442072265,3.044015424129191e-09,0.0007621493488537661,5.728691435874318e-05,5.713647444544262e-05,1.5925236531304177,2.6045008780818577,0.005,1.0,1.08,0.025,1.0,0.007,0.05,1.0,0.008,0.005,1.0,0.45,0.045,1.0,0.092,1.0,0.01,0.01,1.0,0.5,0.086,0.0011,0.01,1.0,0.47,0.14,0.0018,1.0,272.1263943361999,9.639010315135518,0.21927413703336487,1.3779245275380064e-05,2720.1565844517904,0.7228596353657812,0.0032975614271279832,1.3243734619141909e-05,6.733462672894911e-07,2.8004941901988556e-10,-0.00784039472253469,2.856823722272131e-05,0.007840545162447992,0.0003582101939612701,-73.25125671704849,0.10427589411208585,-119.72517419724296
0.03,670.1942602314804,0.21412831860531023,0.01615311331726373,5.842055175616496e-07,56.4954020535635,93.9291401940451,0.0045957782759001335,6.880334878556278e-05,11.03007009713463,112.46986326767698,1.750964017810303e-08,0.0022585108966885945,0.00017052342748253665,0.00016983891475352963,2.3029535551763245,3.7653073600300666,0.005,1.0,1.08,0.025,1.0,0.007,0.05,1.0,0.008,0.005,1.0,0.45,0.045,1.0,0.092,1.0,0.01,0.01,1.0,0.5,0.086,0.0011,0.01,1.0,0.47,0.14,0.0018,1.0,178.28440083170563,11.9124757049054,0.29783585799061346,3.2170447931300936e-05,1780.6748460207255,0.8997589061414158,0.004494079807592363,3.0961506953503255e-05,2.4518168480751256e-06,1.6108868963854789e-09,-0.015001957025993082,8.491945737676482e-05,0.015002641538722088,0.0010615001214436394,-69.04779368343462,0.1988703776812448,-112.78424409734451
0.04,652.2976588103966,0.33534442534407927,0.025348301209058094,1.3905724872520655e-06,40.50641891910142,92.15193400842105,0.007774846676170786,0.00011641968632078399,12.371348730537305,127.11434108399857,5.7002601209893295e-08,0.004752321148217739,0.00036007482354860555,0.00035811580330671113,2.9768551356961277,4.8657402871052176,0.005,1.0,1.08,0.025,1.0,0.007,0.05,1.0,0.008,0.005,1.0,0.45,0.045,1.0,0.092,1.0,0.01,0.01,1.0,0.5,0.086,0.0011,0.01,1.0,0.47,0.14,0.0018,1.0,119.73986240807776,13.36105662898029,0.3318151977031444,5.4423926733195504e-05,1193.997770302152,1.0169147286719886,0.005017424851987577,5.2388858844352794e-05,5.709474882353129e-06,5.244239311310183e-09,-0.022998874978878404,0.00017905790165335557,0.0230008339991203,0.0022335909396623372,-65.86553034772767,0.30427405239577704,-107.51767981518307
0.05,639.6941649606932,0.46697898938235144,0.035344688889074986,2.6089813987200386e-06,29.747722699393847,90.44876854855231,0.011132460502341537,0.0001666031618009961,13.227773031893918,137.01320520504788,1.3665100781203632e-07,0.008312007161177443,0.0006316185611440452,0.0006272607098242426,3.622421096527836,5.919239331836765,0.005,1.0,1.08,0.025,1.0,0.007,0.05,1.0,0.008,0.005,1.0,0.45,0.045,1.0,0.092,1.0,0.01,0.01,1.0,0.5,0.086,0.0011,0.01,1.0,0.47,0.14,0.0018,1.0,81.91945012646111,14.285994874445432,0.33615657656239284,7.792722351639075e-05,814.4590263785024,1.0961056416403832,0.005090516858041751,7.497142281044824e-05,1.0482410952801779e-05,1.2571892718707342e-08,-0.03133721728634127,0.0003136303549121213,0.031341575137661074,0.003906643365753398,-63.333976200926706,0.41406473811563427,-103.31849553664338
0.06,630.5680186812984,0.6049782164852566,0.04583323866131252,4.231724817567081e-06,22.413251148533504,88.80558321963655,0.014443726079322206,0.0002159286277686684,13.767464931843337,143.80462426491587,2.7100590213528567e-07,0.012955105309231399,0.0009869402501023713,0.0009786633542287991,4.244966398675657,6.934529401768408,0.005,1.0,1.08,0.025,1.0,0.007,0.05,1.0,0.008,0.005,1.0,0.45,0.045,1.0,0.092,1.0,0.01,0.01,1.0,0.5,0.086,0.0011,0.01,1.0,0.47,0.14,0.0018,1.0,56.89793191284221,14.868862126390805,0.32454449155757603,0.00010110608255525544,562.8493441819396,1.150436994119327,0.0049204308175646964,9.716788249590078e-05,1.6640029668072178e-05,2.4932542996446282e-08,-0.03971553465152415,0.0004893316771143996,0.03972381154739772,0.006088899495338757,-61.23268961422162,0.5242993281922561,-99.8254950693105
0.07,623.7772178921493,0.7466519296176009,0.05661243909344156,6.230255571216364e-06,17.367520210745052,87.21296828037129,0.01760059571215385,0.00026275516592539955,14.096234232985005,148.5183822053917,4.7286886155349047e-07,0.018667691815018306,0.0014254356538692466,0.001411327050623181,4.848057109886196,7.91746968235422,0.005,1.0,1.08,0.025,1.0,0.007,0.05,1.0,0.008,0.005,1.0,0.45,0.045,1.0,0.092,1.0,0.01,0.01,1.0,0.5,0.086,0.0011,0.01,1.0,0.47,0.14,0.0018,1.0,40.07108296073611,15.223932971623807,0.30658671623848305,0.00012320416998507695,393.1547897318195,1.1881470576431337,0.004653333234749199,0.0001182398246664298,2.397828980644597e-05,4.3503935262921124e-08,-0.047947952895438455,0.0007056635253115905,0.04796206149868452,0.008773815153058603,-59.424676078400694,0.6325096187271602,-96.81418713695369
0.08,618.5807608688351,0.8901786840228315,0.06754926432426503,8.568984015768745e-06,13.8740484354269,85.66444895073964,0.020571827812299295,0.00030661636473137234,14.282753955195549,151.82231916520033,7.528857414363037e-07,0.02541623459442272,0.0019450295518365181,0.0019227969158517487,5.434155632881829,8.872110602430753,0.005,1.0,1.08,0.025,1.0,0.007,0.05,1.0,0.008,0.005,1.0,0.45,0.045,1.0,0.092,1.0,0.01,0.01,1.0,0.5,0.086,0.0011,0.01,1.0,0.47,0.14,0.0018,1.0,28.628343232391675,15.425374271611194,0.2881877266456343,0.00014400279468609507,277.2886527106719,1.2145785533216027,0.004379292460330164,0.00013797736412911755,3.2279692478597346e-05,6.926548821213993e-08,-0.05592067550182369,0.0009613984579258743,0.05594290813780846,0.011945630259378677,-57.822080628065976,0.7371504297506816,-94.1405885361041
0.09,614.4869226215037,1.034311999911532,0.07855553068666757,1.121354524968461e-05,11.444347789216827,84.15545357643079,0.02337088766514366,0.00034772889513820006,14.372585744234344,154.1593478499884,1.1195967518895553e-06,0.03315513796126259,0.002542756018224038,0.0025097457096134265,6.0050085104205015,9.801329153862932,0.005,1.0,1.08,0.025,1.0,0.007,0.05,1.0,0.008,0.005,1.0,0.45,0.045,1.0,0.092,1.0,0.01,0.01,1.0,0.5,0.086,0.0011,0.01,1.0,0.47,0.14,0.0018,1.0,20.789424527795944,15.522392603773094,0.27255476857355576,0.0001635962136560056,197.4607548703145,1.233274782799907,0.004147355174585393,0.00015647800281219003,4.134604764902721e-05,1.0300290117383908e-07,-0.06356600714051332,0.0012548728548067132,0.06359901744912393,0.015582914841793418,-56.36723752710139,0.8372748169597396,-91.71018016045517
